# Time-averaged data for fix rdf_OO_avg
# TimeStep Number-of-rows
# Row c_rdf_OO[1] c_rdf_OO[2] c_rdf_OO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0.000563935 0.000111919
31 2.50287 0.0434731 0.00928931
32 2.58493 0.604142 0.145271
33 2.66699 2.05304 0.637157
34 2.74905 3.14788 1.4385
35 2.83112 2.99804 2.2479
36 2.91318 2.20753 2.8789
37 2.99524 1.53618 3.34314
38 3.0773 1.1386 3.70632
39 3.15936 0.920689 4.01589
40 3.24142 0.806964 4.30151
41 3.32348 0.784329 4.59328
42 3.40555 0.77526 4.89614
43 3.48761 0.800395 5.22406
44 3.56967 0.834465 5.5822
45 3.65173 0.887298 5.98075
46 3.73379 0.907832 6.40705
47 3.81585 0.953377 6.87465
48 3.89791 0.979445 7.37594
49 3.97997 0.999562 7.90923
50 4.06204 1.07455 8.50644
51 4.1441 1.08763 9.13553
52 4.22616 1.11982 9.80918
53 4.30822 1.13866 10.5211
54 4.39028 1.11615 11.2458
55 4.47234 1.13633 12.0113
56 4.5544 1.14074 12.8083
57 4.63647 1.10813 13.6106
58 4.71853 1.11785 14.4489
59 4.80059 1.04191 15.2576
60 4.88265 1.02737 16.0826
61 4.96471 1.00636 16.9181
62 5.04677 1.00779 17.7827
63 5.12883 1.01224 18.6795
64 5.21089 0.956165 19.554
65 5.29296 0.942753 20.4436
66 5.37502 0.923718 21.3425
67 5.45708 0.894099 22.2393
68 5.53914 0.885584 23.1544
69 5.6212 0.895624 24.1077
70 5.70326 0.886975 25.0795
71 5.78532 0.903165 26.0976
72 5.86739 0.924276 27.1693
73 5.94945 0.946784 28.2982
74 6.03151 0.948142 29.4599
75 6.11357 0.973268 30.6852
76 6.19563 1.0058 31.9856
77 6.27769 1.00149 33.3149
78 6.35975 1.01394 34.6963
79 6.44181 1.03459 36.1422
80 6.52388 1.05161 37.6498
81 6.60594 1.06199 39.2107
82 6.688 1.05921 40.8065
83 6.77006 1.05503 42.4351
84 6.85212 1.05665 44.1061
85 6.93418 1.05357 45.8124
86 7.01624 1.04369 47.543
87 7.09831 1.04993 49.3249
88 7.18037 1.03397 51.1204
89 7.26243 1.0252 52.9417
90 7.34449 1.01454 54.7849
91 7.42655 1.00659 56.6548
92 7.50861 0.990642 58.5361
93 7.59067 0.975708 60.4297
94 7.67273 0.977773 62.3684
95 7.7548 0.990822 64.3753
96 7.83686 0.979896 66.4022
97 7.91892 0.977942 68.4678
98 8.00098 0.987984 70.5981
99 8.08304 0.975009 72.7437
100 8.1651 0.984514 74.9544
101 8.24716 0.96537 77.1661
102 8.32923 0.990221 79.4799
103 8.41129 0.988173 81.8348
104 8.49335 1.00622 84.2796
105 8.57541 0.999423 86.755
106 8.65747 0.99914 89.2773
107 8.73953 1.00826 91.8712
108 8.82159 1.0033 94.501
109 8.90365 0.996649 97.1622
110 8.98572 0.999325 99.8799
111 9.06778 0.993843 102.632
112 9.14984 1.00866 105.477
113 9.2319 0.983634 108.3
114 9.31396 0.996676 111.212
115 9.39602 0.997894 114.18
116 9.47808 1.0021 117.212
117 9.56015 0.99662 120.28
118 9.64221 1.004 123.424
119 9.72427 0.999057 126.606
120 9.80633 0.991543 129.817
121 9.88839 0.993995 133.091
122 9.97045 1.00142 136.444
123 10.0525 0.993176 139.824
124 10.1346 0.993832 143.262
125 10.2166 1.00198 146.785
126 10.2987 1.00595 150.379
127 10.3808 0.99689 153.997
128 10.4628 1.00853 157.716
129 10.5449 1.00364 161.474
130 10.6269 1.00202 165.286
131 10.709 1.00214 169.157
132 10.7911 1.00013 173.08
133 10.8731 1.0048 177.081
134 10.9552 1.00233 181.133
135 11.0372 1.01524 185.298
136 11.1193 1.00009 189.463
137 11.2014 0.997611 193.679
138 11.2834 1.00814 198.002
139 11.3655 0.998401 202.346
140 11.4476 1.00159 206.767
141 11.5296 0.997351 211.232
142 11.6117 0.991587 215.735
143 11.6937 0.995524 220.32
144 11.7758 0.993628 224.961
145 11.8579 1.00076 229.701
146 11.9399 0.988655 234.448
147 12.022 0.990189 239.268
148 12.104 1.00106 244.208
149 12.1861 1.00502 249.235
150 12.2682 1.00802 254.345
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0.000564601 0.000111919
31 2.50287 0.0487111 0.0104085
32 2.58493 0.601433 0.146055
33 2.66699 2.04792 0.637717
34 2.74905 3.07021 1.42093
35 2.83112 2.9814 2.22753
36 2.91318 2.2254 2.86503
37 2.99524 1.55288 3.3352
38 3.0773 1.15734 3.70509
39 3.15936 0.898638 4.00783
40 3.24142 0.818322 4.29804
41 3.32348 0.805115 4.59821
42 3.40555 0.786209 4.90599
43 3.48761 0.822388 5.24365
44 3.56967 0.848834 5.60873
45 3.65173 0.896366 6.0122
46 3.73379 0.916208 6.44331
47 3.81585 0.939594 6.90509
48 3.89791 0.977963 7.4066
49 3.97997 1.01336 7.94841
50 4.06204 1.0521 8.5343
51 4.1441 1.10852 9.17683
52 4.22616 1.10928 9.84555
53 4.30822 1.14527 10.5631
54 4.39028 1.16223 11.3192
55 4.47234 1.13623 12.0863
56 4.5544 1.10847 12.8623
57 4.63647 1.09059 13.6536
58 4.71853 1.07938 14.4647
59 4.80059 1.0727 15.299
60 4.88265 1.03985 16.1358
61 4.96471 1.02783 16.9908
62 5.04677 0.977922 17.8314
63 5.12883 0.968529 18.6913
64 5.21089 0.936663 19.5497
65 5.29296 0.936149 20.4349
66 5.37502 0.914511 21.3267
67 5.45708 0.910619 22.242
68 5.53914 0.89936 23.1734
69 5.6212 0.894748 24.1276
70 5.70326 0.89567 25.1109
71 5.78532 0.913241 26.1426
72 5.86739 0.929706 27.2228
73 5.94945 0.921149 28.3232
74 6.03151 0.968162 29.512
75 6.11357 0.963824 30.7278
76 6.19563 1.00002 32.0234
77 6.27769 1.00025 33.3539
78 6.35975 1.04544 34.7811
79 6.44181 1.03434 36.2298
80 6.52388 1.04475 37.7306
81 6.60594 1.05067 39.2781
82 6.688 1.06031 40.8788
83 6.77006 1.06186 42.5214
84 6.85212 1.07221 44.2206
85 6.93418 1.058 45.9377
86 7.01624 1.06356 47.7048
87 7.09831 1.05213 49.494
88 7.18037 1.01875 51.2668
89 7.26243 1.01323 53.0705
90 7.34449 1.00484 54.8998
91 7.42655 1.01112 56.782
92 7.50861 0.997226 58.6796
93 7.59067 0.979007 60.5834
94 7.67273 0.985268 62.5411
95 7.7548 0.987585 64.5456
96 7.83686 0.984275 66.5859
97 7.91892 0.973755 68.6469
98 8.00098 0.982481 70.7697
99 8.08304 0.974745 72.9191
100 8.1651 0.9716 75.1053
101 8.24716 0.976326 77.3466
102 8.32923 0.984962 79.6529
103 8.41129 0.973353 81.9772
104 8.49335 0.989178 84.3856
105 8.57541 1.00222 86.8731
106 8.65747 0.999857 89.4025
107 8.73953 0.99658 91.9716
108 8.82159 1.0071 94.6168
109 8.90365 1.01281 97.3267
110 8.98572 0.997999 100.046
111 9.06778 1.00808 102.844
112 9.14984 1.00041 105.671
113 9.2319 1.007 108.568
114 9.31396 0.997802 111.489
115 9.39602 0.990095 114.439
116 9.47808 1.00047 117.473
117 9.56015 1.00554 120.575
118 9.64221 0.996842 123.703
119 9.72427 0.999628 126.893
120 9.80633 1.00304 130.149
121 9.88839 0.99069 133.418
122 9.97045 0.994168 136.754
123 10.0525 0.988192 140.124
124 10.1346 0.997459 143.582
125 10.2166 1.00153 147.11
126 10.2987 1.00144 150.695
127 10.3808 1.00084 154.335
128 10.4628 1.01063 158.069
