# Time-averaged data for fix rdf_CC_avg
# TimeStep Number-of-rows
# Row c_rdf_CC[1] c_rdf_CC[2] c_rdf_CC[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.0871046 0.00222222
35 2.83112 0.328109 0.0111111
36 2.91318 0.736386 0.0322222
37 2.99524 1.90877 0.09
38 3.0773 4.44892 0.232222
39 3.15936 4.68211 0.39
40 3.24142 8.23941 0.682222
41 3.32348 10.8167 1.08556
42 3.40555 12.5125 1.57556
43 3.48761 14.4531 2.16889
44 3.56967 15.2898 2.82667
45 3.65173 15.7233 3.53444
46 3.73379 15.2534 4.25222
47 3.81585 15.6637 5.02222
48 3.89791 16.0775 5.84667
49 3.97997 15.4168 6.67111
50 4.06204 16.3748 7.58333
51 4.1441 15.6762 8.49222
52 4.22616 16.0153 9.45778
53 4.30822 14.9689 10.3956
54 4.39028 15.7945 11.4233
55 4.47234 16.3765 12.5289
56 4.5544 16.6286 13.6933
57 4.63647 17.1176 14.9356
58 4.71853 14.4137 16.0189
59 4.80059 15.737 17.2433
60 4.88265 14.8165 18.4356
61 4.96471 15.7842 19.7489
62 5.04677 14.5362 20.9989
63 5.12883 13.9282 22.2356
64 5.21089 14.2188 23.5389
65 5.29296 12.8536 24.7544
66 5.37502 13.4536 26.0667
67 5.45708 12.9211 27.3656
68 5.53914 12.8093 28.6922
69 5.6212 12.3767 30.0122
70 5.70326 11.4342 31.2678
71 5.78532 11.0741 32.5189
72 5.86739 10.2587 33.7111
73 5.94945 9.95932 34.9011
74 6.03151 7.69786 35.8467
75 6.11357 7.74111 36.8233
76 6.19563 6.88587 37.7156
77 6.27769 6.03032 38.5178
78 6.35975 5.22479 39.2311
79 6.44181 4.33851 39.8389
80 6.52388 3.27878 40.31
81 6.60594 2.76005 40.7167
82 6.688 2.53204 41.0989
83 6.77006 1.56576 41.3411
84 6.85212 1.32431 41.5511
85 6.93418 0.800562 41.6811
86 7.01624 0.661748 41.7911
87 7.09831 0.392142 41.8578
88 7.18037 0.229901 41.8978
89 7.26243 0.205996 41.9344
90 7.34449 0.134193 41.9589
91 7.42655 0.113392 41.98
92 7.50861 0.0877002 41.9967
93 7.59067 0.0114093 41.9989
94 7.67273 0.00559269 42
95 7.7548 0 42
96 7.83686 0 42
97 7.91892 0 42
98 8.00098 0 42
99 8.08304 0 42
100 8.1651 0 42
101 8.24716 0 42
102 8.32923 0 42
103 8.41129 0 42
104 8.49335 0 42
105 8.57541 0.00446011 42.0011
106 8.65747 0.0175471 42.0056
107 8.73953 0.0086293 42.0078
108 8.82159 0.00421465 42.0089
109 8.90365 0.00832086 42.0111
110 8.98572 0.0203683 42.0167
111 9.06778 0.0120277 42.02
112 9.14984 0.0314326 42.0289
113 9.2319 0.0230996 42.0356
114 9.31396 0.0378631 42.0467
115 9.39602 0.0371836 42.0578
116 9.47808 0.0439194 42.0711
117 9.56015 0.0647057 42.0911
118 9.64221 0.0954804 42.1211
119 9.72427 0.0904368 42.15
120 9.80633 0.0923914 42.18
121 9.88839 0.087397 42.2089
122 9.97045 0.105839 42.2444
123 10.0525 0.0975925 42.2778
124 10.1346 0.11531 42.3178
125 10.2166 0.0977099 42.3522
126 10.2987 0.164249 42.4111
127 10.3808 0.131233 42.4589
128 10.4628 0.168381 42.5211
129 10.5449 0.145025 42.5756
130 10.6269 0.177697 42.6433
131 10.709 0.166373 42.7078
132 10.7911 0.208951 42.79
133 10.8731 0.194633 42.8678
134 10.9552 0.216557 42.9556
135 11.0372 0.226866 43.0489
136 11.1193 0.23936 43.1489
137 11.2014 0.238751 43.25
138 11.2834 0.276511 43.3689
139 11.3655 0.264785 43.4844
140 11.4476 0.271101 43.6044
141 11.5296 0.279671 43.73
142 11.6117 0.312361 43.8722
143 11.6937 0.327482 44.0233
144 11.7758 0.291694 44.16
145 11.8579 0.348716 44.3256
146 11.9399 0.332359 44.4856
147 12.022 0.296061 44.63
148 12.104 0.397365 44.8267
149 12.1861 0.376618 45.0156
150 12.2682 0.39566 45.2167
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0.163786 0.00444444
36 2.91318 1.27784 0.0411111
37 2.99524 2.12554 0.105556
38 3.0773 4.16226 0.238889
39 3.15936 6.44871 0.456667
40 3.24142 8.53506 0.76
41 3.32348 10.2893 1.14444
42 3.40555 12.2656 1.62556
43 3.48761 13.7171 2.19
44 3.56967 15.104 2.84111
45 3.65173 15.4193 3.53667
46 3.73379 14.2999 4.21111
47 3.81585 15.3161 4.96556
48 3.89791 16.7089 5.82444
49 3.97997 16.154 6.69
50 4.06204 15.668 7.56444
51 4.1441 15.5298 8.46667
52 4.22616 15.9463 9.43
53 4.30822 16.4742 10.4644
54 4.39028 16.3269 11.5289
55 4.47234 17.112 12.6867
56 4.5544 15.6148 13.7822
57 4.63647 15.3422 14.8978
58 4.71853 16.4485 16.1367
59 4.80059 14.7804 17.2889
60 4.88265 15.4038 18.5311
61 4.96471 14.4477 19.7356
62 5.04677 13.7991 20.9244
63 5.12883 14.3105 22.1978
64 5.21089 14.1989 23.5022
65 5.29296 13.8225 24.8122
66 5.37502 13.0771 26.09
67 5.45708 12.9611 27.3956
68 5.53914 11.659 28.6056
69 5.6212 11.7872 29.8656
70 5.70326 10.9573 31.0711
71 5.78532 11.0799 32.3256
72 5.86739 9.74172 33.46
73 5.94945 9.30653 34.5744
74 6.03151 8.06231 35.5667
75 6.11357 7.51313 36.5167
76 6.19563 6.35829 37.3422
77 6.27769 6.09336 38.1544
78 6.35975 5.15704 38.86
79 6.44181 4.61474 39.5078
80 6.52388 3.75834 40.0489
81 6.60594 2.86774 40.4722
82 6.688 2.54057 40.8567
83 6.77006 1.74847 41.1278
84 6.85212 1.59482 41.3811
85 6.93418 1.11354 41.5622
86 7.01624 0.820397 41.6989
87 7.09831 0.534695 41.79
88 7.18037 0.394998 41.8589
89 7.26243 0.3175 41.9156
90 7.34449 0.152169 41.9433
91 7.42655 0.148866 41.9711
92 7.50861 0.0931321 41.9889
93 7.59067 0.0227687 41.9933
94 7.67273 0.0223159 41.9978
95 7.7548 0.00545055 41.9989
96 7.83686 0.005355 42
97 7.91892 0.00523004 42.0011
98 8.00098 0.00513756 42.0022
99 8.08304 0.0100506 42.0044
100 8.1651 0 42.0044
101 8.24716 0.0145022 42.0078
102 8.32923 0.0142019 42.0111
103 8.41129 0.00926588 42.0133
104 8.49335 0.0136775 42.0167
105 8.57541 0.0134132 42.02
106 8.65747 0.0263258 42.0267
107 8.73953 0.0387396 42.0367
108 8.82159 0.06335 42.0533
109 8.90365 0.0373162 42.0633
110 8.98572 0.0692381 42.0822
111 9.06778 0.131949 42.1189
112 9.14984 0.0824866 42.1422
113 9.2319 0.134923 42.1811
114 9.31396 0.0795752 42.2044
115 9.39602 0.167554 42.2544
116 9.47808 0.157258 42.3022
117 9.56015 0.168877 42.3544
118 9.64221 0.155552 42.4033
119 9.72427 0.16692 42.4567
120 9.80633 0.177664 42.5144
121 9.88839 0.22523 42.5889
122 9.97045 0.221391 42.6633
123 10.0525 0.253625 42.75
124 10.1346 0.272064 42.8444
125 10.2166 0.261109 42.9367
126 10.2987 0.318976 43.0511
127 10.3808 0.280609 43.1533
128 10.4628 0.285153 43.2589
129 10.5449 0.319132 43.3789
130 10.6269 0.340449 43.5089
131 10.709 0.369479 43.6522
