# Time-averaged data for fix thermo_detailed
# TimeStep v_temp v_press v_pe v_ke v_vol v_dens
600100 297.862 -57.0747 -21345.6 3332.18 53920.3 1.058
600200 303.247 25.9407 -21316.2 3392.41 53949.8 1.05742
600300 299.9 -193.71 -21357.4 3354.97 53857.2 1.05924
600400 293.82 174.683 -21438 3286.96 53547.5 1.06536
600500 299.908 418.086 -21385.5 3355.07 53423.1 1.06784
600600 301.854 -90.1035 -21376 3376.84 53711.4 1.06211
600700 295.578 -315.308 -21372.2 3306.62 53810 1.06017
600800 300.984 136.745 -21319.1 3367.1 53590.3 1.06451
600900 298.465 134.523 -21390.9 3338.92 53548.4 1.06534
601000 297.394 166.195 -21381.1 3326.94 53816.9 1.06004
601100 301.161 -349.824 -21289.9 3369.08 54309.7 1.05041
601200 299.417 -322.12 -21299.8 3349.57 54262.8 1.05132
601300 298.429 49.0701 -21424.8 3338.52 53750.7 1.06134
601400 299.586 504.41 -21449.3 3351.46 53378 1.06875
601500 301.191 302.914 -21440 3369.41 53644.5 1.06345
601600 298.595 -333.791 -21388.4 3340.37 54232 1.05192
601700 300.663 -238.825 -21366.2 3363.51 54248.2 1.0516
601800 297.828 91.4444 -21424.3 3331.79 54033.1 1.05579
601900 297.72 148.268 -21500.9 3330.58 53944.7 1.05752
602000 298.132 -29.1605 -21351.9 3335.19 54117.8 1.05414
602100 301.114 -317.273 -21302.4 3368.56 54214 1.05226
602200 297.96 178.774 -21354.4 3333.28 53994 1.05655
602300 297.762 186.458 -21425.1 3331.06 53900.9 1.05838
602400 303.205 -108.291 -21354.2 3391.95 53971.1 1.057
602500 301.234 -153.544 -21322.7 3369.9 53946.7 1.05748
602600 296.161 243.475 -21356.7 3313.14 53749.8 1.06135
602700 299.902 231.528 -21325.1 3355 53795.4 1.06046
602800 301.803 -76.6222 -21225.1 3376.27 54121.8 1.05406
602900 302.71 -376.416 -21235.2 3386.42 54292.4 1.05075
603000 301.353 85.1009 -21353 3371.23 54049.2 1.05548
603100 297.677 254.071 -21384.6 3330.11 53806.7 1.06023
603200 304.421 141.525 -21339.3 3405.55 53921.2 1.05798
603300 300.005 -100.652 -21358 3356.15 54241.3 1.05174
603400 298.674 94.0305 -21422.9 3341.26 54369.1 1.04926
603500 302.658 -297.321 -21382.7 3385.82 54496.5 1.04681
603600 300.121 70.7333 -21370.7 3357.45 54246.6 1.05163
603700 294.269 283.239 -21466.1 3291.98 54085.2 1.05477
603800 297.542 -438.033 -21405.7 3328.6 54177 1.05298
603900 299.054 -375.047 -21282 3345.51 53960 1.05723
604000 303.775 488.802 -21281 3398.33 53558.3 1.06515
604100 297.786 39.8476 -21352.2 3331.33 53739.4 1.06156
604200 300.613 -251.486 -21350.2 3362.95 54011.6 1.05621
604300 302.862 219.498 -21281.9 3388.11 54002.7 1.05638
604400 299.326 -306.978 -21338.1 3348.55 54028.6 1.05587
604500 298.885 68.6404 -21347.5 3343.62 53782.1 1.06072
604600 305.059 277.251 -21302.8 3412.69 53651.9 1.06329
604700 302.065 -76.1025 -21378.2 3379.2 53840 1.05957
604800 297.448 -50.7193 -21325.8 3327.55 53982.8 1.05677
604900 304.674 -159.071 -21309 3408.38 53981.4 1.0568
605000 301.465 102.589 -21374.9 3372.48 53773.9 1.06088
605100 299.158 -58.9658 -21338.5 3346.68 53762.9 1.06109
