# Time-averaged data for fix rdf_OO_avg
# TimeStep Number-of-rows
# Row c_rdf_OO[1] c_rdf_OO[2] c_rdf_OO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0.0524667 0.0111919
32 2.58493 0.591082 0.145719
33 2.66699 2.00431 0.631337
34 2.74905 3.13811 1.43917
35 2.83112 2.95793 2.24667
36 2.91318 2.24283 2.89502
37 2.99524 1.51101 3.35669
38 3.0773 1.1653 3.73251
39 3.15936 0.913312 4.04309
40 3.24142 0.865861 4.35299
41 3.32348 0.800745 4.65428
42 3.40555 0.837369 4.98511
43 3.48761 0.805935 5.31897
44 3.56967 0.868687 5.69603
45 3.65173 0.869691 6.0911
46 3.73379 0.940019 6.53744
47 3.81585 0.944795 7.00604
48 3.89791 0.97643 7.51136
49 3.97997 1.0134 8.0582
50 4.06204 1.05365 8.65048
51 4.1441 1.07413 9.27879
52 4.22616 1.10489 9.95098
53 4.30822 1.08746 10.6384
54 4.39028 1.11779 11.3721
55 4.47234 1.10862 12.1274
56 4.5544 1.1247 12.9219
57 4.63647 1.10533 13.7311
58 4.71853 1.0927 14.5597
59 4.80059 1.05581 15.3884
60 4.88265 1.03199 16.2264
61 4.96471 0.99415 17.0609
62 5.04677 1.00378 17.9317
63 5.12883 0.97338 18.8038
64 5.21089 0.968942 19.6999
65 5.29296 0.930666 20.588
66 5.37502 0.916081 21.4895
67 5.45708 0.897792 22.4001
68 5.53914 0.901984 23.3427
69 5.6212 0.893911 24.3048
70 5.70326 0.900078 25.302
71 5.78532 0.905415 26.3342
72 5.86739 0.926737 27.4208
73 5.94945 0.936977 28.5504
74 6.03151 0.982148 29.7674
75 6.11357 0.971253 31.0039
76 6.19563 0.985055 32.2918
77 6.27769 1.01503 33.6543
78 6.35975 1.02494 35.0663
79 6.44181 1.03923 36.535
80 6.52388 1.04356 38.0478
81 6.60594 1.05652 39.6181
82 6.688 1.05035 41.2184
83 6.77006 1.05453 42.8645
84 6.85212 1.05964 44.5591
85 6.93418 1.05247 46.2828
86 7.01624 1.06026 48.0604
87 7.09831 1.02851 49.8254
88 7.18037 1.02941 51.633
89 7.26243 1.02763 53.4791
90 7.34449 1.00611 55.3276
91 7.42655 0.991906 57.1909
92 7.50861 0.987744 59.0876
93 7.59067 0.994434 61.0391
94 7.67273 0.973046 62.9902
95 7.7548 0.985538 65.0091
96 7.83686 0.974863 67.0485
97 7.91892 0.980177 69.142
98 8.00098 0.978358 71.2752
99 8.08304 0.971911 73.4381
100 8.1651 0.974269 75.6503
101 8.24716 0.99127 77.9466
102 8.32923 0.995022 80.2977
103 8.41129 0.986926 82.6759
104 8.49335 1.00165 85.1368
105 8.57541 0.99578 87.631
106 8.65747 0.990139 90.1586
107 8.73953 0.999135 92.7579
108 8.82159 1.00487 95.4215
109 8.90365 1.00643 98.1388
110 8.98572 0.998331 100.884
111 9.06778 0.99804 103.679
112 9.14984 0.989662 106.501
113 9.2319 0.99 109.375
114 9.31396 1.0028 112.338
115 9.39602 0.993915 115.327
116 9.47808 0.987548 118.348
117 9.56015 0.996356 121.45
118 9.64221 1.00329 124.627
119 9.72427 0.999525 127.846
120 9.80633 1.00636 131.142
121 9.88839 1.00047 134.474
122 9.97045 0.995437 137.845
123 10.0525 0.99894 141.283
124 10.1346 1.00157 144.786
125 10.2166 0.99626 148.328
126 10.2987 1.00158 151.946
127 10.3808 1.0038 155.63
128 10.4628 1.00179 159.366
129 10.5449 1.00182 163.16
130 10.6269 1.00132 167.012
131 10.709 1.00282 170.929
132 10.7911 1.00312 174.907
133 10.8731 1.01202 178.982
134 10.9552 1.0034 183.084
135 11.0372 1.00573 187.257
136 11.1193 1.00398 191.485
137 11.2014 0.999539 195.756
138 11.2834 1.00722 200.124
139 11.3655 0.994667 204.501
140 11.4476 1.00267 208.976
141 11.5296 1.00312 213.518
142 11.6117 0.992764 218.077
143 11.6937 0.996493 222.717
144 11.7758 0.996054 227.422
145 11.8579 0.989686 232.161
146 11.9399 1.00656 237.049
147 12.022 0.994431 241.944
148 12.104 1.00379 246.953
149 12.1861 1.00467 252.035
150 12.2682 0.998687 257.154
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0.0357722 0.00761052
32 2.58493 0.58985 0.141354
33 2.66699 1.97562 0.618243
34 2.74905 3.11294 1.41656
35 2.83112 3.01339 2.23626
36 2.91318 2.23586 2.88025
37 2.99524 1.59692 3.36642
38 3.0773 1.11718 3.72546
39 3.15936 0.95849 4.05025
40 3.24142 0.845501 4.35176
41 3.32348 0.765531 4.63872
42 3.40555 0.786688 4.94841
43 3.48761 0.826807 5.28976
44 3.56967 0.868873 5.66558
45 3.65173 0.892443 6.0695
46 3.73379 0.942964 6.51572
47 3.81585 0.93069 6.9756
48 3.89791 0.969748 7.47566
49 3.97997 1.01697 8.02238
50 4.06204 1.01869 8.59284
51 4.1441 1.07434 9.21903
52 4.22616 1.11077 9.89222
53 4.30822 1.12254 10.5992
54 4.39028 1.12794 11.337
55 4.47234 1.11002 12.0904
56 4.5544 1.08575 12.8547
57 4.63647 1.08297 13.6448
58 4.71853 1.1022 14.4774
59 4.80059 1.06337 15.309
60 4.88265 1.05383 16.1616
61 4.96471 1.00647 17.0035
62 5.04677 0.982828 17.8529
63 5.12883 0.97899 18.7268
64 5.21089 0.950254 19.6025
65 5.29296 0.950251 20.5059
66 5.37502 0.918218 21.4062
67 5.45708 0.911353 22.3271
68 5.53914 0.913756 23.2786
69 5.6212 0.902573 24.2466
70 5.70326 0.911739 25.2529
71 5.78532 0.905914 26.2819
72 5.86739 0.925672 27.3634
73 5.94945 0.94306 28.4963
74 6.03151 0.958127 29.6791
75 6.11357 0.981 30.9234
76 6.19563 0.979374 32.1993
77 6.27769 1.0077 33.5472
78 6.35975 1.03857 34.9728
79 6.44181 1.03493 36.4303
80 6.52388 1.0387 37.9306
81 6.60594 1.03055 39.4569
82 6.688 1.07254 41.0848
83 6.77006 1.05484 42.7256
84 6.85212 1.0465 44.3931
85 6.93418 1.04521 46.0985
86 7.01624 1.04763 47.8488
87 7.09831 1.035 49.6184
88 7.18037 1.04236 51.442
89 7.26243 1.02041 53.2684
90 7.34449 1.00288 55.1041
91 7.42655 0.998724 56.9735
92 7.50861 0.987755 58.8633
93 7.59067 0.981792 60.7831
94 7.67273 0.976612 62.7343
95 7.7548 0.986112 64.7467
96 7.83686 0.969155 66.7666
97 7.91892 0.988127 68.8695
98 8.00098 0.978205 70.9944
99 8.08304 0.991582 73.1929
100 8.1651 0.979252 75.4084
101 8.24716 0.982716 77.6769
102 8.32923 0.987532 80.002
103 8.41129 0.985913 82.3693
104 8.49335 0.990854 84.7951
105 8.57541 0.989431 87.2641
106 8.65747 1.00507 89.8206
107 8.73953 1.01177 92.443
108 8.82159 0.993957 95.0678
109 8.90365 1.00132 97.7617
110 8.98572 1.00036 100.503
111 9.06778 1.00754 103.314
112 9.14984 1.00202 106.161
113 9.2319 0.999881 109.053
114 9.31396 1.00146 112.001
115 9.39602 1.00236 115.004
116 9.47808 0.984062 118.004
117 9.56015 0.993038 121.084
118 9.64221 1.00733 124.263
119 9.72427 1.00414 127.485
120 9.80633 0.988967 130.712
121 9.88839 0.997263 134.021
122 9.97045 0.989028 137.358
123 10.0525 0.99255 140.762
124 10.1346 0.997221 144.237
125 10.2166 1.00622 147.802
126 10.2987 0.995133 151.384
127 10.3808 1.0041 155.055
128 10.4628 1.00494 158.789
129 10.5449 0.99759 162.553
