# Time-averaged data for fix msd_avg
# TimeStep c_msd_water[1] c_msd_water[2] c_msd_water[3] c_msd_water[4]
601000 0.605713 0.62309 0.637216 1.86602
602000 1.51305 1.38446 1.47602 4.37354
603000 2.35136 2.18828 2.51856 7.05821
604000 3.06198 3.00645 3.48609 9.55453
605000 3.74577 4.07524 4.68404 12.505
606000 4.66038 5.42088 5.72264 15.8039
607000 5.47656 6.37079 6.43332 18.2807
608000 6.23013 7.13493 7.23751 20.6026
609000 7.18962 8.211 7.89732 23.2979
610000 8.1352 8.93733 8.59044 25.663
611000 9.13108 9.71345 9.31998 28.1645
612000 9.98425 10.6551 10.2655 30.9049
613000 10.985 11.3717 11.0716 33.4284
614000 11.9616 12.0692 11.6833 35.7142
615000 12.7848 12.835 12.4201 38.04
616000 13.4732 13.603 13.218 40.2942
617000 14.1102 14.4992 14.4281 43.0375
618000 15.2028 15.4276 15.1493 45.7797
619000 15.6903 15.96 16.315 47.9653
620000 16.8572 16.9935 17.618 51.4688
621000 18.0215 17.6267 18.5949 54.2431
622000 18.9025 19.0121 19.1117 57.0263
623000 19.8322 19.6932 20.275 59.8004
624000 21.6852 20.0556 21.0924 62.8332
625000 23.1972 21.0612 22.5294 66.7878
626000 23.9625 22.3001 23.7856 70.0481
627000 24.9323 23.0867 25.0174 73.0364
628000 25.7516 24.2653 25.3767 75.3937
629000 26.0533 24.7201 26.186 76.9594
630000 26.3685 25.6422 27.7375 79.7482
631000 26.4514 25.8413 28.8708 81.1636
632000 27.2949 26.637 29.9201 83.8521
633000 27.7449 27.6535 30.3744 85.7728
634000 28.6516 28.4245 30.7636 87.8398
635000 29.4067 29.053 32.0496 90.5093
636000 29.8104 30.0188 32.6147 92.4439
637000 30.8027 30.9493 34.0308 95.7828
638000 31.8833 32.1714 35.2735 99.3282
639000 32.0602 33.2286 36.6076 101.896
640000 32.4785 34.1119 38.1753 104.766
641000 33.3291 35.1569 38.8137 107.3
642000 34.0705 36.0888 38.8823 109.042
643000 34.8439 37.1527 40.4098 112.406
644000 35.6533 38.0215 41.8596 115.534
645000 36.1785 38.7437 42.1564 117.079
646000 37.2418 39.4176 43.4493 120.109
647000 37.7117 40.3263 45.2436 123.282
648000 38.0584 41.5436 46.074 125.676
649000 38.536 42.3648 45.8227 126.723
650000 39.555 44.0297 46.6051 130.19
651000 40.3764 45.6264 47.9624 133.965
652000 40.8202 46.1261 48.6981 135.644
653000 41.6159 47.2482 49.9281 138.792
654000 42.7588 47.9001 51.3661 142.025
655000 43.7141 49.1822 52.3574 145.254
656000 44.3664 49.2555 53.3443 146.966
657000 45.2186 49.7657 53.815 148.799
658000 45.5415 50.1596 55.4193 151.12
659000 46.5749 51.2148 56.8291 154.619
660000 47.5499 52.0218 57.2555 156.827
661000 48.1266 53.4322 57.7844 159.343
662000 48.8322 54.205 58.4007 161.438
663000 49.5516 54.7821 59.9806 164.314
664000 51.0081 56.3439 59.5029 166.855
665000 52.1744 58.1368 59.26 169.571
666000 53.3601 58.403 60.0081 171.771
667000 54.4846 59.5233 61.0681 175.076
668000 56.2194 60.6518 62.1356 179.007
669000 57.212 61.1883 63.2745 181.675
670000 57.9994 61.9805 63.8725 183.852
671000 59.478 63.6089 64.9724 188.059
672000 60.5056 64.6645 65.6843 190.854
673000 61.6285 66.0516 66.8709 194.551
674000 63.0627 67.4904 68.3446 198.898
675000 63.634 68.1725 69.4678 201.274
676000 65.1457 68.7935 70.9371 204.876
677000 66.1714 68.608 71.167 205.946
678000 66.9023 69.9012 72.0743 208.878
679000 66.4926 70.1228 73.1655 209.781
680000 67.4895 71.7674 74.1137 213.371
681000 67.8306 73.1679 75.2058 216.204
682000 69.2194 74.0741 76.8689 220.162
683000 69.9095 73.8828 77.4676 221.26
684000 71.2494 74.5319 78.7985 224.58
685000 72.2143 75.1676 79.7669 227.149
686000 73.6294 76.9872 81.3663 231.983
687000 74.9657 78.0115 82.1146 235.092
688000 75.2144 78.5953 83.402 237.212
689000 75.6097 79.7402 84.4401 239.79
690000 76.4118 80.687 85.6392 242.738
691000 77.332 81.4195 87.3299 246.081
692000 77.8931 82.6514 86.7668 247.311
693000 77.847 82.6822 86.6954 247.225
694000 78.7072 83.6663 88.2376 250.611
695000 78.6997 83.9688 88.866 251.535
696000 78.9326 84.8007 89.3215 253.055
697000 79.6737 86.0495 89.8224 255.546
698000 81.0005 87.4618 90.1964 258.659
699000 81.5545 87.98 89.5847 259.119
700000 82.5163 88.7302 90.2238 261.47
701000 84.1149 89.3439 91.3675 264.826
702000 84.9113 90.4434 91.9945 267.349
703000 85.0059 91.6731 92.8132 269.492
704000 84.9914 92.0694 93.326 270.387
705000 85.8859 93.2115 94.3435 273.441
706000 86.6987 93.5938 94.5198 274.812
707000 87.5452 94.6869 96.5182 278.75
708000 88.4834 94.9516 97.9202 281.355
709000 89.9379 95.7524 99.2064 284.897
710000 90.6362 96.1166 100.359 287.112
711000 91.0097 96.6778 101.073 288.761
712000 91.9244 98.2073 101.651 291.782
713000 92.6166 98.9617 102.639 294.217
714000 93.7754 100.256 103.697 297.728
715000 95.1055 100.528 104.196 299.829
716000 96.2229 101.535 104.74 302.498
717000 98.1117 102.813 105.795 306.72
718000 99.0028 103.218 105.924 308.144
719000 99.4848 103.697 105.847 309.029
720000 99.3727 104.42 106.655 310.448
721000 99.6307 104.515 107.223 311.369
722000 99.5969 106.076 108.683 314.355
723000 101.411 107.305 109.713 318.429
724000 101.672 108.335 110.087 320.094
725000 101.882 108.5 110.747 321.129
726000 101.99 109.81 112.017 323.817
727000 102.922 110.982 112.63 326.534
728000 104.823 111.716 113.616 330.156
729000 106.779 112.917 115.536 335.233
730000 106.619 113.272 116.483 336.375
731000 108.441 114.185 116.78 339.406
732000 108.97 114.818 116.608 340.396
733000 109.477 114.972 117.155 341.604
734000 110.274 116.92 119.073 346.267
735000 111.286 119.059 120.133 350.478
736000 111.487 120.103 121.035 352.625
737000 112.835 121.129 121.017 354.981
738000 113.641 122.749 122.357 358.747
739000 114.882 123.758 123.714 362.354
740000 115.649 124.921 123.689 364.259
741000 115.68 125.388 124.63 365.697
742000 116.967 125.931 126.284 369.182
743000 118.121 127.238 127.166 372.524
744000 118.776 128.193 128.405 375.374
745000 119.866 128.341 129.23 377.437
746000 120.685 129.744 129.65 380.08
747000 121.255 130.226 130.58 382.061
748000 122.296 131.473 131.82 385.588
749000 122.695 131.517 132.669 386.881
750000 123.546 132.543 133.617 389.706
751000 124.792 132.406 134.039 391.237
752000 125.654 133.113 134.183 392.95
753000 126.286 133.787 136.197 396.27
754000 126.706 134.145 136.549 397.4
755000 127.176 134.605 137.152 398.933
756000 128.475 134.397 137.38 400.253
757000 128.559 135.47 139.106 403.135
758000 129.536 136.585 139.946 406.067
759000 131.705 138.105 142.103 411.912
760000 132.765 139.163 144.112 416.04
761000 132.028 137.978 144.004 414.01
762000 133.023 139.101 145.166 417.29
763000 133.784 139.787 145.846 419.417
764000 134.379 141.433 146.142 421.955
765000 134.326 142.749 146.95 424.025
766000 136.099 145.178 148.142 429.42
767000 136.521 145.146 149.572 431.239
768000 137.512 145.478 150.576 433.566
769000 138.427 144.997 150.94 434.364
770000 138.724 145.439 150.843 435.006
771000 139.572 146.19 151.605 437.367
772000 142.47 148.499 153.149 444.118
773000 142.648 149.608 153.386 445.642
774000 143.329 149.118 154.389 446.837
775000 144.087 149.713 155.141 448.94
776000 144.827 150.728 155.915 451.47
777000 145.168 151.655 156.216 453.039
778000 145.741 152.671 156.42 454.833
779000 147.48 154.399 157.055 458.934
780000 148.918 154.617 157.757 461.293
781000 149.736 155.384 157.903 463.023
782000 150.42 155.251 159.665 465.335
783000 151.382 156.725 161.267 469.373
784000 152.077 156.436 163.237 471.75
785000 152.451 156.569 163.908 472.928
786000 154.984 158.145 164.301 477.431
787000 155.524 160.234 164.845 480.603
788000 156.041 160.591 164.947 481.579
789000 156.991 161.685 166.274 484.95
790000 157.76 163.396 167.144 488.3
791000 158.929 164.709 169.159 492.797
792000 159.437 164.387 169.98 493.804
793000 160.959 166.336 171.588 498.883
794000 161.761 166.38 171.877 500.019
795000 161.468 166.495 172.848 500.812
796000 161.044 166.945 173.237 501.226
797000 162.257 168.151 174.216 504.625
798000 163.358 168.873 174.617 506.847
799000 165.434 169.89 175.57 510.895
800000 167.731 172.822 177.415 517.968
801000 167.439 173.343 177.362 518.144
802000 167.654 173.579 176.672 517.904
803000 169.577 173.498 177.155 520.231
804000 172.067 174.513 179.505 526.086
805000 172.588 173.75 179.591 525.929
806000 173.968 174.157 178.343 526.468
807000 175.241 176.207 179.828 531.276
808000 177.621 178.294 181.242 537.157
809000 179.718 179.531 183.489 542.738
810000 180.241 180.081 184.09 544.411
811000 179.687 180.924 184.664 545.276
812000 180.202 181.346 185.172 546.72
813000 180.514 181.718 185.315 547.547
814000 181.844 183.958 185.646 551.448
815000 182.747 184.939 185.987 553.673
816000 184.188 184.857 187.516 556.561
817000 185.366 186.635 189.227 561.228
818000 186.156 189.799 190.869 566.824
819000 186.188 191.262 190.342 567.792
820000 186.706 193.491 190.861 571.059
821000 187.552 193.73 191.864 573.146
822000 188.709 193.765 193.325 575.799
823000 189.34 195.649 194.565 579.554
824000 191.062 195.969 194.288 581.318
825000 191.081 196.478 194.323 581.883
826000 189.55 194.975 193.928 578.452
827000 191.113 194.931 195.866 581.909
828000 192.329 195.925 197.66 585.913
829000 192.555 196.857 198.771 588.184
830000 194.114 197.289 199.451 590.853
831000 196.158 198.287 199.937 594.382
832000 197.267 198.761 201.673 597.701
833000 198.179 199.222 202.578 599.978
834000 199.282 200.095 203.543 602.92
835000 199.989 200.004 203.404 603.397
836000 201.23 201.106 203.676 606.012
837000 203.429 203.722 203.915 611.066
838000 204.743 203.486 204.187 612.415
839000 205.69 204.49 204.008 614.187
840000 207.644 206.089 204.545 618.278
841000 207.698 206.616 205.408 619.722
842000 210.035 208.383 208.422 626.84
843000 210.551 208.833 208.404 627.789
844000 210.993 208.471 209.759 629.222
845000 211.088 207.262 209.824 628.174
846000 212.812 209.328 210.715 632.855
847000 212.448 209.524 210.997 632.968
848000 213.394 210.854 210.703 634.951
849000 213.728 212.681 210.603 637.012
850000 215.012 213.352 210.233 638.597
851000 215.654 213.4 210.889 639.943
852000 217.48 215.288 212.551 645.319
853000 219.169 217.561 213.294 650.024
854000 219.892 218.98 214.498 653.37
855000 221.356 220.13 215.71 657.195
856000 222.002 221.536 216.912 660.451
857000 220.963 223.328 217.534 661.826
858000 221.943 224.954 218.258 665.155
859000 222.612 227.544 219.037 669.193
860000 223.276 227.605 218.299 669.18
861000 224.701 227.506 218.434 670.641
862000 226.144 227.334 218.802 672.28
863000 226.961 228.918 219.487 675.365
864000 228.28 231.122 221.634 681.035
865000 229.999 232.425 223.439 685.863
866000 231.518 233.458 224.849 689.826
867000 231.482 232.818 223.845 688.145
868000 234.659 233.787 225.19 693.636
869000 235.674 235.292 226.408 697.373
870000 235.343 235.225 225.6 696.168
871000 235.392 236.256 226.21 697.858
872000 237.379 238.088 227.537 703.005
873000 237.563 239.05 228.973 705.586
874000 236.333 239.25 229.613 705.196
875000 236.309 238.501 228.629 703.439
876000 236.066 239.048 229.73 704.843
877000 237.495 239.606 230.196 707.297
878000 238.951 240.775 231.083 710.809
879000 239.472 241.51 233.234 714.216
880000 239.541 243.228 235 717.77
881000 240.71 244.811 235.396 720.917
882000 242.443 245.442 237.04 724.925
883000 241.774 244.215 234.401 720.391
884000 241.244 244.756 235.187 721.186
885000 243.355 246.886 236.859 727.1
886000 244.621 248.342 237.409 730.372
887000 243.789 249.654 237.137 730.58
888000 244.538 248.714 237.863 731.115
889000 245.653 250.806 238.567 735.025
890000 246.158 251.761 240.265 738.184
891000 246.474 252.416 241.907 740.797
892000 248.144 254.04 242.259 744.444
893000 250.044 255.517 243.471 749.032
894000 249.216 254.777 243.747 747.74
895000 250.229 257.449 246.544 754.223
896000 251.486 258.584 248.869 758.939
