# Time-averaged data for fix rdf_CO_avg
# TimeStep Number-of-rows
# Row c_rdf_CO[1] c_rdf_CO[2] c_rdf_CO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0 0
37 2.99524 0.0379355 0.0116667
38 3.0773 0.116365 0.0494444
39 3.15936 0.360412 0.172778
40 3.24142 0.625633 0.398333
41 3.32348 0.866759 0.726667
42 3.40555 0.95088 1.105
43 3.48761 1.0337 1.53611
44 3.56967 0.948639 1.95056
45 3.65173 0.880709 2.35333
46 3.73379 0.815579 2.74333
47 3.81585 0.794107 3.14
48 3.89791 0.729249 3.52
49 3.97997 0.74062 3.92222
50 4.06204 0.790105 4.36944
51 4.1441 0.728138 4.79833
52 4.22616 0.804622 5.29111
53 4.30822 0.805691 5.80389
54 4.39028 0.830625 6.35278
55 4.47234 0.830783 6.92278
56 4.5544 0.812239 7.50056
57 4.63647 0.836675 8.11722
58 4.71853 0.825966 8.74778
59 4.80059 0.771934 9.35778
60 4.88265 0.777374 9.99333
61 4.96471 0.782066 10.6544
62 5.04677 0.722439 11.2856
63 5.12883 0.707105 11.9233
64 5.21089 0.698271 12.5733
65 5.29296 0.743622 13.2878
66 5.37502 0.718447 13.9994
67 5.45708 0.759102 14.775
68 5.53914 0.786557 15.6028
69 5.6212 0.774382 16.4417
70 5.70326 0.838417 17.3772
71 5.78532 0.878066 18.385
72 5.86739 0.898767 19.4461
73 5.94945 0.970878 20.6244
74 6.03151 1.01842 21.895
75 6.11357 0.988946 23.1628
76 6.19563 1.01005 24.4922
77 6.27769 1.00489 25.8506
78 6.35975 0.985344 27.2172
79 6.44181 1.01871 28.6667
80 6.52388 0.990106 30.1117
81 6.60594 1.01105 31.625
82 6.688 1.00579 33.1678
83 6.77006 1.01048 34.7561
84 6.85212 1.09581 36.5206
85 6.93418 1.03819 38.2322
86 7.01624 1.03607 39.9811
87 7.09831 1.06925 41.8289
88 7.18037 1.07704 43.7333
89 7.26243 1.07136 45.6706
90 7.34449 1.10265 47.7106
91 7.42655 1.10353 49.7978
92 7.50861 1.11399 51.9517
93 7.59067 1.09556 54.1161
94 7.67273 1.07615 56.2889
95 7.7548 1.08884 58.5344
96 7.83686 1.07468 60.7978
97 7.91892 1.11399 63.1928
98 8.00098 1.09393 65.5944
99 8.08304 1.14605 68.1628
100 8.1651 1.14549 70.7817
101 8.24716 1.15898 73.485
102 8.32923 1.16871 76.265
103 8.41129 1.17209 79.1089
104 8.49335 1.15444 81.965
105 8.57541 1.15376 84.8744
106 8.65747 1.16773 87.8756
107 8.73953 1.14262 90.8689
108 8.82159 1.16648 93.9822
109 8.90365 1.16168 97.14
110 8.98572 1.15428 100.336
111 9.06778 1.15573 103.594
112 9.14984 1.14201 106.873
113 9.2319 1.10531 110.103
114 9.31396 1.09566 113.363
115 9.39602 1.07633 116.621
116 9.47808 1.04985 119.855
117 9.56015 1.05668 123.167
118 9.64221 1.02252 126.427
119 9.72427 1.01571 129.72
120 9.80633 1.01596 133.071
121 9.88839 1.0029 136.433
122 9.97045 0.977624 139.766
123 10.0525 0.994354 143.211
124 10.1346 0.994623 146.714
125 10.2166 0.987609 150.249
126 10.2987 0.991282 153.854
127 10.3808 0.976261 157.462
128 10.4628 1.01628 161.277
129 10.5449 1.01405 165.144
130 10.6269 1.00598 169.039
131 10.709 1.03297 173.103
132 10.7911 1.02625 177.201
133 10.8731 1.0185 181.33
134 10.9552 1.04108 185.615
135 11.0372 1.02329 189.889
136 11.1193 1.05436 194.359
137 11.2014 1.06427 198.938
138 11.2834 1.05058 203.525
139 11.3655 1.05019 208.177
140 11.4476 1.04565 212.877
141 11.5296 1.06665 217.739
142 11.6117 1.05487 222.617
143 11.6937 1.05864 227.581
144 11.7758 1.0284 232.471
145 11.8579 1.03087 237.442
146 11.9399 1.02519 242.453
147 12.022 1.03152 247.566
148 12.104 1.02226 252.701
149 12.1861 1.02353 257.913
150 12.2682 1.02746 263.217
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0.0019198 0.000555556
37 2.99524 0.014504 0.005
38 3.0773 0.091169 0.0344444
39 3.15936 0.430897 0.181111
40 3.24142 0.636991 0.409444
41 3.32348 0.914231 0.753889
42 3.40555 1.00971 1.15333
43 3.48761 0.958633 1.55111
44 3.56967 0.939502 1.95944
45 3.65173 0.892909 2.36556
46 3.73379 0.81657 2.75389
47 3.81585 0.768413 3.13556
48 3.89791 0.757969 3.52833
49 3.97997 0.724073 3.91944
50 4.06204 0.832051 4.38778
51 4.1441 0.774942 4.84167
52 4.22616 0.771693 5.31167
53 4.30822 0.808098 5.82333
54 4.39028 0.820458 6.36278
55 4.47234 0.815931 6.91944
56 4.5544 0.829328 7.50611
57 4.63647 0.812977 8.10222
58 4.71853 0.822971 8.72722
59 4.80059 0.770916 9.33333
60 4.88265 0.790458 9.97611
61 4.96471 0.763251 10.6178
62 5.04677 0.736766 11.2578
63 5.12883 0.728788 11.9117
64 5.21089 0.71741 12.5761
65 5.29296 0.809288 13.3494
66 5.37502 0.719351 14.0583
67 5.45708 0.75468 14.825
68 5.53914 0.775573 15.6367
69 5.6212 0.784561 16.4822
70 5.70326 0.827654 17.4006
71 5.78532 0.88812 18.4144
72 5.86739 0.898853 19.47
73 5.94945 0.936037 20.6
74 6.03151 0.946586 21.7744
75 6.11357 0.993988 23.0417
76 6.19563 1.00443 24.3567
77 6.27769 1.03983 25.7544
78 6.35975 0.997848 27.1311
79 6.44181 1.04289 28.6072
80 6.52388 0.994156 30.0506
81 6.60594 1.02316 31.5733
82 6.688 1.01202 33.1172
83 6.77006 1.0256 34.7206
84 6.85212 1.04759 36.3983
85 6.93418 1.06452 38.1444
86 7.01624 1.09022 39.975
87 7.09831 1.06903 41.8122
88 7.18037 1.07727 43.7067
89 7.26243 1.02951 45.5589
90 7.34449 1.07043 47.5283
91 7.42655 1.08233 49.5644
92 7.50861 1.09258 51.6656
93 7.59067 1.11137 53.8494
94 7.67273 1.08095 56.02
95 7.7548 1.06437 58.2033
96 7.83686 1.11863 60.5467
97 7.91892 1.11558 62.9328
98 8.00098 1.08323 65.2978
99 8.08304 1.12284 67.8
100 8.1651 1.13155 70.3733
101 8.24716 1.11017 72.9489
102 8.32923 1.16006 75.6939
103 8.41129 1.16097 78.4956
104 8.49335 1.14421 81.3111
105 8.57541 1.17086 84.2483
106 8.65747 1.14587 87.1778
107 8.73953 1.16199 90.205
108 8.82159 1.16652 93.3017
109 8.90365 1.17375 96.4756
110 8.98572 1.13974 99.6144
111 9.06778 1.14318 102.821
112 9.14984 1.1147 106.004
113 9.2319 1.08619 109.162
114 9.31396 1.06282 112.307
115 9.39602 1.07935 115.557
116 9.47808 1.05486 118.789
117 9.56015 0.990784 121.878
118 9.64221 1.01901 125.11
119 9.72427 1.01706 128.391
120 9.80633 0.993128 131.648
121 9.88839 0.980942 134.92
122 9.97045 0.970394 138.211
123 10.0525 0.978675 141.584
124 10.1346 0.973054 144.993
125 10.2166 0.970853 148.449
126 10.2987 0.968068 151.952
127 10.3808 0.991908 155.598
128 10.4628 1.01213 159.377
129 10.5449 0.988859 163.128
130 10.6269 0.975532 166.886
131 10.709 1.02197 170.883
132 10.7911 1.02064 174.937
133 10.8731 1.02401 179.066
134 10.9552 1.00445 183.178
