# Time-averaged data for fix thermo_detailed
# TimeStep v_temp v_press v_pe v_ke v_vol v_dens
600100 301.642 -31.2002 -21572.4 3374.46 53729.7 1.06175
600200 297.793 221.674 -21649.5 3331.41 53788.3 1.06059
600300 300.371 -193.951 -21694.2 3360.24 53998.3 1.05647
600400 303.223 15.4372 -21593.1 3392.15 53979.3 1.05684
600500 302.377 -116.087 -21637.1 3382.69 53907.5 1.05825
600600 296.868 -103.611 -21621.8 3321.06 53718.6 1.06197
600700 303.875 367.504 -21617.6 3399.44 53467.6 1.06696
600800 298.707 -83.7323 -21641.7 3341.63 53597.6 1.06437
600900 300.224 -394.692 -21614.5 3358.6 53801 1.06034
601000 298.813 363.875 -21579.5 3342.81 53602.4 1.06427
601100 300.388 38.9811 -21619.4 3360.44 53642.5 1.06348
601200 296.78 -332.386 -21625.5 3320.08 53714.8 1.06205
601300 301.289 88.4119 -21585 3370.51 53473.8 1.06683
601400 301.738 304.282 -21666.8 3375.54 53476.7 1.06677
601500 297.768 -137.776 -21647.1 3331.13 53750.3 1.06134
601600 301.073 -83.7799 -21639.8 3368.1 54059 1.05529
601700 295.439 -578.277 -21668 3305.07 54108.2 1.05433
601800 301.007 460.854 -21591.7 3367.36 53521.1 1.06589
601900 301.461 264.05 -21650.3 3372.44 53543.5 1.06545
602000 299.162 -244.444 -21669.9 3346.72 53995.7 1.05652
602100 300.871 4.22754 -21649.3 3365.84 54124.3 1.05401
602200 299.385 112.984 -21680.6 3349.22 54164.3 1.05323
602300 297.403 -251.991 -21713.1 3327.04 54255.6 1.05146
602400 302.2 244.711 -21658.7 3380.7 54255.3 1.05146
602500 300.222 -434.078 -21675.3 3358.58 54319.2 1.05023
602600 300.167 104.44 -21686.7 3357.96 54021.3 1.05602
602700 299.735 93.4972 -21665.9 3353.12 53773.5 1.06088
602800 301.547 -90.2745 -21618.6 3373.4 53803.5 1.06029
602900 303.671 29.7411 -21593.1 3397.17 53786.6 1.06063
603000 300.307 166.241 -21707.8 3359.53 53802.6 1.06031
603100 297.385 -163.651 -21703.3 3326.83 53903.3 1.05833
603200 303.537 157.069 -21649.3 3395.66 53812.1 1.06012
603300 299.619 80.5191 -21649.8 3351.83 53894.8 1.0585
603400 302.107 -132.881 -21686.2 3379.66 54007.6 1.05629
603500 296.178 12.9649 -21718.2 3313.34 53986.6 1.0567
603600 302.584 254.126 -21727 3385.01 53949.3 1.05743
603700 296.651 -414.332 -21669.9 3318.63 54194.5 1.05264
603800 297.752 85.9822 -21730.2 3330.94 54113 1.05423
603900 301.801 396.691 -21688.9 3376.24 53997.7 1.05648
604000 303.544 -155.915 -21580 3395.74 54402.1 1.04863
604100 299.752 -442.827 -21573.1 3353.32 54656 1.04375
604200 299.72 109.469 -21650.6 3352.96 54393.1 1.0488
604300 298.961 102.46 -21734.6 3344.47 54111.6 1.05426
604400 297.257 156.271 -21786 3325.41 54000.1 1.05643
604500 301.378 -74.4198 -21783.2 3371.51 54142.5 1.05366
604600 298.703 -160.095 -21736 3341.58 54328.1 1.05005
604700 301.283 -62.6676 -21613.8 3370.45 54354.6 1.04954
604800 300.736 -9.55397 -21661 3364.33 54242.1 1.05172
604900 300.744 -189.901 -21666 3364.42 53919.6 1.05802
605000 301.145 545.605 -21705.3 3368.9 53504.8 1.06621
605100 298.612 -128.424 -21769.2 3340.57 53566.1 1.06499
605200 300.835 128.818 -21675.2 3365.43 53641.9 1.06349
605300 301.143 -267.661 -21666.4 3368.89 53898.3 1.05843
605400 298.258 21.8793 -21757.7 3336.6 53820.9 1.05995
605500 301.815 77.7052 -21722.5 3376.4 53647.1 1.06338
605600 300.325 56.2912 -21680.8 3359.73 53704.9 1.06224
605700 296.376 -211.633 -21731 3315.56 53852.2 1.05933
605800 301.39 80.4976 -21707.7 3371.65 53725.7 1.06183
605900 298.349 -83.9451 -21716.8 3337.62 53501.3 1.06628
606000 303.091 666.889 -21728.1 3390.68 53380.1 1.0687
606100 301.232 -367.925 -21675 3369.87 53837.7 1.05963
606200 298.433 -281.477 -21727.8 3338.56 53998.9 1.05646
606300 303.177 420.727 -21636.4 3391.63 53831.4 1.05974
606400 302.088 -252.099 -21627.9 3379.46 54032.9 1.05579
606500 299.052 -185.237 -21666.5 3345.49 53968.4 1.05705
606600 305.397 396.715 -21656.1 3416.47 53677.2 1.06279
606700 302.626 37.0813 -21542.3 3385.47 53807 1.06023
606800 297.097 -650.628 -21599.4 3323.62 54008.3 1.05627
606900 302.986 645.976 -21675.3 3389.49 53561 1.0651
607000 297.322 150.99 -21738.1 3326.14 53566.3 1.06499
607100 297.715 3.91725 -21714.1 3330.53 53701.5 1.06231
607200 299.748 -58.0947 -21622.1 3353.27 53779 1.06078
607300 303.003 264.057 -21608.6 3389.68 53806.3 1.06024
607400 298.235 -64.0262 -21642.2 3336.35 54040.7 1.05564
607500 301.272 -176.839 -21632.1 3370.32 54193 1.05267
607600 300.269 -213.13 -21644.7 3359.1 54082.8 1.05482
607700 298.186 271.684 -21704.1 3335.81 53776.7 1.06082
607800 299.337 -73.3826 -21680.8 3348.68 53754.6 1.06126
607900 303.856 -150.606 -21633.9 3399.23 53707.1 1.06219
608000 298.623 1.52639 -21693.6 3340.69 53638 1.06356
608100 300.203 344.536 -21722 3358.37 53507.1 1.06617
608200 302.753 -1.6958 -21651.5 3386.89 53702.4 1.06229
608300 300.609 -180.735 -21629.7 3362.9 53909.7 1.0582
608400 295.719 126.08 -21682.8 3308.2 53918.2 1.05804
608500 300.239 -453.95 -21645.6 3358.77 53912.1 1.05816
608600 302.076 403.198 -21665.1 3379.32 53614.6 1.06403
608700 298.308 -455.314 -21750 3337.17 53619.5 1.06393
608800 301.516 155.871 -21688.1 3373.05 53413.7 1.06803
608900 298.781 -42.2499 -21699.9 3342.46 53279.8 1.07071
609000 296.093 161.676 -21827.2 3312.39 53111.2 1.07411
609100 298.658 -9.38903 -21779.2 3341.08 53192.3 1.07248
609200 300.977 -1.79424 -21778.9 3367.03 53202.7 1.07227
609300 295.571 39.5879 -21781 3306.55 53254.4 1.07123
609400 299.873 -20.0664 -21663.3 3354.68 53390.7 1.06849
609500 299.856 39.2512 -21586.6 3354.49 53506 1.06619
609600 301.399 -153.849 -21652.6 3371.74 53528.1 1.06575
609700 298.456 231.982 -21737.1 3338.83 53541.4 1.06548
609800 301.717 -20.5511 -21660.7 3375.31 53733.2 1.06168
609900 301.987 -48.6118 -21611.1 3378.32 53916.1 1.05808
610000 298.968 -150.753 -21681 3344.55 53963.8 1.05714
610100 299.632 100.429 -21662.6 3351.98 53778.7 1.06078
610200 301.558 -71.213 -21669.3 3373.53 53651.3 1.0633
610300 297.076 -52.057 -21619.1 3323.38 53548.9 1.06534
610400 304.236 86.3529 -21620.3 3403.48 53421.2 1.06788
610500 301.098 -143.115 -21664.3 3368.38 53327.4 1.06976
610600 298.87 404.742 -21718.2 3343.45 53147.8 1.07337
610700 295.474 -43.5309 -21755.8 3305.47 53444.8 1.06741
610800 299.924 -27.5406 -21720.5 3355.24 53675.8 1.06282
610900 298.709 -298.294 -21704.4 3341.65 53805.5 1.06025
611000 302.67 353.35 -21654.6 3385.96 53767.8 1.061
611100 300.555 -191.657 -21679.3 3362.3 54008.3 1.05628
611200 298.676 -300.69 -21737.5 3341.28 54142.3 1.05366
611300 300.823 191.139 -21710.9 3365.3 53889.1 1.05861
611400 304.206 185.155 -21658 3403.14 53808.9 1.06019
611500 301.024 -215.223 -21736.4 3367.55 53864.6 1.05909
611600 300.87 55.2504 -21744.2 3365.83 53771.5 1.06092
611700 300.141 92.8437 -21688.7 3357.67 53686.3 1.06261
611800 303.777 -145.659 -21634.2 3398.35 53676.6 1.0628
611900 298.654 -1.71328 -21701.6 3341.04 53763.4 1.06109
612000 301.039 -73.5545 -21698.7 3367.72 53835.1 1.05967
612100 300.09 -264.063 -21750.5 3357.11 53712.8 1.06208
612200 297.854 94.1237 -21757.5 3332.09 53393.2 1.06845
612300 301.498 353.065 -21692.4 3372.86 53341 1.06949
612400 297.721 -182.471 -21618.6 3330.6 53739 1.06157
612500 301.265 -171.102 -21556.7 3370.24 53935 1.05771
612600 302.956 -137.169 -21622.1 3389.17 53861.4 1.05915
612700 299.45 -72.1284 -21679.9 3349.94 53673.8 1.06286
612800 301.764 -3.7309 -21680 3375.82 53588.4 1.06455
612900 302.057 229.528 -21592.4 3379.11 53553.4 1.06525
613000 300.715 -249.388 -21642.7 3364.09 53708.7 1.06216
613100 297.646 -264.207 -21736.4 3329.77 53563.4 1.06505
613200 298.723 590.425 -21732 3341.81 53213.5 1.07205
613300 301.763 39.3462 -21653.5 3375.81 53464.3 1.06703
613400 304.19 -281.383 -21628.9 3402.97 53739.9 1.06155
613500 300.806 -100.865 -21601.3 3365.11 53766.3 1.06103
613600 299.808 100.104 -21661.3 3353.94 53695.4 1.06243
613700 302.489 -250.272 -21601.9 3383.94 53670 1.06293
613800 302.48 150.408 -21631 3383.83 53634.9 1.06363
613900 296.928 -56.8495 -21637.8 3321.73 53854.7 1.05928
614000 301.515 -15.2763 -21585.3 3373.04 53971.2 1.057
614100 300.005 -331.711 -21577.4 3356.15 54271.7 1.05115
614200 305.147 -155.472 -21550.1 3413.67 54267.3 1.05124
614300 305.029 169.594 -21501.7 3412.35 54006.7 1.0563
614400 301.608 232.772 -21597.4 3374.09 53939.9 1.05761
614500 298.821 -415.031 -21622.1 3342.91 54056 1.05534
614600 300.869 317.63 -21656 3365.82 54040.4 1.05565
614700 294.502 -652.326 -21655.6 3294.59 54260.6 1.05136
614800 301.678 221.584 -21632 3374.87 53897.3 1.05846
614900 298.949 363.733 -21702.7 3344.33 53575.1 1.06481
615000 297.629 -221.719 -21753.9 3329.57 53875.1 1.05889
615100 301.05 152.103 -21664.4 3367.84 53981.7 1.05679
615200 299.432 -57.8173 -21706.7 3349.74 54114.3 1.05421
615300 301.875 -62.4359 -21714.9 3377.07 54273.4 1.05111
615400 304.108 -154.754 -21622.9 3402.05 54161.3 1.05329
615500 300.122 250.185 -21658.3 3357.46 53905.7 1.05828
615600 300.502 -30.9097 -21702.6 3361.71 53928.5 1.05784
615700 300.232 55.1624 -21716 3358.69 54167 1.05318
615800 299.062 -111.045 -21725.3 3345.6 54409.6 1.04848
615900 303.035 -157.39 -21718.7 3390.05 54435.3 1.04799
616000 299.993 143.24 -21697.3 3356.01 54196.6 1.0526
616100 298.767 -36.549 -21730.7 3342.3 53880.3 1.05879
616200 302.839 555.242 -21644.9 3387.85 53496.3 1.06638
616300 299.675 -458.922 -21616.4 3352.46 53710.4 1.06213
616400 303.415 313.517 -21569.4 3394.29 53636.1 1.0636
616500 303.392 16.9893 -21629 3394.04 53723.9 1.06187
616600 299.313 -302.209 -21673.8 3348.41 54005.3 1.05633
616700 299.377 -36.6493 -21652.9 3349.12 53959.6 1.05723
616800 304.924 114.036 -21700 3411.18 53720.8 1.06193
616900 298.672 68.6634 -21749.4 3341.24 53706.9 1.0622
617000 300.621 68.3435 -21672.8 3363.05 53933 1.05775
617100 301.817 -18.9334 -21656.9 3376.42 54102 1.05444
617200 301.845 -178.051 -21739.3 3376.73 54165.7 1.0532
