# Time-averaged data for fix rdf_CO_avg
# TimeStep Number-of-rows
# Row c_rdf_CO[1] c_rdf_CO[2] c_rdf_CO[3]
610000 150
57 4.63647 0.477473 3.67778
58 4.71853 0.490717 4.03778
59 4.80059 0.483593 4.405
60 4.88265 0.481668 4.78333
61 4.96471 0.494502 5.185
62 5.04677 0.519481 5.62111
63 5.12883 0.519803 6.07167
64 5.21089 0.512753 6.53056
65 5.29296 0.520711 7.01111
66 5.37502 0.524508 7.51056
67 5.45708 0.516317 8.01722
68 5.53914 0.538516 8.56167
69 5.6212 0.558748 9.14333
70 5.70326 0.579347 9.76444
71 5.78532 0.527352 10.3461
72 5.86739 0.592098 11.0178
73 5.94945 0.562993 11.6744
74 6.03151 0.612174 12.4083
75 6.11357 0.580156 13.1228
76 6.19563 0.595624 13.8761
77 6.27769 0.608753 14.6667
78 6.35975 0.629476 15.5056
79 6.44181 0.644729 16.3872
80 6.52388 0.651609 17.3011
81 6.60594 0.654507 18.2422
82 6.688 0.667683 19.2267
83 6.77006 0.702586 20.2878
84 6.85212 0.678615 21.3378
85 6.93418 0.71061 22.4639
86 7.01624 0.692765 23.5878
87 7.09831 0.699914 24.75
88 7.18037 0.717123 25.9683
89 7.26243 0.755745 27.2817
90 7.34449 0.75624 28.6256
91 7.42655 0.747944 29.985
92 7.50861 0.773651 31.4222
93 7.59067 0.763573 32.8722
94 7.67273 0.772847 34.3717
95 7.7548 0.792876 35.9428
96 7.83686 0.771866 37.505
97 7.91892 0.826188 39.2122
98 8.00098 0.806129 40.9128
99 8.08304 0.810985 42.6589
100 8.1651 0.842088 44.5089
101 8.24716 0.811374 46.3272
102 8.32923 0.822435 48.2072
103 8.41129 0.851082 50.1917
104 8.49335 0.822662 52.1472
105 8.57541 0.864628 54.2422
106 8.65747 0.882854 56.4228
107 8.73953 0.865528 58.6011
108 8.82159 0.893218 60.8917
109 8.90365 0.866707 63.1556
110 8.98572 0.868398 65.4661
111 9.06778 0.903137 67.9133
112 9.14984 0.880207 70.3417
113 9.2319 0.891257 72.8444
114 9.31396 0.879936 75.36
115 9.39602 0.930226 78.0661
116 9.47808 0.885648 80.6878
117 9.56015 0.89468 83.3822
118 9.64221 0.890338 86.1094
119 9.72427 0.900112 88.9144
120 9.80633 0.87324 91.6817
121 9.88839 0.896333 94.5694
122 9.97045 0.896771 97.5072
123 10.0525 0.911552 100.542
124 10.1346 0.89346 103.566
125 10.2166 0.867168 106.549
126 10.2987 0.892563 109.668
127 10.3808 0.895749 112.849
128 10.4628 0.906026 116.117
129 10.5449 0.890787 119.381
130 10.6269 0.907231 122.757
131 10.709 0.89866 126.153
132 10.7911 0.922128 129.692
133 10.8731 0.900479 133.199
134 10.9552 0.892848 136.731
135 11.0372 0.921426 140.429
136 11.1193 0.920585 144.18
137 11.2014 0.906239 147.927
138 11.2834 0.935678 151.853
139 11.3655 0.930037 155.811
140 11.4476 0.922539 159.794
141 11.5296 0.923772 163.841
142 11.6117 0.956179 168.089
143 11.6937 0.955178 172.393
144 11.7758 0.95655 176.764
145 11.8579 0.948746 181.161
146 11.9399 0.949744 185.622
147 12.022 0.974509 190.263
148 12.104 0.957846 194.887
149 12.1861 0.966416 199.616
150 12.2682 0.964457 204.399
630000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0.00253181 0.000555556
33 2.66699 0.00947105 0.00277778
34 2.74905 0.0356672 0.0116667
35 2.83112 0.0629514 0.0283333
36 2.91318 0.0833368 0.0516667
37 2.99524 0.106892 0.0833333
38 3.0773 0.174454 0.137778
39 3.15936 0.204106 0.205
40 3.24142 0.195468 0.272778
41 3.32348 0.218035 0.352222
42 3.40555 0.27154 0.456111
43 3.48761 0.267123 0.563333
44 3.56967 0.302609 0.690556
45 3.65173 0.291742 0.818889
46 3.73379 0.333391 0.972222
47 3.81585 0.360749 1.14556
48 3.89791 0.357905 1.325
49 3.97997 0.386849 1.52722
50 4.06204 0.379631 1.73389
51 4.1441 0.404928 1.96333
52 4.22616 0.397762 2.19778
53 4.30822 0.390851 2.43722
54 4.39028 0.4734 2.73833
55 4.47234 0.436941 3.02667
56 4.5544 0.450424 3.335
57 4.63647 0.465154 3.665
58 4.71853 0.477065 4.01556
59 4.80059 0.478461 4.37944
60 4.88265 0.49021 4.765
61 4.96471 0.451552 5.13222
62 5.04677 0.487685 5.54222
63 5.12883 0.524789 5.99778
64 5.21089 0.505297 6.45056
65 5.29296 0.534227 6.94444
66 5.37502 0.512049 7.43278
67 5.45708 0.498588 7.92278
68 5.53914 0.505986 8.435
69 5.6212 0.552036 9.01056
70 5.70326 0.56214 9.61389
71 5.78532 0.55554 10.2272
72 5.86739 0.549143 10.8511
73 5.94945 0.585181 11.5344
74 6.03151 0.597386 12.2517
75 6.11357 0.598662 12.99
76 6.19563 0.585955 13.7322
77 6.27769 0.617022 14.5344
78 6.35975 0.620093 15.3622
79 6.44181 0.675105 16.2867
80 6.52388 0.667281 17.2239
81 6.60594 0.659316 18.1733
82 6.688 0.691958 19.1944
83 6.77006 0.670093 20.2078
84 6.85212 0.699917 21.2922
85 6.93418 0.701023 22.4044
86 7.01624 0.695943 23.535
87 7.09831 0.70369 24.705
88 7.18037 0.710391 25.9133
89 7.26243 0.750531 27.2194
90 7.34449 0.751515 28.5572
91 7.42655 0.732861 29.8911
92 7.50861 0.755286 31.2961
93 7.59067 0.767325 32.755
94 7.67273 0.753047 34.2178
95 7.7548 0.749128 35.7044
96 7.83686 0.801091 37.3278
97 7.91892 0.794998 38.9728
98 8.00098 0.833453 40.7333
99 8.08304 0.807365 42.4739
100 8.1651 0.833738 44.3078
101 8.24716 0.819584 46.1472
102 8.32923 0.828717 48.0444
103 8.41129 0.810266 49.9361
104 8.49335 0.838098 51.9311
105 8.57541 0.878461 54.0628
106 8.65747 0.834221 56.1261
