# Time-averaged data for fix rdf_OO_avg
# TimeStep Number-of-rows
# Row c_rdf_OO[1] c_rdf_OO[2] c_rdf_OO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0.000568074 0.000111919
31 2.50287 0.0350113 0.0074986
32 2.58493 0.536959 0.128148
33 2.66699 2.05418 0.619474
34 2.74905 3.15964 1.42227
35 2.83112 3.04855 2.24387
36 2.91318 2.24598 2.88483
37 2.99524 1.52557 3.34505
38 3.0773 1.09945 3.69513
39 3.15936 0.910939 4.00078
40 3.24142 0.816055 4.28909
41 3.32348 0.76931 4.57482
42 3.40555 0.796594 4.88551
43 3.48761 0.802592 5.21377
44 3.56967 0.824924 5.56721
45 3.65173 0.881119 5.96228
46 3.73379 0.939996 6.40291
47 3.81585 0.932863 6.85965
48 3.89791 1.01757 7.37952
49 3.97997 1.01249 7.91875
50 4.06204 1.02769 8.48886
51 4.1441 1.09065 9.11863
52 4.22616 1.11235 9.78668
53 4.30822 1.14154 10.4992
54 4.39028 1.14263 11.2397
55 4.47234 1.13283 12.0016
56 4.5544 1.13141 12.7906
57 4.63647 1.12075 13.6007
58 4.71853 1.11494 14.4354
59 4.80059 1.07749 15.2702
60 4.88265 1.05614 16.1168
61 4.96471 1.01423 16.9574
62 5.04677 1.00543 17.8182
63 5.12883 0.983317 18.688
64 5.21089 0.954191 19.559
65 5.29296 0.937901 20.4425
66 5.37502 0.908192 21.3247
67 5.45708 0.927517 22.2535
68 5.53914 0.880339 23.1616
69 5.6212 0.883342 24.1001
70 5.70326 0.899924 25.0842
71 5.78532 0.912577 26.1111
72 5.86739 0.89801 27.1505
73 5.94945 0.926016 28.2526
74 6.03151 0.952234 29.4173
75 6.11357 0.964874 30.6299
76 6.19563 0.997728 31.9176
77 6.27769 0.998492 33.2407
78 6.35975 1.03431 34.6473
79 6.44181 1.03976 36.0979
80 6.52388 1.05166 37.6029
81 6.60594 1.05478 39.1506
82 6.688 1.05505 40.7374
83 6.77006 1.06713 42.3819
84 6.85212 1.06637 44.0652
85 6.93418 1.03976 45.7463
86 7.01624 1.0567 47.4952
87 7.09831 1.05032 49.2747
88 7.18037 1.02206 51.0466
89 7.26243 1.03457 52.8811
90 7.34449 1.02259 54.7358
91 7.42655 1.01245 56.6132
92 7.50861 1.00794 58.5238
93 7.59067 1.00069 60.4623
94 7.67273 0.989645 62.4213
95 7.7548 0.975321 64.3934
96 7.83686 0.989798 66.4374
97 7.91892 0.972817 68.4885
98 8.00098 0.971694 70.5799
99 8.08304 0.97024 72.7114
100 8.1651 0.976528 74.9003
101 8.24716 0.991149 77.1669
102 8.32923 0.985927 79.4666
103 8.41129 0.994972 81.8334
104 8.49335 0.978944 84.2077
105 8.57541 0.998101 86.6755
106 8.65747 0.998676 89.1919
107 8.73953 0.999585 91.759
108 8.82159 0.991281 94.3527
109 8.90365 0.99708 97.0102
110 8.98572 0.999962 99.725
111 9.06778 1.00575 102.506
112 9.14984 1.00887 105.345
113 9.2319 1.00997 108.24
114 9.31396 0.99536 111.143
115 9.39602 0.990526 114.083
116 9.47808 0.998027 117.098
117 9.56015 0.991261 120.144
118 9.64221 1.00454 123.284
119 9.72427 0.997627 126.456
120 9.80633 0.99655 129.678
121 9.88839 0.993521 132.944
122 9.97045 0.998357 136.281
123 10.0525 0.999764 139.678
124 10.1346 1.01112 143.17
125 10.2166 1.01178 146.721
126 10.2987 1.00359 150.299
127 10.3808 1.0024 153.931
128 10.4628 0.997457 157.602
129 10.5449 0.996094 161.326
130 10.6269 1.00559 165.145
131 10.709 1.00076 169.003
132 10.7911 1.00769 172.949
133 10.8731 1.0031 176.936
134 10.9552 0.990012 180.931
135 11.0372 1.00211 185.035
136 11.1193 1.0004 189.194
137 11.2014 1.00186 193.42
138 11.2834 1.00558 197.725
139 11.3655 1.0033 202.082
140 11.4476 0.997821 206.479
141 11.5296 0.99717 210.936
142 11.6117 0.998783 215.464
143 11.6937 0.991851 220.024
144 11.7758 0.986728 224.625
145 11.8579 0.990705 229.308
146 11.9399 1.00237 234.113
147 12.022 0.995227 238.949
148 12.104 1.00153 243.883
149 12.1861 0.991398 248.833
150 12.2682 1.00028 253.894
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0.001715 0.000335758
31 2.50287 0.0426389 0.00928931
32 2.58493 0.572103 0.137213
33 2.66699 2.05515 0.626637
34 2.74905 3.1527 1.42406
35 2.83112 3.04312 2.24063
36 2.91318 2.23377 2.87521
37 2.99524 1.52961 3.33464
38 3.0773 1.08244 3.67778
39 3.15936 0.89149 3.97571
40 3.24142 0.802935 4.2582
41 3.32348 0.790637 4.55064
42 3.40555 0.771186 4.85003
43 3.48761 0.83381 5.18959
44 3.56967 0.842362 5.54896
45 3.65173 0.882304 5.94281
46 3.73379 0.924263 6.37426
47 3.81585 0.952384 6.8385
48 3.89791 0.970919 7.3324
49 3.97997 0.986745 7.85562
50 4.06204 1.0419 8.43111
51 4.1441 1.07407 9.04868
52 4.22616 1.09723 9.70464
53 4.30822 1.15122 10.4198
54 4.39028 1.1536 11.1642
55 4.47234 1.1603 11.941
56 4.5544 1.14632 12.737
57 4.63647 1.12615 13.5473
58 4.71853 1.08745 14.3578
59 4.80059 1.06509 15.1793
60 4.88265 1.03735 16.0071
61 4.96471 1.05533 16.8777
62 5.04677 0.99787 17.7285
63 5.12883 0.968199 18.581
64 5.21089 0.960955 19.4544
65 5.29296 0.9371 20.3332
66 5.37502 0.914436 21.2177
67 5.45708 0.900407 22.1153
68 5.53914 0.887603 23.0269
69 5.6212 0.895087 23.9736
70 5.70326 0.901468 24.9552
71 5.78532 0.898447 25.9619
72 5.86739 0.92296 27.0257
73 5.94945 0.940397 28.14
74 6.03151 0.96051 29.3098
75 6.11357 0.957318 30.5074
76 6.19563 0.994189 31.7849
77 6.27769 1.021 33.132
78 6.35975 1.00933 34.4985
79 6.44181 1.04138 35.945
80 6.52388 1.04714 37.437
81 6.60594 1.05209 38.9739
82 6.688 1.06829 40.5736
83 6.77006 1.0429 42.1737
84 6.85212 1.06044 43.8403
85 6.93418 1.06371 45.5524
86 7.01624 1.04574 47.2755
87 7.09831 1.04995 49.0464
88 7.18037 1.04191 50.8448
89 7.26243 1.01785 52.642
90 7.34449 1.01077 54.467
91 7.42655 1.00823 56.3284
92 7.50861 0.987769 58.1925
93 7.59067 0.974191 60.0715
94 7.67273 0.983475 62.0097
95 7.7548 0.989438 64.0017
96 7.83686 0.991193 66.0396
97 7.91892 0.984993 68.1072
98 8.00098 0.981528 70.2105
99 8.08304 0.976251 72.3456
100 8.1651 0.976924 74.5258
101 8.24716 0.989968 76.7795
102 8.32923 0.982867 79.062
103 8.41129 0.997645 81.4246
104 8.49335 0.991673 83.8191
105 8.57541 0.999628 86.2798
106 8.65747 0.995333 88.7769
107 8.73953 0.985063 91.2956
108 8.82159 0.999639 93.8996
109 8.90365 1.00177 96.5579
110 8.98572 1.00038 99.2618
111 9.06778 1.00124 102.018
112 9.14984 0.995149 104.807
113 9.2319 1.00535 107.675
114 9.31396 1.01093 110.611
115 9.39602 1.0002 113.567
116 9.47808 0.99163 116.549
117 9.56015 1.00149 119.613
118 9.64221 1.00105 122.728
119 9.72427 0.993933 125.875
120 9.80633 0.99986 129.093
121 9.88839 1.00852 132.394
122 9.97045 0.991295 135.693
123 10.0525 0.998535 139.071
124 10.1346 0.99614 142.496
125 10.2166 1.00255 145.999
126 10.2987 0.992973 149.524
127 10.3808 1.00373 153.145
128 10.4628 0.995146 156.791
