# Time-averaged data for fix thermo_detailed
# TimeStep v_temp v_press v_pe v_ke v_vol v_dens
600100 302.231 -43.7205 -20631.4 3381.05 54929.6 1.03856
600200 298.852 -150.708 -20720.7 3343.25 54858.7 1.0399
600300 298.548 54.5359 -20727.5 3339.85 54778.4 1.04142
600400 303.091 -2.60599 -20651.5 3390.67 54814.8 1.04073
600500 300.262 -19.9503 -20706 3359.03 54878 1.03953
600600 297.557 46.5645 -20735.3 3328.77 54939.4 1.03837
600700 302.151 -58.481 -20668.4 3380.16 55185.7 1.03374
600800 298.453 -187.722 -20653.1 3338.79 55212.7 1.03323
600900 304.258 231.664 -20623.9 3403.73 55102.5 1.0353
601000 298.659 83.0234 -20599 3341.09 55258.3 1.03238
601100 302.738 -76.3517 -20656.8 3386.72 55424.5 1.02928
601200 297.621 -330.218 -20594.5 3329.48 55524.5 1.02743
601300 303.309 321.638 -20587.4 3393.11 55383.8 1.03004
601400 299.451 -199.709 -20636.7 3349.95 55527.7 1.02737
601500 293.755 -376.714 -20683 3286.23 55461.2 1.02861
601600 299.445 299.878 -20624.1 3349.88 54934.9 1.03846
601700 299.681 116.596 -20632.8 3352.53 54770.2 1.04158
601800 297.57 -33.2182 -20663.1 3328.91 54884 1.03942
601900 301.766 -240.733 -20599.7 3375.85 54912.1 1.03889
602000 301.338 66.7601 -20635.4 3371.06 54741.9 1.04212
602100 299.833 401.929 -20738.4 3354.22 54664.4 1.0436
602200 297.082 -470.282 -20680.1 3323.45 54981.2 1.03758
602300 300.815 262.57 -20670.7 3365.21 54837 1.04031
602400 297.043 76.6069 -20700.7 3323.01 54839.2 1.04027
602500 300.902 -97.461 -20604.3 3366.18 55091.5 1.03551
602600 300.576 -162.617 -20594.8 3362.54 55136.4 1.03466
602700 296.89 -258.828 -20644.4 3321.31 54818.9 1.04066
602800 304.449 612.56 -20596.3 3405.86 54405.4 1.04856
602900 303.316 147.648 -20603.5 3393.19 54637.7 1.04411
603000 297.722 -191.375 -20647.6 3330.61 55049.5 1.0363
603100 300.961 -16.0947 -20605.4 3366.84 55129.6 1.03479
603200 305.117 82.2418 -20528.1 3413.34 55072.2 1.03587
603300 302.552 4.90354 -20611.2 3384.64 55102.1 1.03531
603400 299.078 -135.345 -20677.4 3345.78 55055.2 1.03619
603500 300.698 6.39909 -20696.4 3363.9 54893.1 1.03925
603600 295.527 183.324 -20735.8 3306.05 54933.7 1.03848
603700 298.733 -313.71 -20663.8 3341.92 55074.4 1.03583
603800 301.762 69.3049 -20616.3 3375.81 54871.7 1.03966
603900 301.02 -45.3743 -20735 3367.51 54616.6 1.04451
604000 300.513 197.801 -20719.5 3361.83 54536.1 1.04605
604100 304.579 -66.5049 -20644.7 3407.32 54627.6 1.0443
604200 300.058 162.229 -20666.7 3356.74 54597.6 1.04487
604300 298.698 17.6213 -20718.2 3341.53 54847.6 1.04011
604400 297.744 -253.762 -20694 3330.85 55074 1.03583
604500 301.784 -166.321 -20633.9 3376.06 54829.9 1.04045
604600 301.075 210.443 -20720.4 3368.12 54560.4 1.04558
604700 298.369 -158.031 -20712.5 3337.84 54476.7 1.04719
604800 299.661 524.404 -20642.4 3352.3 54373 1.04919
604900 300.897 -128.327 -20645.6 3366.13 54685.8 1.04319
605000 293.796 -1.19215 -20723.9 3286.69 54845.2 1.04015
605100 299.246 -100.492 -20671.1 3347.66 54876 1.03957
605200 300.989 93.8838 -20599.9 3367.16 54875.3 1.03958
605300 301.745 -119.94 -20489.5 3375.61 55006.9 1.0371
605400 303.523 -170.908 -20497.8 3395.5 55046.6 1.03635
605500 301.25 12.632 -20592 3370.07 54933.7 1.03848
605600 297.92 162.089 -20665.9 3332.82 54837.3 1.0403
605700 292.405 -144.62 -20761.4 3271.13 54811.8 1.04079
605800 295.994 -35.1799 -20709.3 3311.28 54606.7 1.0447
605900 302.513 256.478 -20653.7 3384.2 54309.3 1.05042
606000 298.196 129.088 -20675.5 3335.91 54341.5 1.0498
606100 300.185 -70.7465 -20684.9 3358.16 54577.8 1.04525
606200 304.684 -195.547 -20670.3 3408.49 54656.8 1.04374
606300 297.851 240.599 -20739.6 3332.05 54597.2 1.04488
606400 298.705 -8.00186 -20678.4 3341.6 54737.8 1.0422
606500 299.301 -207.666 -20620 3348.28 54924.4 1.03865
606600 299.66 235.536 -20662.1 3352.29 54978.8 1.03763
606700 293.519 -512.208 -20705.7 3283.59 55131.9 1.03475
606800 301.68 225.864 -20660.5 3374.89 54770.1 1.04159
606900 300.35 483.909 -20717.2 3360.01 54553.3 1.04572
607000 299.31 -242.367 -20748.3 3348.38 54779.5 1.0414
607100 302.321 -185.905 -20724.8 3382.06 54860.3 1.03987
607200 299.385 187.236 -20702.9 3349.21 54659.8 1.04368
607300 300.22 11.8369 -20693.6 3358.56 54689.4 1.04312
607400 302.584 -286.107 -20627.7 3385 54837.7 1.0403
607500 300.143 24.0447 -20692.7 3357.69 54699.3 1.04293
607600 298.279 2.04643 -20744.7 3336.85 54537.5 1.04602
607700 301.723 35.4789 -20670.4 3375.37 54371.8 1.04921
607800 301.354 174.683 -20688.5 3371.24 54340.7 1.04981
607900 298.898 12.1267 -20739.6 3343.77 54461.1 1.04749
608000 299.597 -234.044 -20711.8 3351.58 54530.8 1.04615
608100 302.07 26.4897 -20781 3379.25 54420.1 1.04828
608200 297.17 48.5874 -20801.3 3324.43 54390.8 1.04884
608300 299.358 159.356 -20742 3348.91 54451.4 1.04768
608400 298.633 -161.846 -20716.9 3340.8 54674.8 1.0434
608500 302.061 -290.135 -20618 3379.15 54784 1.04132
608600 303.725 259.247 -20675.7 3397.77 54709.4 1.04274
608700 299.192 -93.7778 -20700.2 3347.05 54741.8 1.04212
608800 302.545 -106.436 -20709.2 3384.57 54641.8 1.04403
608900 298.807 152.299 -20797 3342.74 54587.7 1.04506
609000 300.133 29.6695 -20758.8 3357.58 54713 1.04267
609100 301.515 -65.6038 -20661.9 3373.04 54898.1 1.03915
609200 299.517 -441.7 -20745.5 3350.69 54983 1.03755
609300 299.409 296.87 -20783.8 3349.48 54643.1 1.044
609400 300.436 248.359 -20720.9 3360.97 54685.4 1.0432
609500 301.867 -548.274 -20577.3 3376.98 55044.1 1.0364
609600 300.664 32.7736 -20607.3 3363.53 54799.2 1.04103
609700 297.918 275.099 -20722.4 3332.8 54368.4 1.04928
609800 296.312 204.844 -20779.7 3314.84 54261.5 1.05134
609900 299.363 -0.382583 -20735.3 3348.96 54450.9 1.04769
610000 304.448 -84.724 -20674.5 3405.86 54619.2 1.04446
610100 303.417 2.66395 -20606 3394.32 54663.1 1.04362
610200 298.764 -14.7993 -20678.6 3342.27 54684.4 1.04321
610300 301.276 3.55632 -20643.1 3370.37 54651.7 1.04384
610400 303.773 23.462 -20635.5 3398.31 54690.2 1.0431
610500 298.311 -227.961 -20681.1 3337.2 54836.4 1.04032
610600 301.271 51.9006 -20637 3370.31 54850.4 1.04006
610700 303.93 -109.205 -20583.5 3400.06 54797.1 1.04107
610800 301.199 -66.6658 -20664.3 3369.51 54657.6 1.04373
610900 298.851 144.08 -20710.4 3343.24 54381.3 1.04903
611000 302.971 306.292 -20670.6 3389.33 54284.7 1.05089
611100 301.258 -217.745 -20663.2 3370.17 54654.7 1.04379
611200 299.248 -150.602 -20655.4 3347.68 54832.8 1.04039
611300 295.419 19.3781 -20666.2 3304.84 54813.9 1.04075
611400 297.701 182.312 -20648.1 3330.38 54942.9 1.03831
611500 302.313 -182.71 -20607.6 3381.97 55074.9 1.03582
611600 298.477 -185.278 -20662.7 3339.06 54974 1.03772
611700 299.627 394.641 -20698.4 3351.92 54705.2 1.04282
611800 302.711 97.7262 -20616.4 3386.43 54920.4 1.03874
611900 299.419 -725.862 -20529 3349.59 55429.8 1.02919
612000 304.303 129.878 -20516.8 3404.23 55201.8 1.03344
612100 298.124 230.036 -20580 3335.11 54841.5 1.04023
612200 298.995 27.3579 -20599.7 3344.85 54687.2 1.04316
612300 304.592 -149.367 -20614.3 3407.47 54654.3 1.04379
612400 299.419 71.6344 -20684.8 3349.59 54480.5 1.04712
612500 298.015 250.752 -20726.5 3333.89 54346.6 1.0497
612600 301.421 162.854 -20644.8 3371.99 54412.6 1.04842
612700 298.731 -440.561 -20630.9 3341.9 54707.3 1.04278
612800 296.685 -263.089 -20717.7 3319.01 54653.2 1.04381
612900 298.845 250.21 -20756.1 3343.18 54224.5 1.05206
613000 299.542 515.776 -20672.2 3350.97 54249.8 1.05158
613100 300.748 -374.108 -20622.3 3364.46 54736 1.04223
613200 307.759 -56.622 -20530.5 3442.89 54732.2 1.0423
613300 302.35 -66.308 -20586 3382.38 54733.3 1.04228
613400 299.032 -85.6436 -20612 3345.27 54689 1.04313
613500 302.933 263.401 -20651.2 3388.91 54607 1.04469
613600 298.083 -335.424 -20712.3 3334.64 54812.4 1.04078
613700 299.041 237.27 -20643.6 3345.37 54747.9 1.042
613800 301.576 36.004 -20654.6 3373.72 54945.7 1.03826
613900 298.493 -285.363 -20679.2 3339.23 55182.8 1.03379
614000 300.151 -266.595 -20682.6 3357.79 54940.2 1.03836
614100 302.977 273.17 -20667.2 3389.4 54638.1 1.0441
614200 301.86 -95.5281 -20705.6 3376.9 54598.9 1.04485
614300 299.215 87.9231 -20764.3 3347.31 54513.7 1.04648
614400 294.52 130.618 -20779.8 3294.78 54573.1 1.04534
614500 299.363 58.3207 -20734.8 3348.97 54867.5 1.03974
614600 301.71 -252.758 -20672.5 3375.22 55152.6 1.03436
614700 298.732 8.06047 -20739 3341.9 55082.8 1.03567
614800 298.191 290.069 -20804.4 3335.86 55005.3 1.03713
614900 300.984 18.8154 -20706.5 3367.1 55257.3 1.0324
615000 299.696 -132.616 -20649.7 3352.69 55601.5 1.02601
615100 300.193 -431.187 -20636.6 3358.25 55588.9 1.02624
615200 299.28 149.531 -20651.8 3348.04 55070.8 1.0359
615300 301.634 508.729 -20680.2 3374.37 54861.3 1.03985
615400 299.341 -162.203 -20746.1 3348.72 55166.6 1.0341
615500 299.465 -76.9731 -20694.5 3350.11 55332.8 1.03099
615600 304.308 -77.8996 -20602.4 3404.29 55267.6 1.03221
615700 299.833 13.7716 -20659.3 3354.23 55135.9 1.03467
615800 298.574 -70.8404 -20690.2 3340.14 55034.5 1.03658
615900 302.386 454.049 -20641.1 3382.78 55103.8 1.03528
616000 303.015 -341.297 -20709.6 3389.82 55622.8 1.02562
616100 298.417 -430.852 -20718.8 3338.39 55627.6 1.02553
616200 302.406 389.77 -20677.4 3383.01 55215.6 1.03318
616300 298.91 108.915 -20758.7 3343.9 55173.3 1.03397
616400 297.538 136.197 -20739.8 3328.55 55315 1.03132
616500 299.508 -305.028 -20643.8 3350.59 55522.7 1.02746
616600 300.809 -129.311 -20553.4 3365.14 55402 1.0297
616700 304.554 280.302 -20608.8 3407.04 55113.2 1.0351
616800 299.168 -298.472 -20622.1 3346.78 55085.2 1.03562
616900 300.971 300.253 -20628.9 3366.95 54862.5 1.03983
617000 300.268 263.397 -20573.2 3359.09 54834.5 1.04036
617100 302.804 -80.281 -20508.2 3387.47 55080 1.03572
617200 300.657 -193.437 -20599.2 3363.45 55106.8 1.03522
617300 300.722 89.37 -20628.2 3364.17 54814.6 1.04074
617400 303.479 368.58 -20565.5 3395.02 54595.8 1.04491
617500 299.972 95.3641 -20592.5 3355.78 54838.2 1.04029
617600 300.24 -397.215 -20585.9 3358.78 55049 1.0363
617700 301.781 128.097 -20642.1 3376.02 54916.1 1.03881
617800 298.982 28.3869 -20685 3344.71 54931.1 1.03853
617900 302.496 -238.835 -20655.6 3384.02 55005.9 1.03712
618000 306.372 484.357 -20658.5 3427.38 54981.7 1.03757
618100 297.879 -254.735 -20677.4 3332.36 55395.7 1.02982
618200 300.966 -149.139 -20614.6 3366.9 55594.5 1.02614
618300 306.252 178.626 -20586.4 3426.04 55510.1 1.0277
618400 300.491 -126.532 -20663.5 3361.59 55513.1 1.02764
618500 297.322 -34.0031 -20666.5 3326.14 55445.2 1.0289
618600 300.994 279.308 -20604.2 3367.22 55336.8 1.03091
618700 299.386 -88.5832 -20559.9 3349.23 55337.8 1.0309
