# Time-averaged data for fix rdf_CC_avg
# TimeStep Number-of-rows
# Row c_rdf_CC[1] c_rdf_CC[2] c_rdf_CC[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.0436365 0.00111111
35 2.83112 0.329292 0.01
36 2.91318 1.08768 0.0411111
37 2.99524 2.27741 0.11
38 3.0773 3.93539 0.235556
39 3.15936 6.53923 0.455556
40 3.24142 8.28194 0.748889
41 3.32348 11.1343 1.16333
42 3.40555 12.3408 1.64556
43 3.48761 14.6148 2.24444
44 3.56967 15.1393 2.89444
45 3.65173 16.2944 3.62667
46 3.73379 15.3502 4.34778
47 3.81585 16.4868 5.15667
48 3.89791 16.2551 5.98889
49 3.97997 16.4038 6.86444
50 4.06204 15.1472 7.70667
51 4.1441 15.0904 8.58
52 4.22616 16.2638 9.55889
53 4.30822 16.9842 10.6211
54 4.39028 16.0798 11.6656
55 4.47234 16.7794 12.7967
56 4.5544 15.8484 13.9044
57 4.63647 15.8782 15.0544
58 4.71853 15.8491 16.2433
59 4.80059 15.4201 17.4411
60 4.88265 14.967 18.6433
61 4.96471 14.4059 19.84
62 5.04677 14.5287 21.0867
63 5.12883 14.5405 22.3756
64 5.21089 14.0743 23.6633
65 5.29296 14.0276 24.9878
66 5.37502 13.2157 26.2744
67 5.45708 12.8022 27.5589
68 5.53914 11.7542 28.7744
69 5.6212 11.5311 30.0022
70 5.70326 11.2737 31.2378
71 5.78532 10.6496 32.4389
72 5.86739 9.58518 33.5511
73 5.94945 9.12041 34.6389
74 6.03151 8.08561 35.63
75 6.11357 7.41142 36.5633
76 6.19563 6.76208 37.4378
77 6.27769 6.03352 38.2389
78 6.35975 5.07043 38.93
79 6.44181 4.55217 39.5667
80 6.52388 3.45421 40.0622
81 6.60594 2.97023 40.4989
82 6.688 2.40274 40.8611
83 6.77006 1.84865 41.1467
84 6.85212 1.51665 41.3867
85 6.93418 1.06904 41.56
86 7.01624 0.763335 41.6867
87 7.09831 0.641423 41.7956
88 7.18037 0.364095 41.8589
89 7.26243 0.281168 41.9089
90 7.34449 0.214199 41.9478
91 7.42655 0.0777419 41.9622
92 7.50861 0.105023 41.9822
93 7.59067 0.0341743 41.9889
94 7.67273 0.0223962 41.9933
95 7.7548 0.0274648 41.9989
96 7.83686 0 41.9989
97 7.91892 0 41.9989
98 8.00098 0.0051369 42
99 8.08304 0 42
100 8.1651 0 42
101 8.24716 0 42
102 8.32923 0 42
103 8.41129 0 42
104 8.49335 0 42
105 8.57541 0 42
106 8.65747 0 42
107 8.73953 0 42
108 8.82159 0 42
109 8.90365 0 42
110 8.98572 0 42
111 9.06778 0 42
112 9.14984 0 42
113 9.2319 0 42
114 9.31396 0 42
115 9.39602 0 42
116 9.47808 0 42
117 9.56015 0 42
118 9.64221 0 42
119 9.72427 0 42
120 9.80633 0 42
121 9.88839 0 42
122 9.97045 0 42
123 10.0525 0 42
124 10.1346 0 42
125 10.2166 0 42
126 10.2987 0 42
127 10.3808 0 42
128 10.4628 0 42
129 10.5449 0 42
130 10.6269 0 42
131 10.709 0 42
132 10.7911 0 42
133 10.8731 0 42
134 10.9552 0 42
135 11.0372 0 42
136 11.1193 0 42
137 11.2014 0 42
138 11.2834 0 42
139 11.3655 0 42
140 11.4476 0 42
141 11.5296 0 42
142 11.6117 0 42
143 11.6937 0 42
144 11.7758 0 42
145 11.8579 0 42
146 11.9399 0.00230586 42.0011
147 12.022 0.00226837 42.0022
148 12.104 0.00674331 42.0056
149 12.1861 0.0133175 42.0122
150 12.2682 0.0109483 42.0178
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0.0464711 0.00111111
34 2.74905 0.0871385 0.00333333
35 2.83112 0.332983 0.0122222
36 2.91318 0.584104 0.0288889
37 2.99524 2.0293 0.09
38 3.0773 3.43089 0.198889
39 3.15936 5.47533 0.382222
40 3.24142 8.31722 0.675556
41 3.32348 10.973 1.08222
42 3.40555 11.9085 1.54556
43 3.48761 14.2657 2.12778
44 3.56967 13.8851 2.72111
45 3.65173 15.496 3.41444
46 3.73379 16.0599 4.16556
47 3.81585 16.4368 4.96889
48 3.89791 15.1766 5.74222
49 3.97997 15.8013 6.58222
50 4.06204 16.3614 7.48778
51 4.1441 16.1606 8.41889
52 4.22616 15.2539 9.33333
53 4.30822 15.9561 10.3267
54 4.39028 16.9101 11.42
55 4.47234 15.4476 12.4567
56 4.5544 17.007 13.64
57 4.63647 16.421 14.8244
58 4.71853 15.8463 16.0078
59 4.80059 15.6123 17.2144
60 4.88265 14.9886 18.4133
61 4.96471 13.7975 19.5544
62 5.04677 14.2098 20.7689
63 5.12883 14.5543 22.0533
64 5.21089 14.1968 23.3467
65 5.29296 13.5442 24.62
66 5.37502 13.9776 25.9744
67 5.45708 12.8081 27.2544
68 5.53914 13.1061 28.6033
69 5.6212 11.0273 29.7722
70 5.70326 11.7293 31.0522
71 5.78532 10.77 32.2611
72 5.86739 9.71891 33.3833
73 5.94945 8.94818 34.4456
74 6.03151 8.568 35.4911
75 6.11357 7.83382 36.4733
76 6.19563 7.10026 37.3878
77 6.27769 6.13566 38.1989
78 6.35975 5.33014 38.9222
79 6.44181 4.68502 39.5744
80 6.52388 3.89033 40.13
81 6.60594 2.97355 40.5656
82 6.688 2.46513 40.9356
83 6.77006 1.93874 41.2333
84 6.85212 1.47621 41.4656
85 6.93418 0.929309 41.6156
86 7.01624 0.665601 41.7256
87 7.09831 0.538216 41.8167
88 7.18037 0.378857 41.8822
89 7.26243 0.264277 41.9289
90 7.34449 0.134874 41.9533
91 7.42655 0.0963864 41.9711
92 7.50861 0.0584829 41.9822
93 7.59067 0.0402179 41.99
94 7.67273 0.0168841 41.9933
95 7.7548 0.0330971 42
96 7.83686 0 42
97 7.91892 0 42
98 8.00098 0 42
99 8.08304 0 42
100 8.1651 0 42
101 8.24716 0 42
102 8.32923 0 42
103 8.41129 0 42
104 8.49335 0 42
105 8.57541 0 42
106 8.65747 0 42
107 8.73953 0 42
108 8.82159 0 42
109 8.90365 0 42
110 8.98572 0 42
111 9.06778 0 42
112 9.14984 0 42
113 9.2319 0 42
114 9.31396 0 42
115 9.39602 0 42
116 9.47808 0 42
117 9.56015 0 42
118 9.64221 0 42
119 9.72427 0 42
120 9.80633 0 42
121 9.88839 0 42
122 9.97045 0 42
123 10.0525 0 42
124 10.1346 0 42
125 10.2166 0 42
126 10.2987 0 42
127 10.3808 0 42
128 10.4628 0 42
129 10.5449 0 42
130 10.6269 0 42
131 10.709 0 42
132 10.7911 0 42
133 10.8731 0 42
134 10.9552 0 42
135 11.0372 0 42
136 11.1193 0 42
137 11.2014 0.00267316 42.0011
138 11.2834 0 42.0011
139 11.3655 0 42.0011
140 11.4476 0.00255943 42.0022
141 11.5296 0.00248721 42.0033
142 11.6117 0.00245218 42.0044
143 11.6937 0.0024528 42.0056
144 11.7758 0.00721209 42.0089
145 11.8579 0.00470238 42.0111
146 11.9399 0.0046719 42.0133
147 12.022 0.00917682 42.0178
148 12.104 0.0136688 42.0244
149 12.1861 0.0247887 42.0367
150 12.2682 0.0242941 42.0489
630000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
