# Time-averaged data for fix msd_avg
# TimeStep c_msd_water[1] c_msd_water[2] c_msd_water[3] c_msd_water[4]
746000 106.602 110.767 120.271 337.641
747000 106.312 111.028 120.472 337.812
748000 107.327 111.672 122.298 341.298
749000 108.222 113.037 123.812 345.071
750000 108.517 113.694 125.143 347.353
751000 108.363 114.766 125.048 348.176
752000 109.39 116.061 126.237 351.687
753000 111.093 117.075 128.265 356.433
754000 111.216 116.945 128.791 356.951
755000 111.224 116.965 129.78 357.969
756000 112.426 117.409 130.741 360.576
757000 113.168 118.149 132.642 363.96
758000 113.246 119.249 131.911 364.406
759000 113.821 120.206 132.817 366.844
760000 115.098 121.007 133.988 370.093
761000 114.979 121.346 133.65 369.975
762000 115.118 122.176 134.389 371.683
763000 115.814 123.458 135.582 374.854
764000 115.833 124.542 136.54 376.914
765000 116.48 125.557 136.606 378.643
766000 117.274 126.517 138.174 381.965
767000 118.034 127.252 139.189 384.475
768000 119.334 128.618 140.089 388.041
769000 120.82 129.611 141.071 391.503
770000 122.561 129.551 141.093 393.205
771000 124.602 131.672 143.606 399.881
772000 125.535 132.219 143.202 400.956
773000 127.506 133.33 144.983 405.819
774000 128.487 133.984 146.593 409.064
775000 128.786 133.826 146.924 409.536
776000 129.124 134.613 147.921 411.658
777000 129.973 135.917 149.661 415.552
778000 131.212 136.21 150.275 417.696
779000 132.401 137.716 151.418 421.535
780000 133.889 138.091 151.595 423.575
781000 134.841 137.608 151.874 424.323
782000 135.683 138.097 152.662 426.442
783000 136.052 138.425 153.967 428.444
784000 136.775 138.859 154.647 430.281
785000 137.245 139.344 156.194 432.783
786000 137.5 140.458 155.856 433.814
787000 138.838 141.385 157.742 437.965
788000 140.959 142.996 158.444 442.398
789000 140.835 144.008 158.867 443.71
790000 142.256 144.855 159.456 446.568
791000 143.198 146.204 159.947 449.349
792000 145.31 146.618 160.395 452.323
793000 146.758 148.906 162.565 458.229
794000 147.966 149.279 163.287 460.532
795000 149.308 150.336 164.09 463.735
796000 148.77 150.385 163.574 462.729
797000 149.059 151.529 164.34 464.928
798000 149.685 153.112 164.677 467.473
799000 150.869 154.823 165.467 471.158
800000 152.635 156.135 166.825 475.595
801000 153.396 157.795 167.803 478.994
802000 152.937 158.443 167.572 478.952
803000 155.175 161.18 168.837 485.192
804000 156.19 162.109 170.571 488.87
805000 156.511 161.948 170.344 488.803
806000 158.381 162.063 170.755 491.199
807000 159.138 163.267 170.614 493.019
808000 159.289 164.864 171.653 495.806
809000 159.292 165.604 172 496.897
810000 160.279 167.459 173.475 501.214
811000 162.185 168.175 175.445 505.805
812000 163.172 168.373 176.215 507.76
813000 163.772 169.102 176.65 509.525
814000 164.974 170.128 177.699 512.8
815000 166.26 171.135 177.986 515.38
816000 167.465 173.841 179.402 520.708
817000 167.242 174.463 178.49 520.195
818000 169.94 176.957 179.274 526.172
819000 170.809 177.614 181.481 529.905
820000 170.766 179.095 183.074 532.935
821000 171.558 181.027 185.693 538.278
822000 173.625 183.242 187.357 544.224
823000 173.848 184.203 188.057 546.108
824000 174.783 186.444 189.817 551.045
825000 175.498 188.258 189.528 553.284
826000 176.793 188.743 189.806 555.342
827000 178.227 190.539 190.843 559.608
828000 178.365 190.77 191.786 560.921
829000 178.689 191.527 192.013 562.229
830000 180.227 192.694 192.787 565.709
831000 181.328 193.621 194.076 569.026
832000 181.65 193.036 195.217 569.903
833000 181.522 193.265 194.17 568.957
834000 183.117 194.58 195.009 572.706
835000 183.186 195.204 196.967 575.357
836000 183.763 195.907 198.427 578.097
837000 185.875 197.063 200.136 583.073
838000 186.29 197.706 200.796 584.792
839000 185.832 197.998 201.715 585.544
840000 186.232 198.66 201.636 586.528
841000 187.749 200.897 203.359 592.005
842000 188.029 201.595 204.417 594.041
843000 188.316 203.362 205.394 597.071
844000 188.242 204.245 205.206 597.693
845000 190.044 205.08 205.943 601.067
846000 191.382 204.878 206.218 602.478
847000 193.566 205.879 208.543 607.987
848000 194.384 206.482 208.921 609.787
849000 194.176 205.665 209.054 608.895
850000 195.177 205.57 209.511 610.259
851000 197.421 206.683 211.42 615.524
852000 199.351 208.904 212.719 620.974
853000 200.159 208.372 212.612 621.142
854000 201.162 210.209 213.732 625.102
855000 202.259 211.258 214.748 628.265
856000 202.655 212.198 215.718 630.57
857000 201.697 213.072 216.471 631.239
858000 202.754 213.802 218.637 635.193
859000 203.037 214.412 219.328 636.777
860000 204.261 214.007 219.708 637.976
861000 205.09 214.121 220.379 639.59
862000 206.826 215.465 221.89 644.181
863000 207.956 216.37 224.522 648.848
864000 208.814 215.757 223.755 648.326
865000 209.511 216.183 224.603 650.297
866000 211.164 218.313 225.003 654.481
867000 212.098 219.22 225.27 656.588
868000 212.318 220.138 226.125 658.581
869000 213.398 221.168 228.23 662.797
870000 214.378 223.437 230.37 668.185
871000 213.909 223.618 231.523 669.049
872000 215.508 225.573 232.909 673.99
873000 215.729 225.216 232.887 673.832
874000 217.674 228.037 234.431 680.142
875000 218.391 229.834 235.676 683.9
876000 219.525 232.043 236.907 688.474
877000 219.041 232.321 237.233 688.595
878000 220.55 233.855 239.24 693.645
879000 222.516 234.475 240.655 697.646
880000 223.037 233.885 241.78 698.702
881000 223.17 233.335 242.574 699.079
882000 223.607 233.391 242.167 699.165
883000 224.848 235.056 244.279 704.182
884000 225.14 235.029 245.928 706.097
885000 227.814 236.236 247.797 711.847
886000 228.83 236.412 249.313 714.554
887000 228.754 235.575 249.328 713.656
888000 230.095 235.356 249.131 714.582
889000 231.796 237.488 251.04 720.324
890000 231.869 238.551 250.865 721.285
891000 233.748 241.156 252.956 727.86
892000 235.492 243.761 254.625 733.877
893000 237.747 245.445 255.385 738.576
894000 238.845 246.778 257.192 742.815
895000 239.37 246.69 258.785 744.845
896000 238.082 245.853 260.417 744.352
897000 239.456 247.692 263.268 750.416
898000 240.967 248.311 263.817 753.095
899000 243.457 249.59 264.984 758.031
900000 243.285 250.562 265.56 759.408
901000 242.965 251.261 266.362 760.588
902000 245.012 252.153 268.142 765.307
903000 246.187 253.057 268.887 768.131
904000 246.449 253.589 268.681 768.72
905000 246.864 254.639 268.562 770.064
906000 249.445 256.706 271.499 777.651
907000 250.046 255.672 272.338 778.056
908000 251.338 255.307 273.311 779.956
909000 251.293 254.811 272.723 778.827
910000 251.437 254.992 273.195 779.624
911000 251.64 256.868 273.18 781.688
912000 251.389 256.959 274.99 783.337
913000 253.943 259.052 277.629 790.624
914000 253.275 260.945 279.129 793.348
915000 255.068 263.79 281.551 800.408
916000 255.107 264.157 282.085 801.35
917000 255.876 264.921 281.754 802.551
918000 258.049 268.732 283.909 810.69
919000 257.797 269.38 283.069 810.246
920000 257.949 270.391 283.744 812.085
921000 258.178 270.796 284.423 813.398
922000 259.799 270.721 285.091 815.611
923000 260.683 272.665 286.448 819.795
924000 261.535 273.773 286.671 821.978
925000 262.922 273.666 288.431 825.019
926000 262.959 273.193 288.186 824.338
927000 265.618 275.979 289.171 830.769
928000 266.525 276.794 290.129 833.448
929000 267.192 277.27 290.636 835.098
930000 267.194 277.933 291.612 836.739
931000 267.942 279.287 292.774 840.003
932000 268.932 279.892 292.44 841.264
