# Time-averaged data for fix rdf_CO_avg
# TimeStep Number-of-rows
# Row c_rdf_CO[1] c_rdf_CO[2] c_rdf_CO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0.00204843 0.000555556
36 2.91318 0.0272603 0.00833333
37 2.99524 0.0698719 0.0294444
38 3.0773 0.181509 0.0872222
39 3.15936 0.390633 0.218333
40 3.24142 0.432399 0.371111
41 3.32348 0.544265 0.573333
42 3.40555 0.629536 0.818889
43 3.48761 0.65589 1.08722
44 3.56967 0.66632 1.37278
45 3.65173 0.669561 1.67333
46 3.73379 0.690614 1.99722
47 3.81585 0.655509 2.31833
48 3.89791 0.648852 2.65
49 3.97997 0.63898 2.99056
50 4.06204 0.669734 3.36222
51 4.1441 0.72504 3.78111
52 4.22616 0.624141 4.15611
53 4.30822 0.646864 4.56
54 4.39028 0.723919 5.02944
55 4.47234 0.731492 5.52167
56 4.5544 0.706274 6.01444
57 4.63647 0.729152 6.54167
58 4.71853 0.689175 7.05778
59 4.80059 0.700795 7.60111
60 4.88265 0.721048 8.17944
61 4.96471 0.684645 8.74722
62 5.04677 0.684474 9.33389
63 5.12883 0.678073 9.93389
64 5.21089 0.713963 10.5861
65 5.29296 0.677269 11.2244
66 5.37502 0.695647 11.9006
67 5.45708 0.689878 12.5917
68 5.53914 0.724423 13.3394
69 5.6212 0.763085 14.1506
70 5.70326 0.74548 14.9661
71 5.78532 0.815631 15.8844
72 5.86739 0.788724 16.7978
73 5.94945 0.81035 17.7628
74 6.03151 0.851686 18.805
75 6.11357 0.84259 19.8644
76 6.19563 0.830302 20.9367
77 6.27769 0.90398 22.135
78 6.35975 0.889297 23.345
79 6.44181 0.905664 24.6094
80 6.52388 0.921586 25.9289
81 6.60594 0.899942 27.25
82 6.688 0.923489 28.6394
83 6.77006 0.951118 30.1061
84 6.85212 0.956718 31.6172
85 6.93418 0.973017 33.1911
86 7.01624 0.958791 34.7789
87 7.09831 0.984843 36.4483
88 7.18037 0.993868 38.1722
89 7.26243 0.961987 39.8789
90 7.34449 0.972348 41.6433
91 7.42655 0.996321 43.4922
92 7.50861 0.991806 45.3733
93 7.59067 1.04687 47.4028
94 7.67273 1.02032 49.4233
95 7.7548 1.03258 51.5122
96 7.83686 1.03641 53.6533
97 7.91892 1.01945 55.8039
98 8.00098 1.08528 58.1411
99 8.08304 1.05405 60.4578
100 8.1651 1.04998 62.8128
101 8.24716 1.07129 65.2639
102 8.32923 1.07217 67.7661
103 8.41129 1.07559 70.3261
104 8.49335 1.07222 72.9283
105 8.57541 1.09766 75.6439
106 8.65747 1.07851 78.3633
107 8.73953 1.08363 81.1478
108 8.82159 1.10191 84.0322
109 8.90365 1.11439 87.0039
110 8.98572 1.09548 89.9794
111 9.06778 1.11712 93.0694
112 9.14984 1.0625 96.0622
113 9.2319 1.07404 99.1417
114 9.31396 1.06372 102.246
115 9.39602 1.08108 105.457
116 9.47808 1.04406 108.612
117 9.56015 1.04729 111.832
118 9.64221 1.02997 115.054
119 9.72427 1.03364 118.342
120 9.80633 1.03304 121.684
121 9.88839 1.01331 125.017
122 9.97045 1.04336 128.507
123 10.0525 1.00589 131.926
124 10.1346 1.01391 135.429
125 10.2166 0.995008 138.923
126 10.2987 0.991191 142.459
127 10.3808 1.00899 146.117
128 10.4628 0.993314 149.776
129 10.5449 1.02632 153.614
130 10.6269 1.01496 157.471
131 10.709 0.9868 161.277
132 10.7911 1.01498 165.253
133 10.8731 1.02807 169.342
134 10.9552 1.03783 173.532
135 11.0372 1.00852 177.666
136 11.1193 1.02478 181.928
137 11.2014 1.04399 186.335
138 11.2834 1.02319 190.717
139 11.3655 1.04204 195.246
140 11.4476 1.04399 199.848
141 11.5296 1.03571 204.479
142 11.6117 1.03821 209.189
143 11.6937 1.05357 214.036
144 11.7758 1.02863 218.834
145 11.8579 1.04394 223.772
146 11.9399 1.03875 228.754
147 12.022 1.05637 233.89
148 12.104 1.03959 239.014
149 12.1861 1.03875 244.203
150 12.2682 1.02432 249.39
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0.00414515 0.00111111
36 2.91318 0.0273394 0.00888889
37 2.99524 0.123891 0.0461111
38 3.0773 0.227521 0.118333
39 3.15936 0.362182 0.239444
40 3.24142 0.506639 0.417778
41 3.32348 0.525446 0.612222
42 3.40555 0.619203 0.852778
43 3.48761 0.665471 1.12389
44 3.56967 0.688965 1.41778
45 3.65173 0.682688 1.72278
46 3.73379 0.673547 2.03722
47 3.81585 0.687143 2.37222
48 3.89791 0.697584 2.72722
49 3.97997 0.683879 3.09
50 4.06204 0.704677 3.47944
51 4.1441 0.648207 3.85222
52 4.22616 0.670874 4.25333
53 4.30822 0.660036 4.66389
54 4.39028 0.703083 5.11778
55 4.47234 0.75212 5.62167
56 4.5544 0.720329 6.12222
57 4.63647 0.722523 6.64222
58 4.71853 0.702437 7.16611
59 4.80059 0.71757 7.72
60 4.88265 0.693883 8.27389
61 4.96471 0.708097 8.85833
62 5.04677 0.708489 9.46278
63 5.12883 0.703854 10.0828
64 5.21089 0.702429 10.7217
65 5.29296 0.726902 11.4039
66 5.37502 0.710476 12.0911
67 5.45708 0.744234 12.8333
68 5.53914 0.714243 13.5672
69 5.6212 0.734549 14.3444
70 5.70326 0.713416 15.1217
71 5.78532 0.77508 15.9906
72 5.86739 0.826436 16.9433
73 5.94945 0.859406 17.9622
74 6.03151 0.855373 19.0044
75 6.11357 0.854092 20.0733
76 6.19563 0.849797 21.1661
77 6.27769 0.885782 22.335
78 6.35975 0.885104 23.5339
79 6.44181 0.927254 24.8228
80 6.52388 0.910672 26.1206
81 6.60594 0.894771 27.4283
82 6.688 0.945973 28.8456
83 6.77006 0.953952 30.31
84 6.85212 0.971964 31.8383
85 6.93418 0.949761 33.3678
86 7.01624 0.997399 35.0122
87 7.09831 1.01818 36.7306
88 7.18037 0.98144 38.425
89 7.26243 0.991415 40.1761
90 7.34449 1.00788 41.9972
91 7.42655 1.00518 43.8544
92 7.50861 1.00894 45.7594
93 7.59067 1.02476 47.7372
94 7.67273 0.997077 49.7028
95 7.7548 1.03143 51.78
96 7.83686 1.04378 53.9272
97 7.91892 1.06957 56.1733
98 8.00098 1.04032 58.4033
99 8.08304 1.0574 60.7172
100 8.1651 1.09476 63.1622
101 8.24716 1.05336 65.5617
102 8.32923 1.10123 68.12
103 8.41129 1.09424 70.7128
104 8.49335 1.08168 73.3261
105 8.57541 1.08376 75.9956
106 8.65747 1.10749 78.7756
107 8.73953 1.12827 81.6622
108 8.82159 1.11485 84.5683
109 8.90365 1.10609 87.505
110 8.98572 1.11445 90.5189
111 9.06778 1.08965 93.52
112 9.14984 1.09519 96.5906
113 9.2319 1.09315 99.7111
114 9.31396 1.11424 102.948
115 9.39602 1.07921 106.139
116 9.47808 1.08092 109.392
117 9.56015 1.06372 112.648
118 9.64221 1.05629 115.937
119 9.72427 1.0348 119.214
120 9.80633 1.02216 122.506
121 9.88839 1.0393 125.909
122 9.97045 1.02645 129.328
123 10.0525 1.01086 132.749
124 10.1346 1.00837 136.218
125 10.2166 1.00313 139.725
126 10.2987 0.983465 143.219
127 10.3808 1.00194 146.836
128 10.4628 0.993838 150.479
129 10.5449 1.00331 154.215
130 10.6269 1.01109 158.039
131 10.709 1.0206 161.959
