# Time-averaged data for fix thermo_detailed
# TimeStep v_temp v_press v_pe v_ke v_vol v_dens
609800 302.877 -3.13718 -20400.8 3388.28 55968.2 1.01928
609900 300.747 -162.637 -20477.5 3364.45 55867 1.02113
610000 300.757 127.419 -20526.2 3364.57 55733.1 1.02358
610100 298.998 -120.627 -20500.4 3344.89 55556.4 1.02684
610200 302.389 381.586 -20409.7 3382.82 55354.7 1.03058
610300 302.025 64.4535 -20475.4 3378.74 55575.5 1.02649
610400 298.257 -326.39 -20521.8 3336.6 55828.3 1.02184
610500 302.543 -176.105 -20467.6 3384.54 55683.4 1.0245
610600 297.117 62.6263 -20507.4 3323.84 55434.7 1.02909
610700 296.506 10.8883 -20530.5 3317.01 55277.9 1.03201
610800 299.815 263.904 -20504.2 3354.03 55164.1 1.03414
610900 300.853 50.507 -20477.5 3365.64 55261.8 1.03231
611000 303.563 28.6094 -20474.6 3395.95 55411.7 1.02952
611100 299.346 -251.172 -20542.5 3348.77 55448 1.02885
611200 301.937 45.1441 -20552.6 3377.76 55220 1.0331
611300 297.012 296.577 -20624.1 3322.67 55133.1 1.03472
611400 300.461 97.4841 -20557.1 3361.26 55344.9 1.03076
611500 298.868 -77.1487 -20488.6 3343.43 55637.8 1.02534
611600 304.148 -82.7619 -20432.1 3402.5 55627.2 1.02553
611700 307.158 167.497 -20334.6 3436.18 55558.1 1.02681
611800 300.974 -121.485 -20403.4 3366.99 55646.5 1.02518
611900 297.715 -446.825 -20446.4 3330.54 55567.5 1.02664
612000 302.374 170.753 -20424.1 3382.65 55065.3 1.03601
612100 300.66 515.794 -20454.2 3363.48 54822.1 1.04059
612200 298.602 -11.5747 -20467.6 3340.45 55137 1.03465
612300 302.219 47.7428 -20414.4 3380.92 55398.8 1.02976
612400 301.311 -106.364 -20432.2 3370.77 55606.8 1.02591
612500 300.226 110.302 -20436.5 3358.62 55743.4 1.02339
612600 296.429 -388.307 -20505.5 3316.15 55918.4 1.02019
612700 298.355 -151.285 -20541.8 3337.69 55706.6 1.02407
612800 303.5 94.6139 -20526.7 3395.24 55350.7 1.03066
612900 296.989 132.275 -20542.9 3322.41 55254.7 1.03245
613000 298.466 136.745 -20492.9 3338.94 55352.1 1.03063
613100 303.557 9.50649 -20452.6 3395.89 55445.2 1.0289
613200 297.246 -204.285 -20487.5 3325.28 55407.2 1.02961
613300 301.771 134.939 -20495.3 3375.91 55168.2 1.03406
613400 300.854 129.219 -20455.1 3365.64 55107.8 1.0352
613500 299.649 -79.0297 -20472.5 3352.16 55218.3 1.03313
613600 299.078 0.7214 -20548.9 3345.78 55264.3 1.03227
613700 296.569 -105.92 -20614.1 3317.71 55274.1 1.03208
613800 300.353 -120.567 -20546.6 3360.04 55287.4 1.03183
613900 300.859 152.787 -20493.9 3365.71 55225.6 1.03299
614000 296.3 -68.4383 -20527.1 3314.7 55308.6 1.03144
614100 298.529 90.7495 -20543.9 3339.63 55400.8 1.02972
614200 301.377 127.339 -20483.3 3371.5 55573.2 1.02653
614300 303.099 -204.536 -20387.9 3390.77 55839.7 1.02163
614400 302.093 -396.148 -20453.3 3379.5 55838.8 1.02165
614500 301.884 288.973 -20519.3 3377.18 55395.7 1.02982
614600 297.641 -30.8283 -20528.4 3329.71 55268 1.0322
614700 303.661 200.208 -20476.6 3397.05 55352.9 1.03061
614800 299.915 -384.412 -20460.2 3355.14 55535.1 1.02723
614900 299.775 -29.849 -20485.1 3353.57 55320.8 1.03121
615000 293.855 -18.5656 -20489.4 3287.35 55071 1.03589
615100 300.476 154.611 -20468.1 3361.42 54932.6 1.0385
615200 298.695 -12.1666 -20441.3 3341.5 55034.5 1.03658
615300 296.792 -6.05696 -20549.3 3320.21 55062.3 1.03605
615400 298.311 9.35459 -20498.8 3337.2 55016.6 1.03691
615500 300.497 146.906 -20451.8 3361.65 55036.3 1.03654
