# Time-averaged data for fix rdf_CO_avg
# TimeStep Number-of-rows
# Row c_rdf_CO[1] c_rdf_CO[2] c_rdf_CO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0 0
37 2.99524 0.0107494 0.00333333
38 3.0773 0.105144 0.0377778
39 3.15936 0.364051 0.163333
40 3.24142 0.733296 0.429444
41 3.32348 1.02629 0.821111
42 3.40555 1.07557 1.25222
43 3.48761 1.15035 1.73556
44 3.56967 1.10881 2.22389
45 3.65173 0.946365 2.66
46 3.73379 0.87318 3.08056
47 3.81585 0.805099 3.48556
48 3.89791 0.863597 3.93889
49 3.97997 0.843594 4.40056
50 4.06204 0.816714 4.86611
51 4.1441 0.855883 5.37389
52 4.22616 0.920524 5.94222
53 4.30822 0.953137 6.55333
54 4.39028 0.892474 7.14778
55 4.47234 0.947731 7.80278
56 4.5544 0.913844 8.45778
57 4.63647 0.845322 9.08556
58 4.71853 0.80187 9.70222
59 4.80059 0.791083 10.3322
60 4.88265 0.768919 10.9656
61 4.96471 0.711134 11.5711
62 5.04677 0.762009 12.2417
63 5.12883 0.752614 12.9256
64 5.21089 0.759507 13.6383
65 5.29296 0.720788 14.3361
66 5.37502 0.83774 15.1722
67 5.45708 0.78491 15.98
68 5.53914 0.867201 16.8994
69 5.6212 0.896036 17.8778
70 5.70326 0.904146 18.8939
71 5.78532 0.922978 19.9611
72 5.86739 1.02335 21.1783
73 5.94945 1.07428 22.4922
74 6.03151 1.04099 23.8006
75 6.11357 1.06156 25.1711
76 6.19563 1.06443 26.5828
77 6.27769 1.08096 28.0544
78 6.35975 1.11762 29.6161
79 6.44181 1.13333 31.2411
80 6.52388 1.09041 32.8444
81 6.60594 1.08826 34.485
82 6.688 1.13615 36.2411
83 6.77006 1.11206 38.0022
84 6.85212 1.15099 39.8694
85 6.93418 1.08438 41.6711
86 7.01624 1.12341 43.5817
87 7.09831 1.14659 45.5778
88 7.18037 1.08999 47.5194
89 7.26243 1.11578 49.5528
90 7.34449 1.13233 51.6628
91 7.42655 1.15517 53.8639
92 7.50861 1.13963 56.0839
93 7.59067 1.15891 58.3911
94 7.67273 1.16959 60.77
95 7.7548 1.17444 63.21
96 7.83686 1.14238 65.6344
97 7.91892 1.18374 68.1994
98 8.00098 1.18051 70.8106
99 8.08304 1.19088 73.4989
100 8.1651 1.18563 76.23
101 8.24716 1.19434 79.0367
102 8.32923 1.221 81.9633
103 8.41129 1.225 84.9578
104 8.49335 1.20742 87.9672
105 8.57541 1.21818 91.0622
106 8.65747 1.22797 94.2422
107 8.73953 1.20198 97.4139
108 8.82159 1.20004 100.64
109 8.90365 1.17741 103.865
110 8.98572 1.16869 107.126
111 9.06778 1.12791 110.33
112 9.14984 1.11093 113.544
113 9.2319 1.04069 116.608
114 9.31396 1.04309 119.735
115 9.39602 1.00369 122.797
116 9.47808 0.976891 125.828
117 9.56015 0.980075 128.923
118 9.64221 0.955289 131.992
119 9.72427 0.937546 135.055
120 9.80633 0.970175 138.278
121 9.88839 0.960951 141.525
122 9.97045 0.965029 144.839
123 10.0525 0.990374 148.297
124 10.1346 1.00168 151.852
125 10.2166 0.991242 155.427
126 10.2987 1.01359 159.141
127 10.3808 1.00136 162.869
128 10.4628 1.03212 166.773
129 10.5449 1.01013 170.654
130 10.6269 1.02137 174.639
131 10.709 1.03426 178.737
132 10.7911 1.05406 182.978
133 10.8731 1.06565 187.331
134 10.9552 1.04043 191.644
135 11.0372 1.06736 196.137
136 11.1193 1.06003 200.665
137 11.2014 1.06253 205.271
138 11.2834 1.07241 209.989
139 11.3655 1.07089 214.769
140 11.4476 1.04689 219.509
141 11.5296 1.04053 224.288
142 11.6117 1.0154 229.018
143 11.6937 1.0294 233.882
144 11.7758 1.00164 238.681
145 11.8579 0.986368 243.473
146 11.9399 0.985318 248.327
147 12.022 0.975272 253.197
148 12.104 0.978917 258.152
149 12.1861 0.970357 263.131
150 12.2682 0.963332 268.141
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0 0
37 2.99524 0.021538 0.00666667
38 3.0773 0.0730678 0.0305556
39 3.15936 0.340295 0.147778
40 3.24142 0.739902 0.416111
41 3.32348 1.01555 0.803333
42 3.40555 1.13526 1.25778
43 3.48761 1.14194 1.73722
44 3.56967 1.05083 2.19944
45 3.65173 0.95473 2.63889
46 3.73379 0.853006 3.04944
47 3.81585 0.888797 3.49611
48 3.89791 0.841025 3.93722
49 3.97997 0.859557 4.40722
50 4.06204 0.864322 4.89944
51 4.1441 0.859405 5.40889
52 4.22616 0.90192 5.965
53 4.30822 0.912276 6.54944
54 4.39028 0.927783 7.16667
55 4.47234 0.896101 7.78556
56 4.5544 0.911034 8.43778
57 4.63647 0.914931 9.11667
58 4.71853 0.852419 9.77167
59 4.80059 0.80459 10.4117
60 4.88265 0.772615 11.0472
61 4.96471 0.754813 11.6894
62 5.04677 0.740484 12.3406
63 5.12883 0.729885 13.0033
64 5.21089 0.737485 13.6944
65 5.29296 0.766261 14.4356
66 5.37502 0.765849 15.1994
67 5.45708 0.804304 16.0261
68 5.53914 0.826717 16.9017
69 5.6212 0.854226 17.8333
70 5.70326 0.909514 18.8544
71 5.78532 0.995895 20.005
72 5.86739 1.00555 21.2
73 5.94945 1.08043 22.52
74 6.03151 1.09327 23.8928
75 6.11357 1.0806 25.2867
76 6.19563 1.07549 26.7117
77 6.27769 1.1068 28.2172
78 6.35975 1.10422 29.7589
79 6.44181 1.1166 31.3583
80 6.52388 1.08266 32.9489
81 6.60594 1.10311 34.6106
82 6.688 1.08311 36.2828
83 6.77006 1.11493 38.0467
84 6.85212 1.12092 39.8633
85 6.93418 1.11633 41.7161
86 7.01624 1.11654 43.6133
87 7.09831 1.13066 45.5794
88 7.18037 1.12926 47.5889
89 7.26243 1.15656 49.6944
90 7.34449 1.12729 51.7933
91 7.42655 1.17412 54.0289
92 7.50861 1.16903 56.3039
93 7.59067 1.15007 58.5911
94 7.67273 1.14969 60.9272
95 7.7548 1.14996 63.3144
96 7.83686 1.15802 65.7694
97 7.91892 1.16842 68.2983
98 8.00098 1.17041 70.8844
99 8.08304 1.17206 73.5278
100 8.1651 1.1608 76.1989
101 8.24716 1.20575 79.0294
102 8.32923 1.22768 81.9694
103 8.41129 1.23666 84.9894
104 8.49335 1.23247 88.0583
105 8.57541 1.25724 91.2494
106 8.65747 1.24347 94.4667
107 8.73953 1.21754 97.6767
108 8.82159 1.20504 100.913
109 8.90365 1.19341 104.179
110 8.98572 1.16821 107.435
111 9.06778 1.1504 110.7
112 9.14984 1.10888 113.904
113 9.2319 1.05991 117.022
114 9.31396 1.01413 120.059
115 9.39602 1.01006 123.137
116 9.47808 0.974501 126.158
117 9.56015 0.980578 129.252
118 9.64221 0.984965 132.413
119 9.72427 0.977119 135.602
120 9.80633 0.961465 138.793
121 9.88839 0.973272 142.078
122 9.97045 0.969029 145.403
123 10.0525 0.950521 148.719
124 10.1346 0.956709 152.111
125 10.2166 0.991935 155.684
126 10.2987 0.994485 159.325
127 10.3808 1.01289 163.092
128 10.4628 1.01137 166.914
129 10.5449 1.02688 170.855
130 10.6269 1.03883 174.904
131 10.709 1.03614 179.006
132 10.7911 1.04538 183.208
133 10.8731 1.06153 187.539
134 10.9552 1.05952 191.929
