# Time-averaged data for fix rdf_OO_avg
# TimeStep Number-of-rows
# Row c_rdf_OO[1] c_rdf_OO[2] c_rdf_OO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0.0466013 0.0100727
32 2.58493 0.622165 0.153665
33 2.66699 2.09963 0.66939
34 2.74905 3.14997 1.49144
35 2.83112 2.92783 2.30185
36 2.91318 2.1972 2.94583
37 2.99524 1.57052 3.43246
38 3.0773 1.15576 3.81041
39 3.15936 0.963429 4.14247
40 3.24142 0.862904 4.45562
41 3.32348 0.840471 4.77627
42 3.40555 0.832286 5.10968
43 3.48761 0.850538 5.46693
44 3.56967 0.860293 5.84544
45 3.65173 0.866215 6.24432
46 3.73379 0.887782 6.67174
47 3.81585 0.939689 7.14426
48 3.89791 0.982769 7.65988
49 3.97997 1.02408 8.22003
50 4.06204 1.04062 8.81298
51 4.1441 1.05449 9.43839
52 4.22616 1.09926 10.1163
53 4.30822 1.06376 10.7981
54 4.39028 1.09544 11.5273
55 4.47234 1.11167 12.295
56 4.5544 1.09231 13.0773
57 4.63647 1.07982 13.8789
58 4.71853 1.06816 14.7002
59 4.80059 1.02733 15.5177
60 4.88265 1.03209 16.3674
61 4.96471 1.01483 17.2312
62 5.04677 0.977927 18.0914
63 5.12883 0.974878 18.9771
64 5.21089 0.956646 19.8741
65 5.29296 0.962126 20.8049
66 5.37502 0.920885 21.7238
67 5.45708 0.912602 22.6622
68 5.53914 0.928907 23.6463
69 5.6212 0.90633 24.6353
70 5.70326 0.908933 25.6562
71 5.78532 0.931121 26.7324
72 5.86739 0.940811 27.8509
73 5.94945 0.944751 29.0057
74 6.03151 0.964018 30.2168
75 6.11357 0.977396 31.4782
76 6.19563 0.982864 32.7811
77 6.27769 1.00106 34.1435
78 6.35975 1.03118 35.5838
79 6.44181 1.0261 37.0541
80 6.52388 1.05084 38.5984
81 6.60594 1.03975 40.1652
82 6.688 1.05992 41.8024
83 6.77006 1.06455 43.4872
84 6.85212 1.04378 45.1794
85 6.93418 1.03444 46.8969
86 7.01624 1.02946 48.6469
87 7.09831 1.02669 50.4332
88 7.18037 1.02684 52.2616
89 7.26243 0.995537 54.0748
90 7.34449 1.00593 55.9485
91 7.42655 1.00753 57.8674
92 7.50861 0.995049 59.8047
93 7.59067 0.991378 61.7772
94 7.67273 0.968778 63.7467
95 7.7548 0.977245 65.7762
96 7.83686 0.982676 67.8603
97 7.91892 0.971795 69.9647
98 8.00098 0.981314 72.1341
99 8.08304 0.977974 74.3403
100 8.1651 0.984939 76.6079
101 8.24716 0.977116 78.903
102 8.32923 0.987892 81.2696
103 8.41129 1.00123 83.7157
104 8.49335 1.00423 86.2175
105 8.57541 0.991497 88.7354
106 8.65747 0.985421 91.2858
107 8.73953 0.997178 93.9158
108 8.82159 1.00866 96.6264
109 8.90365 1.01068 99.3932
110 8.98572 1.00618 102.199
111 9.06778 1.00663 105.057
112 9.14984 0.994816 107.933
113 9.2319 0.996038 110.864
114 9.31396 0.99028 113.831
115 9.39602 0.999426 116.877
116 9.47808 1.00226 119.987
117 9.56015 0.990864 123.114
118 9.64221 1.00051 126.326
119 9.72427 0.997925 129.585
120 9.80633 1.00268 132.915
121 9.88839 0.992194 136.265
122 9.97045 1.00303 139.708
123 10.0525 1.00209 143.205
124 10.1346 0.996829 146.74
125 10.2166 0.995074 150.327
126 10.2987 0.991059 153.956
127 10.3808 0.998731 157.673
128 10.4628 0.997385 161.443
129 10.5449 0.999982 165.283
130 10.6269 1.00455 169.2
131 10.709 1.0054 173.182
132 10.7911 1.00428 177.22
133 10.8731 0.999498 181.301
134 10.9552 1.00444 185.464
135 11.0372 1.01043 189.714
136 11.1193 0.997729 193.974
137 11.2014 1.00647 198.335
138 11.2834 1.00843 202.768
139 11.3655 1.0058 207.255
140 11.4476 1.0133 211.84
141 11.5296 0.996844 216.416
142 11.6117 0.995992 221.053
143 11.6937 1.01113 225.828
144 11.7758 0.997621 230.605
145 11.8579 0.997919 235.451
146 11.9399 1.00692 240.408
147 12.022 0.996416 245.381
148 12.104 1.00683 250.475
149 12.1861 1.00333 255.62
150 12.2682 0.99577 260.795
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0.00055439 0.000111919
31 2.50287 0.0507054 0.01108
32 2.58493 0.613289 0.152434
33 2.66699 2.06825 0.659989
34 2.74905 3.15328 1.48215
35 2.83112 2.94495 2.29647
36 2.91318 2.19844 2.94012
37 2.99524 1.57354 3.4272
38 3.0773 1.17949 3.81253
39 3.15936 0.960346 4.14326
40 3.24142 0.853797 4.45271
41 3.32348 0.860871 4.78075
42 3.40555 0.84667 5.11953
43 3.48761 0.863633 5.48193
44 3.56967 0.832531 5.8479
45 3.65173 0.902082 6.2629
46 3.73379 0.921474 6.7061
47 3.81585 0.931952 7.17426
48 3.89791 0.965051 7.68013
49 3.97997 1.01588 8.23525
50 4.06204 1.04083 8.82776
51 4.1441 1.05429 9.45238
52 4.22616 1.09146 10.1249
53 4.30822 1.08132 10.8173
54 4.39028 1.09094 11.5428
55 4.47234 1.07971 12.2879
56 4.5544 1.07684 13.0584
57 4.63647 1.07826 13.8581
58 4.71853 1.08495 14.6914
59 4.80059 1.023 15.5048
60 4.88265 1.01094 16.3362
61 4.96471 1.00975 17.1947
62 5.04677 0.988405 18.0632
63 5.12883 0.962014 18.9362
64 5.21089 0.953997 19.8299
65 5.29296 0.948089 20.7462
66 5.37502 0.930379 21.6734
67 5.45708 0.913483 22.6119
68 5.53914 0.938658 23.6054
69 5.6212 0.897559 24.5838
70 5.70326 0.936699 25.6348
71 5.78532 0.928616 26.707
72 5.86739 0.942375 27.8262
73 5.94945 0.958706 28.9969
74 6.03151 0.976592 30.2225
75 6.11357 0.986398 31.4945
76 6.19563 0.997724 32.8157
77 6.27769 0.991819 34.1641
78 6.35975 1.02383 35.5926
79 6.44181 1.0362 37.076
80 6.52388 1.04168 38.6055
81 6.60594 1.0345 40.163
82 6.688 1.034 41.7586
83 6.77006 1.05393 43.4251
84 6.85212 1.05102 45.1275
85 6.93418 1.04766 46.8654
86 7.01624 1.03608 48.6248
87 7.09831 1.02998 50.4152
88 7.18037 1.02262 52.234
89 7.26243 1.01018 54.0721
90 7.34449 1.01206 55.9553
91 7.42655 0.990266 57.8395
92 7.50861 0.973929 59.7337
93 7.59067 0.991644 61.7049
94 7.67273 0.983198 63.7017
95 7.7548 0.97623 65.727
96 7.83686 0.987832 67.82
97 7.91892 0.967893 69.9138
98 8.00098 0.98355 72.0858
99 8.08304 0.973369 74.2797
100 8.1651 0.977906 76.5288
101 8.24716 0.980017 78.8284
102 8.32923 0.996567 81.2134
103 8.41129 0.995831 83.644
104 8.49335 0.995682 86.1218
105 8.57541 0.981452 88.6116
106 8.65747 0.993306 91.1801
107 8.73953 1.00139 93.8187
108 8.82159 0.991824 96.4813
109 8.90365 1.00213 99.2219
110 8.98572 1.00626 102.025
111 9.06778 1.00737 104.882
112 9.14984 1.00928 107.797
113 9.2319 1.00325 110.747
114 9.31396 0.995225 113.725
115 9.39602 1.00388 116.783
116 9.47808 0.996814 119.872
117 9.56015 1.00026 123.026
118 9.64221 1.00639 126.254
119 9.72427 0.988432 129.478
120 9.80633 1.00566 132.814
121 9.88839 0.999208 136.185
122 9.97045 1.00006 139.614
123 10.0525 0.99215 143.073
124 10.1346 1.00148 146.622
125 10.2166 0.999965 150.222
126 10.2987 0.99554 153.865
127 10.3808 1.00197 157.59
128 10.4628 0.999969 161.366
129 10.5449 1.0017 165.209
