# Time-averaged data for fix thermo_avg
# TimeStep v_epsilon_co v_temp v_press v_pe v_ke v_etotal v_vol v_dens
601000 0.55 299.446 -58.1008 -21229.9 3349.89 -17880 54621.3 1.04443
602000 0.55 298.842 -121.719 -21162.8 3343.14 -17819.7 54461 1.04751
603000 0.55 299.114 148.386 -21147.5 3346.18 -17801.3 54289.6 1.05086
604000 0.55 298.878 16.0523 -21158.7 3343.54 -17815.1 54054.8 1.05537
605000 0.55 300.342 -106.671 -21123.1 3359.92 -17763.2 54398 1.04873
606000 0.55 300.483 278.333 -21157.3 3361.5 -17795.8 54470.6 1.04732
607000 0.55 299.429 -231.645 -21117.8 3349.7 -17768.1 54665.5 1.04359
608000 0.55 301.699 39.1343 -21185.5 3375.1 -17810.4 54721 1.04254
609000 0.55 300.269 98.7906 -21158.5 3359.1 -17799.4 54575.9 1.0453
610000 0.55 302.326 -96.8664 -21141.4 3382.12 -17759.3 54296.5 1.05068
611000 0.55 298.907 -22.2348 -21167.3 3343.87 -17823.4 54264.5 1.05132
612000 0.55 300.625 -91.9644 -21159.2 3363.09 -17796.1 54213.9 1.05228
613000 0.55 299.493 -23.8519 -21147.6 3350.42 -17797.1 54026.5 1.05597
614000 0.55 298.156 3.28256 -21168.4 3335.47 -17832.9 54024.4 1.05597
615000 0.55 301.308 -78.6581 -21208.9 3370.72 -17838.2 54115.4 1.0542
616000 0.55 298.921 58.1962 -21174.7 3344.02 -17830.7 54231.8 1.05195
617000 0.55 300.395 15.7908 -21128.5 3360.52 -17768 54373.9 1.0492
618000 0.55 299.611 193.689 -21108.7 3351.74 -17756.9 54049 1.05549
619000 0.55 296.703 -36.6092 -21168.5 3319.21 -17849.3 54314.4 1.05035
620000 0.55 298.905 160.831 -21155.9 3343.84 -17812 54435.6 1.048
621000 0.55 298.823 57.466 -21144.1 3342.93 -17801.2 54293.6 1.05073
622000 0.55 300.486 167.167 -21158.1 3361.53 -17796.6 54322.1 1.05019
623000 0.55 300.032 26.0843 -21104.5 3356.45 -17748 54155.9 1.05348
624000 0.55 300.444 -176.712 -21153.9 3361.06 -17792.9 54406.2 1.04856
625000 0.55 300.252 56.0135 -21170 3358.91 -17811.1 54177 1.05299
626000 0.55 299.892 6.21531 -21133.7 3354.89 -17778.8 54237.7 1.05182
627000 0.55 299.613 21.2866 -21170.9 3351.77 -17819.1 54324.8 1.05013
628000 0.55 298.44 122.085 -21154.6 3338.65 -17816 54507.1 1.04662
629000 0.55 301.744 -213.234 -21137.9 3375.6 -17762.3 54245 1.05169
630000 0.55 300.201 -75.4734 -21162.6 3358.34 -17804.2 54291.4 1.05078
631000 0.55 300.474 72.5304 -21158.1 3361.4 -17796.7 54312.8 1.05037
632000 0.55 299.39 181.15 -21205.8 3349.27 -17856.5 54353.8 1.04956
633000 0.55 302.006 -32.1518 -21166 3378.53 -17787.5 54668 1.04355
634000 0.55 300.068 -141.609 -21214.5 3356.86 -17857.6 54374.3 1.04918
635000 0.55 299.424 -6.09715 -21155.1 3349.65 -17805.4 54449.4 1.04772
636000 0.55 299.814 1.13723 -21141.3 3354.01 -17787.2 54591.6 1.045
637000 0.55 298.609 2.98224 -21140.6 3340.54 -17800.1 54134.6 1.05382
638000 0.55 302.451 85.5076 -21200.5 3383.52 -17817 54295.7 1.05069
639000 0.55 298.237 -103.677 -21135.6 3336.37 -17799.2 54424.2 1.04821
640000 0.55 300.157 23.3484 -21141 3357.85 -17783.1 54288.6 1.05084
641000 0.55 297.658 -32.086 -21098.8 3329.9 -17768.9 54022.3 1.05603
642000 0.55 300.589 98.741 -21140.6 3362.68 -17777.9 54119.9 1.0541
643000 0.55 298.249 112.065 -21142.2 3336.5 -17805.7 54064.2 1.05519
644000 0.55 300.051 -239.33 -21182.5 3356.66 -17825.8 54466.1 1.0474
645000 0.55 300.926 97.5109 -21186.4 3366.45 -17820 54357.7 1.04949
646000 0.55 300.447 -176.035 -21207.5 3361.1 -17846.4 54352.1 1.04961
647000 0.55 299.586 -75.7646 -21143 3351.46 -17791.5 54152.1 1.05351
648000 0.55 301.505 51.9685 -21136.1 3372.93 -17763.1 54428.9 1.04812
649000 0.55 299.864 141.381 -21156.1 3354.57 -17801.5 54402 1.04865
650000 0.55 300.16 55.0192 -21208.5 3357.89 -17850.6 54544.9 1.04591
651000 0.55 302.041 -1.11771 -21202.2 3378.93 -17823.2 54697.8 1.04297
652000 0.55 301.263 -50.1245 -21180 3370.23 -17809.8 54226.4 1.05204
653000 0.55 300.812 -0.782809 -21176.8 3365.18 -17811.6 53959.1 1.05725
654000 0.55 299.617 34.3624 -21131 3351.81 -17779.2 54445.3 1.04782
655000 0.55 302.242 52.9621 -21154.6 3381.17 -17773.4 54523.1 1.04632
656000 0.55 299.732 34.9459 -21203.1 3353.1 -17850 54312.3 1.05038
657000 0.55 299.827 37.3445 -21204.9 3354.16 -17850.7 54389.5 1.04889
658000 0.55 297.708 248.239 -21207.7 3330.46 -17877.2 54316.3 1.0503
659000 0.55 299.145 55.0918 -21163 3346.52 -17816.5 54450.5 1.04772
660000 0.55 300.057 35.7599 -21182.9 3356.74 -17826.1 54470.3 1.04734
661000 0.55 298.948 58.3298 -21192.3 3344.32 -17847.9 54131.4 1.05388
662000 0.55 301.017 128.86 -21215.1 3367.48 -17847.6 54419.6 1.04831
663000 0.55 300.65 -24.1424 -21188.2 3363.36 -17824.9 54315.2 1.05031
664000 0.55 300.312 -6.22069 -21214.2 3359.59 -17854.6 54305.3 1.05053
665000 0.55 298.437 139.716 -21099.1 3338.61 -17760.5 54492.6 1.04692
666000 0.55 300.527 170.601 -21208 3361.98 -17846 54710.3 1.04272
667000 0.55 301.651 94.5209 -21188.3 3374.57 -17813.7 54412 1.04845
668000 0.55 302.484 36.7461 -21205.8 3383.89 -17821.9 54334.5 1.04995
669000 0.55 300.929 -13.3237 -21187.8 3366.49 -17821.3 54313.4 1.05035
670000 0.55 300.538 -9.40302 -21171.6 3362.12 -17809.4 54259.6 1.0514
671000 0.55 301.564 163.73 -21139 3373.6 -17765.4 54427.6 1.04815
672000 0.55 298.993 181.457 -21152.3 3344.83 -17807.5 54568.5 1.04545
673000 0.55 300.904 -201.201 -21215.8 3366.21 -17849.6 54118.1 1.05415
674000 0.55 300.272 -55.3741 -21225.1 3359.13 -17866 53992.4 1.05661
675000 0.55 301.437 -79.3577 -21141.6 3372.17 -17769.4 54588.2 1.04507
676000 0.55 299.918 -105.005 -21175.5 3355.17 -17820.3 54214 1.05229
677000 0.55 300.445 -259.453 -21208 3361.08 -17846.9 54086.3 1.05476
678000 0.55 300.55 31.7223 -21162.3 3362.24 -17800.1 53792.3 1.06056
679000 0.55 298.897 -61.235 -21152.6 3343.75 -17808.8 54293.7 1.05074
680000 0.55 299.47 197.013 -21176.2 3350.17 -17826 54242.5 1.05172
681000 0.55 301.614 21.5733 -21219 3374.15 -17844.9 54711.7 1.04272
682000 0.55 299.694 -49.7796 -21185.2 3352.67 -17832.6 54297.7 1.05068
683000 0.55 300.111 65.4554 -21150.9 3357.34 -17793.6 54280.8 1.05099
684000 0.55 299.867 37.601 -21255.5 3354.61 -17900.9 54341.3 1.04981
685000 0.55 300.755 158.458 -21192.7 3364.54 -17828.2 54498.2 1.04679
686000 0.55 299.874 118.575 -21216.9 3354.69 -17862.2 54100.8 1.05447
687000 0.55 301.251 74.8169 -21185.3 3370.08 -17815.2 54389.1 1.0489
688000 0.55 301.404 -178.653 -21145.1 3371.8 -17773.3 54398.3 1.04872
689000 0.55 301.483 -91.1837 -21139.4 3372.68 -17766.8 54471.5 1.0473
690000 0.55 299.296 -29.9986 -21167.7 3348.22 -17819.5 54158.3 1.05336
691000 0.55 301.016 122.036 -21189.4 3367.46 -17821.9 54080.4 1.05489
692000 0.55 299.323 -83.6634 -21124.7 3348.52 -17776.1 54250.1 1.05157
693000 0.55 300.103 -71.5882 -21118.2 3357.25 -17760.9 54416.1 1.04838
694000 0.55 301.29 -183.52 -21140.8 3370.53 -17770.2 54381 1.04905
695000 0.55 298.437 178.83 -21155.7 3338.61 -17817.1 54286.2 1.05088
696000 0.55 299.742 142.449 -21210.3 3353.21 -17857.1 54650.7 1.04387
697000 0.55 299.75 -187.151 -21256.6 3353.3 -17903.3 54555.3 1.04571
698000 0.55 299.776 -300.985 -21197 3353.59 -17843.4 54160.4 1.05333
699000 0.55 300.835 82.5137 -21177.8 3365.44 -17812.4 54350.3 1.04964
700000 0.55 300.316 -133.824 -21189.5 3359.63 -17829.8 54365.6 1.04935
701000 0.55 299.122 36.2834 -21198.7 3346.27 -17852.5 54512.1 1.04652
702000 0.55 301.59 -13.9934 -21202 3373.89 -17828.1 54131 1.05389
703000 0.55 299.646 -73.0771 -21147.1 3352.14 -17794.9 54413 1.04843
704000 0.55 301.52 287.191 -21173 3373.1 -17799.9 54096.9 1.05454
705000 0.55 299.227 -18.487 -21167.4 3347.44 -17819.9 54191.7 1.05273
706000 0.55 299.786 -74.3601 -21120.8 3353.7 -17767.1 54276.1 1.05108
707000 0.55 300.274 148.913 -21117.3 3359.16 -17758.2 54286.8 1.05087
708000 0.55 301.451 121.148 -21165 3372.33 -17792.7 54366.1 1.04933
709000 0.55 300.128 -133.542 -21152.5 3357.52 -17795 54265 1.0513
710000 0.55 300.86 40.0182 -21155.2 3365.71 -17789.5 54327.2 1.05008
711000 0.55 300.829 105.061 -21165.2 3365.37 -17799.9 54383.2 1.04902
712000 0.55 299.914 -216.098 -21078.6 3355.13 -17723.5 54189.4 1.05277
713000 0.55 299.616 -72.268 -21139.4 3351.8 -17787.6 54061.1 1.05527
714000 0.55 299.478 -119.428 -21154.7 3350.25 -17804.4 53893.7 1.05853
715000 0.55 299.663 64.7114 -21150.7 3352.33 -17798.4 54117.1 1.05415
716000 0.55 300.569 8.36111 -21169.7 3362.46 -17807.3 54127.7 1.05396
717000 0.55 302.036 -62.4845 -21198.6 3378.87 -17819.7 54195.1 1.05264
718000 0.55 300.036 28.4597 -21188.6 3356.49 -17832.1 54122.8 1.05404
719000 0.55 300.678 20.2473 -21167 3363.67 -17803.4 54520.4 1.04638
720000 0.55 300.289 -221.856 -21132.1 3359.33 -17772.8 54254.9 1.05148
721000 0.55 299.712 -14.8779 -21164.6 3352.87 -17811.7 54387.6 1.04894
722000 0.55 298.322 13.9639 -21100.2 3337.32 -17762.9 54307.7 1.05046
723000 0.55 301.209 58.8052 -21125.8 3369.62 -17756.2 54003.9 1.05639
724000 0.55 300.282 -50.6891 -21156.4 3359.25 -17797.1 54170.4 1.05312
725000 0.55 300.83 25.4426 -21188.3 3365.38 -17822.9 54153.6 1.05346
726000 0.55 300.829 173.43 -21179 3365.37 -17813.6 54133.3 1.05386
727000 0.55 300.247 -111.523 -21133 3358.85 -17774.1 54243.7 1.0517
728000 0.55 299.968 301.789 -21104.7 3355.73 -17748.9 54440 1.0479
729000 0.55 298.49 5.74814 -21218 3339.2 -17878.8 54208 1.05239
730000 0.55 300.115 212.914 -21185 3357.38 -17827.7 54134.4 1.05383
731000 0.55 301.509 -218.058 -21163.9 3372.98 -17790.9 54094 1.05461
732000 0.55 297.596 45.5294 -21182.3 3329.2 -17853.1 54646.2 1.04398
733000 0.55 300.999 323.959 -21164.4 3367.27 -17797.2 54346.8 1.04971
734000 0.55 298.877 160.384 -21155.3 3343.53 -17811.8 54183.2 1.05288
735000 0.55 301.36 -116.086 -21188.7 3371.31 -17817.4 53896.3 1.05847
736000 0.55 299.73 44.7254 -21180.2 3353.08 -17827.1 54264 1.05131
737000 0.55 299.98 97.5062 -21119.8 3355.87 -17763.9 54628.9 1.04431
738000 0.55 298.832 140.557 -21194.5 3343.02 -17851.5 54307 1.05047
739000 0.55 298.855 165.674 -21234.6 3343.28 -17891.3 54372.7 1.04921
740000 0.55 301.937 -191.756 -21120.7 3377.77 -17742.9 54372.7 1.04923
741000 0.55 299.518 103.085 -21142 3350.7 -17791.3 54098.1 1.05453
742000 0.55 300.765 -40.0426 -21099 3364.65 -17734.4 54098 1.05454
743000 0.55 301.105 -44.5577 -21163.7 3368.45 -17795.2 54011.3 1.05625
744000 0.55 300.495 -27.1924 -21036.3 3361.63 -17674.7 53846.5 1.05946
745000 0.55 300.202 12.6656 -21120.8 3358.36 -17762.5 54325.3 1.05012
746000 0.55 298.953 136.793 -21152.6 3344.38 -17808.2 54256.3 1.05148
747000 0.55 299.351 100.588 -21140.7 3348.83 -17791.9 54349 1.04966
748000 0.55 300.058 186.157 -21221.6 3356.74 -17864.9 54020.9 1.05605
749000 0.55 302.26 -20.0426 -21157.3 3381.38 -17775.9 54262.4 1.05134
750000 0.55 299.007 -18.531 -21151.9 3344.99 -17806.9 54154.7 1.05345
751000 0.55 299.51 78.4084 -21130 3350.62 -17779.4 54371.7 1.04922
752000 0.55 299.364 -262.182 -21176 3348.98 -17827 54192.7 1.05269
753000 0.55 300.734 3.71287 -21176.3 3364.3 -17812 54130.8 1.0539
754000 0.55 303.869 -79.8205 -21199.4 3399.38 -17800 54133.2 1.05385
755000 0.55 298.254 58.0155 -21167.9 3336.57 -17831.4 54372.9 1.04921
756000 0.55 300.196 63.5513 -21118.8 3358.28 -17760.5 54248.5 1.05161
757000 0.55 299.906 -174.482 -21172.2 3355.05 -17817.1 54941.8 1.03833
758000 0.55 300.745 119.829 -21153.2 3364.43 -17788.8 54539.2 1.04604
759000 0.55 300.14 38.6146 -21095 3357.66 -17737.4 54137.7 1.05376
760000 0.55 301.584 91.6033 -21142.7 3373.81 -17768.9 54778.1 1.04144
761000 0.55 301.619 -153.069 -21180.7 3374.21 -17806.5 54407.2 1.04854
762000 0.55 299.524 100.283 -21154.1 3350.77 -17803.3 54197.1 1.0526
763000 0.55 300.213 15.37 -21190.3 3358.48 -17831.8 54037.4 1.05573
764000 0.55 298.947 67.8313 -21182.2 3344.31 -17837.9 54297.8 1.05065
765000 0.55 300.465 110.974 -21152.4 3361.29 -17791.1 54032 1.05583
766000 0.55 300.12 80.8081 -21155.4 3357.44 -17798 54211.3 1.05233
767000 0.55 300.274 -27.2106 -21102.9 3359.16 -17743.7 54085.2 1.0548
768000 0.55 299.896 37.2206 -21108.8 3354.93 -17753.9 54054.4 1.05538
769000 0.55 299.553 -22.642 -21101.6 3351.09 -17750.5 54436.7 1.04798
770000 0.55 299.738 -35.714 -21150.4 3353.16 -17797.3 54450.1 1.04771
771000 0.55 300.749 155.116 -21128.7 3364.47 -17764.3 54555.4 1.0457
772000 0.55 301.029 -371.002 -21135.3 3367.61 -17767.7 54313.6 1.05035
773000 0.55 300.349 -48.8428 -21122.4 3360 -17762.4 54258.2 1.05142
774000 0.55 301.285 -34.3774 -21074.9 3370.47 -17704.4 54361.3 1.04943
775000 0.55 300.168 32.7938 -21134.7 3357.97 -17776.7 54273.3 1.05116
776000 0.55 299.882 -117.878 -21133.8 3354.78 -17779 54387 1.04893
777000 0.55 297.728 72.8932 -21078.7 3330.68 -17748 54404.9 1.0486
778000 0.55 300.704 -142.37 -21122.4 3363.97 -17758.4 54285.7 1.0509
779000 0.55 299.908 85.8277 -21123.6 3355.07 -17768.5 54456.5 1.04761
780000 0.55 299.671 129.122 -21184.5 3352.42 -17832.1 54403.3 1.04862
781000 0.55 299.44 253.63 -21188.9 3349.83 -17839.1 54514.2 1.04648
782000 0.55 300.273 -30.2151 -21239.6 3359.14 -17880.4 54197.7 1.05258
783000 0.55 298.768 5.69867 -21150.5 3342.31 -17808.1 54370.7 1.04924
784000 0.55 300.502 -121.081 -21130.5 3361.71 -17768.8 54684 1.04325
785000 0.55 299.232 -192.92 -21132.6 3347.5 -17785.1 54534.4 1.0461
786000 0.55 300.731 -133.071 -21113.9 3364.27 -17749.6 53961.6 1.05721
787000 0.55 299.846 -213.692 -21166.1 3354.37 -17811.8 54218.5 1.0522
788000 0.55 299.858 77.9423 -21170.7 3354.51 -17816.2 54547.9 1.04584
789000 0.55 300.899 -36.0647 -21208.2 3366.15 -17842.1 54378.9 1.04908
790000 0.55 300.075 -112.699 -21162.2 3356.94 -17805.3 54361.3 1.04951
791000 0.55 298.561 -47.8104 -21107.9 3339.99 -17768 53928.9 1.05784
792000 0.55 299.116 -190.715 -21108.5 3346.2 -17762.3 54133.5 1.05385
793000 0.55 299.813 114.72 -21172 3354 -17818 54151.4 1.05349
794000 0.55 300.16 238.86 -21128.5 3357.88 -17770.6 54268.6 1.05122
795000 0.55 299.314 59.6473 -21171.1 3348.42 -17822.7 54529.4 1.0462
796000 0.55 298.349 -14.4557 -21224.3 3337.63 -17886.7 54422 1.04828
797000 0.55 302.511 194.653 -21212.3 3384.19 -17828.1 54554.1 1.04571
798000 0.55 299.247 187.988 -21142.3 3347.67 -17794.6 54380.8 1.04905
799000 0.55 298.969 -245.461 -21162.4 3344.56 -17817.8 54440.9 1.0479
800000 0.55 297.778 186.597 -21178.6 3331.24 -17847.3 54587 1.04508
801000 0.55 300.576 55.9805 -21147.4 3362.54 -17784.9 54773.5 1.04153
802000 0.55 299.412 193.427 -21142.1 3349.52 -17792.6 54334.4 1.04996
803000 0.55 300.197 140.764 -21154.1 3358.3 -17795.8 54385.9 1.04896
804000 0.55 300.523 0.435892 -21170.4 3361.95 -17808.4 54196.3 1.05262
805000 0.55 298.745 129.039 -21131.4 3342.06 -17789.3 53942.7 1.05756
806000 0.55 301.156 -12.1188 -21134.3 3369.03 -17765.3 54216.8 1.05224
807000 0.55 299.501 28.3773 -21094.1 3350.51 -17743.6 54146.3 1.0536
808000 0.55 301.305 154.627 -21029.8 3370.69 -17659.1 54142.7 1.05368
809000 0.55 301.68 -186.899 -21135.6 3374.89 -17760.7 54558.3 1.04564
