# Time-averaged data for fix rdf_CO_avg
# TimeStep Number-of-rows
# Row c_rdf_CO[1] c_rdf_CO[2] c_rdf_CO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0.00577469 0.00166667
37 2.99524 0.0713047 0.0233333
38 3.0773 0.167667 0.0772222
39 3.15936 0.387356 0.208333
40 3.24142 0.53166 0.397778
41 3.32348 0.750253 0.678889
42 3.40555 0.826383 1.00389
43 3.48761 0.863421 1.36
44 3.56967 0.879505 1.74
45 3.65173 0.805436 2.10444
46 3.73379 0.755786 2.46167
47 3.81585 0.776395 2.845
48 3.89791 0.738812 3.22556
49 3.97997 0.698966 3.60111
50 4.06204 0.723451 4.00611
51 4.1441 0.695598 4.41111
52 4.22616 0.735832 4.85667
53 4.30822 0.732255 5.31778
54 4.39028 0.718222 5.78722
55 4.47234 0.790409 6.32333
56 4.5544 0.74704 6.84889
57 4.63647 0.716384 7.37111
58 4.71853 0.764427 7.94833
59 4.80059 0.797085 8.57111
60 4.88265 0.729047 9.16056
61 4.96471 0.740373 9.77944
62 5.04677 0.748988 10.4261
63 5.12883 0.718868 11.0672
64 5.21089 0.722333 11.7322
65 5.29296 0.689379 12.3872
66 5.37502 0.731536 13.1039
67 5.45708 0.745363 13.8567
68 5.53914 0.772988 14.6611
69 5.6212 0.771881 15.4883
70 5.70326 0.790698 16.3606
71 5.78532 0.833994 17.3072
72 5.86739 0.858333 18.3089
73 5.94945 0.904896 19.3956
74 6.03151 0.895311 20.5
75 6.11357 0.920501 21.6667
76 6.19563 0.950174 22.9033
77 6.27769 0.918746 24.1311
78 6.35975 0.946046 25.4283
79 6.44181 0.958513 26.7772
80 6.52388 0.973731 28.1828
81 6.60594 0.997489 29.6589
82 6.688 0.98752 31.1567
83 6.77006 1.00315 32.7156
84 6.85212 1.01788 34.3361
85 6.93418 1.00499 35.975
86 7.01624 1.02978 37.6939
87 7.09831 1.03708 39.4656
88 7.18037 1.04881 41.2994
89 7.26243 1.01368 43.1122
90 7.34449 1.02952 44.9956
91 7.42655 1.03993 46.9406
92 7.50861 1.00872 48.8689
93 7.59067 1.08121 50.9817
94 7.67273 1.06922 53.1172
95 7.7548 1.05102 55.2606
96 7.83686 1.08894 57.5283
97 7.91892 1.0625 59.7878
98 8.00098 1.06536 62.1
99 8.08304 1.08573 64.5056
100 8.1651 1.11151 67.0183
101 8.24716 1.08208 69.5144
102 8.32923 1.08165 72.0589
103 8.41129 1.11267 74.7283
104 8.49335 1.12085 77.47
105 8.57541 1.11921 80.2611
106 8.65747 1.13091 83.1356
107 8.73953 1.10832 86.0061
108 8.82159 1.14437 89.0261
109 8.90365 1.12236 92.0439
110 8.98572 1.10839 95.0789
111 9.06778 1.12374 98.2122
112 9.14984 1.101 101.338
113 9.2319 1.09362 104.499
114 9.31396 1.07635 107.665
115 9.39602 1.06433 110.852
116 9.47808 1.07212 114.118
117 9.56015 1.02969 117.309
118 9.64221 1.03743 120.58
119 9.72427 1.01459 123.833
120 9.80633 1.0161 127.147
121 9.88839 0.993503 130.441
122 9.97045 0.982646 133.753
123 10.0525 0.978804 137.108
124 10.1346 0.985203 140.539
125 10.2166 0.969015 143.969
126 10.2987 0.949323 147.383
127 10.3808 0.982708 150.974
128 10.4628 0.982366 154.622
129 10.5449 0.98401 158.332
130 10.6269 0.9968 162.149
131 10.709 0.992875 166.011
132 10.7911 1.00395 169.976
133 10.8731 0.983919 173.921
134 10.9552 1.02478 178.091
135 11.0372 1.01591 182.288
136 11.1193 1.01561 186.546
137 11.2014 0.988041 190.749
138 11.2834 1.02753 195.186
139 11.3655 1.03626 199.726
140 11.4476 1.02834 204.296
141 11.5296 1.0337 208.956
142 11.6117 1.02152 213.627
143 11.6937 1.02163 218.364
144 11.7758 1.03569 223.234
145 11.8579 1.01229 228.061
146 11.9399 1.0097 232.943
147 12.022 1.02155 237.951
148 12.104 1.03314 243.083
149 12.1861 0.998104 248.109
150 12.2682 1.01292 253.279
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0.00192593 0.000555556
37 2.99524 0.0619218 0.0194444
38 3.0773 0.165709 0.0727778
39 3.15936 0.400803 0.208889
40 3.24142 0.585964 0.418333
41 3.32348 0.722917 0.69
42 3.40555 0.764824 0.991667
43 3.48761 0.844849 1.34111
44 3.56967 0.801647 1.68833
45 3.65173 0.824446 2.06222
46 3.73379 0.799184 2.44111
47 3.81585 0.722439 2.79889
48 3.89791 0.687026 3.15389
49 3.97997 0.74063 3.55278
50 4.06204 0.699028 3.945
51 4.1441 0.717364 4.36389
52 4.22616 0.73629 4.81111
53 4.30822 0.758428 5.29
54 4.39028 0.746739 5.77944
55 4.47234 0.762812 6.29833
56 4.5544 0.742066 6.82167
57 4.63647 0.775661 7.38889
58 4.71853 0.77791 7.97778
59 4.80059 0.747334 8.56333
60 4.88265 0.74736 9.16944
61 4.96471 0.709866 9.76444
62 5.04677 0.685012 10.3578
63 5.12883 0.719212 11.0011
64 5.21089 0.699075 11.6467
65 5.29296 0.713657 12.3267
66 5.37502 0.717538 13.0317
67 5.45708 0.699362 13.74
68 5.53914 0.767756 14.5411
69 5.6212 0.767236 15.3656
70 5.70326 0.786184 16.235
71 5.78532 0.832554 17.1828
72 5.86739 0.844541 18.1717
73 5.94945 0.884817 19.2367
74 6.03151 0.911468 20.3644
75 6.11357 0.921819 21.5361
76 6.19563 0.949594 22.7756
77 6.27769 0.964644 24.0683
78 6.35975 0.937872 25.3583
79 6.44181 0.998771 26.7678
80 6.52388 0.935522 28.1217
81 6.60594 0.966192 29.5556
82 6.688 0.969775 31.0311
83 6.77006 0.982949 32.5633
84 6.85212 0.991357 34.1461
85 6.93418 1.04223 35.85
86 7.01624 1.00166 37.5267
87 7.09831 1.01612 39.2678
88 7.18037 1.05388 41.1156
89 7.26243 1.04245 42.9856
90 7.34449 1.02943 44.8739
91 7.42655 1.02932 46.8044
92 7.50861 1.02599 48.7717
93 7.59067 1.05163 50.8322
94 7.67273 1.0504 52.935
95 7.7548 1.05635 55.0956
96 7.83686 1.04433 57.2767
97 7.91892 1.0725 59.5639
98 8.00098 1.10193 61.9628
99 8.08304 1.08084 64.3644
100 8.1651 1.11316 66.8883
101 8.24716 1.09 69.4094
102 8.32923 1.10728 72.0217
103 8.41129 1.0973 74.6611
104 8.49335 1.11833 77.4044
105 8.57541 1.13441 80.2417
106 8.65747 1.12182 83.1011
107 8.73953 1.15648 86.105
108 8.82159 1.14841 89.1444
109 8.90365 1.12464 92.1767
110 8.98572 1.13251 95.2867
111 9.06778 1.10513 98.3772
112 9.14984 1.11089 101.539
113 9.2319 1.07874 104.666
114 9.31396 1.10726 107.932
115 9.39602 1.05084 111.087
116 9.47808 1.05079 114.297
117 9.56015 1.06111 117.594
118 9.64221 1.0272 120.842
119 9.72427 1.02004 124.122
120 9.80633 1.0271 127.481
121 9.88839 1.03058 130.908
122 9.97045 1.01037 134.323
123 10.0525 0.970774 137.659
124 10.1346 0.970677 141.05
125 10.2166 0.982849 144.539
126 10.2987 0.962316 148.01
127 10.3808 0.992316 151.647
128 10.4628 0.996737 155.357
129 10.5449 1.00061 159.141
130 10.6269 0.996556 162.968
131 10.709 0.991661 166.835
132 10.7911 0.972298 170.685
133 10.8731 0.988936 174.661
