# Time-averaged data for fix rdf_CC_avg
# TimeStep Number-of-rows
# Row c_rdf_CC[1] c_rdf_CC[2] c_rdf_CC[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.0866467 0.00222222
35 2.83112 0.204589 0.00777778
36 2.91318 1.00232 0.0366667
37 2.99524 2.11107 0.101111
38 3.0773 5.04032 0.263333
39 3.15936 7.08205 0.503333
40 3.24142 9.21093 0.832222
41 3.32348 11.7546 1.27333
42 3.40555 13.9311 1.82222
43 3.48761 13.7977 2.39222
44 3.56967 16.1934 3.09333
45 3.65173 15.9627 3.81667
46 3.73379 15.793 4.56444
47 3.81585 16.3769 5.37444
48 3.89791 15.6882 6.18444
49 3.97997 15.2621 7.00556
50 4.06204 15.2988 7.86333
51 4.1441 15.5965 8.77333
52 4.22616 16.5163 9.77556
53 4.30822 16.1115 10.7911
54 4.39028 16.6866 11.8833
55 4.47234 16.131 12.98
56 4.5544 16.9689 14.1756
57 4.63647 16.1468 15.3544
58 4.71853 15.4824 16.5256
59 4.80059 15.4971 17.7389
60 4.88265 14.3664 18.9022
61 4.96471 15.1951 20.1744
62 5.04677 14.8876 21.4622
63 5.12883 14.8245 22.7867
64 5.21089 13.5661 24.0378
65 5.29296 13.3105 25.3044
66 5.37502 12.9568 26.5767
67 5.45708 13.3494 27.9267
68 5.53914 13.3131 29.3144
69 5.6212 11.657 30.5656
70 5.70326 11.2648 31.81
71 5.78532 10.467 33
72 5.86739 9.51149 34.1122
73 5.94945 9.32382 35.2333
74 6.03151 8.31776 36.2611
75 6.11357 7.67896 37.2356
76 6.19563 6.61133 38.0978
77 6.27769 5.4695 38.83
78 6.35975 4.96704 39.5122
79 6.44181 4.23332 40.1089
80 6.52388 3.52876 40.6189
81 6.60594 2.51926 40.9922
82 6.688 2.00417 41.2967
83 6.77006 1.54777 41.5378
84 6.85212 1.14308 41.72
85 6.93418 0.823466 41.8544
86 7.01624 0.691098 41.97
87 7.09831 0.500039 42.0556
88 7.18037 0.507978 42.1444
89 7.26243 0.35948 42.2089
90 7.34449 0.247927 42.2544
91 7.42655 0.189857 42.29
92 7.50861 0.214865 42.3311
93 7.59067 0.272093 42.3844
94 7.67273 0.199502 42.4244
95 7.7548 0.206992 42.4667
96 7.83686 0.286675 42.5267
97 7.91892 0.328259 42.5967
98 8.00098 0.301249 42.6622
99 8.08304 0.245492 42.7167
100 8.1651 0.29393 42.7833
101 8.24716 0.403813 42.8767
102 8.32923 0.377168 42.9656
103 8.41129 0.406371 43.0633
104 8.49335 0.399021 43.1611
105 8.57541 0.46663 43.2778
106 8.65747 0.5496 43.4178
107 8.73953 0.50534 43.5489
108 8.82159 0.558559 43.6967
109 8.90365 0.585374 43.8544
110 8.98572 0.624094 44.0256
111 9.06778 0.520928 44.1711
112 9.14984 0.624768 44.3489
113 9.2319 0.656276 44.5389
114 9.31396 0.6896 44.7422
115 9.39602 0.759635 44.97
116 9.47808 0.702893 45.1844
117 9.56015 0.869737 45.4544
118 9.64221 0.826216 45.7156
119 9.72427 0.829615 45.9822
120 9.80633 0.860031 46.2633
121 9.88839 0.836228 46.5411
122 9.97045 0.908098 46.8478
123 10.0525 0.981091 47.1844
124 10.1346 0.910166 47.5022
125 10.2166 0.939329 47.8356
126 10.2987 0.9716 48.1856
127 10.3808 0.995316 48.55
128 10.4628 0.979879 48.9144
129 10.5449 0.964797 49.2789
130 10.6269 1.08084 49.6933
131 10.709 1.1093 50.1256
132 10.7911 1.06476 50.5467
133 10.8731 1.11785 50.9956
134 10.9552 1.1609 51.4689
135 11.0372 1.11351 51.93
136 11.1193 1.1449 52.4111
137 11.2014 1.29563 52.9633
138 11.2834 1.1967 53.4811
139 11.3655 1.16718 53.9933
140 11.4476 1.28015 54.5633
141 11.5296 1.28701 55.1444
142 11.6117 1.20586 55.6967
143 11.6937 1.21505 56.2611
144 11.7758 1.33262 56.8889
145 11.8579 1.34635 57.5322
146 11.9399 1.29893 58.1611
147 12.022 1.39141 58.8444
148 12.104 1.40006 59.5411
149 12.1861 1.2531 60.1733
150 12.2682 1.315 60.8456
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.17197 0.00444444
35 2.83112 0.284127 0.0122222
36 2.91318 1.15181 0.0455556
37 2.99524 2.80219 0.131111
38 3.0773 4.20069 0.266667
39 3.15936 7.32022 0.515556
40 3.24142 8.37932 0.815556
41 3.32348 11.3367 1.24222
42 3.40555 13.1031 1.76
43 3.48761 14.2686 2.35111
44 3.56967 14.9466 3
45 3.65173 16.0759 3.73
46 3.73379 15.8414 4.48222
47 3.81585 15.9511 5.27333
48 3.89791 16.7011 6.13778
49 3.97997 15.7369 6.98667
50 4.06204 15.8349 7.87667
51 4.1441 15.9682 8.81111
52 4.22616 15.9368 9.78111
53 4.30822 15.8546 10.7833
54 4.39028 15.7054 11.8144
55 4.47234 16.5707 12.9433
56 4.5544 15.9782 14.0722
57 4.63647 16.2082 15.2589
58 4.71853 15.6173 16.4433
59 4.80059 14.9271 17.6156
60 4.88265 14.6283 18.8033
61 4.96471 15.2173 20.0811
62 5.04677 14.9572 21.3789
63 5.12883 14.5806 22.6856
64 5.21089 13.7377 23.9556
65 5.29296 13.2737 25.2222
66 5.37502 13.4124 26.5422
67 5.45708 13.0447 27.8656
68 5.53914 12.6219 29.1844
69 5.6212 12.098 30.4867
70 5.70326 11.0697 31.7133
71 5.78532 11.2537 32.9967
72 5.86739 9.96923 34.1656
73 5.94945 8.59073 35.2011
74 6.03151 8.41106 36.2433
75 6.11357 6.99939 37.1344
76 6.19563 6.54215 37.99
77 6.27769 5.38044 38.7122
78 6.35975 5.11386 39.4167
79 6.44181 3.8675 39.9633
80 6.52388 3.34283 40.4478
81 6.60594 2.80286 40.8644
82 6.688 1.93258 41.1589
83 6.77006 1.40069 41.3778
84 6.85212 1.13267 41.5589
85 6.93418 0.827525 41.6944
86 7.01624 0.596273 41.7944
87 7.09831 0.44684 41.8711
88 7.18037 0.303298 41.9244
89 7.26243 0.166795 41.9544
90 7.34449 0.0784616 41.9689
91 7.42655 0.100741 41.9878
92 7.50861 0.0519956 41.9978
93 7.59067 0.0340764 42.0044
94 7.67273 0.0389165 42.0122
95 7.7548 0.0379099 42.02
96 7.83686 0.0794604 42.0367
97 7.91892 0.0519964 42.0478
98 8.00098 0.0660292 42.0622
99 8.08304 0.0950582 42.0833
100 8.1651 0.0928656 42.1044
101 8.24716 0.0909242 42.1256
102 8.32923 0.136228 42.1578
103 8.41129 0.115278 42.1856
104 8.49335 0.0995323 42.21
105 8.57541 0.128235 42.2422
106 8.65747 0.199795 42.2933
107 8.73953 0.213115 42.3489
108 8.82159 0.213826 42.4056
109 8.90365 0.242569 42.4711
110 8.98572 0.323108 42.56
111 9.06778 0.293117 42.6422
112 9.14984 0.280619 42.7222
113 9.2319 0.325116 42.8167
114 9.31396 0.342349 42.9178
115 9.39602 0.372958 43.03
116 9.47808 0.402904 43.1533
117 9.56015 0.527992 43.3178
118 9.64221 0.480548 43.47
119 9.72427 0.5 43.6311
120 9.80633 0.501857 43.7956
121 9.88839 0.513598 43.9667
122 9.97045 0.512068 44.14
123 10.0525 0.558413 44.3322
124 10.1346 0.663285 44.5644
125 10.2166 0.637312 44.7911
126 10.2987 0.651679 45.0267
127 10.3808 0.647635 45.2644
128 10.4628 0.738935 45.54
