# Time-averaged data for fix rdf_CC_avg
# TimeStep Number-of-rows
# Row c_rdf_CC[1] c_rdf_CC[2] c_rdf_CC[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.0424654 0.00111111
35 2.83112 0.322703 0.01
36 2.91318 1.67386 0.0588889
37 2.99524 4.06442 0.184444
38 3.0773 8.83 0.472222
39 3.15936 11.901 0.881111
40 3.24142 15.3908 1.43778
41 3.32348 18.6471 2.14667
42 3.40555 22.631 3.05
43 3.48761 21.0511 3.93111
44 3.56967 21.5476 4.87556
45 3.65173 18.4513 5.72222
46 3.73379 15.9365 6.48667
47 3.81585 15.6551 7.27111
48 3.89791 13.984 8.00222
49 3.97997 14.9375 8.81667
50 4.06204 15.6239 9.70444
51 4.1441 16.5807 10.6844
52 4.22616 18.4227 11.8167
53 4.30822 19.8675 13.0856
54 4.39028 19.9199 14.4067
55 4.47234 18.7298 15.6956
56 4.5544 17.9129 16.9744
57 4.63647 17.0652 18.2367
58 4.71853 16.9351 19.5344
59 4.80059 15.3591 20.7522
60 4.88265 15.1277 21.9933
61 4.96471 15.035 23.2689
62 5.04677 15.5693 24.6333
63 5.12883 15.7792 26.0622
64 5.21089 16.1603 27.5722
65 5.29296 15.4469 29.0611
66 5.37502 14.5072 30.5033
67 5.45708 13.3879 31.8756
68 5.53914 12.9009 33.2378
69 5.6212 12.7275 34.6222
70 5.70326 11.1501 35.87
71 5.78532 10.3122 37.0578
72 5.86739 8.7253 38.0911
73 5.94945 7.81594 39.0433
74 6.03151 6.41022 39.8456
75 6.11357 5.22672 40.5178
76 6.19563 3.49177 40.9789
77 6.27769 2.87467 41.3689
78 6.35975 2.11659 41.6633
79 6.44181 1.65137 41.8989
80 6.52388 1.253 42.0822
81 6.60594 0.886845 42.2156
82 6.688 0.808204 42.34
83 6.77006 0.775309 42.4622
84 6.85212 0.536692 42.5489
85 6.93418 0.590322 42.6467
86 7.01624 0.551443 42.74
87 7.09831 0.691467 42.86
88 7.18037 0.637823 42.9733
89 7.26243 0.661286 43.0933
90 7.34449 0.897363 43.26
91 7.42655 0.872324 43.4256
92 7.50861 0.733025 43.5678
93 7.59067 0.907443 43.7478
94 7.67273 0.981438 43.9467
95 7.7548 0.992372 44.1522
96 7.83686 1.01991 44.3678
97 7.91892 1.03948 44.5922
98 8.00098 1.01377 44.8156
99 8.08304 1.13121 45.07
100 8.1651 1.16727 45.3378
101 8.24716 1.15884 45.6089
102 8.32923 1.31111 45.9222
103 8.41129 1.31809 46.2433
104 8.49335 1.30202 46.5667
105 8.57541 1.26466 46.8867
106 8.65747 1.50792 47.2756
107 8.73953 1.40378 47.6444
108 8.82159 1.5306 48.0544
109 8.90365 1.51011 48.4667
110 8.98572 1.67151 48.9311
111 9.06778 1.50678 49.3578
112 9.14984 1.68085 49.8422
113 9.2319 1.54901 50.2967
114 9.31396 1.62969 50.7833
115 9.39602 1.82133 51.3367
116 9.47808 1.8136 51.8978
117 9.56015 1.79385 52.4622
118 9.64221 1.78546 53.0333
119 9.72427 1.99808 53.6833
120 9.80633 2.00725 54.3478
121 9.88839 2.07007 55.0444
122 9.97045 2.14007 55.7767
123 10.0525 1.98625 56.4678
124 10.1346 2.16302 57.2322
125 10.2166 2.03788 57.9644
126 10.2987 2.13385 58.7433
127 10.3808 2.12805 59.5322
128 10.4628 2.20783 60.3644
129 10.5449 2.33725 61.2589
130 10.6269 2.2207 62.1222
131 10.709 2.19271 62.9878
132 10.7911 2.38345 63.9433
133 10.8731 2.43033 64.9322
134 10.9552 2.27888 65.8733
135 11.0372 2.48316 66.9144
136 11.1193 2.572 68.0089
137 11.2014 2.54467 69.1078
138 11.2834 2.50043 70.2033
139 11.3655 2.48672 71.3089
140 11.4476 2.47418 72.4244
141 11.5296 2.6593 73.6411
142 11.6117 2.57128 74.8344
143 11.6937 2.67731 76.0944
144 11.7758 2.73149 77.3978
145 11.8579 2.60357 78.6578
146 11.9399 2.47047 79.87
147 12.022 2.56834 81.1478
148 12.104 2.63716 82.4778
149 12.1861 2.60399 83.8089
150 12.2682 2.59818 85.1544
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.169617 0.00444444
35 2.83112 0.319406 0.0133333
36 2.91318 1.58903 0.06
37 2.99524 5.5129 0.231111
38 3.0773 8.17322 0.498889
39 3.15936 12.5159 0.931111
40 3.24142 16.5939 1.53444
41 3.32348 20.7537 2.32778
42 3.40555 22.0607 3.21333
43 3.48761 22.3536 4.15444
44 3.56967 19.3704 5.00889
45 3.65173 18.7066 5.87222
46 3.73379 16.0498 6.64667
47 3.81585 15.2822 7.41667
48 3.89791 14.1352 8.16
49 3.97997 14.3099 8.94444
50 4.06204 16.1542 9.86667
51 4.1441 17.4243 10.9022
52 4.22616 18.3741 12.0378
53 4.30822 19.371 13.2822
54 4.39028 20.2979 14.6367
55 4.47234 18.6678 15.9289
56 4.5544 18.3108 17.2433
57 4.63647 17.3441 18.5333
58 4.71853 15.8903 19.7578
59 4.80059 15.2133 20.9711
60 4.88265 15.2862 22.2322
61 4.96471 15.1223 23.5222
62 5.04677 16.4977 24.9767
63 5.12883 14.9348 26.3367
64 5.21089 15.88 27.8289
65 5.29296 16.3904 29.4178
66 5.37502 13.9217 30.81
67 5.45708 13.0207 32.1522
68 5.53914 13.3001 33.5644
69 5.6212 12.6382 34.9467
70 5.70326 11.6668 36.26
71 5.78532 10.2022 37.4422
72 5.86739 8.47707 38.4522
73 5.94945 7.70779 39.3967
74 6.03151 5.92905 40.1433
75 6.11357 4.92136 40.78
76 6.19563 3.53922 41.25
77 6.27769 2.58316 41.6022
78 6.35975 1.87374 41.8644
79 6.44181 1.39259 42.0644
80 6.52388 0.913463 42.1989
81 6.60594 0.868701 42.33
82 6.688 0.782688 42.4511
83 6.77006 0.617275 42.5489
84 6.85212 0.697778 42.6622
85 6.93418 0.628262 42.7667
86 7.01624 0.724062 42.89
87 7.09831 0.624487 42.9989
88 7.18037 0.803605 43.1422
89 7.26243 0.699687 43.27
90 7.34449 0.75015 43.41
91 7.42655 0.850077 43.5722
92 7.50861 0.957356 43.7589
93 7.59067 0.902956 43.9389
94 7.67273 1.03071 44.1489
95 7.7548 1.08955 44.3756
96 7.83686 1.13509 44.6167
97 7.91892 1.27511 44.8933
98 8.00098 1.05828 45.1278
99 8.08304 1.21837 45.4033
100 8.1651 1.27191 45.6967
101 8.24716 1.22773 45.9856
102 8.32923 1.23125 46.2811
103 8.41129 1.23911 46.5844
104 8.49335 1.33995 46.9189
105 8.57541 1.27099 47.2422
106 8.65747 1.44356 47.6167
107 8.73953 1.38263 47.9822
108 8.82159 1.6425 48.4244
109 8.90365 1.48269 48.8311
110 8.98572 1.62305 49.2844
111 9.06778 1.77285 49.7889
112 9.14984 1.74914 50.2956
113 9.2319 1.72969 50.8056
114 9.31396 1.72105 51.3222
115 9.39602 1.8003 51.8722
116 9.47808 1.72641 52.4089
117 9.56015 1.95768 53.0278
118 9.64221 1.82656 53.6156
119 9.72427 1.87423 54.2289
120 9.80633 1.83353 54.8389
121 9.88839 2.09193 55.5467
122 9.97045 2.07645 56.2611
123 10.0525 2.09766 56.9944
124 10.1346 2.13842 57.7544
125 10.2166 2.24895 58.5667
126 10.2987 2.30321 59.4122
127 10.3808 2.24861 60.2511
128 10.4628 2.15659 61.0678
129 10.5449 2.22644 61.9244
