# Time-averaged data for fix rdf_OO_avg
# TimeStep Number-of-rows
# Row c_rdf_OO[1] c_rdf_OO[2] c_rdf_OO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0.0535889 0.0115277
32 2.58493 0.591359 0.147174
33 2.66699 2.09236 0.658198
34 2.74905 3.09508 1.46133
35 2.83112 2.93947 2.2704
36 2.91318 2.25107 2.92636
37 2.99524 1.56884 3.40974
38 3.0773 1.14608 3.78243
39 3.15936 0.976882 4.11729
40 3.24142 0.873606 4.43257
41 3.32348 0.818784 4.74314
42 3.40555 0.811268 5.06626
43 3.48761 0.832215 5.41388
44 3.56967 0.871347 5.79519
45 3.65173 0.876987 6.19675
46 3.73379 0.923814 6.63906
47 3.81585 0.941445 7.10979
48 3.89791 0.967898 7.61477
49 3.97997 1.00316 8.16038
50 4.06204 1.02377 8.74057
51 4.1441 1.06617 9.36922
52 4.22616 1.07594 10.029
53 4.30822 1.08603 10.7211
54 4.39028 1.11531 11.4592
55 4.47234 1.10429 12.2176
56 4.5544 1.10055 13.0013
57 4.63647 1.08093 13.7993
58 4.71853 1.06146 14.6107
59 4.80059 1.04076 15.4344
60 4.88265 1.0247 16.2732
61 4.96471 1.01684 17.1336
62 5.04677 0.977808 17.9888
63 5.12883 0.961951 18.8576
64 5.21089 0.954751 19.7477
65 5.29296 0.943492 20.6554
66 5.37502 0.923412 21.5713
67 5.45708 0.930727 22.5231
68 5.53914 0.92177 23.4942
69 5.6212 0.905699 24.477
70 5.70326 0.92164 25.5064
71 5.78532 0.921452 26.5654
72 5.86739 0.931898 27.6669
73 5.94945 0.951281 28.8232
74 6.03151 0.972629 30.0382
75 6.11357 0.969806 31.2828
76 6.19563 1.00145 32.6029
77 6.27769 0.994083 33.9482
78 6.35975 1.01808 35.3621
79 6.44181 1.03124 36.8313
80 6.52388 1.04134 38.3532
81 6.60594 1.02808 39.8938
82 6.688 1.05894 41.5201
83 6.77006 1.04982 43.1722
84 6.85212 1.04373 44.855
85 6.93418 1.05616 46.5987
86 7.01624 1.02505 48.3313
87 7.09831 1.03666 50.1249
88 7.18037 1.02049 51.9315
89 7.26243 1.0143 53.7686
90 7.34449 1.01082 55.6407
91 7.42655 1.00037 57.5353
92 7.50861 1.01014 59.4907
93 7.59067 0.983799 61.4369
94 7.67273 0.982166 63.4223
95 7.7548 0.974617 65.4349
96 7.83686 0.965752 67.4713
97 7.91892 0.987509 69.5976
98 8.00098 0.986681 71.7663
99 8.08304 0.980086 73.965
100 8.1651 0.978018 76.2039
101 8.24716 0.980315 78.4936
102 8.32923 0.981039 80.8304
103 8.41129 0.985951 83.2256
104 8.49335 0.997309 85.6963
105 8.57541 1.00402 88.2317
106 8.65747 0.985058 90.7669
107 8.73953 0.996617 93.3807
108 8.82159 0.995015 96.0395
109 8.90365 0.99345 98.7436
110 8.98572 1.00777 101.538
111 9.06778 0.991361 104.337
112 9.14984 0.993922 107.194
113 9.2319 0.995833 110.108
114 9.31396 1.00604 113.104
115 9.39602 1.00568 116.153
116 9.47808 1.00861 119.264
117 9.56015 1.00063 122.404
118 9.64221 1.00575 125.615
119 9.72427 0.992673 128.838
120 9.80633 1.00065 132.142
121 9.88839 0.998804 135.496
122 9.97045 0.99588 138.895
123 10.0525 1.00084 142.368
124 10.1346 1.00111 145.898
125 10.2166 0.997803 149.474
126 10.2987 0.991593 153.086
127 10.3808 1.00068 156.788
128 10.4628 1.01132 160.589
129 10.5449 0.993069 164.381
130 10.6269 0.998146 168.252
131 10.709 1.00392 172.205
132 10.7911 1.00003 176.204
133 10.8731 1.00914 180.3
134 10.9552 1.01097 184.467
135 11.0372 1.00649 188.677
136 11.1193 0.997319 192.911
137 11.2014 1.00521 197.242
138 11.2834 1.00283 201.626
139 11.3655 0.995522 206.042
140 11.4476 1.0037 210.558
141 11.5296 1.00492 215.145
142 11.6117 0.999991 219.774
143 11.6937 0.999697 224.468
144 11.7758 1.00451 229.251
145 11.8579 1.00587 234.107
146 11.9399 1.00481 239.026
147 12.022 0.996523 243.971
148 12.104 1.00054 249.004
149 12.1861 1.00318 254.119
150 12.2682 1.00059 259.29
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0.000559571 0.000111919
31 2.50287 0.0444887 0.00973699
32 2.58493 0.609627 0.15042
33 2.66699 2.03457 0.650252
34 2.74905 3.2013 1.48573
35 2.83112 2.94855 2.30185
36 2.91318 2.22631 2.95434
37 2.99524 1.53553 3.43011
38 3.0773 1.17312 3.81377
39 3.15936 0.956706 4.14348
40 3.24142 0.860822 4.45585
41 3.32348 0.849442 4.77985
42 3.40555 0.827553 5.11136
43 3.48761 0.830907 5.46044
44 3.56967 0.855318 5.83682
45 3.65173 0.93425 6.26704
46 3.73379 0.883629 6.69245
47 3.81585 0.934493 7.16228
48 3.89791 0.971003 7.67174
49 3.97997 1.00106 8.21936
50 4.06204 1.03373 8.80839
51 4.1441 1.06634 9.44085
52 4.22616 1.09879 10.1185
53 4.30822 1.07594 10.8082
54 4.39028 1.08621 11.5312
55 4.47234 1.08221 12.2787
56 4.5544 1.07015 13.0452
57 4.63647 1.08916 13.8537
58 4.71853 1.06891 14.6757
59 4.80059 1.0525 15.5133
60 4.88265 1.01793 16.3513
61 4.96471 1.0047 17.2064
62 5.04677 0.992303 18.0791
63 5.12883 0.97961 18.969
64 5.21089 0.970558 19.879
65 5.29296 0.949792 20.7979
66 5.37502 0.942053 21.7378
67 5.45708 0.922554 22.6865
68 5.53914 0.909652 23.6504
69 5.6212 0.912495 24.646
70 5.70326 0.915354 25.6741
71 5.78532 0.917741 26.7349
72 5.86739 0.91395 27.8215
73 5.94945 0.95317 28.9866
74 6.03151 0.962195 30.1954
75 6.11357 0.980879 31.4614
76 6.19563 0.993889 32.779
77 6.27769 1.00971 34.1531
78 6.35975 1.0211 35.5793
79 6.44181 1.02767 37.0519
80 6.52388 1.02754 38.5622
81 6.60594 1.06014 40.1597
82 6.688 1.04762 41.7778
83 6.77006 1.04558 43.4327
84 6.85212 1.05701 45.1465
85 6.93418 1.05366 46.8961
86 7.01624 1.04134 48.6665
87 7.09831 1.02986 50.4584
88 7.18037 1.0234 52.2805
89 7.26243 1.01681 54.1325
90 7.34449 1.01256 56.0187
91 7.42655 0.996882 57.9172
92 7.50861 0.992417 59.8492
93 7.59067 0.973363 61.7859
94 7.67273 0.975613 63.7692
95 7.7548 0.977156 65.7985
96 7.83686 0.979189 67.8753
97 7.91892 0.977305 69.9917
98 8.00098 0.980232 72.1585
99 8.08304 0.97702 74.3628
100 8.1651 0.968341 76.5922
101 8.24716 0.982741 78.9003
102 8.32923 0.986742 81.2642
103 8.41129 0.995041 83.6952
104 8.49335 0.987359 86.1549
105 8.57541 0.995815 88.6837
106 8.65747 0.986266 91.2366
107 8.73953 1.0131 93.9088
108 8.82159 0.998471 96.5919
109 8.90365 1.0087 99.3533
110 8.98572 1.00473 102.155
111 9.06778 0.996224 104.983
112 9.14984 1.00248 107.882
113 9.2319 0.994904 110.81
114 9.31396 1.00429 113.818
115 9.39602 0.998026 116.861
116 9.47808 1.0016 119.968
117 9.56015 1.00454 123.139
118 9.64221 1.00394 126.362
119 9.72427 0.991907 129.601
120 9.80633 0.999349 132.92
121 9.88839 0.999718 136.295
122 9.97045 1.0002 139.729
123 10.0525 1.00022 143.219
124 10.1346 1.00227 146.774
125 10.2166 0.987965 150.335
126 10.2987 0.997335 153.988
127 10.3808 0.995296 157.692
128 10.4628 1.00265 161.482
