# Time-averaged data for fix thermo_avg_npt
# TimeStep v_epsilon_co v_temp v_press v_pe v_ke v_etotal v_vol v_dens
101000 0.15 300.366 86.8754 -20401.8 3360.19 -17041.6 55034.8 1.03657
102000 0.15 300.705 -66.2571 -20426.1 3363.98 -17062.1 55251.5 1.03251
103000 0.15 300.642 -79.3132 -20414.4 3363.28 -17051.1 55244.3 1.03264
104000 0.15 298.735 -48.903 -20465 3341.94 -17123 54953.2 1.03811
105000 0.15 299.342 -11.5966 -20329.8 3348.73 -16981.1 55154 1.03433
106000 0.15 299.058 -107.664 -20253.4 3345.55 -16907.9 55529.3 1.02734
107000 0.15 299.04 63.6333 -20358.5 3345.35 -17013.1 55214 1.03322
108000 0.15 299.298 39.1665 -20322.5 3348.24 -16974.3 55139.1 1.03461
109000 0.15 299.141 42.3803 -20313 3346.49 -16966.5 55188.5 1.03368
110000 0.15 300.311 -152.278 -20346.9 3359.57 -16987.3 55452.3 1.02877
111000 0.15 303.001 -129.1 -20385.8 3389.67 -16996.2 55305.5 1.03152
112000 0.15 300.573 98.7166 -20422.5 3362.5 -17060 54794.4 1.04112
113000 0.15 297.551 -45.3156 -20333.5 3328.69 -17004.8 55187.9 1.0337
114000 0.15 298.406 178.595 -20419.7 3338.26 -17081.4 55125.4 1.03487
115000 0.15 300.202 -115.399 -20431.5 3358.36 -17073.2 55525.1 1.02745
116000 0.15 301.469 -340.647 -20389.4 3372.53 -17016.9 55858.2 1.02131
117000 0.15 301.944 362.859 -20433.6 3377.85 -17055.7 54808.5 1.04086
118000 0.15 300.48 55.5694 -20358 3361.46 -16996.5 55111.1 1.03515
119000 0.15 299.708 139.193 -20358.7 3352.83 -17005.9 55343.1 1.0308
120000 0.15 298.707 -21.056 -20384.8 3341.63 -17043.2 55443.7 1.02893
121000 0.15 299.072 15.0777 -20353.4 3345.71 -17007.6 55476.4 1.02832
122000 0.15 300.714 -78.9813 -20415.1 3364.08 -17051 55456.8 1.02868
123000 0.15 299.481 88.1005 -20417.4 3350.29 -17067.1 55112.9 1.03511
124000 0.15 299.804 288.889 -20369 3353.9 -17015.1 55038 1.03652
125000 0.15 299.859 106.263 -20394 3354.52 -17039.5 55496.4 1.02795
126000 0.15 299.637 -336.562 -20446.5 3352.04 -17094.4 55706.5 1.02407
127000 0.15 298.953 -80.5907 -20418.9 3344.38 -17074.5 55130.7 1.03478
128000 0.15 299.883 211.848 -20443.5 3354.78 -17088.8 54835.6 1.04034
129000 0.15 300.64 -126.98 -20386.4 3363.26 -17023.1 55328.4 1.03107
130000 0.15 299.656 234.819 -20435.6 3352.24 -17083.3 55293.7 1.03172
131000 0.15 301.199 -22.4005 -20399.6 3369.51 -17030.1 55415.2 1.02946
132000 0.15 299.688 289.775 -20464.7 3352.61 -17112.1 55005.1 1.03714
133000 0.15 300.053 126.544 -20375.7 3356.68 -17019 54638.8 1.04408
134000 0.15 300.242 126.104 -20389.3 3358.8 -17030.5 54879.8 1.0395
135000 0.15 300.02 77.1261 -20375.9 3356.31 -17019.6 55142.6 1.03455
136000 0.15 300.424 -130.397 -20402.4 3360.84 -17041.5 55539.2 1.02716
137000 0.15 299.406 -181.861 -20411.9 3349.45 -17062.4 55446.2 1.02888
138000 0.15 301.293 251.742 -20430.7 3370.56 -17060.2 54819 1.04066
139000 0.15 298.844 46.2371 -20408.9 3343.16 -17065.7 55447.4 1.02889
140000 0.15 301.131 -287.479 -20399.3 3368.74 -17030.6 55641.5 1.02528
141000 0.15 301.728 -26.2643 -20400.7 3375.42 -17025.3 55129.2 1.0348
142000 0.15 301.327 204.823 -20395.1 3370.94 -17024.1 55229.6 1.03292
143000 0.15 300.27 -251.936 -20415.7 3359.11 -17056.6 55749.7 1.02329
144000 0.15 300.809 -296.329 -20426.6 3365.15 -17061.4 55972.7 1.01921
145000 0.15 302.491 110.229 -20423.4 3383.96 -17039.4 55311.8 1.03139
146000 0.15 298.224 51.6819 -20374.3 3336.22 -17038.1 55255.3 1.03244
147000 0.15 300.556 -347.132 -20314.1 3362.31 -16951.8 55432.9 1.02913
148000 0.15 299.567 22.0724 -20363.3 3351.25 -17012.1 55085.7 1.03562
149000 0.15 300.872 66.4688 -20420.5 3365.84 -17054.6 54971.5 1.03777
150000 0.15 301.166 -106.622 -20407.6 3369.14 -17038.5 55474.2 1.02836
151000 0.15 299.93 -328.171 -20446.5 3355.31 -17091.1 55579.8 1.02641
152000 0.15 299.242 228.659 -20419.6 3347.61 -17072 55168.9 1.03406
153000 0.15 297.848 353.275 -20399 3332.02 -17067 55150.4 1.03441
154000 0.15 298.648 -208.338 -20371.9 3340.97 -17031 55695.6 1.02428
155000 0.15 302.415 -163.757 -20400.5 3383.11 -17017.4 55536.9 1.02721
156000 0.15 300.162 -63.7694 -20361.3 3357.91 -17003.4 55452.3 1.02877
157000 0.15 300.511 -159.761 -20337.3 3361.81 -16975.5 55552.7 1.02691
158000 0.15 300.75 198.628 -20380.3 3364.48 -17015.8 54990.1 1.03742
159000 0.15 299.304 -88.191 -20421.4 3348.31 -17073.1 55411.9 1.02953
160000 0.15 299.349 -165.481 -20369.3 3348.82 -17020.5 55501.3 1.02787
161000 0.15 299.493 -102.408 -20445.4 3350.42 -17095 55227 1.03297
162000 0.15 300.147 -143.7 -20437.8 3357.74 -17080.1 55534.7 1.02724
163000 0.15 297.899 -314.393 -20393.3 3332.59 -17060.7 55469.8 1.02844
164000 0.15 300.292 128.948 -20354.2 3359.36 -16994.8 55318.5 1.03125
165000 0.15 298.687 93.0493 -20429.4 3341.41 -17088 55205.4 1.03337
166000 0.15 298.39 -63.9193 -20390.4 3338.09 -17052.3 55270.4 1.03215
