# Time-averaged data for fix rdf_CC_avg
# TimeStep Number-of-rows
# Row c_rdf_CC[1] c_rdf_CC[2] c_rdf_CC[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.0851383 0.00222222
35 2.83112 0.241138 0.00888889
36 2.91318 1.67385 0.0577778
37 2.99524 3.81117 0.175556
38 3.0773 7.11929 0.407778
39 3.15936 10.5064 0.768889
40 3.24142 13.8535 1.27
41 3.32348 17.0005 1.91667
42 3.40555 18.8333 2.66889
43 3.48761 19.2099 3.47333
44 3.56967 18.1821 4.27111
45 3.65173 18.3697 5.11444
46 3.73379 18.1906 5.98778
47 3.81585 15.2712 6.75333
48 3.89791 14.6716 7.52111
49 3.97997 15.0573 8.34222
50 4.06204 15.1362 9.20222
51 4.1441 16.7426 10.1922
52 4.22616 17.5268 11.27
53 4.30822 18.0964 12.4267
54 4.39028 18.854 13.6778
55 4.47234 18.1976 14.9311
56 4.5544 17.9987 16.2167
57 4.63647 17.007 17.4756
58 4.71853 15.9463 18.6978
59 4.80059 15.8356 19.9544
60 4.88265 15.1344 21.1967
61 4.96471 15.0365 22.4733
62 5.04677 15.3198 23.8167
63 5.12883 15.5202 25.2222
64 5.21089 14.0361 26.5344
65 5.29296 13.9938 27.8844
66 5.37502 14.8529 29.3622
67 5.45708 13.7854 30.7756
68 5.53914 12.757 32.1233
69 5.6212 12.2168 33.4522
70 5.70326 11.3516 34.7233
71 5.78532 10.1228 35.89
72 5.86739 9.3073 36.9933
73 5.94945 8.5097 38.03
74 6.03151 7.1149 38.9211
75 6.11357 5.53696 39.6333
76 6.19563 5.08528 40.3056
77 6.27769 3.82165 40.8244
78 6.35975 3.02453 41.2456
79 6.44181 2.02179 41.5344
80 6.52388 1.71306 41.7856
81 6.60594 1.07199 41.9467
82 6.688 0.902325 42.0856
83 6.77006 0.577225 42.1767
84 6.85212 0.432879 42.2467
85 6.93418 0.402612 42.3133
86 7.01624 0.275264 42.36
87 7.09831 0.358719 42.4222
88 7.18037 0.3882 42.4911
89 7.26243 0.342631 42.5533
90 7.34449 0.407445 42.6289
91 7.42655 0.40356 42.7056
92 7.50861 0.366005 42.7767
93 7.59067 0.420235 42.86
94 7.67273 0.394534 42.94
95 7.7548 0.531507 43.05
96 7.83686 0.562138 43.1689
97 7.91892 0.462848 43.2689
98 8.00098 0.670306 43.4167
99 8.08304 0.523454 43.5344
100 8.1651 0.610125 43.6744
101 8.24716 0.536084 43.8
102 8.32923 0.576705 43.9378
103 8.41129 0.634271 44.0922
104 8.49335 0.671679 44.2589
105 8.57541 0.635975 44.42
106 8.65747 0.662577 44.5911
107 8.73953 0.59112 44.7467
108 8.82159 0.630402 44.9156
109 8.90365 0.732717 45.1156
110 8.98572 0.87524 45.3589
111 9.06778 0.858912 45.6022
112 9.14984 0.959081 45.8789
113 9.2319 0.885785 46.1389
114 9.31396 0.806721 46.38
115 9.39602 0.986926 46.68
116 9.47808 0.894285 46.9567
117 9.56015 0.918591 47.2456
118 9.64221 1.03382 47.5767
119 9.72427 0.921056 47.8767
120 9.80633 1.02365 48.2156
121 9.88839 1.05255 48.57
122 9.97045 0.999267 48.9122
123 10.0525 1.06655 49.2833
124 10.1346 1.09631 49.6711
125 10.2166 1.10094 50.0667
126 10.2987 1.14366 50.4844
127 10.3808 1.14947 50.9111
128 10.4628 1.27051 51.39
129 10.5449 1.21283 51.8544
130 10.6269 1.24287 52.3378
131 10.709 1.21529 52.8178
132 10.7911 1.23276 53.3122
133 10.8731 1.30459 53.8433
134 10.9552 1.26623 54.3667
135 11.0372 1.43547 54.9689
136 11.1193 1.36201 55.5489
137 11.2014 1.30121 56.1111
138 11.2834 1.49049 56.7644
139 11.3655 1.40567 57.39
140 11.4476 1.36625 58.0067
141 11.5296 1.44926 58.67
142 11.6117 1.41425 59.3267
143 11.6937 1.54289 60.0533
144 11.7758 1.46373 60.7522
145 11.8579 1.42735 61.4433
146 11.9399 1.54378 62.2011
147 12.022 1.58527 62.99
148 12.104 1.54399 63.7689
149 12.1861 1.51893 64.5456
150 12.2682 1.41501 65.2789
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0.045014 0.00111111
34 2.74905 0.0857978 0.00333333
35 2.83112 0.322119 0.0122222
36 2.91318 1.63235 0.06
37 2.99524 3.62953 0.172222
38 3.0773 5.95835 0.366667
39 3.15936 10.3969 0.724444
40 3.24142 12.4615 1.17556
41 3.32348 17.4799 1.84111
42 3.40555 18.0943 2.56444
43 3.48761 18.9468 3.35889
44 3.56967 18.8635 4.18778
45 3.65173 17.2326 4.98
46 3.73379 17.2065 5.80667
47 3.81585 16.0721 6.61333
48 3.89791 15.0266 7.4
49 3.97997 14.2304 8.17667
50 4.06204 15.5303 9.06
51 4.1441 16.0693 10.0111
52 4.22616 17.5389 11.0911
53 4.30822 16.8274 12.1678
54 4.39028 18.1123 13.3711
55 4.47234 17.5195 14.5789
56 4.5544 18.178 15.8789
57 4.63647 17.1847 17.1522
58 4.71853 16.1589 18.3922
59 4.80059 16.425 19.6967
60 4.88265 15.5102 20.9711
61 4.96471 14.6208 22.2133
62 5.04677 14.229 23.4622
63 5.12883 14.7792 24.8022
64 5.21089 14.5094 26.16
65 5.29296 14.9219 27.6011
66 5.37502 13.7884 28.9744
67 5.45708 13.8849 30.4
68 5.53914 13.0797 31.7833
69 5.6212 11.618 33.0489
70 5.70326 11.1899 34.3033
71 5.78532 11.0874 35.5822
72 5.86739 9.51584 36.7111
73 5.94945 8.38867 37.7344
74 6.03151 7.08767 38.6233
75 6.11357 6.40002 39.4478
76 6.19563 4.85206 40.09
77 6.27769 3.77963 40.6033
78 6.35975 3.07639 41.0322
79 6.44181 2.27646 41.3578
80 6.52388 1.81759 41.6244
81 6.60594 1.2784 41.8167
82 6.688 1.08862 41.9844
83 6.77006 0.612269 42.0811
84 6.85212 0.638209 42.1844
85 6.93418 0.475719 42.2633
86 7.01624 0.418587 42.3344
87 7.09831 0.415749 42.4067
88 7.18037 0.356413 42.47
89 7.26243 0.330086 42.53
90 7.34449 0.376156 42.6
91 7.42655 0.391873 42.6744
92 7.50861 0.348576 42.7422
93 7.59067 0.419589 42.8256
94 7.67273 0.399673 42.9067
95 7.7548 0.46094 43.0022
96 7.83686 0.456309 43.0989
97 7.91892 0.5138 43.21
98 8.00098 0.523648 43.3256
99 8.08304 0.650842 43.4722
100 8.1651 0.507431 43.5889
101 8.24716 0.606756 43.7311
102 8.32923 0.515946 43.8544
103 8.41129 0.573524 43.9944
104 8.49335 0.562818 44.1344
105 8.57541 0.618002 44.2911
106 8.65747 0.649328 44.4589
107 8.73953 0.637402 44.6267
108 8.82159 0.741787 44.8256
109 8.90365 0.666716 45.0078
110 8.98572 0.778036 45.2244
111 9.06778 0.748792 45.4367
112 9.14984 0.870623 45.6878
113 9.2319 0.827898 45.9311
114 9.31396 0.880668 46.1944
115 9.39602 1.02294 46.5056
116 9.47808 0.900737 46.7844
117 9.56015 0.821938 47.0433
118 9.64221 0.842129 47.3133
119 9.72427 0.981506 47.6333
120 9.80633 0.979049 47.9578
121 9.88839 1.01563 48.3
122 9.97045 0.986318 48.6378
123 10.0525 1.06208 49.0078
124 10.1346 1.00166 49.3622
125 10.2166 1.07195 49.7478
126 10.2987 1.1337 50.1622
127 10.3808 1.19898 50.6078
128 10.4628 1.21611 51.0667
