# Time-averaged data for fix thermo_avg_npt
# TimeStep v_epsilon_co v_temp v_press v_pe v_ke v_etotal v_vol v_dens
101000 0.9 300.719 -198.956 -21992.8 3364.13 -18628.6 53423.9 1.06783
102000 0.9 299.609 168.315 -21975.7 3351.72 -18623.9 53285.6 1.0706
103000 0.9 298.459 72.0054 -21942.1 3338.85 -18603.3 53770.1 1.06096
104000 0.9 299.6 110.409 -21944.9 3351.62 -18593.2 53845.4 1.05947
105000 0.9 301.432 22.8365 -21915.5 3372.11 -18543.4 53738.7 1.06157
106000 0.9 299.429 272.458 -21908.6 3349.71 -18558.8 53674.8 1.06284
107000 0.9 299.831 53.2587 -21923.2 3354.21 -18569 53784.7 1.06066
108000 0.9 298.731 -37.0194 -21916.3 3341.9 -18574.4 53771.3 1.06093
109000 0.9 300.61 312.385 -21936.1 3362.91 -18573.2 53409.8 1.06811
110000 0.9 300.76 -51.9545 -21905.3 3364.59 -18540.7 53732.3 1.0617
111000 0.9 299.108 -185.429 -21891.5 3346.12 -18545.4 53638.1 1.06357
112000 0.9 299.14 235.41 -21939.1 3346.47 -18592.6 53352.3 1.06926
113000 0.9 300.895 -63.1256 -21975.3 3366.11 -18609.2 53987.5 1.05671
114000 0.9 298.517 -260.882 -21942.9 3339.51 -18603.4 54198.1 1.05259
115000 0.9 300.859 159.445 -21945.3 3365.7 -18579.6 53479.6 1.06672
116000 0.9 298.652 -159.212 -21896.7 3341.01 -18555.7 53652.4 1.06328
117000 0.9 299.383 -84.678 -21846.1 3349.19 -18496.9 53688.8 1.06256
118000 0.9 299.016 171.325 -21903.6 3345.08 -18558.5 53745.8 1.06143
119000 0.9 301.204 42.2914 -21869.9 3369.57 -18500.3 53700.1 1.06234
120000 0.9 299.237 -62.2344 -21893.2 3347.56 -18545.6 53689.2 1.06255
121000 0.9 299.634 -121.119 -21921.4 3352 -18569.4 53749.6 1.06136
122000 0.9 300.474 -15.4751 -21877.1 3361.39 -18515.7 53979 1.05685
123000 0.9 300.143 -117.444 -21858.3 3357.7 -18500.6 54140.5 1.05369
124000 0.9 299.208 154.276 -21876.2 3347.23 -18529 53984.7 1.05673
125000 0.9 300.165 -287.861 -21878.4 3357.94 -18520.5 54047.5 1.05551
126000 0.9 299.833 253.07 -21881.5 3354.22 -18527.3 53793.7 1.06049
127000 0.9 301.916 -58.0113 -21890.3 3377.53 -18512.7 53619.3 1.06394
128000 0.9 301.914 41.2106 -21978.7 3377.5 -18601.2 53489.3 1.06652
129000 0.9 298.578 109.008 -21941.1 3340.18 -18601 53530.5 1.0657
130000 0.9 298.833 29.7114 -21956.6 3343.04 -18613.6 53871.4 1.05896
131000 0.9 299.894 54.5583 -21929 3354.91 -18574.1 53765.2 1.06105
132000 0.9 297.819 160.162 -21957.4 3331.7 -18625.7 53252.2 1.07128
133000 0.9 298.821 45.6955 -21867.4 3342.91 -18524.5 53344.5 1.06945
134000 0.9 299.133 -251.012 -21870.8 3346.4 -18524.4 54222.1 1.05211
135000 0.9 298.703 -40.8223 -21858.4 3341.59 -18516.8 53988.2 1.05669
136000 0.9 301.807 378.959 -21913.2 3376.31 -18536.9 53369.3 1.06892
137000 0.9 300.178 -278.191 -21898.9 3358.09 -18540.8 53616.9 1.06399
138000 0.9 300.549 336.744 -21888.6 3362.24 -18526.4 53132.7 1.07368
139000 0.9 300.78 -143.528 -21851.3 3364.82 -18486.5 53609.4 1.06416
140000 0.9 302.03 -633.907 -21850.1 3378.8 -18471.3 53935.5 1.05771
141000 0.9 299.615 146.644 -21927.7 3351.78 -18575.9 53211.4 1.07209
142000 0.9 299.35 143.709 -21936.1 3348.82 -18587.3 53204.6 1.07223
143000 0.9 298.965 -51.4548 -21876.8 3344.52 -18532.3 53397.2 1.06836
144000 0.9 299.188 -88.8482 -21904 3347.01 -18557 53387.4 1.06856
145000 0.9 298.437 259.377 -21922.9 3338.61 -18584.3 53333.5 1.06964
146000 0.9 300.268 79.8615 -21938.2 3359.1 -18579.1 53594.5 1.06443
147000 0.9 300.308 -161.149 -21874 3359.54 -18514.5 53646.6 1.0634
148000 0.9 300.545 45.4818 -21964.7 3362.19 -18602.6 53313.9 1.07003
149000 0.9 297.42 -246.357 -21876.9 3327.23 -18549.7 53831.2 1.05976
150000 0.9 299.732 -13.9664 -21940.7 3353.1 -18587.7 53791.4 1.06053
151000 0.9 301.85 129.421 -21988.9 3376.79 -18612.1 53316.4 1.06999
152000 0.9 302.111 225.756 -21932.2 3379.71 -18552.5 53314.4 1.07003
153000 0.9 299.746 -366.366 -21860.2 3353.26 -18506.9 53928.5 1.05784
154000 0.9 301.183 133.836 -21876.8 3369.33 -18507.4 53410.9 1.06811
155000 0.9 301.663 -4.41457 -21932.5 3374.7 -18557.8 53167.4 1.07298
156000 0.9 298.851 221.793 -21945.2 3343.24 -18602 53635.2 1.06363
157000 0.9 299.474 166.62 -21933.1 3350.21 -18582.9 54047.4 1.05551
158000 0.9 301.05 179.535 -21951.9 3367.85 -18584.1 53728.8 1.06177
159000 0.9 300.103 74.7311 -21917.5 3357.25 -18560.2 53981.3 1.0568
