# Time-averaged data for fix thermo_detailed
# TimeStep v_temp v_press v_pe v_ke v_vol v_dens
600100 299.558 90.4328 -21927.7 3351.15 53704.4 1.06225
600200 300.532 -197.471 -21846.5 3362.04 53778.9 1.06078
600300 299.277 -24.8361 -21841.5 3348 53664 1.06305
600400 299.756 219.488 -21960 3353.36 53421.2 1.06788
600500 298.36 12.4358 -21991 3337.75 53382 1.06866
600600 297.304 127.247 -21969 3325.93 53560.7 1.0651
600700 303.135 -279.608 -21923.7 3391.16 53945.3 1.05751
600800 297.92 -132.097 -21916.8 3332.82 53967.2 1.05708
600900 299.583 302.932 -21884.3 3351.43 53634.1 1.06364
601000 301.687 -105.623 -21871.1 3374.96 53572.7 1.06486
601100 299.359 169.503 -21978 3348.93 53589.7 1.06452
601200 300.619 -80.8363 -21992.7 3363.02 53578.3 1.06475
601300 296.934 315.149 -21982.7 3321.79 53534.1 1.06563
601400 297.141 -188.332 -22008.9 3324.11 53803.8 1.06029
601500 300.51 -276.385 -21918.4 3361.8 53994.8 1.05654
601600 302.98 45.7049 -21917 3389.43 53846.9 1.05944
601700 299.387 -301.149 -21916.8 3349.23 53636.9 1.06359
601800 298.509 120.063 -21911.5 3339.42 53318 1.06995
601900 302.085 394.56 -21846.8 3379.42 53242.1 1.07148
602000 296.958 -301.449 -21881.3 3322.06 53576.4 1.06479
602100 298.465 34.7885 -21912.3 3338.92 53561.8 1.06508
602200 302.239 -55.6464 -21871.7 3381.14 53432.7 1.06765
602300 302.116 143.577 -21935.6 3379.77 53397.9 1.06835
602400 299.601 16.9807 -21995.2 3351.63 53539.8 1.06552
602500 301.989 -24.8036 -21925.9 3378.34 53803.2 1.0603
602600 301.447 -236.115 -21858.4 3372.28 54051.7 1.05543
602700 297.613 -96.3031 -21906.8 3329.39 54007.4 1.05629
602800 299.625 20.9559 -21873.1 3351.9 53791.1 1.06054
602900 300.409 -119.659 -21916.5 3360.67 53613.7 1.06405
603000 295.217 381.714 -22001.8 3302.59 53404.1 1.06822
603100 299.631 326.52 -21965.8 3351.97 53556.3 1.06519
603200 299.8 -525.774 -21876.1 3353.86 53988.5 1.05666
603300 302.642 -333.015 -21822.9 3385.65 53834.5 1.05969
603400 298.907 454.189 -21877.1 3343.86 53172.6 1.07289
603500 298.656 417.463 -21963.4 3341.06 52958.8 1.07721
603600 301.245 -227.124 -21876.7 3370.02 53291.2 1.07049
603700 300.756 -267.341 -21788.3 3364.55 53417.1 1.06796
603800 300.788 120.669 -21858.2 3364.9 53346 1.06939
603900 298.351 303.91 -21916.9 3337.64 53334.9 1.06961
604000 302.852 -292.536 -21838 3388 53408.5 1.06813
604100 303.473 115.942 -21872.8 3394.94 53227.1 1.07178
604200 298.406 125.165 -21912.8 3338.27 53199.6 1.07233
604300 303.377 126.581 -21932 3393.87 53200.7 1.07231
604400 298.653 -86.5471 -21948.5 3341.02 53356.3 1.06918
604500 298.903 -278.485 -21945.2 3343.82 53395.9 1.06839
604600 301.855 226.679 -21946.4 3376.85 53122.8 1.07388
604700 299.023 -32.3605 -21919.7 3345.16 53134.6 1.07364
604800 303.453 195.473 -21910.7 3394.72 53262.7 1.07106
604900 298.7 -123.38 -21932.8 3341.56 53521.1 1.06589
605000 300.152 -205.571 -21884.1 3357.8 53703.6 1.06227
605100 300.831 128.132 -21871 3365.39 53728.9 1.06177
605200 298.764 -279.423 -21900.7 3342.27 53908.3 1.05823
605300 300.093 -265.964 -21890.8 3357.13 53915.6 1.05809
605400 297.601 208.535 -21905.6 3329.26 53574.7 1.06483
605500 297.872 425.426 -21984.4 3332.29 53223 1.07186
605600 301.038 42.9092 -21889.9 3367.7 53516.2 1.06599
605700 300.711 -256.221 -21844.1 3364.05 53879.1 1.05881
605800 300.85 29.0842 -21909.5 3365.6 54055.3 1.05535
605900 295.889 55.7315 -21946.9 3310.1 54174 1.05304
606000 301.078 -174.21 -21890.6 3368.15 54284.8 1.05089
606100 297.231 1.18817 -21870.7 3325.12 54192.9 1.05268
606200 300.347 -3.5144 -21846.6 3359.97 53841.6 1.05955
606300 300.85 143.659 -21835.6 3365.6 53447.8 1.06735
606400 297.977 192.9 -21936.7 3333.46 53358.9 1.06913
606500 294.523 -66.564 -22031.7 3294.82 53489.6 1.06652
606600 299.06 -129.336 -21951.8 3345.58 53648.1 1.06337
606700 300.262 -185.765 -21844.7 3359.03 53657.9 1.06317
606800 302.269 -23.4012 -21829 3381.48 53489.8 1.06651
606900 300.634 168.26 -21908 3363.18 53282 1.07067
607000 297.934 164.561 -21952.8 3332.98 53361.5 1.06908
607100 301.063 -194.506 -21922.3 3367.99 53602.6 1.06427
607200 301.599 -264.719 -21874.1 3373.98 53653.7 1.06325
607300 299.598 -4.10884 -21890.1 3351.6 53458.2 1.06714
607400 306.567 114.385 -21887.9 3429.56 53187.8 1.07257
607500 299.337 263.316 -21945.9 3348.67 53057.1 1.07521
607600 297.62 259.832 -21985.8 3329.47 53167.5 1.07298
607700 302.212 -196.8 -21911.3 3380.84 53477.9 1.06675
607800 300.614 -41.2342 -21897.8 3362.97 53720 1.06194
607900 294.253 -345.821 -21954.7 3291.81 53845.8 1.05946
608000 303.269 211.057 -21926.4 3392.67 53549.4 1.06533
608100 298.883 77.8802 -21961 3343.6 53427.3 1.06776
608200 300.344 150.631 -22050.1 3359.94 53418.9 1.06793
608300 295.191 -208.887 -22037.9 3302.3 53628 1.06376
608400 298.028 19.0836 -21955.6 3334.04 53724.2 1.06186
608500 301.577 285.321 -21908.4 3373.74 53912.1 1.05816
608600 299.602 -383.085 -21885.1 3351.64 54112.8 1.05423
608700 301.46 105.633 -21868 3372.42 53901.9 1.05836
608800 298.387 -40.6526 -21957.4 3338.05 53699.2 1.06235
608900 299.121 139.811 -22000.1 3346.26 53577 1.06477
609000 302.836 250.928 -21948.1 3387.82 53630.6 1.06371
609100 297.791 -377.085 -21919.8 3331.39 53904 1.05832
609200 296.939 -250.572 -21932.6 3321.85 53734.2 1.06167
609300 302.593 121.782 -21876 3385.11 53293.9 1.07043
609400 299.371 27.1117 -21919.6 3349.06 53108.4 1.07417
609500 299.154 349.161 -21957.1 3346.63 53078.2 1.07478
609600 300.198 82.8651 -21910 3358.31 53470.2 1.06691
609700 302.757 -709.193 -21799.3 3386.94 53944.9 1.05751
609800 300.793 26.8335 -21852.5 3364.96 53730.9 1.06173
609900 298.767 90.8961 -21929 3342.3 53507.3 1.06616
