# Time-averaged data for fix rdf_CO_avg
# TimeStep Number-of-rows
# Row c_rdf_CO[1] c_rdf_CO[2] c_rdf_CO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0.010317 0.00277778
36 2.91318 0.0607326 0.02
37 2.99524 0.108983 0.0527778
38 3.0773 0.213434 0.120556
39 3.15936 0.322187 0.228333
40 3.24142 0.477928 0.396667
41 3.32348 0.531006 0.593333
42 3.40555 0.568361 0.814444
43 3.48761 0.629374 1.07111
44 3.56967 0.643512 1.34611
45 3.65173 0.709553 1.66333
46 3.73379 0.65254 1.96833
47 3.81585 0.63733 2.27944
48 3.89791 0.630447 2.60056
49 3.97997 0.660966 2.95167
50 4.06204 0.665576 3.32
51 4.1441 0.640647 3.68889
52 4.22616 0.69608 4.10556
53 4.30822 0.733023 4.56167
54 4.39028 0.729845 5.03333
55 4.47234 0.676133 5.48667
56 4.5544 0.701377 5.97444
57 4.63647 0.703883 6.48167
58 4.71853 0.688207 6.99556
59 4.80059 0.712578 7.54611
60 4.88265 0.760094 8.15389
61 4.96471 0.695721 8.72889
62 5.04677 0.69475 9.32222
63 5.12883 0.676929 9.91944
64 5.21089 0.653509 10.5144
65 5.29296 0.701959 11.1739
66 5.37502 0.726705 11.8778
67 5.45708 0.695984 12.5728
68 5.53914 0.715639 13.3089
69 5.6212 0.721712 14.0733
70 5.70326 0.731018 14.8706
71 5.78532 0.782143 15.7483
72 5.86739 0.813716 16.6878
73 5.94945 0.832896 17.6761
74 6.03151 0.833341 18.6928
75 6.11357 0.838785 19.7439
76 6.19563 0.857638 20.8478
77 6.27769 0.867613 21.9944
78 6.35975 0.870444 23.175
79 6.44181 0.908612 24.4389
80 6.52388 0.909011 25.7361
81 6.60594 0.932133 27.1
82 6.688 0.914598 28.4717
83 6.77006 0.954055 29.9378
84 6.85212 0.931909 31.405
85 6.93418 0.94492 32.9283
86 7.01624 0.958509 34.5106
87 7.09831 0.982163 36.17
88 7.18037 0.977435 37.86
89 7.26243 0.968243 39.5722
90 7.34449 0.972987 41.3317
91 7.42655 0.979553 43.1433
92 7.50861 1.0172 45.0661
93 7.59067 1.01074 47.0189
94 7.67273 0.985807 48.965
95 7.7548 1.04812 51.0783
96 7.83686 1.05872 53.2589
97 7.91892 1.02909 55.4228
98 8.00098 1.03595 57.6467
99 8.08304 1.03949 59.9239
100 8.1651 1.05008 62.2711
101 8.24716 1.07013 64.7111
102 8.32923 1.04927 67.1517
103 8.41129 1.0699 69.69
104 8.49335 1.0825 72.3083
105 8.57541 1.09672 75.0122
106 8.65747 1.09926 77.775
107 8.73953 1.06289 80.4972
108 8.82159 1.10004 83.3678
109 8.90365 1.08649 86.2556
110 8.98572 1.09732 89.2267
111 9.06778 1.10996 92.2867
112 9.14984 1.08978 95.3461
113 9.2319 1.08105 98.435
114 9.31396 1.06834 101.543
115 9.39602 1.05962 104.679
116 9.47808 1.05051 107.844
117 9.56015 1.0674 111.115
118 9.64221 1.05806 114.413
119 9.72427 1.03275 117.688
120 9.80633 1.05693 121.096
121 9.88839 1.02418 124.454
122 9.97045 1.01464 127.837
123 10.0525 1.00099 131.229
124 10.1346 1.01411 134.722
125 10.2166 0.996317 138.208
126 10.2987 0.993373 141.741
127 10.3808 1.00098 145.358
128 10.4628 0.977286 148.945
129 10.5449 0.988967 152.632
130 10.6269 0.983551 156.357
131 10.709 1.00256 160.212
132 10.7911 1.01057 164.157
133 10.8731 1.00908 168.158
134 10.9552 1.01083 172.226
135 11.0372 1.01175 176.358
136 11.1193 1.00484 180.524
137 11.2014 1.03209 184.867
138 11.2834 1.01359 189.194
139 11.3655 1.03963 193.697
140 11.4476 1.04217 198.276
141 11.5296 1.03965 202.91
142 11.6117 1.01282 207.489
143 11.6937 1.03582 212.238
144 11.7758 1.03188 217.036
145 11.8579 1.01203 221.808
146 11.9399 1.04814 226.818
147 12.022 1.05134 231.913
148 12.104 1.01247 236.887
149 12.1861 1.03159 242.023
150 12.2682 1.03179 247.229
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0.00413247 0.00111111
36 2.91318 0.0426408 0.0133333
37 2.99524 0.106895 0.0455556
38 3.0773 0.271859 0.132222
39 3.15936 0.35742 0.252222
40 3.24142 0.451205 0.411667
41 3.32348 0.596684 0.633333
42 3.40555 0.609662 0.871111
43 3.48761 0.582559 1.10944
44 3.56967 0.661198 1.39278
45 3.65173 0.656627 1.68722
46 3.73379 0.597164 1.96722
47 3.81585 0.647769 2.28444
48 3.89791 0.661282 2.62222
49 3.97997 0.661133 2.97444
50 4.06204 0.669888 3.34611
51 4.1441 0.705025 3.75333
52 4.22616 0.687331 4.16611
53 4.30822 0.709309 4.60889
54 4.39028 0.718359 5.07444
55 4.47234 0.716883 5.55667
56 4.5544 0.701455 6.04611
57 4.63647 0.709374 6.55889
58 4.71853 0.659483 7.05278
59 4.80059 0.69029 7.58778
60 4.88265 0.680461 8.13333
61 4.96471 0.668222 8.68722
62 5.04677 0.687539 9.27611
63 5.12883 0.67391 9.87222
64 5.21089 0.718441 10.5283
65 5.29296 0.698763 11.1867
66 5.37502 0.687446 11.8544
67 5.45708 0.717378 12.5728
68 5.53914 0.720908 13.3167
69 5.6212 0.733907 14.0967
70 5.70326 0.773818 14.9433
71 5.78532 0.766924 15.8067
72 5.86739 0.801314 16.7344
73 5.94945 0.813516 17.7028
74 6.03151 0.785628 18.6639
75 6.11357 0.807017 19.6783
76 6.19563 0.865596 20.7956
77 6.27769 0.871888 21.9511
78 6.35975 0.887053 23.1578
79 6.44181 0.895014 24.4067
80 6.52388 0.945184 25.7594
81 6.60594 0.908244 27.0922
82 6.688 0.937852 28.5028
83 6.77006 0.947479 29.9633
84 6.85212 0.936845 31.4428
85 6.93418 0.967129 33.0067
86 7.01624 0.934681 34.5539
87 7.09831 0.984988 36.2233
88 7.18037 0.988683 37.9378
89 7.26243 0.973561 39.6644
90 7.34449 0.97359 41.4306
91 7.42655 1.01671 43.3161
92 7.50861 1.01948 45.2489
93 7.59067 1.05516 47.2933
94 7.67273 0.969767 49.2133
95 7.7548 1.03833 51.3133
96 7.83686 1.0229 53.4261
97 7.91892 1.039 55.6172
98 8.00098 1.05547 57.8894
99 8.08304 1.04525 60.1861
100 8.1651 1.08429 62.6172
101 8.24716 1.05028 65.0194
102 8.32923 1.05177 67.4733
103 8.41129 1.0862 70.0578
104 8.49335 1.09256 72.7083
105 8.57541 1.07068 75.3561
106 8.65747 1.08069 78.08
107 8.73953 1.10915 80.9289
108 8.82159 1.10527 83.8217
109 8.90365 1.07302 86.6822
110 8.98572 1.0776 89.6083
111 9.06778 1.08493 92.6083
112 9.14984 1.07795 95.6433
113 9.2319 1.10479 98.81
114 9.31396 1.07471 101.946
115 9.39602 1.07418 105.135
116 9.47808 1.07325 108.377
117 9.56015 1.06115 111.639
118 9.64221 1.0451 114.907
119 9.72427 1.0335 118.193
120 9.80633 1.02736 121.515
121 9.88839 1.02726 124.893
122 9.97045 1.01147 128.275
123 10.0525 0.995354 131.657
124 10.1346 0.980576 135.044
125 10.2166 1.02498 138.642
126 10.2987 0.997426 142.2
127 10.3808 0.993219 145.799
128 10.4628 0.981579 149.413
129 10.5449 1.01507 153.209
130 10.6269 1.00126 157.011
131 10.709 1.00523 160.888
132 10.7911 1.01226 164.853
