# Time-averaged data for fix rdf_CC_avg
# TimeStep Number-of-rows
# Row c_rdf_CC[1] c_rdf_CC[2] c_rdf_CC[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0.288639 0.00777778
36 2.91318 0.972184 0.0355556
37 2.99524 1.95115 0.0944444
38 3.0773 3.39083 0.202222
39 3.15936 5.60148 0.39
40 3.24142 8.24684 0.681111
41 3.32348 10.2826 1.06222
42 3.40555 11.5253 1.51111
43 3.48761 14.3048 2.09556
44 3.56967 14.2561 2.70556
45 3.65173 15.4795 3.39889
46 3.73379 16.4402 4.16889
47 3.81585 16.632 4.98222
48 3.89791 16.1959 5.80889
49 3.97997 15.8284 6.65111
50 4.06204 16.4211 7.56111
51 4.1441 16.194 8.49556
52 4.22616 16.5381 9.48778
53 4.30822 15.7068 10.4667
54 4.39028 16.2727 11.52
55 4.47234 16.3933 12.6211
56 4.5544 16.221 13.7511
57 4.63647 15.3628 14.86
58 4.71853 15.9154 16.05
59 4.80059 15.1869 17.2256
60 4.88265 15.7469 18.4867
61 4.96471 14.9475 19.7244
62 5.04677 14.2252 20.9411
63 5.12883 14.2618 22.2011
64 5.21089 14.1831 23.4944
65 5.29296 13.5762 24.7722
66 5.37502 12.769 26.0111
67 5.45708 12.6067 27.2722
68 5.53914 12.0561 28.5144
69 5.6212 11.9066 29.7778
70 5.70326 11.6873 31.0544
71 5.78532 10.6535 32.2522
72 5.86739 9.13014 33.3078
73 5.94945 9.36595 34.4211
74 6.03151 7.87726 35.3833
75 6.11357 7.797 36.3622
76 6.19563 6.7835 37.2367
77 6.27769 5.91861 38.02
78 6.35975 5.31566 38.7422
79 6.44181 4.6231 39.3867
80 6.52388 3.94826 39.9511
81 6.60594 3.16259 40.4144
82 6.688 2.66341 40.8144
83 6.77006 1.94979 41.1144
84 6.85212 1.45714 41.3444
85 6.93418 1.11486 41.5244
86 7.01624 0.866842 41.6678
87 7.09831 0.670137 41.7811
88 7.18037 0.423201 41.8544
89 7.26243 0.307384 41.9089
90 7.34449 0.189946 41.9433
91 7.42655 0.137945 41.9689
92 7.50861 0.0410962 41.9767
93 7.59067 0.0574492 41.9878
94 7.67273 0.0393803 41.9956
95 7.7548 0.010982 41.9978
96 7.83686 0.0054148 41.9989
97 7.91892 0.00532453 42
98 8.00098 0 42
99 8.08304 0 42
100 8.1651 0 42
101 8.24716 0 42
102 8.32923 0 42
103 8.41129 0 42
104 8.49335 0 42
105 8.57541 0.0045405 42.0011
106 8.65747 0.00445483 42.0022
107 8.73953 0 42.0022
108 8.82159 0.00429061 42.0033
109 8.90365 0 42.0033
110 8.98572 0.0082267 42.0056
111 9.06778 0 42.0056
112 9.14984 0.0119575 42.0089
113 9.2319 0.0195397 42.0144
114 9.31396 0.0191969 42.02
115 9.39602 0.0302057 42.0289
116 9.47808 0.0222547 42.0356
117 9.56015 0.0146065 42.04
118 9.64221 0.0285685 42.0489
119 9.72427 0.0316879 42.0589
120 9.80633 0.0553206 42.0767
121 9.88839 0.0579267 42.0956
122 9.97045 0.033436 42.1067
123 10.0525 0.0197809 42.1133
124 10.1346 0.0778249 42.14
125 10.2166 0.0669801 42.1633
126 10.2987 0.0501182 42.1811
127 10.3808 0.0678185 42.2056
128 10.4628 0.0515951 42.2244
129 10.5449 0.0894981 42.2578
130 10.6269 0.0969334 42.2944
131 10.709 0.112912 42.3378
132 10.7911 0.0912068 42.3733
133 10.8731 0.0979914 42.4122
134 10.9552 0.107514 42.4556
135 11.0372 0.0951727 42.4944
136 11.1193 0.155463 42.5589
137 11.2014 0.108278 42.6044
138 11.2834 0.125118 42.6578
139 11.3655 0.141236 42.7189
140 11.4476 0.133986 42.7778
141 11.5296 0.154516 42.8467
142 11.6117 0.149754 42.9144
143 11.6937 0.147788 42.9822
144 11.7758 0.160013 43.0567
145 11.8579 0.190826 43.1467
146 11.9399 0.195356 43.24
147 12.022 0.206145 43.34
148 12.104 0.216855 43.4467
149 12.1861 0.193927 43.5433
150 12.2682 0.217954 43.6533
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.131113 0.00333333
35 2.83112 0.328821 0.0122222
36 2.91318 1.01154 0.0411111
37 2.99524 2.79524 0.125556
38 3.0773 3.69249 0.243333
39 3.15936 6.34606 0.456667
40 3.24142 8.59873 0.761111
41 3.32348 10.6627 1.15778
42 3.40555 12.6828 1.65333
43 3.48761 14.8031 2.26
44 3.56967 14.6522 2.88889
45 3.65173 14.9883 3.56222
46 3.73379 15.61 4.29556
47 3.81585 16.3162 5.09556
48 3.89791 16.5479 5.94222
49 3.97997 14.7008 6.72667
50 4.06204 16.9721 7.67
51 4.1441 16.8453 8.64444
52 4.22616 15.6203 9.58444
53 4.30822 15.3196 10.5422
54 4.39028 18.0014 11.7111
55 4.47234 16.6289 12.8311
56 4.5544 16.1392 13.9589
57 4.63647 15.8478 15.1067
58 4.71853 15.9246 16.3011
59 4.80059 15.0704 17.4711
60 4.88265 15.6618 18.7289
61 4.96471 15.739 20.0356
62 5.04677 14.3498 21.2667
63 5.12883 14.4093 22.5433
64 5.21089 13.5302 23.7811
65 5.29296 13.5726 25.0622
66 5.37502 12.8897 26.3167
67 5.45708 12.7739 27.5978
68 5.53914 11.8589 28.8233
69 5.6212 11.8467 30.0844
70 5.70326 11.2224 31.3144
71 5.78532 10.4936 32.4978
72 5.86739 10.1943 33.68
73 5.94945 8.98226 34.7511
74 6.03151 7.88734 35.7178
75 6.11357 7.70431 36.6878
76 6.19563 6.89816 37.58
77 6.27769 6.01779 38.3789
78 6.35975 5.09691 39.0733
79 6.44181 4.35698 39.6822
80 6.52388 3.58875 40.1967
81 6.60594 2.64599 40.5856
82 6.688 2.35313 40.94
83 6.77006 1.82093 41.2211
84 6.85212 1.48962 41.4567
85 6.93418 1.0768 41.6311
86 7.01624 0.609757 41.7322
87 7.09831 0.406535 41.8011
88 7.18037 0.454852 41.88
89 7.26243 0.244219 41.9233
90 7.34449 0.152825 41.9511
91 7.42655 0.113755 41.9722
92 7.50861 0.064529 41.9844
93 7.59067 0.0516327 41.9944
94 7.67273 0 41.9944
95 7.7548 0.010977 41.9967
96 7.83686 0.00538078 41.9978
97 7.91892 0.0157702 42.0011
98 8.00098 0 42.0011
99 8.08304 0 42.0011
100 8.1651 0 42.0011
101 8.24716 0 42.0011
102 8.32923 0 42.0011
103 8.41129 0.00933285 42.0033
104 8.49335 0.0135738 42.0067
105 8.57541 0.013439 42.01
106 8.65747 0.0218403 42.0156
107 8.73953 0 42.0156
108 8.82159 0.0169304 42.02
109 8.90365 0.0332539 42.0289
110 8.98572 0.0244189 42.0356
111 9.06778 0.0440457 42.0478
112 9.14984 0.031478 42.0567
113 9.2319 0.0617675 42.0744
114 9.31396 0.106227 42.1056
115 9.39602 0.0745181 42.1278
116 9.47808 0.0990935 42.1578
117 9.56015 0.104618 42.19
118 9.64221 0.0742607 42.2133
119 9.72427 0.1289 42.2544
120 9.80633 0.150873 42.3033
121 9.88839 0.175608 42.3611
122 9.97045 0.182474 42.4222
123 10.0525 0.147095 42.4722
124 10.1346 0.157112 42.5267
125 10.2166 0.151428 42.58
126 10.2987 0.158676 42.6367
127 10.3808 0.201798 42.71
128 10.4628 0.22576 42.7933
129 10.5449 0.24618 42.8856
130 10.6269 0.268457 42.9878
131 10.709 0.264235 43.09
