# Time-averaged data for fix rdf_CO_avg
# TimeStep Number-of-rows
# Row c_rdf_CO[1] c_rdf_CO[2] c_rdf_CO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0.00204841 0.000555556
36 2.91318 0.00770128 0.00277778
37 2.99524 0.0601517 0.0211111
38 3.0773 0.203939 0.0866667
39 3.15936 0.344355 0.203333
40 3.24142 0.551375 0.4
41 3.32348 0.680162 0.655
42 3.40555 0.74659 0.948889
43 3.48761 0.798167 1.27833
44 3.56967 0.77968 1.61556
45 3.65173 0.762184 1.96056
46 3.73379 0.72659 2.30444
47 3.81585 0.736167 2.66833
48 3.89791 0.705422 3.03222
49 3.97997 0.720168 3.41944
50 4.06204 0.66957 3.79444
51 4.1441 0.722451 4.21556
52 4.22616 0.715838 4.64944
53 4.30822 0.735343 5.11278
54 4.39028 0.702398 5.57222
55 4.47234 0.745504 6.07833
56 4.5544 0.763043 6.61556
57 4.63647 0.712633 7.13556
58 4.71853 0.771951 7.71889
59 4.80059 0.7542 8.30889
60 4.88265 0.724921 8.89556
61 4.96471 0.690552 9.47333
62 5.04677 0.711936 10.0889
63 5.12883 0.723111 10.7344
64 5.21089 0.676844 11.3583
65 5.29296 0.718466 12.0417
66 5.37502 0.714591 12.7422
67 5.45708 0.702393 13.4522
68 5.53914 0.707467 14.1889
69 5.6212 0.749985 14.9933
70 5.70326 0.786031 15.8611
71 5.78532 0.799486 16.7694
72 5.86739 0.840196 17.7511
73 5.94945 0.834708 18.7539
74 6.03151 0.934415 19.9078
75 6.11357 0.901355 21.0511
76 6.19563 0.881276 22.1994
77 6.27769 0.910379 23.4172
78 6.35975 0.909694 24.6661
79 6.44181 0.963833 26.0239
80 6.52388 0.938095 27.3789
81 6.60594 0.956006 28.795
82 6.688 0.940407 30.2228
83 6.77006 0.974004 31.7378
84 6.85212 0.984468 33.3067
85 6.93418 0.994283 34.9294
86 7.01624 0.977456 36.5628
87 7.09831 0.983418 38.2444
88 7.18037 1.01263 40.0167
89 7.26243 1.0057 41.8172
90 7.34449 1.03321 43.7089
91 7.42655 1.02348 45.625
92 7.50861 1.00412 47.5467
93 7.59067 1.00728 49.5167
94 7.67273 1.07795 51.6706
95 7.7548 1.06138 53.8372
96 7.83686 1.05578 56.0383
97 7.91892 1.04742 58.2678
98 8.00098 1.0665 60.585
99 8.08304 1.05466 62.9239
100 8.1651 1.0688 65.3422
101 8.24716 1.10914 67.9028
102 8.32923 1.1225 70.5461
103 8.41129 1.10983 73.2111
104 8.49335 1.12538 75.9667
105 8.57541 1.07238 78.6433
106 8.65747 1.11041 81.4683
107 8.73953 1.12335 84.3806
108 8.82159 1.10802 87.3072
109 8.90365 1.11985 90.3206
110 8.98572 1.10425 93.3467
111 9.06778 1.13731 96.5206
112 9.14984 1.1212 99.7067
113 9.2319 1.09013 102.86
114 9.31396 1.08967 106.069
115 9.39602 1.06125 109.249
116 9.47808 1.05418 112.463
117 9.56015 1.05531 115.737
118 9.64221 1.03395 119
119 9.72427 1.02615 122.293
120 9.80633 1.04259 125.696
121 9.88839 1.01629 129.069
122 9.97045 1.0032 132.454
123 10.0525 0.982741 135.825
124 10.1346 0.976233 139.228
125 10.2166 0.958683 142.625
126 10.2987 0.99652 146.213
127 10.3808 0.999938 149.871
128 10.4628 0.979687 153.511
129 10.5449 0.995397 157.267
130 10.6269 0.992672 161.072
131 10.709 0.993173 164.938
132 10.7911 1.0112 168.936
133 10.8731 0.992173 172.917
134 10.9552 1.01878 177.067
135 11.0372 1.03062 181.328
136 11.1193 1.03064 185.653
137 11.2014 1.026 190.023
138 11.2834 1.02259 194.442
139 11.3655 1.02567 198.939
140 11.4476 1.02613 203.503
141 11.5296 1.05755 208.275
142 11.6117 1.03885 213.029
143 11.6937 1.04139 217.863
144 11.7758 1.03444 222.732
145 11.8579 1.03805 227.686
146 11.9399 1.0522 232.777
147 12.022 1.03582 237.858
148 12.104 1.03433 243.002
149 12.1861 1.01785 248.132
150 12.2682 1.01192 253.302
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0.00413598 0.00111111
36 2.91318 0.00971581 0.00388889
37 2.99524 0.0586027 0.0216667
38 3.0773 0.199756 0.0855556
39 3.15936 0.395314 0.218889
40 3.24142 0.518016 0.402778
41 3.32348 0.656546 0.647778
42 3.40555 0.711642 0.926667
43 3.48761 0.700253 1.21444
44 3.56967 0.783533 1.55167
45 3.65173 0.823792 1.92278
46 3.73379 0.747955 2.275
47 3.81585 0.748999 2.64333
48 3.89791 0.701254 3.00333
49 3.97997 0.680039 3.36722
50 4.06204 0.691661 3.75278
51 4.1441 0.699099 4.15833
52 4.22616 0.740256 4.605
53 4.30822 0.712477 5.05167
54 4.39028 0.710807 5.51444
55 4.47234 0.703745 5.99
56 4.5544 0.771418 6.53056
57 4.63647 0.754254 7.07833
58 4.71853 0.74364 7.63778
59 4.80059 0.740602 8.21444
60 4.88265 0.719595 8.79389
61 4.96471 0.712564 9.38722
62 5.04677 0.751523 10.0339
63 5.12883 0.708944 10.6639
64 5.21089 0.692261 11.2989
65 5.29296 0.699162 11.9606
66 5.37502 0.685885 12.63
67 5.45708 0.743879 13.3783
68 5.53914 0.749814 14.1556
69 5.6212 0.763506 14.9706
70 5.70326 0.738824 15.7822
71 5.78532 0.825495 16.7156
72 5.86739 0.784239 17.6278
73 5.94945 0.842233 18.635
74 6.03151 0.883632 19.7211
75 6.11357 0.912315 20.8728
76 6.19563 0.866678 21.9967
77 6.27769 0.929414 23.2339
78 6.35975 0.944767 24.5244
79 6.44181 0.927664 25.825
80 6.52388 0.918863 27.1461
81 6.60594 0.932368 28.5206
82 6.688 0.954511 29.9628
83 6.77006 0.975621 31.4733
84 6.85212 0.979095 33.0261
85 6.93418 1.00408 34.6572
86 7.01624 1.01176 36.34
87 7.09831 1.00465 38.05
88 7.18037 1.0131 39.8144
89 7.26243 1.0074 41.6094
90 7.34449 0.997418 43.4272
91 7.42655 1.00396 45.2978
92 7.50861 1.03249 47.2639
93 7.59067 1.02517 49.2594
94 7.67273 1.05384 51.355
95 7.7548 1.0661 53.5206
96 7.83686 1.05322 55.7056
97 7.91892 1.07676 57.9867
98 8.00098 1.06497 60.2894
99 8.08304 1.07834 62.6694
100 8.1651 1.09414 65.1339
101 8.24716 1.10759 67.6789
102 8.32923 1.11293 70.2872
103 8.41129 1.06994 72.8444
104 8.49335 1.10203 75.53
105 8.57541 1.10731 78.2811
106 8.65747 1.09396 81.0511
107 8.73953 1.09926 83.8872
108 8.82159 1.11096 86.8078
109 8.90365 1.12927 89.8322
110 8.98572 1.11348 92.8694
111 9.06778 1.11516 95.9667
112 9.14984 1.10727 99.0983
113 9.2319 1.08708 102.228
114 9.31396 1.081 105.396
115 9.39602 1.09049 108.648
116 9.47808 1.06022 111.866
117 9.56015 1.07734 115.192
118 9.64221 1.05388 118.502
119 9.72427 1.0274 121.784
120 9.80633 1.02466 125.113
121 9.88839 1.00346 128.427
122 9.97045 1.01062 131.822
123 10.0525 0.986213 135.188
124 10.1346 0.99077 138.626
125 10.2166 0.98512 142.099
126 10.2987 1.01082 145.722
127 10.3808 0.967415 149.243
128 10.4628 0.991551 152.91
129 10.5449 1.00694 156.692
130 10.6269 1.01713 160.573
131 10.709 1.00608 164.471
132 10.7911 1.01005 168.444
