# Time-averaged data for fix thermo_avg_npt
# TimeStep v_epsilon_co v_temp v_press v_pe v_ke v_etotal v_vol v_dens
101000 0.45 301.101 270.782 -20986.2 3368.41 -17617.8 54436 1.04798
102000 0.45 299.94 -46.653 -20963.2 3355.42 -17607.8 54911.5 1.0389
103000 0.45 300.282 226.253 -20959.1 3359.25 -17599.8 54653.1 1.04382
104000 0.45 299.22 -66.8383 -20956.5 3347.37 -17609.1 54786.5 1.04128
105000 0.45 300.606 -120.003 -20974.9 3362.88 -17612 54769.1 1.04161
106000 0.45 299.408 -45.1052 -20913.7 3349.47 -17564.2 54471.5 1.0473
107000 0.45 300.457 84.5803 -20993.4 3361.2 -17632.2 53979.8 1.05683
108000 0.45 299.792 -206.329 -20999.3 3353.77 -17645.5 54292 1.05076
109000 0.45 301.88 22.0612 -20982.3 3377.12 -17605.2 54653.3 1.04381
110000 0.45 298.846 -112.199 -20933.5 3343.18 -17590.3 54869.9 1.03969
111000 0.45 298.475 165.9 -20985.6 3339.03 -17646.6 54835.8 1.04033
112000 0.45 298.821 262.599 -20961.5 3342.91 -17618.6 54480.6 1.04712
113000 0.45 299.729 96.2829 -20963.6 3353.06 -17610.6 54513.7 1.04649
114000 0.45 301.097 -79.8901 -20982.6 3368.37 -17614.3 54952.2 1.03813
115000 0.45 300.557 -161.118 -21001.6 3362.32 -17639.2 54755.4 1.04187
116000 0.45 298.06 78.8195 -21019.7 3334.4 -17685.3 54103.8 1.05441
117000 0.45 299.752 350.348 -21002 3353.31 -17648.7 54136.6 1.05377
118000 0.45 301.113 -72.7445 -20959.5 3368.54 -17591 54412 1.04844
119000 0.45 300.128 223.346 -21019.4 3357.52 -17661.9 54334.5 1.04994
120000 0.45 298.824 -207.207 -20965.5 3342.94 -17622.6 54809.8 1.04083
121000 0.45 301.585 101.541 -20973.3 3373.82 -17599.5 54554.2 1.04572
122000 0.45 300.209 58.5709 -20883.1 3358.44 -17524.7 54136.3 1.05378
123000 0.45 299.651 188.747 -21002.4 3352.2 -17650.2 54200.4 1.05255
124000 0.45 298.293 -220.935 -20921 3336.99 -17584 54951.8 1.03814
125000 0.45 298.978 -71.5722 -20987.4 3344.66 -17642.8 54523.1 1.0463
126000 0.45 299.019 -61.2418 -20992.2 3345.12 -17647 54312.3 1.05036
127000 0.45 298.832 -112.835 -20927.6 3343.02 -17584.6 54463.9 1.04744
128000 0.45 302.48 227.317 -20972.3 3383.84 -17588.5 54367.8 1.04929
129000 0.45 301.306 151.195 -20990.5 3370.7 -17619.8 54655.6 1.04378
130000 0.45 300.102 -74.4579 -20952.9 3357.23 -17595.7 55066.2 1.03598
131000 0.45 301.805 386.447 -21013 3376.28 -17636.7 54303.4 1.05055
132000 0.45 302.82 43.1517 -20964.4 3387.64 -17576.7 54195 1.05264
133000 0.45 300.844 -142.148 -20894.4 3365.53 -17528.9 54606.9 1.0447
134000 0.45 298.926 119.811 -20948.1 3344.08 -17604 54415.2 1.04838
135000 0.45 298.414 -57.7867 -20984.1 3338.35 -17645.7 54286.3 1.05086
136000 0.45 298.321 42.8811 -20958.4 3337.31 -17621 54324.8 1.05012
137000 0.45 302.437 59.7449 -20960.1 3383.36 -17576.8 54526.3 1.04624
138000 0.45 299.649 -233.171 -20920.8 3352.17 -17568.7 54798.3 1.04105
139000 0.45 298.774 146.572 -20921 3342.38 -17578.7 54230.8 1.05196
140000 0.45 300.476 188.721 -20965.9 3361.42 -17604.5 53923.3 1.05794
141000 0.45 300.17 -135.052 -20939.9 3357.99 -17581.9 54339.1 1.04985
142000 0.45 300.094 -15.4024 -20911 3357.14 -17553.8 54634.2 1.04418
143000 0.45 299.92 -90.4353 -20985.2 3355.2 -17630 54942.2 1.03832
144000 0.45 299.61 210.058 -20950.7 3351.73 -17599 54771.2 1.04156
145000 0.45 300.147 -182.008 -20912.3 3357.74 -17554.5 54404.7 1.04858
146000 0.45 301.416 277.682 -20916.6 3371.93 -17544.6 54077 1.05493
147000 0.45 299.699 -139.814 -20901.9 3352.73 -17549.2 54805.1 1.04094
148000 0.45 299.937 -278.979 -20922.9 3355.39 -17567.5 54995.4 1.03732
149000 0.45 299.78 -60.4904 -20950 3353.63 -17596.4 54923.3 1.03867
150000 0.45 301.5 88.7299 -20936.4 3372.88 -17563.5 54725.9 1.04243
151000 0.45 301.014 223.18 -20965.5 3367.44 -17598 54537.1 1.04603
152000 0.45 298.551 56.5415 -20958.2 3339.88 -17618.3 55181.7 1.03383
153000 0.45 299.088 -3.97589 -20990.1 3345.89 -17644.2 55020.8 1.03685
154000 0.45 300.34 226.559 -21048.6 3359.9 -17688.7 54377.3 1.04911
155000 0.45 301.474 -38.4164 -20963 3372.59 -17590.4 54141.6 1.05368
156000 0.45 298.807 127.501 -20948.9 3342.75 -17606.1 53850.4 1.05937
157000 0.45 300.987 -80.8943 -20883.7 3367.14 -17516.5 54007.6 1.05629
158000 0.45 298.359 -217.49 -20903.9 3337.73 -17566.1 54186.3 1.05281
159000 0.45 300.193 -96.2653 -20941 3358.26 -17582.8 54500 1.04675
160000 0.45 299.165 -91.9552 -20960.4 3346.75 -17613.6 54474.1 1.04724
161000 0.45 299.666 37.4298 -20975.7 3352.35 -17623.4 54479.9 1.04713
162000 0.45 298.999 28.5617 -20951.8 3344.9 -17606.9 54874.8 1.03959
163000 0.45 299.51 -118.765 -20922.7 3350.61 -17572.1 54361.9 1.04943
164000 0.45 301.851 246.695 -20929.8 3376.8 -17553 54032.9 1.0558
165000 0.45 298.297 -182.728 -20980.2 3337.04 -17643.2 54552 1.04575
166000 0.45 300.966 -88.0675 -20944.3 3366.91 -17577.4 54624.6 1.04435
167000 0.45 300.871 24.9456 -20984.3 3365.84 -17618.5 54601.8 1.04479
168000 0.45 300.223 111.255 -21016 3358.59 -17657.4 54692.8 1.04305
169000 0.45 299.716 192.258 -20997 3352.91 -17644.1 54626.6 1.04432
170000 0.45 298.761 33.4415 -21000.6 3342.23 -17658.4 54525.5 1.04625
171000 0.45 299.027 15.2781 -21003 3345.21 -17657.8 54715.1 1.04264
172000 0.45 300.623 -96.1948 -20897.4 3363.07 -17534.3 55012.9 1.03699
173000 0.45 300.454 206.734 -20964.8 3361.17 -17603.7 54595.9 1.0449
174000 0.45 300.051 -250.497 -20967.8 3356.66 -17611.1 54773.8 1.04151
175000 0.45 298.767 189.773 -20947.7 3342.3 -17605.4 54638.7 1.04409
176000 0.45 301.571 69.6571 -20915.5 3373.67 -17541.9 54440.9 1.04788
177000 0.45 299.347 160.329 -20920.9 3348.78 -17572.1 54620.6 1.04443
178000 0.45 300.597 86.1511 -21012.8 3362.78 -17650 54650.6 1.04386
179000 0.45 301.154 -69.9256 -21001.7 3369.01 -17632.7 54598.2 1.04486
180000 0.45 298.045 141.837 -20966.6 3334.22 -17632.4 54391.6 1.04883
181000 0.45 299.22 103.064 -20929.7 3347.37 -17582.3 54400.1 1.04867
182000 0.45 297.821 7.05383 -20934.7 3331.72 -17602.9 54365.1 1.04934
183000 0.45 298.817 339.051 -20937.2 3342.86 -17594.4 54241.2 1.05174
184000 0.45 300.981 -147.099 -20913 3367.07 -17546 54460.8 1.0475
