# Time-averaged data for fix thermo_detailed
# TimeStep v_temp v_press v_pe v_ke v_vol v_dens
600100 299.335 106.309 -20985.4 3348.65 54585.5 1.0451
600200 303.916 -170.579 -20908.4 3399.91 54768.6 1.04161
600300 302.271 -210.704 -20917.7 3381.5 54807.1 1.04088
600400 302.096 157.313 -20970.7 3379.54 54609.1 1.04465
600500 299.049 -164.658 -20981.6 3345.46 54508 1.04659
600600 301.258 285.96 -21006.3 3370.17 54305.7 1.05049
600700 299.445 152.458 -20992.3 3349.89 54404.2 1.04859
600800 299.549 -526.581 -20889 3351.05 54777.2 1.04145
600900 301.184 111.584 -20905.2 3369.34 54655.2 1.04377
601000 299.501 220.394 -20936.5 3350.51 54400.2 1.04866
601100 301.324 53.4194 -20923.4 3370.91 54426.1 1.04816
601200 303.319 -242.553 -20814 3393.22 54570.6 1.04539
601300 300.038 85.5103 -20881.8 3356.52 54424.6 1.0482
601400 298.446 35.2172 -20929.2 3338.71 54183 1.05287
601500 302.258 109.007 -20873 3381.35 53991.4 1.0566
601600 300.967 104.781 -20912.9 3366.92 53768.4 1.06099
601700 298.107 -17.7216 -20939.4 3334.92 53645.2 1.06342
601800 301.33 400.431 -20910.4 3370.97 53586.2 1.06459
601900 301.218 -186.382 -20892.4 3369.72 53940.6 1.0576
602000 301.384 109.228 -20876.5 3371.58 54190.5 1.05272
602100 297.463 -259.41 -20941.3 3327.71 54352.7 1.04958
602200 300.28 25.8765 -20924.6 3359.23 54324.9 1.05012
602300 301.684 -22.6996 -20881.8 3374.94 54308.8 1.05043
602400 296.216 -72.0639 -20936 3313.76 54282.2 1.05094
602500 299.326 247.781 -20949.3 3348.56 54192.3 1.05269
602600 299.233 -91.2644 -20919.3 3347.51 54350.6 1.04962
602700 303.89 -18.8636 -20846.6 3399.62 54614.6 1.04455
602800 296.906 -370.471 -20836.3 3321.48 54789.5 1.04121
602900 298.44 12.7859 -20887.8 3338.64 54365.3 1.04935
603000 299.45 320.985 -20857.6 3349.94 53912.3 1.05815
603100 299.03 35.5066 -20902.3 3345.24 53980.3 1.05682
603200 294.298 -140.401 -20922.2 3292.3 54134.2 1.05382
603300 300.175 -39.6738 -20878.9 3358.05 54266 1.05126
603400 302.55 56.404 -20840.8 3384.63 54445.9 1.04778
603500 299.484 -226.376 -20904.7 3350.32 54601.8 1.04479
603600 299.096 -98.2269 -20981.6 3345.98 54559.4 1.0456
603700 302.568 387.64 -20898.8 3384.82 54349 1.04965
603800 300.037 -240.381 -20844.2 3356.51 54495.6 1.04683
603900 298.026 -64.3137 -20940.1 3334.01 54636.4 1.04413
604000 299.895 -274.506 -20901.5 3354.92 54563.9 1.04552
604100 303.555 317.464 -20903 3395.86 54255.6 1.05146
604200 297.959 144.945 -20891.5 3333.26 54111.1 1.05427
604300 304.414 -119.293 -20868.9 3405.48 54167.1 1.05318
604400 299.07 79.2871 -20871.1 3345.69 54094.9 1.05458
604500 299.581 56.3205 -20894.9 3351.41 54196.3 1.05261
604600 302.264 -141.207 -20823.3 3381.42 54458.9 1.04753
604700 302.239 -143.593 -20873.6 3381.14 54552.4 1.04574
604800 299.65 77.3669 -20932.6 3352.18 54433.2 1.04803
604900 295.537 48.9828 -20955.2 3306.16 54384.9 1.04896
605000 299.126 179.894 -20947.9 3346.32 54360.7 1.04942
605100 300.31 232.088 -20910.8 3359.56 54521.5 1.04634
605200 296.316 -578.238 -20949.5 3314.88 54890.1 1.0393
605300 297.204 37.1739 -20921.5 3324.82 54525 1.04627
605400 304.306 310.324 -20956.1 3404.27 54186.5 1.0528
605500 297.993 -63.2241 -20985.2 3333.65 54272.3 1.05114
605600 301.563 107.142 -20939.1 3373.58 54324.5 1.05013
605700 296.513 -12.1647 -20974 3317.09 54359.2 1.04945
605800 299.358 -105.843 -20975.8 3348.91 54392.8 1.04881
605900 300.497 210.033 -20911.2 3361.65 54326.9 1.05008
606000 301.003 -200.885 -20970.9 3367.31 54497.1 1.0468
606100 297.356 -18.278 -20974.4 3326.51 54497.7 1.04679
606200 298.265 219.688 -20904.9 3336.68 54421.5 1.04825
606300 301.646 -242.781 -20903 3374.5 54630.9 1.04424
606400 298.839 -45.2861 -20878.6 3343.11 54722.3 1.04249
606500 300.867 -362.819 -20799.8 3365.79 54533.5 1.04611
606600 302.142 347.163 -20798.2 3380.06 54043.5 1.05559
606700 301.931 468.554 -20947.1 3377.7 53972.9 1.05697
606800 298.927 -163.434 -20968.1 3344.09 54369.2 1.04926
606900 301.468 -160.103 -20909.9 3372.52 54563.6 1.04552
607000 301.219 30.2617 -20866 3369.73 54552.2 1.04574
607100 297.954 105.009 -20972.2 3333.21 54548.5 1.04581
607200 297.562 240.314 -20959.9 3328.82 54721 1.04252
607300 300.653 -354.412 -20917 3363.4 55078.6 1.03575
607400 298.449 -33.4927 -20924.2 3338.74 55052.6 1.03624
607500 295.186 -104.449 -20950.4 3302.24 54831.2 1.04042
607600 303.229 205.735 -20948 3392.21 54557.5 1.04564
607700 297.297 -255.942 -20938 3325.85 54589.6 1.04503
607800 297.501 27.1516 -20896.2 3328.14 54371.5 1.04922
607900 302.753 136.495 -20909 3386.9 54156.6 1.05338
608000 297.848 -217.888 -20994.8 3332.02 54204.5 1.05245
608100 300.563 292.458 -20974 3362.39 54131.3 1.05387
608200 304.346 244.84 -20880.6 3404.71 54207.8 1.05239
608300 301.106 -240.603 -20906.1 3368.47 54664.4 1.0436
608400 298.903 -434.548 -20964.8 3343.82 54969.7 1.0378
608500 299.55 213.268 -20984.5 3351.06 54757.8 1.04182
608600 303.225 107.463 -20917 3392.17 54600.1 1.04482
608700 298.698 5.49976 -20956.3 3341.53 54509.4 1.04656
608800 299.635 87.524 -20943 3352.01 54570.4 1.04539
608900 300.982 -206.451 -20923.7 3367.08 54729.7 1.04235
609000 300.5 -235.169 -20951.3 3361.69 54610 1.04464
609100 298.525 -126.164 -21016.4 3339.59 54031 1.05585
609200 300.608 813.924 -21056.2 3362.89 53412.1 1.06806
609300 300.109 92.582 -21064.1 3357.31 53739.1 1.06158
609400 295.303 -199.549 -21022.3 3303.55 54071.7 1.05503
609500 301.777 -107.257 -20982.7 3375.98 53984.4 1.05674
609600 297.416 71.5042 -20959.6 3327.18 53976.8 1.05689
609700 304.364 -187.528 -20926.4 3404.91 54083.9 1.0548
609800 300.752 -214.491 -20958.9 3364.51 53938.1 1.05765
609900 301.446 259.732 -21027.5 3372.27 53630.6 1.06371
610000 300.348 437.647 -21016.6 3359.99 53696.3 1.06241
610100 295.528 -218.204 -21070 3306.06 54196.5 1.05261
610200 296.001 -183.161 -21073.3 3311.35 54441 1.04788
610300 300.368 60.8969 -21003.2 3360.21 54318.7 1.05024
610400 298.398 3.93815 -21040.8 3338.17 54245.9 1.05165
610500 296.954 233.007 -21096.4 3322.02 54074.9 1.05497
610600 299.511 118.937 -21007.5 3350.63 54144.9 1.05361
610700 300.239 -89.9507 -20940.1 3358.77 54421.1 1.04826
610800 306.427 -74.6643 -20913.4 3428 54525.9 1.04625
610900 297.54 -244.094 -20929.8 3328.57 54505.2 1.04665
611000 302.101 327.791 -20971.9 3379.6 54309.3 1.05042
611100 296.025 -168.118 -20996.1 3311.63 54409 1.04849
611200 298.658 -172.548 -20969.1 3341.08 54376.3 1.04912
611300 305.147 7.48578 -20979.9 3413.67 54199.4 1.05255
611400 299.241 121.759 -20998.2 3347.6 53991.1 1.05661
611500 302.19 244.085 -20995.4 3380.59 54102.1 1.05445
611600 295.556 -178.083 -21010 3306.38 54433.1 1.04803
611700 298.994 -102.679 -21012.4 3344.83 54379.1 1.04907
611800 301.044 57.5658 -20934.5 3367.77 54182.5 1.05288
611900 301.621 24.0319 -20900.7 3374.23 54136.9 1.05376
