# Time-averaged data for fix thermo_avg
# TimeStep v_epsilon_co v_temp v_press v_pe v_ke v_etotal v_vol v_dens
601000 0.45 300.185 -74.818 -20941.8 3358.16 -17583.6 54577.4 1.04527
602000 0.45 302.14 -47.6981 -20909.6 3380.03 -17529.6 54070.6 1.0551
603000 0.45 299.61 96.1082 -20897.6 3351.73 -17545.9 54329.8 1.05004
604000 0.45 299.326 -118.295 -20898.7 3348.55 -17550.2 54422.8 1.04824
605000 0.45 299.687 93.9884 -20889.8 3352.59 -17537.2 54301.7 1.05057
606000 0.45 300.265 183.617 -20965.3 3359.06 -17606.2 54435.5 1.048
607000 0.45 300.453 -80.1598 -20892.8 3361.16 -17531.7 54430.4 1.0481
608000 0.45 299.253 -133.271 -20946.2 3347.74 -17598.4 54595.4 1.04495
609000 0.45 302.118 -49.1257 -20953.4 3379.78 -17573.6 54581.4 1.0452
610000 0.45 299.865 130.639 -20999.4 3354.58 -17644.8 53839.3 1.05961
611000 0.45 299.355 -85.7542 -21008.3 3348.88 -17659.4 54336.2 1.04991
612000 0.45 300.93 46.8844 -20969 3366.49 -17602.5 54226.1 1.05204
613000 0.45 300.59 6.79095 -20923.3 3362.7 -17560.6 54278.8 1.05102
614000 0.45 298.736 -101.646 -20953.6 3341.96 -17611.6 54291.4 1.05078
615000 0.45 300.271 18.0898 -20942 3359.12 -17582.9 54399.3 1.04871
616000 0.45 299.647 194.935 -20971.9 3352.15 -17619.7 54535.5 1.04607
617000 0.45 300.197 70.0092 -20936.1 3358.3 -17577.8 54673.1 1.04345
618000 0.45 299.562 5.22307 -20898.4 3351.2 -17547.2 54676.5 1.04338
619000 0.45 300.591 -69.9012 -20969.2 3362.7 -17606.5 54556.3 1.04567
620000 0.45 299.841 -155.418 -20917.2 3354.32 -17562.8 54851.8 1.04005
621000 0.45 299.339 -9.16277 -20977.4 3348.69 -17628.7 54751.3 1.04196
622000 0.45 298.735 -122.285 -20952 3341.94 -17610.1 54679.4 1.04335
623000 0.45 299.964 -238.466 -20941.6 3355.69 -17586 54613.7 1.0446
624000 0.45 299.57 142.176 -20934.3 3351.29 -17583 54127.8 1.05397
625000 0.45 299.316 -66.9007 -20877.2 3348.44 -17528.8 54460.2 1.04752
626000 0.45 301.785 12.2379 -20935.2 3376.07 -17559.1 54727.9 1.0424
627000 0.45 299.301 -33.6116 -20968.2 3348.27 -17619.9 55006.9 1.03714
628000 0.45 298.761 50.2478 -20983.8 3342.23 -17641.5 55083.1 1.03569
629000 0.45 298.718 159.516 -20974 3341.76 -17632.2 54780.6 1.0414
630000 0.45 298.843 26.4017 -20950.4 3343.15 -17607.3 54650.9 1.04386
631000 0.45 297.979 142.875 -20958.8 3333.49 -17625.4 54392.2 1.04883
632000 0.45 300.656 207.574 -21009.6 3363.43 -17646.1 54613.4 1.04459
633000 0.45 300.798 28.1343 -21027.9 3365.02 -17662.9 54625.3 1.04435
634000 0.45 297.825 -12.4863 -20937.5 3331.76 -17605.7 54691 1.04311
635000 0.45 298.066 180.119 -20979.3 3334.46 -17644.9 54769 1.04162
636000 0.45 300.528 332.194 -20904.7 3362 -17542.7 54546.6 1.04586
637000 0.45 300.071 -174.036 -20940.8 3356.88 -17583.9 54809.4 1.04085
638000 0.45 300.977 -153.08 -20982.2 3367.03 -17615.2 54567.9 1.04546
639000 0.45 299.516 61.9359 -20982.4 3350.68 -17631.7 54830.9 1.04045
640000 0.45 299.889 163.763 -20900.1 3354.85 -17545.2 54959.6 1.03803
641000 0.45 299.953 -8.49969 -20949.2 3355.57 -17593.7 54766.7 1.04166
642000 0.45 299.079 -136.066 -20992.8 3345.79 -17647 54560.2 1.0456
