# Time-averaged data for fix rdf_OO_avg
# TimeStep Number-of-rows
# Row c_rdf_OO[1] c_rdf_OO[2] c_rdf_OO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0.00112267 0.000223839
31 2.50287 0.045942 0.0100727
32 2.58493 0.591767 0.145495
33 2.66699 2.06951 0.649692
34 2.74905 3.24129 1.48864
35 2.83112 2.94379 2.29681
36 2.91318 2.20664 2.93822
37 2.99524 1.5458 3.41321
38 3.0773 1.13796 3.78232
39 3.15936 0.908421 4.09289
40 3.24142 0.855592 4.40078
41 3.32348 0.829605 4.71461
42 3.40555 0.832192 5.04522
43 3.48761 0.835008 5.39306
44 3.56967 0.848107 5.76318
45 3.65173 0.890003 6.16967
46 3.73379 0.917988 6.60795
47 3.81585 0.947113 7.08025
48 3.89791 1.00226 7.60179
49 3.97997 1.01867 8.15445
50 4.06204 1.053 8.74952
51 4.1441 1.05434 9.36967
52 4.22616 1.07013 10.0243
53 4.30822 1.07494 10.7077
54 4.39028 1.10117 11.4346
55 4.47234 1.11884 12.201
56 4.5544 1.11053 12.9899
57 4.63647 1.10117 13.8007
58 4.71853 1.06707 14.6143
59 4.80059 1.00794 15.4098
60 4.88265 1.0244 16.2462
61 4.96471 1.01156 17.1002
62 5.04677 0.999344 17.9719
63 5.12883 0.957292 18.8344
64 5.21089 0.961186 19.7283
65 5.29296 0.931809 20.6224
66 5.37502 0.933003 21.5456
67 5.45708 0.933876 22.4982
68 5.53914 0.90656 23.4508
69 5.6212 0.912085 24.4378
70 5.70326 0.922213 25.4651
71 5.78532 0.929801 26.5309
72 5.86739 0.933555 27.6317
73 5.94945 0.941631 28.7731
74 6.03151 0.961419 29.971
75 6.11357 0.969189 31.2115
76 6.19563 0.99321 32.5173
77 6.27769 1.02505 33.9008
78 6.35975 1.04178 35.3439
79 6.44181 1.03284 36.8119
80 6.52388 1.04737 38.3386
81 6.60594 1.04935 39.9069
82 6.688 1.05461 41.5224
83 6.77006 1.04923 43.1694
84 6.85212 1.0419 44.8448
85 6.93418 1.0298 46.5406
86 7.01624 1.03533 48.2862
87 7.09831 1.02198 50.0497
88 7.18037 1.02158 51.8536
89 7.26243 1.00232 53.6642
90 7.34449 1.00494 55.5208
91 7.42655 0.989978 57.3907
92 7.50861 1.00034 59.3223
93 7.59067 0.98331 61.2627
94 7.67273 0.988715 63.2562
95 7.7548 0.963989 65.2416
96 7.83686 0.986105 67.3158
97 7.91892 0.983305 69.4276
98 8.00098 0.993862 71.6067
99 8.08304 0.977978 73.7951
100 8.1651 0.982136 76.0376
101 8.24716 0.986965 78.3367
102 8.32923 0.988637 80.6856
103 8.41129 0.993347 83.0926
104 8.49335 0.996504 85.5544
105 8.57541 0.988811 88.0449
106 8.65747 0.993407 90.595
107 8.73953 1.01244 93.2433
108 8.82159 1.01036 95.9361
109 8.90365 0.995326 98.6385
110 8.98572 1.00287 101.412
111 9.06778 1.00228 104.234
112 9.14984 1.00306 107.11
113 9.2319 1.001 110.032
114 9.31396 0.997172 112.995
115 9.39602 0.990254 115.989
116 9.47808 0.993965 119.047
117 9.56015 0.999063 122.174
118 9.64221 0.989908 125.326
119 9.72427 0.987861 128.525
120 9.80633 0.990266 131.787
121 9.88839 1.00227 135.143
122 9.97045 0.998447 138.543
123 10.0525 0.991698 141.975
124 10.1346 1.00749 145.519
125 10.2166 1.00286 149.104
126 10.2987 0.998867 152.732
127 10.3808 1.00869 156.455
128 10.4628 0.995636 160.188
129 10.5449 1.0054 164.016
130 10.6269 1.00752 167.913
131 10.709 1.00446 171.858
132 10.7911 0.994229 175.823
133 10.8731 0.995607 179.855
134 10.9552 1.00829 183.999
135 11.0372 0.999609 188.169
136 11.1193 1.00202 192.412
137 11.2014 1.00055 196.712
138 11.2834 1.00288 201.085
139 11.3655 1.01129 205.559
140 11.4476 1.01304 210.105
141 11.5296 0.994915 214.635
142 11.6117 0.996289 219.235
143 11.6937 0.99809 223.91
144 11.7758 0.995717 228.639
145 11.8579 1.0036 233.472
146 11.9399 1.00121 238.36
147 12.022 0.997845 243.299
148 12.104 1.00316 248.333
149 12.1861 1.00714 253.455
150 12.2682 0.999003 258.604
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0.000558203 0.000111919
31 2.50287 0.0490651 0.0106323
32 2.58493 0.598167 0.14751
33 2.66699 2.10439 0.659989
34 2.74905 3.12234 1.46782
35 2.83112 2.98185 2.28607
36 2.91318 2.20184 2.9258
37 2.99524 1.53563 3.39743
38 3.0773 1.1357 3.76564
39 3.15936 0.896544 4.07208
40 3.24142 0.858988 4.38109
41 3.32348 0.827564 4.69412
42 3.40555 0.835548 5.02597
43 3.48761 0.835516 5.37392
44 3.56967 0.842541 5.74147
45 3.65173 0.887151 6.1465
46 3.73379 0.931368 6.59105
47 3.81585 0.944534 7.06189
48 3.89791 0.976102 7.56956
49 3.97997 1.01676 8.12098
50 4.06204 1.03059 8.70319
51 4.1441 1.06018 9.32658
52 4.22616 1.10067 9.99955
53 4.30822 1.09518 10.6955
54 4.39028 1.10653 11.4256
55 4.47234 1.11507 12.1893
56 4.5544 1.10403 12.9733
57 4.63647 1.09259 13.7774
58 4.71853 1.0896 14.6079
59 4.80059 1.05284 15.4386
60 4.88265 1.0238 16.2742
61 4.96471 0.99994 17.118
62 5.04677 0.973096 17.9664
63 5.12883 0.97532 18.8448
64 5.21089 0.962647 19.7396
65 5.29296 0.950359 20.6511
66 5.37502 0.919319 21.5604
67 5.45708 0.928825 22.5073
68 5.53914 0.895412 23.4479
69 5.6212 0.912215 24.4347
70 5.70326 0.895142 25.4316
71 5.78532 0.910404 26.4748
72 5.86739 0.936638 27.5787
73 5.94945 0.937505 28.7148
74 6.03151 0.959601 29.91
75 6.11357 0.981181 31.1655
76 6.19563 0.997738 32.4768
77 6.27769 0.980877 33.8001
78 6.35975 1.02299 35.2166
79 6.44181 1.05015 36.7084
80 6.52388 1.04334 38.2288
81 6.60594 1.04921 39.7962
82 6.688 1.06689 41.43
83 6.77006 1.06159 43.0958
84 6.85212 1.05902 44.7981
85 6.93418 1.02773 46.4899
86 7.01624 1.03691 48.2374
87 7.09831 1.02294 50.0019
88 7.18037 1.02926 51.8186
89 7.26243 1.01772 53.6562
90 7.34449 1.00089 55.5045
91 7.42655 0.99458 57.3825
92 7.50861 0.998761 59.3102
93 7.59067 0.992344 61.2677
94 7.67273 0.996311 63.2758
95 7.7548 0.972194 65.2773
96 7.83686 0.983948 67.3462
97 7.91892 0.98147 69.4533
98 8.00098 0.991243 71.6257
99 8.08304 0.971492 73.7989
100 8.1651 0.981324 76.0387
101 8.24716 0.975369 78.3098
102 8.32923 0.98415 80.6473
103 8.41129 0.984567 83.0322
104 8.49335 0.98947 85.4759
105 8.57541 0.990383 87.9693
106 8.65747 1.00017 90.5356
107 8.73953 0.992874 93.1318
108 8.82159 0.998635 95.7924
109 8.90365 1.00361 98.5161
110 8.98572 1.00571 101.296
111 9.06778 1.00667 104.13
112 9.14984 1.00092 106.999
113 9.2319 1.01655 109.965
114 9.31396 0.997926 112.929
115 9.39602 0.992908 115.929
116 9.47808 1.00232 119.012
117 9.56015 0.999515 122.139
118 9.64221 0.998854 125.319
119 9.72427 1.00046 128.557
120 9.80633 1.00166 131.855
121 9.88839 0.998558 135.198
122 9.97045 0.997196 138.591
123 10.0525 0.99277 142.026
124 10.1346 0.9955 145.527
125 10.2166 0.999591 149.099
126 10.2987 0.992835 152.704
127 10.3808 0.994253 156.371
128 10.4628 0.997874 160.111
