# Time-averaged data for fix rdf_CO_avg
# TimeStep Number-of-rows
# Row c_rdf_CO[1] c_rdf_CO[2] c_rdf_CO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0.00386135 0.00111111
37 2.99524 0.0512346 0.0166667
38 3.0773 0.164641 0.0694444
39 3.15936 0.404618 0.206111
40 3.24142 0.526477 0.393333
41 3.32348 0.711835 0.659444
42 3.40555 0.795652 0.971667
43 3.48761 0.803256 1.30222
44 3.56967 0.83245 1.66111
45 3.65173 0.768377 2.00778
46 3.73379 0.747353 2.36056
47 3.81585 0.773529 2.74167
48 3.89791 0.762632 3.13389
49 3.97997 0.734064 3.52722
50 4.06204 0.740319 3.94056
51 4.1441 0.681564 4.33667
52 4.22616 0.75755 4.79444
53 4.30822 0.719995 5.24667
54 4.39028 0.727952 5.72167
55 4.47234 0.736358 6.22
56 4.5544 0.759228 6.75278
57 4.63647 0.737745 7.28944
58 4.71853 0.755883 7.85889
59 4.80059 0.799861 8.48278
60 4.88265 0.7891 9.11944
61 4.96471 0.73075 9.72889
62 5.04677 0.73987 10.3667
63 5.12883 0.726077 11.0128
64 5.21089 0.740043 11.6928
65 5.29296 0.679827 12.3372
66 5.37502 0.700065 13.0217
67 5.45708 0.70647 13.7333
68 5.53914 0.722951 14.4839
69 5.6212 0.793273 15.3322
70 5.70326 0.772758 16.1828
71 5.78532 0.828451 17.1211
72 5.86739 0.857853 18.1206
73 5.94945 0.892901 19.19
74 6.03151 0.911836 20.3128
75 6.11357 0.908912 21.4622
76 6.19563 0.919555 22.6567
77 6.27769 0.954953 23.93
78 6.35975 0.936831 25.2122
79 6.44181 0.953124 26.5506
80 6.52388 0.967024 27.9433
81 6.60594 0.969473 29.375
82 6.688 1.00119 30.8906
83 6.77006 0.988727 32.4239
84 6.85212 1.01264 34.0328
85 6.93418 0.995436 35.6528
86 7.01624 0.992263 37.3056
87 7.09831 1.06444 39.1206
88 7.18037 1.02138 40.9028
89 7.26243 1.02655 42.735
90 7.34449 1.04102 44.635
91 7.42655 1.01876 46.5361
92 7.50861 1.09311 48.6217
93 7.59067 1.07061 50.7089
94 7.67273 1.05607 52.8128
95 7.7548 1.05282 54.9556
96 7.83686 1.07523 57.19
97 7.91892 1.05613 59.4311
98 8.00098 1.06435 61.7367
99 8.08304 1.09747 64.1633
100 8.1651 1.0959 66.6356
101 8.24716 1.08741 69.1383
102 8.32923 1.11199 71.7489
103 8.41129 1.08891 74.3556
104 8.49335 1.09639 77.0317
105 8.57541 1.14762 79.8872
106 8.65747 1.13727 82.7717
107 8.73953 1.13074 85.6944
108 8.82159 1.14083 88.6989
109 8.90365 1.12652 91.7211
110 8.98572 1.12637 94.7989
111 9.06778 1.12602 97.9317
112 9.14984 1.1296 101.132
113 9.2319 1.08388 104.258
114 9.31396 1.07301 107.408
115 9.39602 1.09543 110.681
116 9.47808 1.07277 113.942
117 9.56015 1.06731 117.243
118 9.64221 1.03547 120.501
119 9.72427 1.01742 123.756
120 9.80633 1.04115 127.144
121 9.88839 0.986783 130.409
122 9.97045 1.0114 133.812
123 10.0525 0.980082 137.163
124 10.1346 0.97377 140.548
125 10.2166 0.980597 144.011
126 10.2987 0.997927 147.593
127 10.3808 0.994284 151.219
128 10.4628 0.986706 154.874
129 10.5449 0.984717 158.579
130 10.6269 0.993884 162.377
131 10.709 0.982731 166.191
132 10.7911 0.998321 170.125
133 10.8731 1.00664 174.152
134 10.9552 1.02168 178.301
135 11.0372 1.01395 182.481
136 11.1193 1.01082 186.711
137 11.2014 1.03327 191.098
138 11.2834 1.01977 195.491
139 11.3655 1.03127 199.999
140 11.4476 1.0127 204.49
141 11.5296 1.0385 209.162
142 11.6117 1.03485 213.883
143 11.6937 1.02271 218.616
144 11.7758 1.02538 223.427
145 11.8579 1.02171 228.289
146 11.9399 1.03126 233.264
147 12.022 1.03329 238.317
148 12.104 1.01135 243.331
149 12.1861 1.01339 248.423
150 12.2682 1.01779 253.607
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0.00964821 0.00277778
37 2.99524 0.0694696 0.0238889
38 3.0773 0.194013 0.0861111
39 3.15936 0.346924 0.203333
40 3.24142 0.563612 0.403889
41 3.32348 0.699669 0.665556
42 3.40555 0.831849 0.992222
43 3.48761 0.825529 1.33222
44 3.56967 0.825343 1.68833
45 3.65173 0.782549 2.04167
46 3.73379 0.755587 2.39833
47 3.81585 0.71455 2.75056
48 3.89791 0.68036 3.10056
49 3.97997 0.731287 3.49278
50 4.06204 0.685131 3.87556
51 4.1441 0.697503 4.28111
52 4.22616 0.721055 4.71722
53 4.30822 0.771751 5.20222
54 4.39028 0.76358 5.70056
55 4.47234 0.789079 6.235
56 4.5544 0.8022 6.79833
57 4.63647 0.785428 7.37
58 4.71853 0.7098 7.905
59 4.80059 0.752614 8.49222
60 4.88265 0.732925 9.08389
61 4.96471 0.717634 9.68278
62 5.04677 0.709251 10.2944
63 5.12883 0.712256 10.9289
64 5.21089 0.693141 11.5661
65 5.29296 0.69817 12.2283
66 5.37502 0.747372 12.9594
67 5.45708 0.762535 13.7283
68 5.53914 0.747631 14.505
69 5.6212 0.778419 15.3378
70 5.70326 0.790517 16.2083
71 5.78532 0.793291 17.1072
72 5.86739 0.865693 18.1161
73 5.94945 0.864503 19.1522
74 6.03151 0.879534 20.2356
75 6.11357 0.90783 21.3844
76 6.19563 0.925396 22.5872
77 6.27769 0.940038 23.8417
78 6.35975 0.940335 25.1294
79 6.44181 0.952982 26.4683
80 6.52388 0.958763 27.85
81 6.60594 0.970861 29.2844
82 6.688 0.963679 30.7439
83 6.77006 0.995987 32.2894
84 6.85212 0.998776 33.8772
85 6.93418 1.01354 35.5272
86 7.01624 1.00228 37.1978
87 7.09831 1.03392 38.9617
88 7.18037 1.00505 40.7161
89 7.26243 1.0136 42.5261
90 7.34449 1.02563 44.3994
91 7.42655 1.0532 46.3661
92 7.50861 1.04855 48.3678
93 7.59067 1.06562 50.4467
94 7.67273 1.05741 52.5544
95 7.7548 1.05101 54.6944
96 7.83686 1.06912 56.9178
97 7.91892 1.07979 59.2106
98 8.00098 1.12085 61.64
99 8.08304 1.10505 64.0844
100 8.1651 1.08565 66.535
101 8.24716 1.09955 69.0672
102 8.32923 1.11473 71.6856
103 8.41129 1.11459 74.3556
104 8.49335 1.10164 77.0461
105 8.57541 1.13461 79.8711
106 8.65747 1.11579 82.7028
107 8.73953 1.14414 85.6617
108 8.82159 1.10654 88.5772
109 8.90365 1.11458 91.5689
110 8.98572 1.11848 94.6267
111 9.06778 1.14366 97.8106
112 9.14984 1.09678 100.919
113 9.2319 1.13666 104.199
114 9.31396 1.08397 107.383
115 9.39602 1.08149 110.616
116 9.47808 1.07801 113.895
117 9.56015 1.0582 117.169
118 9.64221 1.04603 120.462
119 9.72427 1.03317 123.77
120 9.80633 1.04304 127.166
121 9.88839 1.00854 130.505
122 9.97045 1.01975 133.937
123 10.0525 0.990114 137.325
124 10.1346 0.983603 140.746
125 10.2166 0.992079 144.252
126 10.2987 0.970304 147.736
127 10.3808 0.977764 151.304
128 10.4628 0.986964 154.962
129 10.5449 0.997531 158.718
130 10.6269 1.00599 162.564
131 10.709 0.994742 166.427
132 10.7911 1.0071 170.398
