# Time-averaged data for fix rdf_OO_avg
# TimeStep Number-of-rows
# Row c_rdf_OO[1] c_rdf_OO[2] c_rdf_OO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0.0385787 0.00817012
32 2.58493 0.594311 0.142473
33 2.66699 2.01263 0.626637
34 2.74905 3.13707 1.42843
35 2.83112 3.01608 2.24611
36 2.91318 2.26493 2.89625
37 2.99524 1.53561 3.36217
38 3.0773 1.08415 3.70946
39 3.15936 0.899858 4.01332
40 3.24142 0.848355 4.31483
41 3.32348 0.80495 4.61556
42 3.40555 0.812754 4.93442
43 3.48761 0.80747 5.26659
44 3.56967 0.833901 5.62597
45 3.65173 0.84735 6.00817
46 3.73379 0.921994 6.44287
47 3.81585 0.951985 6.9117
48 3.89791 0.979125 7.41489
49 3.97997 1.02915 7.9662
50 4.06204 1.05097 8.55266
51 4.1441 1.06032 9.16855
52 4.22616 1.10243 9.83447
53 4.30822 1.11684 10.5355
54 4.39028 1.15033 11.2854
55 4.47234 1.13616 12.0539
56 4.5544 1.14671 12.8584
57 4.63647 1.1194 13.6723
58 4.71853 1.09847 14.4995
59 4.80059 1.06369 15.3286
60 4.88265 1.04172 16.1684
61 4.96471 1.02561 17.0234
62 5.04677 0.996177 17.8815
63 5.12883 0.958109 18.7339
64 5.21089 0.939457 19.5965
65 5.29296 0.934693 20.4821
66 5.37502 0.911755 21.373
67 5.45708 0.909327 22.289
68 5.53914 0.900522 23.2235
69 5.6212 0.889563 24.1741
70 5.70326 0.895344 25.1593
71 5.78532 0.902579 26.181
72 5.86739 0.921275 27.2536
73 5.94945 0.940298 28.3793
74 6.03151 0.953182 29.5521
75 6.11357 0.978439 30.7889
76 6.19563 0.983892 32.0664
77 6.27769 1.01916 33.4246
78 6.35975 1.01944 34.8193
79 6.44181 1.02629 36.2595
80 6.52388 1.0526 37.7747
81 6.60594 1.0482 39.3218
82 6.688 1.06287 40.9297
83 6.77006 1.06236 42.5764
84 6.85212 1.07173 44.2781
85 6.93418 1.04885 45.9838
86 7.01624 1.04139 47.7175
87 7.09831 1.03425 49.48
88 7.18037 1.03042 51.2767
89 7.26243 1.01244 53.0826
90 7.34449 1.02408 54.951
91 7.42655 0.99014 56.798
92 7.50861 0.997666 58.7004
93 7.59067 0.992853 60.6351
94 7.67273 0.983158 62.5926
95 7.7548 0.984468 64.5947
96 7.83686 0.979716 66.6297
97 7.91892 0.993732 68.7371
98 8.00098 0.982659 70.8646
99 8.08304 0.979503 73.0291
100 8.1651 0.990199 75.2618
101 8.24716 0.977509 77.5107
102 8.32923 0.993359 79.8414
103 8.41129 0.994645 82.2214
104 8.49335 0.981524 84.6161
105 8.57541 0.99083 87.0804
106 8.65747 0.981226 89.5677
107 8.73953 0.994385 92.1362
108 8.82159 1.00794 94.7891
109 8.90365 1.00058 97.4719
110 8.98572 0.996447 100.193
111 9.06778 1.0025 102.981
112 9.14984 0.998865 105.809
113 9.2319 1.00159 108.696
114 9.31396 1.00161 111.635
115 9.39602 0.989689 114.59
116 9.47808 1.00032 117.629
117 9.56015 1.00069 120.722
118 9.64221 1.0005 123.868
119 9.72427 0.990763 127.037
120 9.80633 0.98465 130.239
121 9.88839 0.99395 133.526
122 9.97045 0.994341 136.869
123 10.0525 1.00392 140.3
124 10.1346 0.988959 143.735
125 10.2166 1.0046 147.282
126 10.2987 1.00672 150.893
127 10.3808 0.998575 154.532
128 10.4628 1.00674 158.259
129 10.5449 1.01446 162.075
130 10.6269 1.00683 165.92
131 10.709 1.00781 169.829
132 10.7911 1.00962 173.805
133 10.8731 1.00504 177.824
134 10.9552 1.0004 181.884
135 11.0372 1.00945 186.043
136 11.1193 0.989917 190.183
137 11.2014 0.997089 194.414
138 11.2834 1.00513 198.742
139 11.3655 0.995975 203.093
140 11.4476 1.00255 207.536
141 11.5296 0.994391 212.007
142 11.6117 1.00682 216.598
143 11.6937 1.00377 221.24
144 11.7758 0.999681 225.929
145 11.8579 0.997876 230.674
146 11.9399 0.995142 235.472
147 12.022 0.992032 240.321
148 12.104 1.00429 245.297
149 12.1861 0.993319 250.286
150 12.2682 0.991473 255.333
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0.0385318 0.00817012
32 2.58493 0.55576 0.133856
33 2.66699 2.0318 0.622943
34 2.74905 3.21478 1.4451
35 2.83112 2.97297 2.25148
36 2.91318 2.21068 2.8864
37 2.99524 1.56893 3.36273
38 3.0773 1.11885 3.72132
39 3.15936 0.918787 4.03167
40 3.24142 0.770226 4.30554
41 3.32348 0.782352 4.59799
42 3.40555 0.792102 4.9089
43 3.48761 0.832359 5.25148
44 3.56967 0.83203 5.6103
45 3.65173 0.876201 6.00571
46 3.73379 0.918359 6.43895
47 3.81585 0.963703 6.91382
48 3.89791 0.998051 7.42697
49 3.97997 1.01268 7.96978
50 4.06204 1.05758 8.56027
51 4.1441 1.08614 9.19149
52 4.22616 1.10079 9.85686
53 4.30822 1.13022 10.5668
54 4.39028 1.14832 11.3157
55 4.47234 1.12189 12.0751
56 4.5544 1.13127 12.8692
57 4.63647 1.10665 13.6742
58 4.71853 1.09223 14.4971
59 4.80059 1.05826 15.3224
60 4.88265 1.03812 16.1599
61 4.96471 1.02461 17.0145
62 5.04677 0.999237 17.8758
63 5.12883 0.968361 18.7378
64 5.21089 0.966693 19.6261
65 5.29296 0.928944 20.5068
66 5.37502 0.910653 21.3971
67 5.45708 0.900595 22.3046
68 5.53914 0.889949 23.2287
69 5.6212 0.89013 24.1804
70 5.70326 0.896726 25.1674
71 5.78532 0.903937 26.1913
72 5.86739 0.927866 27.2722
73 5.94945 0.925722 28.3811
74 6.03151 0.952844 29.5541
75 6.11357 0.960184 30.7686
76 6.19563 0.991349 32.0563
77 6.27769 1.00021 33.3902
78 6.35975 1.04063 34.8144
79 6.44181 1.05144 36.2909
80 6.52388 1.06097 37.8189
81 6.60594 1.06256 39.388
82 6.688 1.06364 40.998
83 6.77006 1.06371 42.6478
84 6.85212 1.0721 44.3511
85 6.93418 1.05984 46.0755
86 7.01624 1.03685 47.8028
87 7.09831 1.03278 49.5637
88 7.18037 1.02735 51.3561
89 7.26243 1.02225 53.1806
90 7.34449 1.00542 55.0159
91 7.42655 1.00025 56.8828
92 7.50861 0.982456 58.7571
93 7.59067 0.987385 60.6824
94 7.67273 0.981606 62.6379
95 7.7548 0.978549 64.6292
96 7.83686 0.977099 66.66
97 7.91892 0.981988 68.7438
98 8.00098 0.980868 70.8686
99 8.08304 0.983845 73.0438
100 8.1651 0.98799 75.2727
101 8.24716 0.984343 77.5383
102 8.32923 0.986286 79.8537
103 8.41129 0.994039 82.2336
104 8.49335 0.981633 84.6299
105 8.57541 0.994814 87.1054
106 8.65747 0.990994 89.6189
107 8.73953 0.996999 92.1957
108 8.82159 0.994159 94.8138
109 8.90365 1.00081 97.4986
110 8.98572 0.996623 100.222
111 9.06778 1.00961 103.031
112 9.14984 1.00472 105.877
113 9.2319 1.00267 108.769
114 9.31396 0.996546 111.694
115 9.39602 0.994966 114.667
116 9.47808 0.997556 117.699
117 9.56015 1.00414 120.805
118 9.64221 1.00443 123.965
119 9.72427 0.988676 127.129
120 9.80633 1.0037 130.395
121 9.88839 0.99403 133.684
122 9.97045 1.00267 137.057
123 10.0525 0.987253 140.433
124 10.1346 0.990209 143.875
125 10.2166 1.0159 147.463
126 10.2987 0.996882 151.041
127 10.3808 1.00556 154.708
128 10.4628 1.00192 158.419
129 10.5449 1.00379 162.196
