# Time-averaged data for fix thermo_avg
# TimeStep v_epsilon_co v_temp v_press v_pe v_ke v_etotal v_vol v_dens
601000 0.5 301.612 -53.9615 -21082.5 3374.12 -17708.4 54768.3 1.04162
602000 0.5 300.086 131.73 -21055.8 3357.06 -17698.8 54442 1.04789
603000 0.5 299.558 -98.3819 -21039.5 3351.15 -17688.4 54657.7 1.04374
604000 0.5 301.073 72.9449 -21063.8 3368.1 -17695.7 54432.3 1.04807
605000 0.5 297.958 -105.508 -20991.3 3333.25 -17658.1 54364.9 1.04935
606000 0.5 298.76 -182.311 -20992.7 3342.22 -17650.4 54592.8 1.04497
607000 0.5 297.253 223.911 -21088.9 3325.36 -17763.5 54376.4 1.04914
608000 0.5 301.727 -24.3868 -21071.3 3375.42 -17695.9 54539.4 1.046
609000 0.5 299.629 -145.781 -21048.9 3351.94 -17696.9 54456.3 1.04759
610000 0.5 300.32 39.5854 -21029.7 3359.68 -17670 54242.4 1.05176
611000 0.5 299.645 49.5568 -21039.7 3352.12 -17687.6 54427.3 1.04816
612000 0.5 298.864 9.52829 -20999.7 3343.38 -17656.3 54518.5 1.0464
613000 0.5 298.304 159.874 -21063.9 3337.12 -17726.8 54391.2 1.04886
614000 0.5 300.003 -3.46114 -21086.4 3356.13 -17730.2 54560.9 1.04559
615000 0.5 302.058 21.8333 -21046.9 3379.12 -17667.8 54449.1 1.04773
616000 0.5 300.164 79.2753 -21086.1 3357.93 -17728.1 54289.5 1.05082
617000 0.5 302.11 -126.97 -21064.6 3379.7 -17684.9 54264.7 1.0513
618000 0.5 299.579 73.6516 -21120.5 3351.38 -17769.1 54330 1.05003
619000 0.5 298.851 165.653 -21094.1 3343.24 -17750.9 54588.4 1.04505
620000 0.5 299.754 -197.024 -21109.1 3353.34 -17755.7 54603.4 1.04477
621000 0.5 299.175 123.957 -21089.4 3346.86 -17742.5 54274.9 1.05109
622000 0.5 299.649 -85.2509 -21093.4 3352.17 -17741.2 54294.7 1.05072
623000 0.5 299.338 -86.5043 -21080.8 3348.68 -17732.2 54232.8 1.05191
624000 0.5 299.386 -53.6393 -21123.8 3349.23 -17774.6 53964.9 1.05714
625000 0.5 299.431 33.4722 -21064 3349.73 -17714.3 54312.5 1.05038
626000 0.5 299.972 37.1052 -21051.1 3355.78 -17695.3 54181 1.05292
627000 0.5 298.677 -60.0336 -21074.9 3341.29 -17733.6 53845 1.0595
628000 0.5 301.691 49.9911 -21132.5 3375.01 -17757.5 54074 1.05501
629000 0.5 300.739 8.04482 -21080.9 3364.36 -17716.6 54219.5 1.05217
630000 0.5 299.462 145.396 -21044.5 3350.07 -17694.5 54001.6 1.05643
631000 0.5 298.287 123.679 -21085.3 3336.93 -17748.4 54477.9 1.04719
632000 0.5 303.076 30.9055 -21126.4 3390.5 -17735.9 54221.2 1.05215
633000 0.5 299.151 -130.819 -21033.9 3346.59 -17687.3 54000.3 1.05646
634000 0.5 300.607 176.125 -21032.1 3362.88 -17669.2 54142.3 1.05368
635000 0.5 300.187 90.4421 -21035.8 3358.19 -17677.6 54237.5 1.05182
636000 0.5 300.424 -88.4058 -21057.3 3360.84 -17696.5 54085.7 1.05477
637000 0.5 301.701 -67.3393 -21071.2 3375.12 -17696.1 54601 1.04483
638000 0.5 299.372 71.153 -21061.6 3349.07 -17712.6 54416.6 1.04837
639000 0.5 300.506 96.71 -21043.8 3361.75 -17682.1 54346.2 1.04972
640000 0.5 300.99 -82.0924 -21109.6 3367.17 -17742.5 54513.1 1.0465
641000 0.5 300.934 -88.108 -21038.4 3366.54 -17671.8 54681.5 1.04328
642000 0.5 297.742 32.945 -21042.7 3330.83 -17711.9 54772.6 1.04155
643000 0.5 299.715 42.0601 -21044 3352.91 -17691.1 54520.4 1.04638
644000 0.5 297.896 10.5895 -21046.6 3332.56 -17714 54267.4 1.05124
645000 0.5 299.241 -36.1048 -21053.3 3347.61 -17705.7 54200.9 1.05256
646000 0.5 302.532 13.3082 -21022.5 3384.41 -17638.1 53927.9 1.05785
647000 0.5 300.322 45.5758 -21058.8 3359.7 -17699.1 53930.1 1.05781
648000 0.5 299.195 -166.166 -21067.4 3347.09 -17720.3 54226.9 1.05203
649000 0.5 301.277 -178.685 -21056.1 3370.38 -17685.7 54615.5 1.04456
650000 0.5 299.818 -25.131 -21043.1 3354.05 -17689 54794.2 1.04113
651000 0.5 300.341 -77.1629 -21029.9 3359.91 -17670 54803.7 1.04095
652000 0.5 300.087 127.796 -21073.4 3357.07 -17716.4 54295.6 1.0507
653000 0.5 299.315 48.5086 -21039.8 3348.43 -17691.4 54499.6 1.04677
654000 0.5 299.156 231.553 -21045.5 3346.65 -17698.8 54671.6 1.04346
655000 0.5 297.813 80.3749 -21062.8 3331.63 -17731.2 54314.5 1.05033
656000 0.5 298.782 -155.342 -21091.1 3342.47 -17748.6 54397.3 1.04872
657000 0.5 302.227 -46.2109 -21093.8 3381.01 -17712.8 54343 1.04978
658000 0.5 299.173 7.33728 -21114.6 3346.85 -17767.8 54219.2 1.05217
659000 0.5 299.765 154.129 -21023.4 3353.47 -17669.9 54187.4 1.0528
