# Time-averaged data for fix rdf_OO_avg
# TimeStep Number-of-rows
# Row c_rdf_OO[1] c_rdf_OO[2] c_rdf_OO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0.0497488 0.0107443
32 2.58493 0.584147 0.145271
33 2.66699 2.11991 0.664913
34 2.74905 3.11451 1.47611
35 2.83112 2.96112 2.29412
36 2.91318 2.20612 2.93934
37 2.99524 1.5566 3.42071
38 3.0773 1.1467 3.79496
39 3.15936 0.936655 4.11718
40 3.24142 0.863166 4.42977
41 3.32348 0.839182 4.74919
42 3.40555 0.825149 5.07902
43 3.48761 0.866392 5.44219
44 3.56967 0.858556 5.81925
45 3.65173 0.873545 6.22071
46 3.73379 0.904675 6.65529
47 3.81585 0.942521 7.12826
48 3.89791 0.98809 7.64566
49 3.97997 1.02688 8.20627
50 4.06204 1.06977 8.81455
51 4.1441 1.05159 9.43693
52 4.22616 1.06334 10.0914
53 4.30822 1.0858 10.786
54 4.39028 1.09096 11.5107
55 4.47234 1.09711 12.2669
56 4.5544 1.1171 13.0655
57 4.63647 1.0833 13.868
58 4.71853 1.05733 14.6794
59 4.80059 1.03082 15.498
60 4.88265 1.03153 16.3455
61 4.96471 1.00426 17.1985
62 5.04677 0.990722 18.0682
63 5.12883 0.970806 18.9483
64 5.21089 0.947181 19.8347
65 5.29296 0.954793 20.7566
66 5.37502 0.945702 21.6982
67 5.45708 0.926282 22.6488
68 5.53914 0.915828 23.6171
69 5.6212 0.893845 24.5905
70 5.70326 0.904326 25.6043
71 5.78532 0.916266 26.6611
72 5.86739 0.946551 27.7841
73 5.94945 0.948956 28.9417
74 6.03151 0.967032 30.154
75 6.11357 0.979924 31.4162
76 6.19563 0.996041 32.7339
77 6.27769 1.0186 34.1173
78 6.35975 1.01679 35.5345
79 6.44181 1.03781 37.0187
80 6.52388 1.02546 38.5228
81 6.60594 1.0458 40.0955
82 6.688 1.04413 41.705
83 6.77006 1.05662 43.374
84 6.85212 1.04277 45.0613
85 6.93418 1.05117 46.8031
86 7.01624 1.03558 48.56
87 7.09831 1.02824 50.3455
88 7.18037 1.0373 52.1886
89 7.26243 1.00455 54.0145
90 7.34449 1.01229 55.8963
91 7.42655 0.993068 57.7839
92 7.50861 0.992024 59.7114
93 7.59067 0.980833 61.659
94 7.67273 0.989437 63.6664
95 7.7548 0.980401 65.6983
96 7.83686 0.981711 67.776
97 7.91892 0.975401 69.8841
98 8.00098 0.980369 72.0468
99 8.08304 0.970664 74.2325
100 8.1651 0.994207 76.5166
101 8.24716 0.992964 78.8442
102 8.32923 0.98331 81.1951
103 8.41129 0.99182 83.6133
104 8.49335 1.00111 86.1022
105 8.57541 0.97969 88.585
106 8.65747 0.982703 91.1232
107 8.73953 0.988801 93.7259
108 8.82159 1.00441 96.4195
109 8.90365 1.01741 99.1991
110 8.98572 1.00474 101.995
111 9.06778 0.991675 104.805
112 9.14984 1.00181 107.695
113 9.2319 0.997981 110.627
114 9.31396 1.00346 113.627
115 9.39602 1.0073 116.691
116 9.47808 0.989525 119.755
117 9.56015 0.990595 122.875
118 9.64221 0.984939 126.031
119 9.72427 0.997142 129.28
120 9.80633 0.995665 132.58
121 9.88839 1.00672 135.972
122 9.97045 0.999203 139.395
123 10.0525 0.993547 142.856
124 10.1346 0.996524 146.383
125 10.2166 1.00239 149.988
126 10.2987 0.998017 153.636
127 10.3808 0.991906 157.32
128 10.4628 1.0029 161.104
129 10.5449 1.01014 164.974
130 10.6269 1.00738 168.895
131 10.709 0.994966 172.827
132 10.7911 1.00664 176.867
133 10.8731 1.00165 180.948
134 10.9552 1.00664 185.111
135 11.0372 1.00232 189.319
136 11.1193 1.00712 193.611
137 11.2014 0.995874 197.917
138 11.2834 1.00669 202.334
139 11.3655 1.00837 206.823
140 11.4476 0.99006 211.294
141 11.5296 1.00874 215.915
142 11.6117 0.997342 220.549
143 11.6937 1.01447 225.33
144 11.7758 0.994148 230.081
145 11.8579 1.00313 234.942
146 11.9399 0.998617 239.848
147 12.022 1.00692 244.863
148 12.104 1.00126 249.919
149 12.1861 0.992693 254.999
150 12.2682 1.0003 260.187
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0.000564012 0.000111919
31 2.50287 0.0510776 0.01108
32 2.58493 0.612822 0.151427
33 2.66699 2.11889 0.668047
34 2.74905 3.13359 1.4798
35 2.83112 2.97061 2.29591
36 2.91318 2.21859 2.94135
37 2.99524 1.5337 3.41298
38 3.0773 1.09813 3.76945
39 3.15936 0.939115 4.09077
40 3.24142 0.851198 4.39731
41 3.32348 0.82488 4.70968
42 3.40555 0.838882 5.0432
43 3.48761 0.854701 5.39955
44 3.56967 0.865718 5.77773
45 3.65173 0.88687 6.1831
46 3.73379 0.918203 6.62182
47 3.81585 0.92919 7.08562
48 3.89791 0.963461 7.58735
49 3.97997 1.0311 8.14717
50 4.06204 1.03832 8.73442
51 4.1441 1.04447 9.34919
52 4.22616 1.08823 10.0153
53 4.30822 1.09088 10.7093
54 4.39028 1.10878 11.4419
55 4.47234 1.123 12.2118
56 4.5544 1.09191 12.9881
57 4.63647 1.08935 13.7908
58 4.71853 1.0662 14.6046
59 4.80059 1.06435 15.4453
60 4.88265 1.02101 16.2796
61 4.96471 1.014 17.1363
62 5.04677 0.981273 17.9929
63 5.12883 0.96804 18.8658
64 5.21089 0.959866 19.7591
65 5.29296 0.934782 20.6569
66 5.37502 0.938778 21.5865
67 5.45708 0.928844 22.5345
68 5.53914 0.919162 23.5011
69 5.6212 0.915401 24.4926
70 5.70326 0.916897 25.5147
71 5.78532 0.911725 26.5607
72 5.86739 0.924313 27.6514
73 5.94945 0.948949 28.8027
74 6.03151 0.949953 29.9872
75 6.11357 0.967533 31.2267
76 6.19563 0.997086 32.5387
77 6.27769 0.994433 33.8819
78 6.35975 1.02954 35.3092
79 6.44181 1.04237 36.7918
80 6.52388 1.03183 38.297
81 6.60594 1.0513 39.8695
82 6.688 1.0431 41.4687
83 6.77006 1.07218 43.1531
84 6.85212 1.04909 44.8414
85 6.93418 1.04065 46.5565
86 7.01624 1.04154 48.314
87 7.09831 1.02868 50.0907
88 7.18037 1.02354 51.8994
89 7.26243 1.02003 53.7435
90 7.34449 1.01361 55.6176
91 7.42655 0.995623 57.4997
92 7.50861 0.983227 59.3998
93 7.59067 0.985433 61.3459
94 7.67273 0.980211 63.3239
95 7.7548 0.962834 65.3086
96 7.83686 0.986424 67.3851
97 7.91892 0.984983 69.5021
98 8.00098 0.989205 71.6725
99 8.08304 0.986921 73.8827
100 8.1651 0.974533 76.1097
101 8.24716 0.979954 78.3942
102 8.32923 0.984024 80.734
103 8.41129 0.989863 83.1344
104 8.49335 0.994365 85.5931
105 8.57541 0.989355 88.0868
106 8.65747 0.993661 90.6396
107 8.73953 0.99337 93.2402
108 8.82159 0.992584 95.8876
109 8.90365 1.00241 98.6114
110 8.98572 1.00417 101.39
111 9.06778 0.997917 104.203
112 9.14984 0.994878 107.058
113 9.2319 1.00784 110.002
114 9.31396 1.00429 112.988
115 9.39602 0.995426 116
116 9.47808 1.00361 119.091
117 9.56015 1.0084 122.25
118 9.64221 0.997428 125.428
119 9.72427 0.987309 128.628
120 9.80633 1.00221 131.932
121 9.88839 0.999234 135.28
122 9.97045 1.00275 138.697
123 10.0525 1.00408 142.175
124 10.1346 0.99262 145.669
125 10.2166 1.00313 149.258
126 10.2987 0.994814 152.875
127 10.3808 0.99487 156.549
128 10.4628 0.992412 160.273
129 10.5449 1.00292 164.095
