# Time-averaged data for fix thermo_detailed
# TimeStep v_temp v_press v_pe v_ke v_vol v_dens
600100 299.84 -165.765 -20780.9 3354.3 54562.2 1.04555
600200 298.111 7.13924 -20792.5 3334.96 54347 1.04969
600300 300.548 318.71 -20847 3362.22 54146.8 1.05357
600400 297.652 -303.827 -20753.7 3329.83 54291.3 1.05077
600500 303.858 211.954 -20723.3 3399.25 54227.2 1.05201
600600 301.823 14.9359 -20807.3 3376.48 54438 1.04794
600700 299.607 -174.533 -20831.5 3351.7 54674.9 1.04339
600800 301.999 322.575 -20746.5 3378.45 54725.4 1.04243
600900 299.846 -212.525 -20650.1 3354.37 55021.3 1.03683
601000 300.332 -2.78926 -20682.3 3359.81 55033.1 1.0366
601100 301.871 21.4042 -20847.5 3377.03 54913.9 1.03885
601200 299.452 252.52 -20870.9 3349.97 54729.8 1.04235
601300 305.094 -68.3152 -20795.5 3413.08 54720.4 1.04253
601400 302.741 -78.0824 -20760.1 3386.75 54702.6 1.04287
601500 300.845 148.437 -20804.5 3365.55 54564 1.04551
601600 295.812 113.89 -20857.7 3309.24 54483.6 1.04706
601700 297.456 149.969 -20861.5 3327.63 54523 1.0463
601800 298.263 -182.25 -20771.8 3336.66 54697.7 1.04296
601900 302.385 -191.424 -20734 3382.78 54767.5 1.04163
602000 294.487 -159.853 -20772 3294.42 54607.3 1.04469
602100 299.688 348.343 -20820.1 3352.6 54202.3 1.0525
602200 299.77 114.03 -20767.6 3353.53 54137.2 1.05376
602300 302.435 65.4022 -20662.5 3383.33 54327.1 1.05008
602400 301.351 -259.548 -20712.7 3371.21 54545.5 1.04587
602500 299.806 13.285 -20749.4 3353.93 54508.1 1.04659
602600 295.496 -162.318 -20804.1 3305.7 54331.7 1.04999
602700 299.548 421.427 -20836.2 3351.04 54099.2 1.0545
602800 299.917 -165.117 -20795.9 3355.17 54328 1.05006
602900 301.201 -224.138 -20745.3 3369.53 54463.6 1.04744
603000 300.891 313.095 -20676.9 3366.06 54289.7 1.0508
603100 300.538 126.811 -20634.8 3362.12 54415.4 1.04837
603200 301.653 -244.742 -20603.7 3374.58 54768.5 1.04162
603300 297.552 -513.283 -20646.6 3328.71 54867.9 1.03973
603400 301.572 492.07 -20717.6 3373.68 54332.2 1.04998
603500 295.904 -31.4786 -20772.9 3310.27 54294.6 1.0507
603600 300.715 84.0719 -20720.6 3364.1 54412 1.04844
603700 301.87 -106.798 -20761 3377.02 54492.7 1.04688
603800 297.542 -55.3124 -20758.3 3328.6 54420.5 1.04827
603900 301.316 292.988 -20783.5 3370.81 54343.1 1.04976
604000 298.101 -175.302 -20766.8 3334.85 54597.3 1.04488
604100 301.884 -486.492 -20672.2 3377.17 54901 1.0391
604200 298.65 125.262 -20711.8 3340.99 54600.8 1.04482
604300 299.19 433.727 -20763.9 3347.03 54243.6 1.05169
604400 298.651 151.309 -20804.3 3341 54368.2 1.04928
604500 296.14 -99.9902 -20835.6 3312.91 54644.8 1.04397
604600 299.049 89.6168 -20758.7 3345.46 54888.4 1.03934
604700 303.494 -14.1162 -20759.5 3395.19 55157.7 1.03426
604800 296.829 -376.481 -20823.2 3320.62 55300.4 1.03159
604900 301.258 -10.2064 -20778.1 3370.17 55013.6 1.03698
605000 300.959 218.311 -20801 3366.83 54515.1 1.04646
605100 295.26 234.278 -20887.2 3303.07 54310.6 1.05039
605200 297.19 121.551 -20811.4 3324.66 54416.2 1.04835
605300 300.002 76.3314 -20714.6 3356.12 54763.7 1.04171
605400 300.058 -475.022 -20729.1 3356.74 55128.3 1.03481
605500 297.496 0.246567 -20808.5 3328.08 54852.2 1.04003
605600 300.684 237.923 -20797.1 3363.75 54566.2 1.04547
605700 303.038 68.3251 -20719.6 3390.08 54616.9 1.0445
605800 298.706 -264.073 -20770.5 3341.62 54721.8 1.0425
605900 299.734 211.818 -20785.7 3353.11 54625 1.04435
606000 300.934 171.177 -20724 3366.54 54777.4 1.04144
606100 303.58 -285.299 -20723 3396.14 54993.4 1.03735
