# Time-averaged data for fix rdf_CC_avg
# TimeStep Number-of-rows
# Row c_rdf_CC[1] c_rdf_CC[2] c_rdf_CC[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.04373 0.00111111
35 2.83112 0.246107 0.00777778
36 2.91318 1.12464 0.04
37 2.99524 2.01657 0.101111
38 3.0773 3.82111 0.223333
39 3.15936 6.09588 0.428889
40 3.24142 8.64065 0.735556
41 3.32348 10.6661 1.13333
42 3.40555 11.8545 1.59778
43 3.48761 14.6675 2.2
44 3.56967 14.3536 2.81778
45 3.65173 15.1706 3.50111
46 3.73379 16.1322 4.26111
47 3.81585 15.0258 5
48 3.89791 17.1901 5.88222
49 3.97997 16.2898 6.75333
50 4.06204 16.0741 7.64889
51 4.1441 16.2302 8.59
52 4.22616 14.902 9.48889
53 4.30822 15.9711 10.49
54 4.39028 15.9615 11.5289
55 4.47234 16.8421 12.6667
56 4.5544 16.4339 13.8178
57 4.63647 15.1031 14.9144
58 4.71853 16.1666 16.13
59 4.80059 15.6344 17.3467
60 4.88265 15.0962 18.5622
61 4.96471 14.3342 19.7556
62 5.04677 14.6595 21.0167
63 5.12883 13.8723 22.2489
64 5.21089 13.8619 23.52
65 5.29296 14.0824 24.8522
66 5.37502 13.7776 26.1967
67 5.45708 12.0967 27.4133
68 5.53914 12.2589 28.6833
69 5.6212 11.3084 29.89
70 5.70326 11.4071 31.1433
71 5.78532 11.3304 32.4244
72 5.86739 9.78833 33.5622
73 5.94945 9.43475 34.69
74 6.03151 7.77624 35.6456
75 6.11357 7.95948 36.65
76 6.19563 7.25981 37.5911
77 6.27769 5.71714 38.3522
78 6.35975 5.14034 39.0544
79 6.44181 4.25003 39.65
80 6.52388 3.75758 40.19
81 6.60594 3.14543 40.6533
82 6.688 2.28032 40.9978
83 6.77006 1.84486 41.2833
84 6.85212 1.44293 41.5122
85 6.93418 0.938035 41.6644
86 7.01624 0.62824 41.7689
87 7.09831 0.45745 41.8467
88 7.18037 0.382608 41.9133
89 7.26243 0.162257 41.9422
90 7.34449 0.0973831 41.96
91 7.42655 0.10142 41.9789
92 7.50861 0.0701182 41.9922
93 7.59067 0.0457201 42.0011
94 7.67273 0.0224123 42.0056
95 7.7548 0.0274451 42.0111
96 7.83686 0.0161068 42.0144
97 7.91892 0.0157747 42.0178
98 8.00098 0.0308182 42.0244
99 8.08304 0.0302878 42.0311
100 8.1651 0.014789 42.0344
101 8.24716 0.0388154 42.0433
102 8.32923 0.0285509 42.05
103 8.41129 0.0605163 42.0644
104 8.49335 0.068619 42.0811
105 8.57541 0.112046 42.1089
106 8.65747 0.096524 42.1333
107 8.73953 0.120719 42.1644
108 8.82159 0.152508 42.2044
109 8.90365 0.120443 42.2367
110 8.98572 0.220366 42.2967
111 9.06778 0.216189 42.3567
112 9.14984 0.212347 42.4167
113 9.2319 0.250972 42.4889
114 9.31396 0.276858 42.57
115 9.39602 0.283295 42.6544
116 9.47808 0.359099 42.7633
117 9.56015 0.374352 42.8789
118 9.64221 0.336282 42.9844
119 9.72427 0.389694 43.1089
120 9.80633 0.421113 43.2456
121 9.88839 0.477847 43.4033
122 9.97045 0.357673 43.5233
123 10.0525 0.465361 43.6822
124 10.1346 0.480957 43.8489
125 10.2166 0.453828 44.0089
126 10.2987 0.52127 44.1956
127 10.3808 0.622799 44.4222
128 10.4628 0.541011 44.6222
129 10.5449 0.63048 44.8589
130 10.6269 0.646755 45.1056
131 10.709 0.76587 45.4022
132 10.7911 0.622063 45.6467
133 10.8731 0.742835 45.9433
134 10.9552 0.691012 46.2233
135 11.0372 0.723694 46.5211
136 11.1193 0.678811 46.8044
137 11.2014 0.755453 47.1244
138 11.2834 0.834779 47.4833
139 11.3655 0.776673 47.8222
140 11.4476 0.798712 48.1756
141 11.5296 0.831392 48.5489
142 11.6117 0.876249 48.9478
143 11.6937 0.931086 49.3778
144 11.7758 0.913471 49.8056
145 11.8579 0.919505 50.2422
146 11.9399 1.01122 50.7289
147 12.022 0.933517 51.1844
148 12.104 0.958658 51.6589
149 12.1861 0.93295 52.1267
150 12.2682 1.13889 52.7056
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.131188 0.00333333
35 2.83112 0.205264 0.00888889
36 2.91318 1.24483 0.0444444
37 2.99524 2.68474 0.125556
38 3.0773 4.45948 0.267778
39 3.15936 6.18475 0.475556
40 3.24142 6.9079 0.72
41 3.32348 10.932 1.12667
42 3.40555 11.7499 1.58556
43 3.48761 13.2095 2.12667
44 3.56967 15.5391 2.79333
45 3.65173 15.5169 3.49
46 3.73379 16.3303 4.25667
47 3.81585 16.7261 5.07667
48 3.89791 16.176 5.90444
49 3.97997 16.1637 6.76667
50 4.06204 15.8958 7.65
51 4.1441 15.8137 8.56444
52 4.22616 15.9613 9.52444
53 4.30822 15.6794 10.5044
54 4.39028 15.8348 11.5322
55 4.47234 16.4169 12.6378
56 4.5544 16.3995 13.7833
57 4.63647 15.6419 14.9156
58 4.71853 17.0595 16.1944
59 4.80059 15.977 17.4344
60 4.88265 15.4454 18.6744
61 4.96471 14.4853 19.8767
62 5.04677 14.6648 21.1344
63 5.12883 13.722 22.35
64 5.21089 13.6947 23.6022
65 5.29296 13.0954 24.8378
66 5.37502 13.4883 26.15
67 5.45708 12.9979 27.4533
68 5.53914 12.0999 28.7033
69 5.6212 11.3284 29.9089
70 5.70326 11.21 31.1367
71 5.78532 10.3701 32.3056
72 5.86739 9.63277 33.4222
73 5.94945 9.24609 34.5244
74 6.03151 8.42585 35.5567
75 6.11357 7.53845 36.5056
76 6.19563 6.74659 37.3778
77 6.27769 6.17117 38.1967
78 6.35975 5.16393 38.9
79 6.44181 4.53189 39.5333
80 6.52388 3.51194 40.0367
81 6.60594 3.18262 40.5044
82 6.688 2.25705 40.8444
83 6.77006 1.95095 41.1456
84 6.85212 1.41956 41.37
85 6.93418 1.22129 41.5678
86 7.01624 0.87085 41.7122
87 7.09831 0.549926 41.8056
88 7.18037 0.364713 41.8689
89 7.26243 0.212711 41.9067
90 7.34449 0.189588 41.9411
91 7.42655 0.107601 41.9611
92 7.50861 0.0995007 41.98
93 7.59067 0.0342798 41.9867
94 7.67273 0.0223603 41.9911
95 7.7548 0.0219248 41.9956
96 7.83686 0.0161431 41.9989
97 7.91892 0.00524106 42
98 8.00098 0 42
99 8.08304 0 42
100 8.1651 0 42
101 8.24716 0 42
102 8.32923 0 42
103 8.41129 0 42
104 8.49335 0 42
105 8.57541 0 42
106 8.65747 0 42
107 8.73953 0.00433904 42.0011
108 8.82159 0 42.0011
109 8.90365 0 42.0011
110 8.98572 0.0163912 42.0056
111 9.06778 0.00803472 42.0078
112 9.14984 0.0118754 42.0111
113 9.2319 0.0233313 42.0178
114 9.31396 0.0496134 42.0322
115 9.39602 0.018744 42.0378
116 9.47808 0.0295134 42.0467
117 9.56015 0.018106 42.0522
118 9.64221 0.0462696 42.0667
119 9.72427 0.0525042 42.0833
120 9.80633 0.0618198 42.1033
121 9.88839 0.0406058 42.1167
122 9.97045 0.0731793 42.1411
123 10.0525 0.0849924 42.17
124 10.1346 0.0676718 42.1933
125 10.2166 0.0569645 42.2133
126 10.2987 0.0778135 42.2411
127 10.3808 0.110274 42.2811
128 10.4628 0.126744 42.3278
129 10.5449 0.142671 42.3811
130 10.6269 0.175588 42.4478
131 10.709 0.152603 42.5067
