# Time-averaged data for fix rdf_OO_avg
# TimeStep Number-of-rows
# Row c_rdf_OO[1] c_rdf_OO[2] c_rdf_OO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0.047735 0.0100727
32 2.58493 0.544197 0.132625
33 2.66699 2.02824 0.618802
34 2.74905 3.13656 1.41757
35 2.83112 3.00944 2.23044
36 2.91318 2.2156 2.86402
37 2.99524 1.58388 3.34281
38 3.0773 1.13689 3.70565
39 3.15936 0.912252 4.01253
40 3.24142 0.803975 4.29726
41 3.32348 0.798367 4.5944
42 3.40555 0.808901 4.91058
43 3.48761 0.820168 5.24678
44 3.56967 0.822484 5.6
45 3.65173 0.879061 5.99508
46 3.73379 0.938897 6.43615
47 3.81585 0.957113 6.90576
48 3.89791 0.98889 7.41209
49 3.97997 1.01258 7.95255
50 4.06204 1.05798 8.54079
51 4.1441 1.06744 9.15848
52 4.22616 1.09198 9.81567
53 4.30822 1.12205 10.5174
54 4.39028 1.15557 11.2679
55 4.47234 1.12573 12.0266
56 4.5544 1.10872 12.8016
57 4.63647 1.11934 13.6124
58 4.71853 1.10409 14.4407
59 4.80059 1.08442 15.2828
60 4.88265 1.04088 16.1191
61 4.96471 1.02277 16.9686
62 5.04677 1.00138 17.828
63 5.12883 0.978674 18.6955
64 5.21089 0.931361 19.5477
65 5.29296 0.928126 20.424
66 5.37502 0.904305 21.3043
67 5.45708 0.914499 22.2219
68 5.53914 0.895405 23.1476
69 5.6212 0.908346 24.1148
70 5.70326 0.897564 25.0987
71 5.78532 0.897787 26.1112
72 5.86739 0.922737 27.1816
73 5.94945 0.941754 28.3049
74 6.03151 0.95865 29.48
75 6.11357 0.983902 30.7193
76 6.19563 0.993685 32.0047
77 6.27769 1.00783 33.3431
78 6.35975 1.0148 34.7262
79 6.44181 1.06652 36.2176
80 6.52388 1.05959 37.7372
81 6.60594 1.03812 39.2637
82 6.688 1.05355 40.8517
83 6.77006 1.05619 42.4829
84 6.85212 1.05827 44.1571
85 6.93418 1.05972 45.8742
86 7.01624 1.05058 47.6169
87 7.09831 1.0386 49.3802
88 7.18037 1.03674 51.1814
89 7.26243 1.01641 52.9878
90 7.34449 1.01901 54.84
91 7.42655 0.994745 56.6886
92 7.50861 1.00212 58.5924
93 7.59067 0.997642 60.5294
94 7.67273 0.975893 62.4652
95 7.7548 0.973174 64.4373
96 7.83686 0.972436 66.4498
97 7.91892 0.979864 68.5202
98 8.00098 0.985303 70.6457
99 8.08304 0.980614 72.8045
100 8.1651 0.986059 75.0198
101 8.24716 0.980759 77.2677
102 8.32923 0.995722 79.5955
103 8.41129 0.986075 81.9464
104 8.49335 0.990835 84.3549
105 8.57541 0.995003 86.8205
106 8.65747 0.992492 89.3271
107 8.73953 1.00398 91.911
108 8.82159 1.00307 94.5414
109 8.90365 0.997489 97.206
110 8.98572 1.00862 99.9503
111 9.06778 1.00453 102.734
112 9.14984 1.0021 105.56
113 9.2319 0.994981 108.418
114 9.31396 1.00443 111.354
115 9.39602 0.995157 114.315
116 9.47808 1.00148 117.346
117 9.56015 0.994364 120.409
118 9.64221 0.995549 123.527
119 9.72427 1.0033 126.724
120 9.80633 0.992596 129.941
121 9.88839 1.00056 133.237
122 9.97045 0.990351 136.555
123 10.0525 1.00444 139.975
124 10.1346 0.993806 143.415
125 10.2166 1.00299 146.942
126 10.2987 0.996229 150.503
127 10.3808 0.993708 154.111
128 10.4628 1.01118 157.841
129 10.5449 1.00026 161.589
130 10.6269 1.0008 165.397
131 10.709 1.00388 169.277
132 10.7911 1.0099 173.24
133 10.8731 1.00225 177.232
134 10.9552 0.992164 181.245
135 11.0372 0.999923 185.35
136 11.1193 1.00942 189.555
137 11.2014 0.994798 193.761
138 11.2834 0.995673 198.033
139 11.3655 1.01308 202.442
140 11.4476 0.997705 206.848
141 11.5296 0.998551 211.321
142 11.6117 1.00166 215.872
143 11.6937 1.00036 220.481
144 11.7758 0.99587 225.134
145 11.8579 1.00653 229.903
146 11.9399 0.995737 234.687
147 12.022 0.995961 239.537
148 12.104 0.993215 244.44
149 12.1861 0.999864 249.444
150 12.2682 1.00218 254.526
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0.0473289 0.00996083
32 2.58493 0.581165 0.140459
33 2.66699 2.01775 0.62272
34 2.74905 3.20051 1.43548
35 2.83112 3.00708 2.24533
36 2.91318 2.21763 2.87767
37 2.99524 1.50627 3.33173
38 3.0773 1.13431 3.69267
39 3.15936 0.911646 3.99843
40 3.24142 0.833116 4.29256
41 3.32348 0.760472 4.57482
42 3.40555 0.776827 4.87756
43 3.48761 0.820681 5.21298
44 3.56967 0.821257 5.56463
45 3.65173 0.889492 5.96318
46 3.73379 0.889468 6.37985
47 3.81585 0.94274 6.84107
48 3.89791 0.999077 7.35109
49 3.97997 1.01963 7.89379
50 4.06204 1.04373 8.47241
51 4.1441 1.0908 9.10185
52 4.22616 1.13694 9.78411
53 4.30822 1.09086 10.4645
54 4.39028 1.1164 11.1875
55 4.47234 1.15882 11.9662
56 4.5544 1.14589 12.7649
57 4.63647 1.14649 13.5929
58 4.71853 1.09615 14.413
59 4.80059 1.07437 15.2449
60 4.88265 1.05208 16.0876
61 4.96471 0.997033 16.9134
62 5.04677 0.987835 17.7587
63 5.12883 0.971517 18.6173
64 5.21089 0.95789 19.4912
65 5.29296 0.938703 20.3748
66 5.37502 0.916951 21.2649
67 5.45708 0.9089 22.1744
68 5.53914 0.898888 23.1011
69 5.6212 0.902967 24.0598
70 5.70326 0.906644 25.0506
71 5.78532 0.914792 26.0794
72 5.86739 0.920083 27.1437
73 5.94945 0.933822 28.2543
74 6.03151 0.942086 29.4058
75 6.11357 0.974892 30.6301
76 6.19563 1.00519 31.9265
77 6.27769 0.984841 33.2306
78 6.35975 1.03615 34.6387
79 6.44181 1.01382 36.0523
80 6.52388 1.04313 37.5439
81 6.60594 1.05726 39.0941
82 6.688 1.06371 40.6928
83 6.77006 1.06623 42.3348
84 6.85212 1.07197 44.0259
85 6.93418 1.06263 45.7426
86 7.01624 1.04027 47.4632
87 7.09831 1.04509 49.2325
88 7.18037 1.02585 51.0095
89 7.26243 1.01153 52.802
90 7.34449 1.01267 54.6374
91 7.42655 1.01009 56.5093
92 7.50861 0.994157 58.3926
93 7.59067 0.979061 60.288
94 7.67273 0.989365 62.245
95 7.7548 0.983141 64.2316
96 7.83686 0.99035 66.2751
97 7.91892 0.979688 68.3392
98 8.00098 0.980481 70.4481
99 8.08304 0.97112 72.58
100 8.1651 0.984998 74.7863
101 8.24716 0.987817 77.0438
102 8.32923 0.982829 79.3348
103 8.41129 0.981829 81.6687
104 8.49335 0.990148 84.0686
105 8.57541 0.999335 86.5378
106 8.65747 1.0071 89.074
107 8.73953 1.00416 91.6509
108 8.82159 1.00704 94.2841
109 8.90365 1.00203 96.953
110 8.98572 0.99596 99.655
111 9.06778 1.01325 102.454
112 9.14984 0.996611 105.258
113 9.2319 0.996128 108.11
114 9.31396 0.993827 111.007
115 9.39602 0.994468 113.957
116 9.47808 0.996846 116.966
117 9.56015 0.999224 120.034
118 9.64221 0.990884 123.129
119 9.72427 0.992492 126.283
120 9.80633 0.999274 129.511
121 9.88839 0.997236 132.788
122 9.97045 0.996993 136.118
123 10.0525 1.0026 139.522
124 10.1346 1.00037 142.974
125 10.2166 0.989904 146.446
126 10.2987 1.00031 150.011
127 10.3808 0.994245 153.61
128 10.4628 1.00044 157.29
129 10.5449 1.00268 161.036
