# Time-averaged data for fix rdf_OO_avg
# TimeStep Number-of-rows
# Row c_rdf_OO[1] c_rdf_OO[2] c_rdf_OO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0.0473748 0.0100727
32 2.58493 0.586959 0.143369
33 2.66699 2.05824 0.640739
34 2.74905 3.1624 1.45271
35 2.83112 2.94329 2.25417
36 2.91318 2.26282 2.90666
37 2.99524 1.54594 3.37784
38 3.0773 1.10928 3.73475
39 3.15936 0.93509 4.05182
40 3.24142 0.816726 4.34337
41 3.32348 0.794076 4.64141
42 3.40555 0.784702 4.95064
43 3.48761 0.805601 5.2836
44 3.56967 0.850866 5.65193
45 3.65173 0.864591 6.04365
46 3.73379 0.908248 6.47387
47 3.81585 0.95125 6.94449
48 3.89791 0.996595 7.45887
49 3.97997 1.02048 8.00806
50 4.06204 1.06062 8.60257
51 4.1441 1.08968 9.23828
52 4.22616 1.10966 9.91158
53 4.30822 1.12884 10.6234
54 4.39028 1.1415 11.3709
55 4.47234 1.12414 12.1348
56 4.5544 1.11958 12.9237
57 4.63647 1.09879 13.7261
58 4.71853 1.09669 14.5557
59 4.80059 1.04767 15.3759
60 4.88265 1.06071 16.235
61 4.96471 0.996681 17.0696
62 5.04677 1.01285 17.9461
63 5.12883 0.964951 18.8083
64 5.21089 0.928497 19.6648
65 5.29296 0.928559 20.5485
66 5.37502 0.912508 21.4442
67 5.45708 0.902556 22.3574
68 5.53914 0.887678 23.2826
69 5.6212 0.896781 24.2453
70 5.70326 0.900266 25.2402
71 5.78532 0.920993 26.2875
72 5.86739 0.930825 27.3763
73 5.94945 0.941805 28.5089
74 6.03151 0.955726 29.6901
75 6.11357 0.957969 30.9064
76 6.19563 1.0083 32.2213
77 6.27769 1.00584 33.5679
78 6.35975 1.0264 34.9783
79 6.44181 1.04107 36.446
80 6.52388 1.06466 37.9855
81 6.60594 1.04261 39.5313
82 6.688 1.03733 41.1076
83 6.77006 1.05446 42.7494
84 6.85212 1.051 44.4259
85 6.93418 1.06123 46.1593
86 7.01624 1.05321 47.9205
87 7.09831 1.04014 49.7011
88 7.18037 1.01429 51.4777
89 7.26243 1.02924 53.3219
90 7.34449 1.01191 55.1762
91 7.42655 1.00797 57.0649
92 7.50861 0.997734 58.9759
93 7.59067 1.00027 60.934
94 7.67273 0.981398 62.8968
95 7.7548 0.963505 64.8652
96 7.83686 0.977033 66.9039
97 7.91892 0.95986 68.9489
98 8.00098 0.982757 71.086
99 8.08304 0.9731 73.2459
100 8.1651 0.988385 75.4846
101 8.24716 0.982437 77.7548
102 8.32923 0.998484 80.1081
103 8.41129 0.987348 82.481
104 8.49335 1.00102 84.9344
105 8.57541 1.00269 87.4393
106 8.65747 0.992481 89.9664
107 8.73953 0.99952 92.5598
108 8.82159 0.996733 95.1951
109 8.90365 1.0119 97.9203
110 8.98572 0.993247 100.645
111 9.06778 1.00021 103.439
112 9.14984 1.00006 106.283
113 9.2319 0.996067 109.167
114 9.31396 1.00465 112.128
115 9.39602 1.00455 115.141
116 9.47808 0.996131 118.181
117 9.56015 0.988834 121.251
118 9.64221 0.994257 124.392
119 9.72427 0.997802 127.597
120 9.80633 0.993709 130.844
121 9.88839 1.00164 134.171
122 9.97045 1.00447 137.563
123 10.0525 0.992161 140.97
124 10.1346 0.997908 144.451
125 10.2166 1.00407 148.012
126 10.2987 0.989399 151.578
127 10.3808 1.00071 155.241
128 10.4628 0.992775 158.933
129 10.5449 1.00324 162.723
130 10.6269 0.998737 166.555
131 10.709 1.00914 170.486
132 10.7911 1.00514 174.462
133 10.8731 1.00255 178.489
134 10.9552 1.00068 182.569
135 11.0372 1.00114 186.712
136 11.1193 1.00606 190.938
137 11.2014 1.01496 195.264
138 11.2834 1.00643 199.617
139 11.3655 0.996174 203.989
140 11.4476 0.997683 208.431
141 11.5296 0.991678 212.909
142 11.6117 1.00397 217.508
143 11.6937 1.01209 222.21
144 11.7758 1.00018 226.921
145 11.8579 1.00462 231.72
146 11.9399 0.996749 236.548
147 12.022 0.999212 241.454
148 12.104 1.00086 246.435
149 12.1861 0.994259 251.451
150 12.2682 1.00675 256.599
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0.038423 0.00817012
32 2.58493 0.60466 0.145271
33 2.66699 2.0593 0.642306
34 2.74905 3.1689 1.45506
35 2.83112 3.02201 2.277
36 2.91318 2.18356 2.90588
37 2.99524 1.5387 3.37437
38 3.0773 1.10767 3.73039
39 3.15936 0.919437 4.04186
40 3.24142 0.827565 4.33699
41 3.32348 0.810205 4.64074
42 3.40555 0.793452 4.95311
43 3.48761 0.801135 5.28383
44 3.56967 0.868232 5.65932
45 3.65173 0.890185 6.06223
46 3.73379 0.900943 6.48842
47 3.81585 0.981059 6.97314
48 3.89791 0.984001 7.48047
49 3.97997 1.03239 8.03548
50 4.06204 1.06257 8.63044
51 4.1441 1.07889 9.25921
52 4.22616 1.07661 9.9117
53 4.30822 1.09442 10.601
54 4.39028 1.13583 11.3439
55 4.47234 1.12998 12.1109
56 4.5544 1.11304 12.8943
57 4.63647 1.08036 13.6825
58 4.71853 1.07938 14.498
59 4.80059 1.07166 15.3361
60 4.88265 1.03349 16.1721
61 4.96471 1.00025 17.0087
62 5.04677 1.00129 17.8742
63 5.12883 0.969246 18.7393
64 5.21089 0.953905 19.6184
65 5.29296 0.937154 20.5093
66 5.37502 0.918762 21.4102
67 5.45708 0.913052 22.333
68 5.53914 0.917405 23.2881
69 5.6212 0.896711 24.2496
70 5.70326 0.891217 25.2334
71 5.78532 0.912745 26.2701
72 5.86739 0.921518 27.3467
73 5.94945 0.957305 28.4966
74 6.03151 0.956671 29.6777
75 6.11357 0.978756 30.9191
76 6.19563 0.990533 32.2095
77 6.27769 1.01564 33.5678
78 6.35975 1.01627 34.9627
79 6.44181 1.03892 36.4257
80 6.52388 1.03586 37.9219
81 6.60594 1.05252 39.4805
82 6.688 1.05012 41.0744
83 6.77006 1.05449 42.7145
84 6.85212 1.05612 44.3971
85 6.93418 1.05527 46.1189
86 7.01624 1.03638 47.8501
87 7.09831 1.02402 49.6009
88 7.18037 1.03789 51.4168
89 7.26243 1.01787 53.2386
90 7.34449 1.00423 55.0769
91 7.42655 1.00659 56.9609
92 7.50861 0.997225 58.8689
93 7.59067 0.991058 60.8067
94 7.67273 0.989813 62.7842
95 7.7548 0.975853 64.7758
96 7.83686 0.993665 66.8468
97 7.91892 0.984593 68.9421
98 8.00098 0.980723 71.0726
99 8.08304 0.985285 73.2571
100 8.1651 0.982676 75.4802
101 8.24716 0.978725 77.7393
102 8.32923 0.988643 80.0668
103 8.41129 0.99126 82.4468
104 8.49335 0.990666 84.872
105 8.57541 0.996601 87.3589
106 8.65747 0.999331 89.9007
107 8.73953 0.984602 92.4527
108 8.82159 0.991796 95.0719
109 8.90365 0.989528 97.7339
110 8.98572 1.00569 100.489
111 9.06778 0.997037 103.271
112 9.14984 1.0035 106.122
113 9.2319 0.990203 108.986
114 9.31396 1.00823 111.954
115 9.39602 1.00373 114.961
116 9.47808 0.995686 117.996
117 9.56015 1.00673 121.118
118 9.64221 0.99454 124.256
119 9.72427 0.99224 127.44
120 9.80633 1.00014 130.704
121 9.88839 1.00027 134.023
122 9.97045 0.988472 137.358
123 10.0525 0.99751 140.779
124 10.1346 0.997824 144.256
125 10.2166 1.00595 147.82
126 10.2987 0.993178 151.395
127 10.3808 1.00167 155.058
128 10.4628 1.00762 158.801
129 10.5449 1.00864 162.607
