# Time-averaged data for fix msd_avg
# TimeStep c_msd_water[1] c_msd_water[2] c_msd_water[3] c_msd_water[4]
601000 0.672174 0.730535 0.719709 2.12242
602000 1.68438 1.76039 1.66324 5.10802
603000 2.66371 2.54666 2.50948 7.71985
604000 3.50547 3.49888 3.44945 10.4538
605000 4.44278 4.26187 4.38091 13.0856
606000 5.18305 5.13465 4.9988 15.3165
607000 5.92919 5.87237 5.80147 17.603
608000 6.62865 6.55661 6.47947 19.6647
609000 7.15151 6.94934 7.29428 21.3951
610000 7.97931 7.68228 8.02514 23.6867
611000 8.72673 8.28495 8.93631 25.948
612000 9.59566 9.10972 9.60751 28.3129
613000 10.2316 9.7796 10.366 30.3771
614000 10.9021 10.5545 11.0333 32.4899
615000 12.1042 11.354 11.7876 35.2458
616000 12.8786 11.7003 12.6484 37.2273
617000 13.9564 12.3187 13.8785 40.1535
618000 14.955 12.5503 14.876 42.3814
619000 15.843 13.3122 15.8333 44.9886
620000 16.8629 13.9217 16.8326 47.6171
621000 17.6599 14.9716 17.4598 50.0913
622000 18.6693 16.0395 18.7268 53.4357
623000 19.8711 17.0131 19.6066 56.4909
624000 20.9925 17.7936 20.196 58.9821
625000 22.1129 18.8045 21.205 62.1224
626000 24.0953 19.3031 22.0499 65.4483
627000 24.5098 20.1238 22.6282 67.2618
628000 25.7983 20.9996 23.3481 70.1461
629000 26.77 21.8734 23.8425 72.4859
630000 27.3357 22.5506 24.6993 74.5857
631000 28.7945 23.3173 25.7486 77.8604
632000 29.2176 23.9157 26.0792 79.2125
633000 30.1307 24.7422 27.146 82.0189
634000 30.5993 25.3432 28.4142 84.3566
635000 31.1447 25.9948 29.3279 86.4675
636000 31.9862 27.509 29.2213 88.7164
637000 33.0202 28.3085 29.8065 91.1353
638000 34.2029 28.9824 30.3584 93.5438
639000 34.8954 29.4705 30.6611 95.027
640000 36.3252 30.3018 31.5069 98.1338
641000 38.3499 31.6694 32.3706 102.39
642000 39.7325 32.5747 32.2379 104.545
643000 40.5075 33.4759 32.9615 106.945
644000 40.579 34.7802 33.3465 108.706
645000 40.6073 35.8656 33.2814 109.754
646000 41.9595 36.3353 33.7867 112.082
647000 44.3431 37.1754 34.9462 116.465
648000 45.7525 38.3417 36.1476 120.242
649000 47.7563 39.5077 37.0136 124.278
650000 48.7535 40.3623 38.1136 127.229
651000 50.2803 40.8167 39.0365 130.133
652000 51.2912 41.9102 39.5667 132.768
653000 51.8707 42.6201 40.8503 135.341
654000 51.7524 43.1356 42.3981 137.286
655000 51.9507 43.3957 42.5846 137.931
656000 52.8806 44.1956 43.7581 140.834
657000 53.1771 45.1869 44.5292 142.893
658000 53.8249 46.0469 45.3267 145.199
659000 54.184 46.7605 45.7164 146.661
660000 54.6759 47.6072 46.3152 148.598
661000 55.4583 48.9445 47.1572 151.56
662000 55.7606 49.6876 47.2209 152.669
663000 56.7119 50.3125 48.2714 155.296
664000 57.6786 50.7362 48.8869 157.302
665000 58.1878 51.6304 49.8313 159.65
666000 58.851 52.7559 50.1733 161.78
667000 59.2705 52.8425 50.7647 162.878
668000 59.1262 53.7245 51.2212 164.072
669000 60.1825 55.4082 52.4884 168.079
670000 61.2147 56.2224 53.6984 171.135
671000 62.0563 56.8071 55.163 174.026
672000 63.1419 57.5586 56.3981 177.099
673000 63.6874 58.9664 56.6857 179.339
674000 64.5056 60.0581 57.3344 181.898
675000 64.541 60.9669 57.5983 183.106
676000 65.3428 60.771 58.2369 184.351
677000 65.4767 61.4978 58.8406 185.815
678000 66.2851 62.3525 59.3233 187.961
679000 67.6453 63.6182 60.2755 191.539
680000 68.6424 64.1913 60.6338 193.467
681000 69.5177 64.7723 61.6899 195.98
682000 70.4929 65.9718 62.5502 199.015
683000 71.7906 66.5991 62.9606 201.35
684000 73.4361 67.6139 63.376 204.426
685000 73.7246 67.8584 64.0565 205.639
686000 74.143 68.2671 65.2673 207.677
687000 75.037 69.5007 66.7237 211.261
688000 75.87 70.9534 68.0028 214.826
689000 76.5257 71.9295 68.7639 217.219
690000 76.6261 73.0759 69.565 219.267
691000 77.7506 74.2176 70.9735 222.942
692000 77.6606 74.8121 71.6023 224.075
693000 77.8234 75.5799 72.8696 226.273
694000 78.522 76.5693 73.7341 228.825
695000 79.4577 77.1472 75.4581 232.063
696000 80.6054 77.6873 76.437 234.73
697000 81.4635 79.4917 77.3513 238.306
698000 80.428 79.2508 77.8639 237.543
699000 80.936 81.1942 79.4765 241.607
700000 81.742 82.5118 79.8157 244.07
701000 82.4217 82.9923 79.8473 245.261
702000 83.7754 83.9834 80.8114 248.57
703000 84.3874 85.9572 81.5971 251.942
704000 84.8047 86.624 82.2216 253.65
705000 85.1479 87.5913 83.1808 255.92
706000 85.7704 88.5537 84.5907 258.915
707000 85.6891 89.4813 84.9754 260.146
708000 86.6021 90.307 85.4497 262.359
709000 87.8589 91.9762 86.2499 266.085
710000 88.4527 92.753 86.637 267.843
711000 89.5966 93.7827 88.2618 271.641
712000 90.5864 95.4006 89.5386 275.526
713000 91.7474 96.2963 90.3674 278.411
714000 92.8841 96.3028 90.2495 279.436
715000 94.5583 96.9149 90.6167 282.09
716000 95.7113 98.3428 92.0589 286.113
717000 96.2433 99.2014 92.4517 287.896
718000 97.4977 100.492 92.9079 290.898
719000 99.2819 101.63 93.9148 294.826
720000 100.494 102.624 93.9386 297.057
721000 101.852 103.808 95.1057 300.766
722000 102.838 104.958 96.0416 303.838
723000 103.207 105.299 96.4303 304.937
724000 105.097 106.933 98.5257 310.555
725000 105.312 107.012 99.5753 311.899
726000 104.976 106.677 99.0833 310.737
727000 104.832 107.494 100.171 312.497
728000 104.836 108.62 101.654 315.11
729000 105.772 109.072 102.323 317.167
730000 107.598 110.442 103.978 322.018
