# Time-averaged data for fix rdf_CO_avg
# TimeStep Number-of-rows
# Row c_rdf_CO[1] c_rdf_CO[2] c_rdf_CO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0.00192032 0.000555556
37 2.99524 0.0364588 0.0116667
38 3.0773 0.134559 0.055
39 3.15936 0.392804 0.188333
40 3.24142 0.603279 0.403889
41 3.32348 0.751684 0.686111
42 3.40555 0.864056 1.02667
43 3.48761 0.896363 1.39722
44 3.56967 0.915956 1.79389
45 3.65173 0.802836 2.15778
46 3.73379 0.782795 2.52889
47 3.81585 0.759637 2.905
48 3.89791 0.765844 3.30056
49 3.97997 0.722291 3.68944
50 4.06204 0.715272 4.09056
51 4.1441 0.690925 4.49389
52 4.22616 0.760041 4.955
53 4.30822 0.749514 5.42778
54 4.39028 0.763845 5.92833
55 4.47234 0.762273 6.44667
56 4.5544 0.831902 7.03333
57 4.63647 0.773009 7.59833
58 4.71853 0.727433 8.14889
59 4.80059 0.797874 8.77389
60 4.88265 0.754195 9.385
61 4.96471 0.760822 10.0222
62 5.04677 0.786681 10.7033
63 5.12883 0.721276 11.3483
64 5.21089 0.751728 12.0422
65 5.29296 0.686105 12.6956
66 5.37502 0.741713 13.4239
67 5.45708 0.704741 14.1372
68 5.53914 0.790078 14.9611
69 5.6212 0.803978 15.8244
70 5.70326 0.820186 16.7311
71 5.78532 0.831944 17.6778
72 5.86739 0.85815 18.6822
73 5.94945 0.90512 19.7711
74 6.03151 0.916525 20.9044
75 6.11357 0.907818 22.0578
76 6.19563 0.946835 23.2933
77 6.27769 0.939884 24.5522
78 6.35975 0.989188 25.9122
79 6.44181 0.955615 27.26
80 6.52388 0.964262 28.655
81 6.60594 1.00533 30.1461
82 6.688 1.02295 31.7011
83 6.77006 0.986266 33.2378
84 6.85212 1.04526 34.9061
85 6.93418 1.03488 36.5978
86 7.01624 1.02466 38.3122
87 7.09831 1.04704 40.1056
88 7.18037 1.0255 41.9022
89 7.26243 1.04134 43.7694
90 7.34449 1.03515 45.6672
91 7.42655 1.02051 47.58
92 7.50861 1.05408 49.6
93 7.59067 1.03197 51.6211
94 7.67273 1.05826 53.7389
95 7.7548 1.06049 55.9067
96 7.83686 1.0696 58.1394
97 7.91892 1.05245 60.3828
98 8.00098 1.08954 62.7533
99 8.08304 1.08639 65.1661
100 8.1651 1.08555 67.6261
101 8.24716 1.12239 70.2211
102 8.32923 1.09929 72.8133
103 8.41129 1.08448 75.4217
104 8.49335 1.12683 78.1844
105 8.57541 1.13796 81.0289
106 8.65747 1.09763 83.825
107 8.73953 1.12853 86.755
108 8.82159 1.11566 89.7061
109 8.90365 1.11904 92.7217
110 8.98572 1.11837 95.7911
111 9.06778 1.13459 98.9622
112 9.14984 1.10542 102.108
113 9.2319 1.05588 105.167
114 9.31396 1.08544 108.368
115 9.39602 1.07042 111.58
116 9.47808 1.07144 114.852
117 9.56015 1.03903 118.08
118 9.64221 1.01716 121.294
119 9.72427 1.01902 124.57
120 9.80633 0.971076 127.744
121 9.88839 0.983442 131.013
122 9.97045 0.972952 134.3
123 10.0525 0.984844 137.683
124 10.1346 0.971504 141.074
125 10.2166 0.977012 144.541
126 10.2987 0.982309 148.082
127 10.3808 0.985743 151.692
128 10.4628 0.948696 155.223
129 10.5449 0.9732 158.901
130 10.6269 0.968619 162.62
131 10.709 0.98686 166.467
132 10.7911 0.985785 170.369
133 10.8731 1.00732 174.417
134 10.9552 0.991291 178.461
135 11.0372 1.0089 182.638
136 11.1193 1.00026 186.842
137 11.2014 1.01996 191.192
138 11.2834 0.982621 195.444
139 11.3655 1.01258 199.89
140 11.4476 1.04088 204.527
141 11.5296 1.03311 209.196
142 11.6117 1.03897 213.957
143 11.6937 1.03926 218.788
144 11.7758 0.996991 223.487
145 11.8579 1.00877 228.308
146 11.9399 1.01605 233.232
147 12.022 1.0209 238.248
148 12.104 1.00591 243.257
149 12.1861 1.00367 248.323
150 12.2682 0.982346 253.349
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0.0038657 0.00111111
37 2.99524 0.0401312 0.0133333
38 3.0773 0.124303 0.0533333
39 3.15936 0.362258 0.176111
40 3.24142 0.604137 0.391667
41 3.32348 0.764231 0.678333
42 3.40555 0.817954 1.00056
43 3.48761 0.848932 1.35111
44 3.56967 0.916734 1.74778
45 3.65173 0.858967 2.13667
46 3.73379 0.721917 2.47833
47 3.81585 0.761732 2.855
48 3.89791 0.73653 3.235
49 3.97997 0.737603 3.63167
50 4.06204 0.750563 4.05222
51 4.1441 0.703995 4.46278
52 4.22616 0.727582 4.90389
53 4.30822 0.745773 5.37389
54 4.39028 0.770692 5.87833
55 4.47234 0.802259 6.42333
56 4.5544 0.800531 6.98722
57 4.63647 0.794694 7.56722
58 4.71853 0.773078 8.15167
59 4.80059 0.793794 8.77278
60 4.88265 0.728258 9.36222
61 4.96471 0.740687 9.98222
62 5.04677 0.728646 10.6122
63 5.12883 0.740798 11.2739
64 5.21089 0.737717 11.9539
65 5.29296 0.726347 12.645
66 5.37502 0.74587 13.3767
67 5.45708 0.724099 14.1089
68 5.53914 0.780267 14.9217
69 5.6212 0.805264 15.7856
70 5.70326 0.792311 16.6606
71 5.78532 0.862274 17.6406
72 5.86739 0.866416 18.6533
73 5.94945 0.878558 19.7094
74 6.03151 0.936751 20.8667
75 6.11357 0.935059 22.0533
76 6.19563 0.940411 23.2789
77 6.27769 0.96239 24.5667
78 6.35975 0.97768 25.9094
79 6.44181 0.969505 27.2756
80 6.52388 0.992734 28.71
81 6.60594 1.00138 30.1939
82 6.688 0.992855 31.7017
83 6.77006 1.021 33.2906
84 6.85212 1.0028 34.8894
85 6.93418 1.03361 36.5772
86 7.01624 1.046 38.3256
87 7.09831 1.07031 40.1567
88 7.18037 1.01814 41.9389
89 7.26243 1.05136 43.8217
90 7.34449 1.0374 45.7217
91 7.42655 1.05443 47.6961
92 7.50861 1.00822 49.6261
93 7.59067 1.05887 51.6978
94 7.67273 1.05069 53.7978
95 7.7548 1.04431 55.93
96 7.83686 1.09412 58.2117
97 7.91892 1.07006 60.49
98 8.00098 1.07642 62.8294
99 8.08304 1.09881 65.2667
100 8.1651 1.13289 67.8311
101 8.24716 1.09497 70.36
102 8.32923 1.0842 72.9139
103 8.41129 1.09277 75.5389
104 8.49335 1.12559 78.2961
105 8.57541 1.11496 81.08
106 8.65747 1.12663 83.9472
107 8.73953 1.12257 86.8583
108 8.82159 1.10598 89.7806
109 8.90365 1.1145 92.7806
110 8.98572 1.08927 95.7667
111 9.06778 1.09014 98.81
112 9.14984 1.12025 101.994
113 9.2319 1.09987 105.177
114 9.31396 1.09319 108.397
115 9.39602 1.05732 111.567
116 9.47808 1.06249 114.808
117 9.56015 1.05149 118.071
118 9.64221 1.01325 121.269
119 9.72427 0.997322 124.471
120 9.80633 1.01653 127.791
121 9.88839 0.998337 131.105
122 9.97045 0.960624 134.347
123 10.0525 0.968558 137.671
124 10.1346 0.968089 141.047
125 10.2166 0.9643 144.464
126 10.2987 0.968789 147.953
127 10.3808 0.945035 151.411
128 10.4628 0.986066 155.076
129 10.5449 0.964021 158.715
130 10.6269 0.993577 162.524
131 10.709 0.987179 166.368
132 10.7911 0.985874 170.267
133 10.8731 0.971774 174.167
