# Time-averaged data for fix msd_avg
# TimeStep c_msd_water[1] c_msd_water[2] c_msd_water[3] c_msd_water[4]
601000 0.685304 0.658947 0.638766 1.98302
602000 1.72881 1.47967 1.50603 4.7145
603000 2.56591 2.30469 2.27219 7.14279
604000 3.53845 2.9765 3.08358 9.59853
605000 4.33394 3.96683 4.13101 12.4318
606000 4.7959 4.76073 4.64969 14.2063
607000 5.48349 5.39383 5.60139 16.4787
608000 6.2257 5.95677 6.4603 18.6428
609000 6.99156 6.58725 7.24444 20.8233
610000 8.09165 7.4159 7.79994 23.3075
611000 8.99874 8.46228 8.6051 26.0661
612000 9.97474 9.88019 9.29527 29.1502
613000 11.0862 10.9719 10.3007 32.3587
614000 12.173 11.6107 10.9756 34.7593
615000 13.6939 12.6683 11.6106 37.9728
616000 14.4861 13.6281 12.7155 40.8297
617000 15.462 14.6975 13.5455 43.705
618000 16.1521 15.6273 14.3914 46.1708
619000 17.051 16.4048 15.2584 48.7142
620000 18.1676 17.1702 16.2075 51.5452
621000 18.865 17.3765 16.783 53.0246
622000 19.7668 17.9966 17.5564 55.3197
623000 20.5344 18.8258 18.7235 58.0837
624000 21.9868 19.3556 19.6055 60.9478
625000 23.2315 20.1257 20.1714 63.5286
626000 24.0477 21.3495 21.0083 66.4055
627000 25.0105 21.7905 21.9463 68.7472
628000 25.9155 22.2938 22.6673 70.8767
629000 26.6726 22.6128 23.754 73.0394
630000 26.7709 23.2313 24.4367 74.4388
631000 27.7693 24.3403 25.4768 77.5864
632000 28.9658 25.3676 26.252 80.5854
633000 30.0589 26.6164 27.1519 83.8273
634000 30.7802 27.7511 27.9509 86.4822
635000 31.7302 28.9819 28.508 89.2201
636000 32.2416 30.2873 29.4552 91.9841
637000 33.0468 31.6561 30.2771 94.9801
638000 33.7808 32.5449 30.7475 97.0732
639000 34.5877 33.5661 31.1936 99.3475
640000 34.9685 34.7529 31.963 101.684
641000 35.4903 35.4926 32.5795 103.562
642000 36.4139 36.5679 33.836 106.818
643000 37.6218 37.5181 34.7942 109.934
644000 38.4068 37.9902 35.7915 112.188
645000 38.8743 38.2733 36.7508 113.898
646000 39.5276 39.1574 37.8726 116.558
647000 40.5568 40.4171 38.9632 119.937
648000 41.2104 41.1379 39.8597 122.208
649000 42.014 42.0088 40.7297 124.753
650000 42.7978 42.9849 41.5668 127.349
651000 44.0178 43.7869 41.9599 129.765
652000 45.416 44.7468 43.0349 133.198
653000 46.356 45.3577 44.4491 136.163
654000 47.4319 46.0313 45.5963 139.06
655000 47.925 46.6072 46.5907 141.123
656000 48.3281 47.4874 47.183 142.999
657000 48.6998 48.3463 47.7101 144.756
658000 49.0568 49.6726 48.2889 147.018
659000 49.3686 50.4358 48.9289 148.733
660000 50.1606 50.9171 50.4295 151.507
661000 50.9423 51.2572 51.7534 153.953
662000 51.8339 52.6651 52.8299 157.329
663000 52.4914 53.8212 54.2962 160.609
664000 52.9092 55.0932 54.8885 162.891
665000 52.6786 56.0491 55.4925 164.22
666000 53.6077 56.284 56.12 166.012
667000 54.5468 56.7632 57.8537 169.164
668000 55.6823 57.456 58.507 171.645
669000 57.265 57.9165 58.5029 173.684
670000 58.7007 58.6518 60.0313 177.384
671000 59.3977 59.8076 60.9401 180.145
672000 59.7182 60.8565 61.4953 182.07
673000 60.5205 61.5376 62.1501 184.208
674000 61.6108 62.1775 62.0468 185.835
675000 63.1595 63.5764 62.8568 189.593
676000 64.2142 64.3925 64.5331 193.14
677000 65.1803 65.0551 65.7934 196.029
678000 65.7843 66.039 66.973 198.796
679000 66.358 67.3329 67.6997 201.391
