# Time-averaged data for fix rdf_OO_avg
# TimeStep Number-of-rows
# Row c_rdf_OO[1] c_rdf_OO[2] c_rdf_OO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0.033272 0.006939
32 2.58493 0.557899 0.131058
33 2.66699 1.99312 0.603134
34 2.74905 3.09062 1.38086
35 2.83112 3.00711 2.18344
36 2.91318 2.30476 2.8347
37 2.99524 1.59648 3.31158
38 3.0773 1.14291 3.67196
39 3.15936 0.917009 3.97672
40 3.24142 0.821202 4.26402
41 3.32348 0.776666 4.54964
42 3.40555 0.799656 4.85842
43 3.48761 0.820393 5.19071
44 3.56967 0.842211 5.54807
45 3.65173 0.856811 5.92848
46 3.73379 0.919093 6.35512
47 3.81585 0.936747 6.80929
48 3.89791 0.964052 7.29703
49 3.97997 1.02599 7.83816
50 4.06204 1.05136 8.41578
51 4.1441 1.11454 9.05305
52 4.22616 1.12581 9.72255
53 4.30822 1.12533 10.418
54 4.39028 1.14086 11.1502
55 4.47234 1.14291 11.9114
56 4.5544 1.12133 12.6858
57 4.63647 1.13319 13.4969
58 4.71853 1.0996 14.312
59 4.80059 1.08224 15.1425
60 4.88265 1.04399 15.9711
61 4.96471 1.03968 16.8244
62 5.04677 0.996031 17.6691
63 5.12883 0.962099 18.5117
64 5.21089 0.96014 19.3797
65 5.29296 0.952467 20.2682
66 5.37502 0.949382 21.1814
67 5.45708 0.912558 22.0862
68 5.53914 0.91038 23.0162
69 5.6212 0.88825 23.9508
70 5.70326 0.907766 24.9339
71 5.78532 0.919029 25.958
72 5.86739 0.91447 27.0063
73 5.94945 0.940053 28.1142
74 6.03151 0.947335 29.2617
75 6.11357 0.988294 30.4916
76 6.19563 0.989186 31.7558
77 6.27769 1.01193 33.0836
78 6.35975 1.02898 34.4694
79 6.44181 1.04703 35.9161
80 6.52388 1.05454 37.4104
81 6.60594 1.05537 38.9438
82 6.688 1.05562 40.5159
83 6.77006 1.04908 42.117
84 6.85212 1.05608 43.7679
85 6.93418 1.06219 45.4684
86 7.01624 1.05278 47.194
87 7.09831 1.04554 48.948
88 7.18037 1.04589 50.7434
89 7.26243 1.01795 52.5309
90 7.34449 1.0283 54.3777
91 7.42655 0.998504 56.2113
92 7.50861 0.991425 58.0723
93 7.59067 0.999209 59.9893
94 7.67273 1.00009 61.9496
95 7.7548 0.974762 63.9014
96 7.83686 0.988997 65.9238
97 7.91892 0.987259 67.9851
98 8.00098 0.978498 70.0707
99 8.08304 0.97078 72.1825
100 8.1651 0.989757 74.3795
101 8.24716 0.994034 76.6306
102 8.32923 0.988696 78.9144
103 8.41129 0.997512 81.2641
104 8.49335 0.9975 83.6599
105 8.57541 1.00004 86.1084
106 8.65747 1.01355 88.6378
107 8.73953 0.998285 91.1766
108 8.82159 1.00689 93.7855
109 8.90365 1.00694 96.4433
110 8.98572 0.99993 99.1315
111 9.06778 0.998956 101.866
112 9.14984 1.00204 104.66
113 9.2319 1.00194 107.503
114 9.31396 0.994017 110.374
115 9.39602 1.0091 113.34
116 9.47808 0.99497 116.316
117 9.56015 0.991102 119.332
118 9.64221 0.998285 122.422
119 9.72427 0.996473 125.559
120 9.80633 1.00302 128.771
121 9.88839 1.0013 132.031
122 9.97045 0.992758 135.317
123 10.0525 1.00804 138.708
124 10.1346 1.00468 142.144
125 10.2166 1.00076 145.622
126 10.2987 0.994091 149.133
127 10.3808 1.0038 152.734
128 10.4628 0.998779 156.375
129 10.5449 1.00249 160.086
130 10.6269 0.999271 163.844
131 10.709 1.00338 167.675
132 10.7911 0.99692 171.54
133 10.8731 1.00393 175.492
134 10.9552 1.0041 179.504
135 11.0372 1.00216 183.569
136 11.1193 1.00279 187.697
137 11.2014 1.00419 191.892
138 11.2834 0.995469 196.112
139 11.3655 1.0012 200.418
140 11.4476 0.996008 204.764
141 11.5296 1.00422 209.208
142 11.6117 1.00968 213.741
143 11.6937 0.996737 218.279
144 11.7758 1.0056 222.922
145 11.8579 0.999032 227.599
146 11.9399 0.996408 232.328
147 12.022 0.993992 237.112
148 12.104 0.995953 241.97
149 12.1861 0.993237 246.881
150 12.2682 1.00387 251.912
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0.0345167 0.00716284
32 2.58493 0.528579 0.124119
33 2.66699 2.01025 0.597426
34 2.74905 3.16018 1.38791
35 2.83112 3.01158 2.18702
36 2.91318 2.30712 2.83514
37 2.99524 1.59704 3.30946
38 3.0773 1.1444 3.66816
39 3.15936 0.901362 3.96598
40 3.24142 0.791393 4.2413
41 3.32348 0.771562 4.52345
42 3.40555 0.781836 4.82361
43 3.48761 0.80739 5.14874
44 3.56967 0.834276 5.50073
45 3.65173 0.863695 5.88204
46 3.73379 0.893587 6.29446
47 3.81585 0.94777 6.75132
48 3.89791 0.996696 7.2526
49 3.97997 1.02689 7.79105
50 4.06204 1.06217 8.37112
51 4.1441 1.08209 8.98623
52 4.22616 1.0984 9.63559
53 4.30822 1.14463 10.3388
54 4.39028 1.13621 11.0637
55 4.47234 1.15363 11.8274
56 4.5544 1.14352 12.6125
57 4.63647 1.12492 13.4131
58 4.71853 1.10577 14.2281
59 4.80059 1.09042 15.0599
60 4.88265 1.07555 15.9087
61 4.96471 1.01792 16.7392
62 5.04677 1.01496 17.5949
63 5.12883 0.981514 18.4495
64 5.21089 0.957593 19.3101
65 5.29296 0.961029 20.2011
66 5.37502 0.914944 21.076
67 5.45708 0.924062 21.9868
68 5.53914 0.902141 22.903
69 5.6212 0.905669 23.8503
70 5.70326 0.902808 24.8224
71 5.78532 0.914246 25.8355
72 5.86739 0.930436 26.8958
73 5.94945 0.922062 27.9763
74 6.03151 0.950775 29.1213
75 6.11357 0.958818 30.3076
76 6.19563 0.991994 31.568
77 6.27769 1.00706 32.8818
78 6.35975 1.02335 34.252
79 6.44181 1.01221 35.6423
80 6.52388 1.05421 37.1275
81 6.60594 1.06879 38.6712
82 6.688 1.06864 40.2534
83 6.77006 1.05576 41.8552
84 6.85212 1.05914 43.5012
85 6.93418 1.06511 45.1964
86 7.01624 1.07255 46.9442
87 7.09831 1.04544 48.6877
88 7.18037 1.04478 50.4708
89 7.26243 1.01871 52.2494
90 7.34449 1.0062 54.0459
91 7.42655 1.00928 55.8884
92 7.50861 1.01048 57.7741
93 7.59067 1.00075 59.6828
94 7.67273 0.994252 61.6205
95 7.7548 0.981693 63.5746
96 7.83686 0.987698 65.5824
97 7.91892 0.976109 67.6086
98 8.00098 0.992622 69.7119
99 8.08304 0.983125 71.8381
100 8.1651 0.981329 74.0037
101 8.24716 0.995887 76.2458
102 8.32923 0.991888 78.5237
103 8.41129 0.992192 80.8472
104 8.49335 0.993708 83.2199
105 8.57541 0.98816 85.6252
106 8.65747 1.00792 88.1258
107 8.73953 0.998397 90.6501
108 8.82159 1.0044 93.2375
109 8.90365 1.00829 95.8833
110 8.98572 1.00627 98.5729
111 9.06778 1.00225 101.301
112 9.14984 1.0158 104.116
113 9.2319 0.999584 106.936
114 9.31396 0.99941 109.805
115 9.39602 1.00612 112.746
116 9.47808 0.991461 115.694
117 9.56015 0.99589 118.707
118 9.64221 0.994968 121.768
119 9.72427 1.00533 124.916
120 9.80633 0.994933 128.082
121 9.88839 1.00507 131.336
122 9.97045 0.996257 134.614
123 10.0525 1.00003 137.959
124 10.1346 1.01107 141.396
125 10.2166 0.989967 144.817
126 10.2987 0.991858 148.299
127 10.3808 1.00061 151.868
128 10.4628 0.996744 155.479
129 10.5449 1.0064 159.183
