# Time-averaged data for fix rdf_CC_avg
# TimeStep Number-of-rows
# Row c_rdf_CC[1] c_rdf_CC[2] c_rdf_CC[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0.0467317 0.00111111
34 2.74905 0.0442707 0.00222222
35 2.83112 0.415004 0.0133333
36 2.91318 0.666949 0.0322222
37 2.99524 2.9688 0.121111
38 3.0773 3.44634 0.23
39 3.15936 5.93836 0.427778
40 3.24142 7.95422 0.706667
41 3.32348 10.0076 1.07556
42 3.40555 12.3163 1.55222
43 3.48761 13.7415 2.11
44 3.56967 14.2658 2.71667
45 3.65173 16.0308 3.43
46 3.73379 17.1916 4.23
47 3.81585 16.7868 5.04556
48 3.89791 17.071 5.91111
49 3.97997 17.215 6.82111
50 4.06204 17.3173 7.77444
51 4.1441 17.2941 8.76556
52 4.22616 17.5089 9.80889
53 4.30822 17.5615 10.8967
54 4.39028 17.1535 12
55 4.47234 17.6781 13.18
56 4.5544 16.8875 14.3489
57 4.63647 16.6938 15.5467
58 4.71853 16.8406 16.7978
59 4.80059 16.457 18.0633
60 4.88265 16.2287 19.3544
61 4.96471 16.2659 20.6922
62 5.04677 15.8964 22.0433
63 5.12883 15.4928 23.4033
64 5.21089 14.8372 24.7478
65 5.29296 14.8352 26.1344
66 5.37502 14.1893 27.5022
67 5.45708 14.1662 28.91
68 5.53914 13.2186 30.2633
69 5.6212 13.2241 31.6578
70 5.70326 12.7445 33.0411
71 5.78532 11.5003 34.3256
72 5.86739 11.1029 35.6011
73 5.94945 10.9957 36.9
74 6.03151 10.0405 38.1189
75 6.11357 9.05058 39.2478
76 6.19563 8.77897 40.3722
77 6.27769 7.7232 41.3878
78 6.35975 6.61877 42.2811
79 6.44181 6.29078 43.1522
80 6.52388 5.56285 43.9422
81 6.60594 4.69147 44.6256
82 6.688 4.20569 45.2533
83 6.77006 3.69116 45.8178
84 6.85212 3.19165 46.3178
85 6.93418 2.91573 46.7856
86 7.01624 2.6111 47.2144
87 7.09831 2.31283 47.6033
88 7.18037 2.31901 48.0022
89 7.26243 1.99534 48.3533
90 7.34449 2.03115 48.7189
91 7.42655 1.9378 49.0756
92 7.50861 1.70712 49.3967
93 7.59067 1.69357 49.7222
94 7.67273 1.92302 50.1
95 7.7548 1.77178 50.4556
96 7.83686 1.59395 50.7822
97 7.91892 1.74158 51.1467
98 8.00098 1.64865 51.4989
99 8.08304 1.7584 51.8822
100 8.1651 1.61853 52.2422
101 8.24716 1.84557 52.6611
102 8.32923 1.90048 53.1011
103 8.41129 2.05232 53.5856
104 8.49335 1.90168 54.0433
105 8.57541 2.04695 54.5456
106 8.65747 1.68844 54.9678
107 8.73953 1.97939 55.4722
108 8.82159 1.7373 55.9233
109 8.90365 1.88587 56.4222
110 8.98572 1.88042 56.9289
111 9.06778 1.73691 57.4056
112 9.14984 1.73798 57.8911
113 9.2319 1.74979 58.3889
114 9.31396 1.59691 58.8511
115 9.39602 1.67073 59.3433
116 9.47808 1.83497 59.8933
117 9.56015 1.72744 60.42
118 9.64221 1.69759 60.9467
119 9.72427 1.66188 61.4711
120 9.80633 1.53383 61.9633
121 9.88839 1.66138 62.5056
122 9.97045 1.49401 63.0011
123 10.0525 1.45973 63.4933
124 10.1346 1.34198 63.9533
125 10.2166 1.40054 64.4411
126 10.2987 1.42189 64.9444
127 10.3808 1.33774 65.4256
128 10.4628 1.28353 65.8944
129 10.5449 1.16172 66.3256
130 10.6269 1.15883 66.7622
131 10.709 1.25426 67.2422
132 10.7911 1.30095 67.7478
133 10.8731 1.149 68.2011
134 10.9552 1.1349 68.6556
135 11.0372 1.05494 69.0844
136 11.1193 1.03375 69.5111
137 11.2014 1.10138 69.9722
138 11.2834 1.0357 70.4122
139 11.3655 1.05407 70.8667
140 11.4476 0.945178 71.28
141 11.5296 0.961754 71.7067
142 11.6117 1.00277 72.1578
143 11.6937 0.801153 72.5233
144 11.7758 0.898288 72.9389
145 11.8579 0.819149 73.3233
146 11.9399 0.906128 73.7544
147 12.022 0.748677 74.1156
148 12.104 0.843025 74.5278
149 12.1861 0.753428 74.9011
150 12.2682 0.787593 75.2967
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.0448647 0.00111111
35 2.83112 0.500983 0.0144444
36 2.91318 0.593483 0.0311111
37 2.99524 2.0886 0.0933333
38 3.0773 3.89324 0.215556
39 3.15936 5.9718 0.413333
40 3.24142 8.57156 0.712222
41 3.32348 11.314 1.12667
42 3.40555 12.8538 1.62111
43 3.48761 13.3546 2.16
44 3.56967 16.0451 2.83778
45 3.65173 16.4292 3.56444
46 3.73379 16.4773 4.32667
47 3.81585 16.7892 5.13778
48 3.89791 17.0019 5.99444
49 3.97997 17.3948 6.90889
50 4.06204 17.171 7.84889
51 4.1441 19.3044 8.94778
52 4.22616 16.893 9.94889
53 4.30822 17.1065 11.0022
54 4.39028 16.9926 12.0889
55 4.47234 17.1585 13.2278
56 4.5544 16.9517 14.3944
57 4.63647 18.0751 15.6833
58 4.71853 17.1525 16.95
59 4.80059 16.7425 18.23
60 4.88265 16.4915 19.5344
61 4.96471 17.161 20.9378
62 5.04677 15.5958 22.2556
63 5.12883 15.5338 23.6111
64 5.21089 14.9721 24.96
65 5.29296 15.0357 26.3567
66 5.37502 14.6086 27.7567
67 5.45708 13.6099 29.1011
68 5.53914 13.9707 30.5233
69 5.6212 13.3617 31.9244
70 5.70326 12.4076 33.2633
71 5.78532 11.5912 34.55
72 5.86739 11.2174 35.8311
73 5.94945 10.7092 37.0889
74 6.03151 10.4143 38.3456
75 6.11357 9.13798 39.4789
76 6.19563 8.09904 40.51
77 6.27769 7.54316 41.4967
78 6.35975 6.91424 42.4244
79 6.44181 6.13717 43.27
80 6.52388 5.32057 44.0211
81 6.60594 4.8421 44.7222
82 6.688 4.08837 45.3289
83 6.77006 3.30325 45.8311
84 6.85212 2.88764 46.2811
85 6.93418 2.81355 46.73
86 7.01624 2.31284 47.1078
87 7.09831 2.51254 47.5278
88 7.18037 2.19628 47.9033
89 7.26243 1.9428 48.2433
90 7.34449 1.81781 48.5689
91 7.42655 1.93074 48.9222
92 7.50861 1.76401 49.2522
93 7.59067 1.69037 49.5756
94 7.67273 1.7056 49.9089
95 7.7548 1.63196 50.2344
96 7.83686 1.60852 50.5622
97 7.91892 1.81062 50.9389
98 8.00098 1.83569 51.3289
99 8.08304 1.78392 51.7156
100 8.1651 1.69183 52.09
101 8.24716 1.88204 52.5144
102 8.32923 1.81109 52.9311
103 8.41129 1.88483 53.3733
104 8.49335 1.74545 53.7911
105 8.57541 1.84044 54.24
106 8.65747 1.71975 54.6678
107 8.73953 1.83404 55.1322
108 8.82159 1.75519 55.5856
109 8.90365 1.71899 56.0378
110 8.98572 1.97095 56.5656
111 9.06778 1.73065 57.0378
112 9.14984 1.86785 57.5567
113 9.2319 1.7839 58.0611
114 9.31396 1.67548 58.5433
115 9.39602 1.74875 59.0556
116 9.47808 1.7456 59.5756
117 9.56015 1.59472 60.0589
118 9.64221 1.68668 60.5789
119 9.72427 1.61109 61.0844
120 9.80633 1.51087 61.5667
121 9.88839 1.70247 62.1189
122 9.97045 1.46919 62.6033
123 10.0525 1.35587 63.0578
124 10.1346 1.52262 63.5767
125 10.2166 1.31303 64.0311
126 10.2987 1.45583 64.5433
127 10.3808 1.38723 65.0389
128 10.4628 1.25415 65.4944
