# Time-averaged data for fix thermo_avg_npt
# TimeStep v_epsilon_co v_temp v_press v_pe v_ke v_etotal v_vol v_dens
101000 0.1 298.982 70.3306 -20218 3344.7 -16873.3 55540.9 1.02713
102000 0.1 299.615 -78.5897 -20263.5 3351.79 -16911.7 55677.9 1.0246
103000 0.1 301.487 2.13223 -20270.8 3372.73 -16898.1 55609.7 1.02586
104000 0.1 299.364 169.166 -20311.5 3348.97 -16962.5 54925.2 1.03865
105000 0.1 297.721 -123.157 -20265.5 3330.6 -16934.9 54955.3 1.03808
106000 0.1 303.944 -60.6083 -20303.4 3400.21 -16903.2 55792.4 1.02252
107000 0.1 301.056 26.4775 -20270.1 3367.91 -16902.2 55865 1.02119
108000 0.1 299.996 361.287 -20428.1 3356.05 -17072 55074.6 1.03582
109000 0.1 299.42 -32.422 -20344.8 3349.6 -16995.2 55615.1 1.02576
110000 0.1 300.605 -146.85 -20342.5 3362.86 -16979.6 55692.3 1.02433
111000 0.1 296 244.17 -20394.8 3311.35 -17083.4 55578.2 1.02644
112000 0.1 299.844 -136.774 -20426.3 3354.35 -17072 55661.2 1.02491
113000 0.1 301.202 -184.231 -20361.5 3369.54 -16991.9 55655.9 1.025
114000 0.1 297.19 38.947 -20400.2 3324.66 -17075.5 55201.9 1.03344
115000 0.1 299.361 -3.66374 -20293.5 3348.94 -16944.5 55204.4 1.03339
116000 0.1 300.266 18.3886 -20254.6 3359.07 -16895.6 55393.5 1.02986
117000 0.1 300.383 -75.6458 -20286.3 3360.38 -16925.9 55334.5 1.03096
118000 0.1 300.012 -32.9473 -20257.4 3356.23 -16901.2 55516.5 1.02758
119000 0.1 300.293 -168.054 -20292.3 3359.37 -16932.9 55471.9 1.02841
120000 0.1 299.992 155.93 -20308.5 3356 -16952.5 55267.8 1.0322
121000 0.1 299.751 -50.9474 -20334.6 3353.31 -16981.3 55732.4 1.0236
122000 0.1 299.158 -7.89774 -20288.6 3346.68 -16941.9 55976.5 1.01913
