# Time-averaged data for fix thermo_detailed
# TimeStep v_temp v_press v_pe v_ke v_vol v_dens
600100 300.584 -34.1446 -20324.5 3362.62 55744.2 1.02338
600200 295.659 -32.631 -20400.4 3307.53 55709.1 1.02402
600300 299.327 295.304 -20362.1 3348.56 55690.4 1.02437
600400 300.047 17.4185 -20325.4 3356.62 55869.5 1.02108
600500 299.145 -367.65 -20296.3 3346.53 56041.7 1.01795
600600 306.176 199.522 -20248.5 3425.18 55849.3 1.02145
600700 302.543 165.8 -20247.2 3384.54 55738.3 1.02349
600800 299.094 -253.963 -20312.2 3345.96 55793.8 1.02247
600900 302.042 187.416 -20302 3378.94 55509.5 1.02771
601000 301.974 33.2986 -20308.5 3378.18 55285.2 1.03188
601100 298.504 191.811 -20358.5 3339.35 55157.2 1.03427
601200 299.417 214.535 -20304.4 3349.57 55345.3 1.03076
601300 305.717 -445.029 -20273.8 3420.05 55766.5 1.02297
601400 299.108 12.7585 -20300.7 3346.11 55761.1 1.02307
601500 298.979 -5.94067 -20296.3 3344.67 55682.9 1.02451
601600 302.57 105.753 -20221.5 3384.84 55609.2 1.02586
601700 300.667 94.1876 -20260.1 3363.56 55609.9 1.02585
601800 297.796 -95.5684 -20268.7 3331.44 55679.5 1.02457
601900 300.83 49.858 -20179.5 3365.38 55678.6 1.02459
602000 299.675 -197.525 -20182.8 3352.46 55621.6 1.02563
602100 295.405 13.3874 -20265.9 3304.69 55491.8 1.02804
602200 301.858 47.2286 -20233.6 3376.88 55434.7 1.02909
602300 298.039 -194.126 -20214.6 3334.15 55398.9 1.02976
602400 292.973 346.825 -20262.5 3277.49 55204.1 1.03339
602500 300.806 229.183 -20236 3365.11 55418.8 1.0294
602600 302.341 -346.812 -20223 3382.29 55854.1 1.02137
602700 296.768 -215.849 -20202.4 3319.93 55943.8 1.01973
602800 299.551 5.23532 -20213 3351.07 55694 1.02431
602900 302.82 108.452 -20116.3 3387.64 55298.2 1.03164
603000 303.251 57.7322 -20194.3 3392.47 55118.3 1.035
603100 301.216 -155.628 -20240.9 3369.69 55158.6 1.03424
603200 296.282 -37.2587 -20298.5 3314.5 55085.7 1.03561
603300 297.018 586.297 -20304 3322.73 55021.4 1.03683
603400 299.028 -475.108 -20206.5 3345.22 55598.6 1.02607
603500 303.533 17.0091 -20147 3395.62 55705.6 1.02409
603600 301.773 118.443 -20176.8 3375.93 55723.8 1.02376
603700 299.965 -8.54629 -20239.6 3355.7 55854.2 1.02136
603800 303.018 -176.929 -20186.4 3389.86 55770.4 1.0229
603900 301.787 -69.9945 -20162.6 3376.08 55551.4 1.02693
604000 301.125 266.269 -20279.6 3368.68 55406.8 1.02961
604100 298.5 -63.5923 -20272.9 3339.32 55484.7 1.02817
604200 300.746 148.037 -20193.4 3364.44 55596.6 1.0261
604300 299.873 -183.382 -20176.9 3354.67 55887.4 1.02076
604400 296.936 -208.183 -20289.4 3321.82 55786.5 1.02261
604500 297.678 130.041 -20296.8 3330.12 55369.8 1.0303
604600 300.109 10.7723 -20255.7 3357.31 55079.9 1.03572
604700 301.789 40.7954 -20272 3376.11 54917.1 1.03879
604800 296.742 208.591 -20296.7 3319.65 54853.3 1.04
604900 300.906 107.443 -20240.4 3366.22 55049.4 1.0363
605000 297.755 -143.99 -20177.6 3330.98 55331.8 1.03101
605100 304.22 -22.4475 -20167.6 3403.3 55356.7 1.03054
605200 299.968 -155.283 -20181.6 3355.74 55428.1 1.02922
605300 300.844 124.884 -20267.5 3365.53 55365.2 1.03038
605400 296.971 -156.992 -20280.6 3322.21 55377.9 1.03015
605500 301.553 126.745 -20298.2 3373.46 55306.9 1.03147
605600 297.595 279.43 -20304.9 3329.19 55444.6 1.02891
605700 300.669 -272.293 -20292.5 3363.58 55704.1 1.02412
605800 299.501 -168.918 -20258.7 3350.52 55770.4 1.0229
605900 298.402 -33.8672 -20311.1 3338.22 55571.4 1.02657
606000 297.902 213.751 -20308.5 3332.62 55247.2 1.03259
606100 301.891 381.068 -20233.9 3377.25 55168.6 1.03406
606200 298.867 -194.334 -20267.4 3343.42 55580 1.02641
606300 294.448 -113.714 -20255.7 3293.99 55819.1 1.02201
606400 300.581 153.032 -20245.2 3362.6 55751.1 1.02325
606500 297.115 -12.4362 -20315.3 3323.82 55713.5 1.02394
606600 295.608 15.7696 -20352.9 3306.96 55534.1 1.02725
606700 300.481 323.706 -20252.8 3361.47 55369.8 1.0303
606800 301.103 17.4889 -20274.8 3368.43 55510.6 1.02769
606900 298.064 -344.117 -20304.1 3334.43 55814.3 1.0221
607000 301.952 -124.011 -20195.7 3377.93 55694.6 1.0243
607100 303.15 182.267 -20283.7 3391.33 55170.4 1.03403
607200 300.234 268.09 -20372.2 3358.71 54781 1.04137
607300 296.056 216.779 -20425.5 3311.97 54814.1 1.04075
607400 299.123 -316.091 -20418.1 3346.28 54993.8 1.03734
607500 299.734 -25.6254 -20329.7 3353.12 54903.2 1.03906
607600 300.327 196.068 -20312.2 3359.75 54843.4 1.04019
607700 296.581 -47.4089 -20378.1 3317.85 54977.7 1.03765
607800 300.369 5.80859 -20310 3360.22 55112.7 1.03511
