# Time-averaged data for fix rdf_CO_avg
# TimeStep Number-of-rows
# Row c_rdf_CO[1] c_rdf_CO[2] c_rdf_CO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0.00249999 0.000555556
33 2.66699 0 0.000555556
34 2.74905 0.0220809 0.00611111
35 2.83112 0.0436673 0.0177778
36 2.91318 0.0727479 0.0383333
37 2.99524 0.167238 0.0883333
38 3.0773 0.20776 0.153889
39 3.15936 0.315826 0.258889
40 3.24142 0.334899 0.376111
41 3.32348 0.366827 0.511111
42 3.40555 0.382468 0.658889
43 3.48761 0.422195 0.83
44 3.56967 0.484321 1.03556
45 3.65173 0.485176 1.25111
46 3.73379 0.517884 1.49167
47 3.81585 0.518885 1.74333
48 3.89791 0.537826 2.01556
49 3.97997 0.570491 2.31667
50 4.06204 0.547936 2.61778
51 4.1441 0.614643 2.96944
52 4.22616 0.573335 3.31056
53 4.30822 0.632575 3.70167
54 4.39028 0.611663 4.09444
55 4.47234 0.586122 4.485
56 4.5544 0.600613 4.9
57 4.63647 0.594207 5.32556
58 4.71853 0.641126 5.80111
59 4.80059 0.592756 6.25611
60 4.88265 0.603701 6.73556
61 4.96471 0.623848 7.24778
62 5.04677 0.638388 7.78944
63 5.12883 0.645311 8.355
64 5.21089 0.644874 8.93833
65 5.29296 0.633944 9.53
66 5.37502 0.641314 10.1472
67 5.45708 0.62219 10.7644
68 5.53914 0.650486 11.4294
69 5.6212 0.668147 12.1328
70 5.70326 0.696643 12.8878
71 5.78532 0.667085 13.6317
72 5.86739 0.710193 14.4461
73 5.94945 0.738315 15.3167
74 6.03151 0.73992 16.2133
75 6.11357 0.746036 17.1422
76 6.19563 0.778528 18.1378
77 6.27769 0.784531 19.1678
78 6.35975 0.806528 20.2544
79 6.44181 0.834784 21.4083
80 6.52388 0.795714 22.5367
81 6.60594 0.833897 23.7489
82 6.688 0.836642 24.9956
83 6.77006 0.846956 26.2889
84 6.85212 0.817637 27.5678
85 6.93418 0.856331 28.9394
86 7.01624 0.883457 30.3883
87 7.09831 0.85561 31.8244
88 7.18037 0.877595 33.3317
89 7.26243 0.91188 34.9339
90 7.34449 0.867161 36.4922
91 7.42655 0.929569 38.2
92 7.50861 0.913989 39.9167
93 7.59067 0.901605 41.6472
94 7.67273 0.93671 43.4844
95 7.7548 0.936218 45.36
96 7.83686 0.962301 47.3289
97 7.91892 0.962393 49.3394
98 8.00098 0.936581 51.3367
99 8.08304 0.985937 53.4828
100 8.1651 0.990685 55.6833
101 8.24716 0.973408 57.8889
102 8.32923 0.991073 60.1794
103 8.41129 1.00106 62.5389
104 8.49335 1.00521 64.9544
105 8.57541 0.994209 67.39
106 8.65747 1.0036 69.8961
107 8.73953 1.00887 72.4633
108 8.82159 1.04001 75.1594
109 8.90365 1.01864 77.8494
110 8.98572 1.03127 80.6233
111 9.06778 1.04142 83.4761
112 9.14984 1.03423 86.3606
113 9.2319 1.03823 89.3083
114 9.31396 1.01575 92.2439
115 9.39602 1.02342 95.2539
116 9.47808 1.03657 98.3561
117 9.56015 1.00646 101.421
118 9.64221 1.03586 104.629
119 9.72427 1.00294 107.788
120 9.80633 0.991711 110.966
121 9.88839 0.98168 114.163
122 9.97045 0.987714 117.434
123 10.0525 0.983702 120.746
124 10.1346 0.995174 124.151
125 10.2166 0.983246 127.57
126 10.2987 0.991641 131.074
127 10.3808 0.955955 134.506
128 10.4628 0.966916 138.032
129 10.5449 0.976485 141.649
130 10.6269 1.00188 145.418
131 10.709 0.993048 149.212
132 10.7911 0.968644 152.97
133 10.8731 0.984152 156.846
134 10.9552 0.977053 160.753
135 11.0372 0.979501 164.728
136 11.1193 1.00826 168.881
137 11.2014 0.997426 173.049
138 11.2834 0.982077 177.215
139 11.3655 1.0052 181.541
140 11.4476 1.00518 185.929
141 11.5296 1.01713 190.433
142 11.6117 1.022 195.024
143 11.6937 1.02027 199.672
144 11.7758 1.04046 204.478
145 11.8579 1.01616 209.238
146 11.9399 1.02592 214.111
147 12.022 1.01928 219.018
148 12.104 1.01831 223.988
149 12.1861 1.00474 228.959
150 12.2682 1.01048 234.026
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0.00235003 0.000555556
34 2.74905 0.00659823 0.00222222
35 2.83112 0.046065 0.0144444
36 2.91318 0.0889433 0.0394444
37 2.99524 0.14942 0.0838889
38 3.0773 0.232069 0.156667
39 3.15936 0.240477 0.236111
40 3.24142 0.360667 0.361667
41 3.32348 0.384212 0.502222
42 3.40555 0.419101 0.663333
43 3.48761 0.438172 0.84
44 3.56967 0.450204 1.03
45 3.65173 0.432513 1.22111
46 3.73379 0.451243 1.42944
47 3.81585 0.534696 1.68722
48 3.89791 0.522046 1.95
49 3.97997 0.57288 2.25056
50 4.06204 0.557139 2.555
51 4.1441 0.57426 2.88167
52 4.22616 0.569298 3.21833
53 4.30822 0.60437 3.59
54 4.39028 0.576664 3.95833
55 4.47234 0.59046 4.34944
56 4.5544 0.610421 4.76889
57 4.63647 0.580728 5.18222
58 4.71853 0.619728 5.63944
59 4.80059 0.606851 6.10278
60 4.88265 0.603604 6.57944
61 4.96471 0.582593 7.055
62 5.04677 0.638415 7.59333
63 5.12883 0.618016 8.13167
64 5.21089 0.663344 8.72833
65 5.29296 0.645855 9.32778
66 5.37502 0.672345 9.97111
67 5.45708 0.632509 10.595
68 5.53914 0.665509 11.2711
69 5.6212 0.661503 11.9633
70 5.70326 0.703052 12.7206
71 5.78532 0.661983 13.4544
72 5.86739 0.698819 14.2511
73 5.94945 0.711152 15.085
74 6.03151 0.723696 15.9572
75 6.11357 0.753977 16.8906
76 6.19563 0.753379 17.8483
77 6.27769 0.744337 18.82
78 6.35975 0.795376 19.8856
79 6.44181 0.799516 20.9844
80 6.52388 0.828749 22.1528
81 6.60594 0.840676 23.3678
82 6.688 0.829573 24.5967
83 6.77006 0.84573 25.8806
84 6.85212 0.854814 27.21
85 6.93418 0.856368 28.5739
86 7.01624 0.896099 30.035
87 7.09831 0.858656 31.4678
88 7.18037 0.889917 32.9872
89 7.26243 0.885682 34.5344
90 7.34449 0.876862 36.1011
91 7.42655 0.880447 37.7094
92 7.50861 0.932542 39.4511
93 7.59067 0.918876 41.2044
94 7.67273 0.919355 42.9967
95 7.7548 0.951208 44.8917
96 7.83686 0.924491 46.7722
97 7.91892 0.967656 48.7817
98 8.00098 0.945318 50.7861
99 8.08304 0.965076 52.8744
100 8.1651 0.967673 55.0111
101 8.24716 0.99279 57.2478
102 8.32923 1.00071 59.5472
103 8.41129 1.01435 61.9239
104 8.49335 0.998393 64.3094
105 8.57541 0.999177 66.7428
106 8.65747 1.01655 69.2661
107 8.73953 1.00793 71.8161
108 8.82159 1.02593 74.46
109 8.90365 1.02883 77.1611
110 8.98572 1.02821 79.9111
111 9.06778 1.01811 82.6839
112 9.14984 0.993322 85.4383
113 9.2319 1.03198 88.3511
114 9.31396 1.01843 91.2772
115 9.39602 1.03505 94.3039
116 9.47808 0.991543 97.2544
117 9.56015 0.995195 100.267
118 9.64221 0.997417 103.338
119 9.72427 1.00317 106.48
120 9.80633 0.986642 109.622
121 9.88839 1.00384 112.873
122 9.97045 0.954111 116.014
123 10.0525 0.992117 119.334
124 10.1346 0.971282 122.638
125 10.2166 0.948511 125.917
126 10.2987 0.968925 129.321
127 10.3808 0.975994 132.804
128 10.4628 0.987687 136.385
129 10.5449 0.98379 140.008
