# Time-averaged data for fix rdf_CO_avg
# TimeStep Number-of-rows
# Row c_rdf_CO[1] c_rdf_CO[2] c_rdf_CO[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0.00188295 0.000555556
37 2.99524 0.0107175 0.00388889
38 3.0773 0.0899893 0.0333333
39 3.15936 0.344708 0.152222
40 3.24142 0.776677 0.434444
41 3.32348 1.0051 0.818333
42 3.40555 1.06555 1.24556
43 3.48761 1.1112 1.71278
44 3.56967 1.05571 2.17778
45 3.65173 0.890716 2.58833
46 3.73379 0.843429 2.995
47 3.81585 0.799929 3.39778
48 3.89791 0.847155 3.84278
49 3.97997 0.835961 4.30056
50 4.06204 0.803463 4.75889
51 4.1441 0.906931 5.29722
52 4.22616 0.936604 5.87556
53 4.30822 0.901505 6.45389
54 4.39028 0.941147 7.08111
55 4.47234 0.9128 7.71222
56 4.5544 0.884598 8.34667
57 4.63647 0.880675 9.00111
58 4.71853 0.797488 9.615
59 4.80059 0.82163 10.2694
60 4.88265 0.742078 10.8811
61 4.96471 0.74244 11.5139
62 5.04677 0.702282 12.1322
63 5.12883 0.797988 12.8578
64 5.21089 0.726291 13.5394
65 5.29296 0.811072 14.325
66 5.37502 0.755317 15.0794
67 5.45708 0.789565 15.8922
68 5.53914 0.850571 16.7944
69 5.6212 0.889053 17.7656
70 5.70326 0.920755 18.8011
71 5.78532 0.9239 19.87
72 5.86739 0.998436 21.0583
73 5.94945 0.983843 22.2622
74 6.03151 1.01281 23.5361
75 6.11357 1.09938 24.9567
76 6.19563 1.09606 26.4111
77 6.27769 1.0841 27.8883
78 6.35975 1.07437 29.3906
79 6.44181 1.07323 30.93
80 6.52388 1.07465 32.5111
81 6.60594 1.09954 34.17
82 6.688 1.08388 35.8461
83 6.77006 1.10658 37.5994
84 6.85212 1.15259 39.47
85 6.93418 1.10882 41.3133
86 7.01624 1.13245 43.2406
87 7.09831 1.15237 45.2478
88 7.18037 1.11613 47.2372
89 7.26243 1.08773 49.2206
90 7.34449 1.11066 51.2917
91 7.42655 1.13856 53.4628
92 7.50861 1.12055 55.6467
93 7.59067 1.1268 57.8911
94 7.67273 1.16086 60.2539
95 7.7548 1.12668 62.5961
96 7.83686 1.13361 65.0028
97 7.91892 1.1823 67.5656
98 8.00098 1.1977 70.2161
99 8.08304 1.17233 72.8639
100 8.1651 1.17234 75.5661
101 8.24716 1.17508 78.3294
102 8.32923 1.18614 81.1739
103 8.41129 1.22884 84.1794
104 8.49335 1.21745 87.2156
105 8.57541 1.20545 90.28
106 8.65747 1.20287 93.3967
107 8.73953 1.22774 96.6389
108 8.82159 1.19839 99.8628
109 8.90365 1.19354 103.134
110 8.98572 1.16682 106.391
111 9.06778 1.12893 109.599
112 9.14984 1.09478 112.768
113 9.2319 1.07487 115.935
114 9.31396 1.05207 119.09
115 9.39602 1.0356 122.251
116 9.47808 0.993419 125.336
117 9.56015 0.99859 128.491
118 9.64221 0.955418 131.561
119 9.72427 0.986416 134.786
120 9.80633 0.971003 138.013
121 9.88839 0.958775 141.254
122 9.97045 0.960187 144.554
123 10.0525 0.98825 148.007
124 10.1346 0.99133 151.527
125 10.2166 0.988242 155.093
126 10.2987 0.997021 158.749
127 10.3808 1.01503 162.53
128 10.4628 1.04529 166.486
129 10.5449 1.0127 170.379
130 10.6269 1.03412 174.416
131 10.709 1.03753 178.529
132 10.7911 1.05051 182.758
133 10.8731 1.04934 187.047
134 10.9552 1.03974 191.361
135 11.0372 1.06802 195.858
136 11.1193 1.07286 200.444
137 11.2014 1.06323 205.056
138 11.2834 1.0558 209.703
139 11.3655 1.06829 214.474
140 11.4476 1.0616 219.283
141 11.5296 1.0612 224.16
142 11.6117 1.0529 229.068
143 11.6937 1.02803 233.927
144 11.7758 1.03 238.865
145 11.8579 0.991857 243.686
146 11.9399 1.00611 248.644
147 12.022 0.988706 253.584
148 12.104 0.984711 258.571
149 12.1861 1.00017 263.706
150 12.2682 0.982706 268.819
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0 0
35 2.83112 0 0
36 2.91318 0 0
37 2.99524 0.00361689 0.00111111
38 3.0773 0.083423 0.0283333
39 3.15936 0.347485 0.147778
40 3.24142 0.779888 0.43
41 3.32348 1.02816 0.821111
42 3.40555 1.12785 1.27167
43 3.48761 1.06069 1.71611
44 3.56967 0.975704 2.14444
45 3.65173 0.953269 2.58222
46 3.73379 0.858218 2.99444
47 3.81585 0.890636 3.44111
48 3.89791 0.796311 3.85778
49 3.97997 0.822947 4.30667
50 4.06204 0.8161 4.77056
51 4.1441 0.883661 5.29333
52 4.22616 0.932152 5.86667
53 4.30822 0.912311 6.45
54 4.39028 0.869667 7.02722
55 4.47234 0.896644 7.645
56 4.5544 0.892651 8.28278
57 4.63647 0.861274 8.92056
58 4.71853 0.822267 9.55111
59 4.80059 0.821783 10.2033
60 4.88265 0.770053 10.8356
61 4.96471 0.75822 11.4794
62 5.04677 0.765555 12.1511
63 5.12883 0.744603 12.8256
64 5.21089 0.776988 13.5522
65 5.29296 0.725959 14.2528
66 5.37502 0.792767 15.0417
67 5.45708 0.821371 15.8844
68 5.53914 0.811459 16.7422
69 5.6212 0.829519 17.645
70 5.70326 0.915815 18.6711
71 5.78532 0.945233 19.7606
72 5.86739 0.977396 20.9194
73 5.94945 1.02447 22.1683
74 6.03151 1.04077 23.4722
75 6.11357 1.07525 24.8567
76 6.19563 1.04631 26.24
77 6.27769 1.10008 27.7333
78 6.35975 1.09759 29.2622
79 6.44181 1.08286 30.81
80 6.52388 1.0958 32.4167
81 6.60594 1.13063 34.1161
82 6.688 1.07173 35.7672
83 6.77006 1.10474 37.5111
84 6.85212 1.11063 39.3072
85 6.93418 1.0952 41.1211
86 7.01624 1.12011 43.0206
87 7.09831 1.11623 44.9578
88 7.18037 1.10164 46.9139
89 7.26243 1.11061 48.9317
90 7.34449 1.11401 51.0017
91 7.42655 1.12601 53.1406
92 7.50861 1.11975 55.315
93 7.59067 1.17833 57.6533
94 7.67273 1.16422 60.0139
95 7.7548 1.15182 62.4
96 7.83686 1.16067 64.855
97 7.91892 1.13908 67.3156
98 8.00098 1.13019 69.8078
99 8.08304 1.1502 72.3961
100 8.1651 1.20674 75.1672
101 8.24716 1.16846 77.9044
102 8.32923 1.22492 80.8311
103 8.41129 1.20166 83.7594
104 8.49335 1.19182 86.7211
105 8.57541 1.20145 89.7644
106 8.65747 1.21463 92.9006
107 8.73953 1.21015 96.0839
108 8.82159 1.19947 99.2989
109 8.90365 1.18442 102.533
110 8.98572 1.19247 105.849
111 9.06778 1.13556 109.065
112 9.14984 1.11419 112.278
113 9.2319 1.0798 115.448
114 9.31396 1.05255 118.593
115 9.39602 1.03878 121.752
116 9.47808 1.00919 124.874
117 9.56015 1.00716 128.045
118 9.64221 0.976877 131.173
119 9.72427 0.973335 134.343
120 9.80633 0.977454 137.581
121 9.88839 0.975874 140.868
122 9.97045 0.983708 144.236
123 10.0525 0.989144 147.679
124 10.1346 0.98574 151.166
125 10.2166 0.990439 154.727
126 10.2987 1.00031 158.381
127 10.3808 0.992063 162.063
128 10.4628 1.00121 165.838
129 10.5449 1.01348 169.72
130 10.6269 1.02576 173.711
131 10.709 1.04844 177.852
132 10.7911 1.05544 182.085
133 10.8731 1.05971 186.401
134 10.9552 1.06375 190.798
