# Time-averaged data for fix rdf_CC_avg
# TimeStep Number-of-rows
# Row c_rdf_CC[1] c_rdf_CC[2] c_rdf_CC[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0.0454359 0.00111111
34 2.74905 0.127002 0.00444444
35 2.83112 0.558629 0.02
36 2.91318 1.62735 0.0677778
37 2.99524 5.86977 0.25
38 3.0773 7.99409 0.512222
39 3.15936 12.2779 0.936667
40 3.24142 17.099 1.55889
41 3.32348 21.4961 2.38111
42 3.40555 23.45 3.32333
43 3.48761 22.994 4.29222
44 3.56967 21.7044 5.25
45 3.65173 19.0354 6.12889
46 3.73379 16.1363 6.90778
47 3.81585 13.9308 7.61
48 3.89791 14.5352 8.37444
49 3.97997 13.8364 9.13333
50 4.06204 15.2262 10.0033
51 4.1441 17.3017 11.0322
52 4.22616 18.5364 12.1789
53 4.30822 20.6016 13.5033
54 4.39028 20.378 14.8633
55 4.47234 20.4024 16.2767
56 4.5544 18.0041 17.57
57 4.63647 16.1521 18.7722
58 4.71853 15.97 20.0033
59 4.80059 15.3062 21.2244
60 4.88265 14.93 22.4567
61 4.96471 15.984 23.8211
62 5.04677 16.2739 25.2567
63 5.12883 15.9173 26.7067
64 5.21089 16.196 28.23
65 5.29296 15.1985 29.7044
66 5.37502 14.1706 31.1222
67 5.45708 13.7504 32.54
68 5.53914 12.522 33.87
69 5.6212 12.7738 35.2678
70 5.70326 10.9488 36.5011
71 5.78532 10.1878 37.6822
72 5.86739 8.92923 38.7467
73 5.94945 7.09907 39.6167
74 6.03151 6.14833 40.3911
75 6.11357 4.06282 40.9167
76 6.19563 3.42254 41.3711
77 6.27769 1.98863 41.6422
78 6.35975 1.31776 41.8267
79 6.44181 1.00614 41.9711
80 6.52388 0.664081 42.0689
81 6.60594 0.632208 42.1644
82 6.688 0.502601 42.2422
83 6.77006 0.399096 42.3056
84 6.85212 0.402771 42.3711
85 6.93418 0.400599 42.4378
86 7.01624 0.397521 42.5056
87 7.09831 0.34346 42.5656
88 7.18037 0.342301 42.6267
89 7.26243 0.504616 42.7189
90 7.34449 0.499659 42.8122
91 7.42655 0.400857 42.8889
92 7.50861 0.466546 42.98
93 7.59067 0.445307 43.0689
94 7.67273 0.463339 43.1633
95 7.7548 0.565072 43.2811
96 7.83686 0.553742 43.3989
97 7.91892 0.649611 43.54
98 8.00098 0.701631 43.6956
99 8.08304 0.579413 43.8267
100 8.1651 0.63463 43.9733
101 8.24716 0.688293 44.1356
102 8.32923 0.642922 44.29
103 8.41129 0.671376 44.4544
104 8.49335 0.551643 44.5922
105 8.57541 0.776076 44.79
106 8.65747 0.937819 45.0333
107 8.73953 0.764154 45.2356
108 8.82159 0.808555 45.4533
109 8.90365 0.991578 45.7256
110 8.98572 0.942037 45.9889
111 9.06778 1.03027 46.2822
112 9.14984 0.9658 46.5622
113 9.2319 1.07625 46.88
114 9.31396 1.00937 47.1833
115 9.39602 1.07184 47.5111
116 9.47808 1.13223 47.8633
117 9.56015 1.17913 48.2367
118 9.64221 1.10092 48.5911
119 9.72427 1.16736 48.9733
120 9.80633 1.27528 49.3978
121 9.88839 1.29869 49.8378
122 9.97045 1.27468 50.2767
123 10.0525 1.36879 50.7556
124 10.1346 1.23677 51.1956
125 10.2166 1.39505 51.7
126 10.2987 1.37645 52.2056
127 10.3808 1.34604 52.7078
128 10.4628 1.3778 53.23
129 10.5449 1.39631 53.7678
130 10.6269 1.39489 54.3133
131 10.709 1.49393 54.9067
132 10.7911 1.48243 55.5044
133 10.8731 1.4582 56.1011
134 10.9552 1.57221 56.7544
135 11.0372 1.54561 57.4067
136 11.1193 1.64032 58.1089
137 11.2014 1.61859 58.8122
138 11.2834 1.68559 59.5556
139 11.3655 1.6517 60.2944
140 11.4476 1.65516 61.0456
141 11.5296 1.65559 61.8078
142 11.6117 1.74017 62.62
143 11.6937 1.79948 63.4722
144 11.7758 1.77016 64.3222
145 11.8579 1.75751 65.1778
146 11.9399 1.7961 66.0644
147 12.022 1.85383 66.9922
148 12.104 1.8353 67.9233
149 12.1861 1.7808 68.8389
150 12.2682 1.70174 69.7256
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.0423869 0.00111111
35 2.83112 0.562329 0.0166667
36 2.91318 1.66948 0.0655556
37 2.99524 4.8827 0.216667
38 3.0773 8.64206 0.498889
39 3.15936 13.1913 0.953333
40 3.24142 15.9684 1.53222
41 3.32348 20.1161 2.29889
42 3.40555 21.4941 3.15889
43 3.48761 20.7538 4.03
44 3.56967 19.6641 4.89444
45 3.65173 19.1563 5.77556
46 3.73379 16.9768 6.59222
47 3.81585 14.6167 7.32667
48 3.89791 14.6039 8.09222
49 3.97997 14.2699 8.87222
50 4.06204 15.4645 9.75222
51 4.1441 17.7924 10.8067
52 4.22616 19.1502 11.9867
53 4.30822 18.6508 13.1811
54 4.39028 19.6325 14.4867
55 4.47234 19.2562 15.8156
56 4.5544 18.0281 17.1056
57 4.63647 17.2178 18.3822
58 4.71853 15.6629 19.5856
59 4.80059 15.0374 20.7811
60 4.88265 15.6823 22.0711
61 4.96471 16.4069 23.4667
62 5.04677 15.9204 24.8656
63 5.12883 15.7932 26.2989
64 5.21089 15.7744 27.7767
65 5.29296 14.4057 29.1689
66 5.37502 13.7645 30.5411
67 5.45708 14.1375 31.9933
68 5.53914 12.794 33.3478
69 5.6212 12.2067 34.6789
70 5.70326 11.2105 35.9367
71 5.78532 10.2462 37.12
72 5.86739 9.0749 38.1978
73 5.94945 7.52389 39.1167
74 6.03151 6.36547 39.9156
75 6.11357 5.12784 40.5767
76 6.19563 3.55761 41.0478
77 6.27769 2.59797 41.4011
78 6.35975 2.05457 41.6878
79 6.44181 1.15656 41.8533
80 6.52388 0.83175 41.9756
81 6.60594 0.678574 42.0778
82 6.688 0.453521 42.1478
83 6.77006 0.46423 42.2211
84 6.85212 0.301888 42.27
85 6.93418 0.334282 42.3256
86 7.01624 0.340417 42.3833
87 7.09831 0.35792 42.4456
88 7.18037 0.337801 42.5056
89 7.26243 0.324241 42.5644
90 7.34449 0.34617 42.6289
91 7.42655 0.373883 42.7
92 7.50861 0.423069 42.7822
93 7.59067 0.469627 42.8756
94 7.67273 0.426269 42.9622
95 7.7548 0.503274 43.0667
96 7.83686 0.466877 43.1656
97 7.91892 0.570383 43.2889
98 8.00098 0.472974 43.3933
99 8.08304 0.522419 43.5111
100 8.1651 0.700434 43.6722
101 8.24716 0.563693 43.8044
102 8.32923 0.56666 43.94
103 8.41129 0.59634 44.0856
104 8.49335 0.540094 44.22
105 8.57541 0.6744 44.3911
106 8.65747 0.704767 44.5733
107 8.73953 0.746563 44.77
108 8.82159 0.815286 44.9889
109 8.90365 0.792347 45.2056
110 8.98572 0.893373 45.4544
111 9.06778 0.736217 45.6633
112 9.14984 0.899988 45.9233
113 9.2319 0.914208 46.1922
114 9.31396 0.868737 46.4522
115 9.39602 0.897751 46.7256
116 9.47808 1.02205 47.0422
117 9.56015 1.01145 47.3611
118 9.64221 0.90086 47.65
119 9.72427 0.998174 47.9756
120 9.80633 0.997887 48.3067
121 9.88839 1.16615 48.7
122 9.97045 1.08838 49.0733
123 10.0525 1.16954 49.4811
124 10.1346 1.1167 49.8767
125 10.2166 1.27739 50.3367
126 10.2987 1.23298 50.7878
127 10.3808 1.1415 51.2122
128 10.4628 1.28259 51.6967
