# Time-averaged data for fix rdf_CC_avg
# TimeStep Number-of-rows
# Row c_rdf_CC[1] c_rdf_CC[2] c_rdf_CC[3]
610000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0.0454705 0.00111111
34 2.74905 0.12858 0.00444444
35 2.83112 0.524537 0.0188889
36 2.91318 1.10597 0.0511111
37 2.99524 2.92535 0.141111
38 3.0773 4.17189 0.276667
39 3.15936 6.49562 0.498889
40 3.24142 8.66484 0.811111
41 3.32348 10.8514 1.22222
42 3.40555 12.1199 1.70444
43 3.48761 14.8601 2.32444
44 3.56967 15.2794 2.99222
45 3.65173 15.6736 3.70889
46 3.73379 17.1224 4.52778
47 3.81585 18.2749 5.44
48 3.89791 18.1868 6.38778
49 3.97997 18.8937 7.41444
50 4.06204 19.1064 8.49556
51 4.1441 18.6371 9.59333
52 4.22616 19.5735 10.7922
53 4.30822 19.3909 12.0267
54 4.39028 18.9066 13.2767
55 4.47234 17.6574 14.4878
56 4.5544 18.8981 15.8322
57 4.63647 18.5826 17.2022
58 4.71853 18.3366 18.6022
59 4.80059 18.4058 20.0567
60 4.88265 17.5418 21.4911
61 4.96471 17.928 23.0067
62 5.04677 17.0723 24.4978
63 5.12883 18.0282 26.1244
64 5.21089 17.6723 27.77
65 5.29296 16.8744 29.3911
66 5.37502 16.7857 31.0544
67 5.45708 16.5581 32.7456
68 5.53914 16.1686 34.4467
69 5.6212 14.3108 35.9978
70 5.70326 15.231 37.6967
71 5.78532 14.461 39.3567
72 5.86739 13.5622 40.9578
73 5.94945 13.1896 42.5589
74 6.03151 11.969 44.0522
75 6.11357 12.171 45.6122
76 6.19563 10.5316 46.9989
77 6.27769 10.4579 48.4122
78 6.35975 9.57999 49.7411
79 6.44181 9.37494 51.0756
80 6.52388 8.49484 52.3156
81 6.60594 7.40169 53.4233
82 6.688 7.10548 54.5133
83 6.77006 6.66006 55.56
84 6.85212 6.16996 56.5533
85 6.93418 5.97702 57.5389
86 7.01624 5.64205 58.4911
87 7.09831 5.60259 59.4589
88 7.18037 5.28043 60.3922
89 7.26243 4.99877 61.2967
90 7.34449 5.25534 62.2689
91 7.42655 5.10483 63.2344
92 7.50861 5.12733 64.2256
93 7.59067 5.18892 65.2511
94 7.67273 5.32329 66.3256
95 7.7548 5.26212 67.4111
96 7.83686 5.20265 68.5067
97 7.91892 4.934 69.5678
98 8.00098 5.07143 70.6811
99 8.08304 5.06383 71.8156
100 8.1651 5.60838 73.0978
101 8.24716 5.12561 74.2933
102 8.32923 5.15687 75.52
103 8.41129 5.66894 76.8956
104 8.49335 5.55192 78.2689
105 8.57541 5.51603 79.66
106 8.65747 5.80481 81.1522
107 8.73953 4.98063 82.4567
108 8.82159 5.40457 83.8989
109 8.90365 5.33231 85.3489
110 8.98572 5.31729 86.8211
111 9.06778 5.35501 88.3311
112 9.14984 5.23518 89.8344
113 9.2319 5.01012 91.2989
114 9.31396 5.0266 92.7944
115 9.39602 5.06216 94.3267
116 9.47808 4.7072 95.7767
117 9.56015 4.86289 97.3011
118 9.64221 4.83603 98.8433
119 9.72427 4.62522 100.343
120 9.80633 4.44679 101.81
121 9.88839 4.56602 103.341
122 9.97045 4.42241 104.849
123 10.0525 4.21874 106.311
124 10.1346 4.02808 107.73
125 10.2166 4.06524 109.186
126 10.2987 3.7466 110.549
127 10.3808 4.03451 112.04
128 10.4628 3.7706 113.456
129 10.5449 3.60716 114.831
130 10.6269 3.65498 116.247
131 10.709 3.4069 117.587
132 10.7911 3.42483 118.954
133 10.8731 3.25807 120.276
134 10.9552 3.37457 121.664
135 11.0372 3.17796 122.992
136 11.1193 3.04093 124.282
137 11.2014 3.05211 125.596
138 11.2834 2.92886 126.874
139 11.3655 2.80879 128.119
140 11.4476 2.63071 129.301
141 11.5296 2.59494 130.484
142 11.6117 2.58788 131.681
143 11.6937 2.64222 132.92
144 11.7758 2.3984 134.061
145 11.8579 2.42852 135.232
146 11.9399 2.18439 136.3
147 12.022 2.19425 137.388
148 12.104 2.19785 138.492
149 12.1861 2.12278 139.573
150 12.2682 2.02978 140.621
620000 150
1 0.0410307 0 0
2 0.123092 0 0
3 0.205153 0 0
4 0.287215 0 0
5 0.369276 0 0
6 0.451337 0 0
7 0.533399 0 0
8 0.61546 0 0
9 0.697521 0 0
10 0.779583 0 0
11 0.861644 0 0
12 0.943705 0 0
13 1.02577 0 0
14 1.10783 0 0
15 1.18989 0 0
16 1.27195 0 0
17 1.35401 0 0
18 1.43607 0 0
19 1.51813 0 0
20 1.6002 0 0
21 1.68226 0 0
22 1.76432 0 0
23 1.84638 0 0
24 1.92844 0 0
25 2.0105 0 0
26 2.09256 0 0
27 2.17463 0 0
28 2.25669 0 0
29 2.33875 0 0
30 2.42081 0 0
31 2.50287 0 0
32 2.58493 0 0
33 2.66699 0 0
34 2.74905 0.171304 0.00444444
35 2.83112 0.282532 0.0122222
36 2.91318 1.06772 0.0433333
37 2.99524 2.16251 0.11
38 3.0773 4.06279 0.242222
39 3.15936 6.25284 0.456667
40 3.24142 9.17632 0.787778
41 3.32348 11.3031 1.21667
42 3.40555 11.9847 1.69444
43 3.48761 13.3482 2.25222
44 3.56967 14.776 2.89889
45 3.65173 16.2064 3.64111
46 3.73379 17.707 4.48889
47 3.81585 17.3912 5.35889
48 3.89791 17.1328 6.25333
49 3.97997 17.8061 7.22222
50 4.06204 17.442 8.21111
51 4.1441 19.3434 9.35222
52 4.22616 18.1259 10.4644
53 4.30822 18.5619 11.6478
54 4.39028 19.0276 12.9078
55 4.47234 18.5637 14.1833
56 4.5544 18.9196 15.5311
57 4.63647 18.3981 16.89
58 4.71853 18.2053 18.2822
59 4.80059 17.7752 19.6889
60 4.88265 18.844 21.2322
61 4.96471 17.897 22.7478
62 5.04677 18.1732 24.3378
63 5.12883 17.1754 25.89
64 5.21089 16.5084 27.43
65 5.29296 16.3908 29.0078
66 5.37502 16.409 30.6367
67 5.45708 15.9343 32.2667
68 5.53914 16.2034 33.9744
69 5.6212 15.7829 35.6878
70 5.70326 14.033 37.2556
71 5.78532 14.2321 38.8922
72 5.86739 13.9132 40.5378
73 5.94945 12.9472 42.1122
74 6.03151 12.5277 43.6778
75 6.11357 11.5895 45.1656
76 6.19563 10.7114 46.5778
77 6.27769 9.84023 47.91
78 6.35975 10.0215 49.3022
79 6.44181 8.65971 50.5367
80 6.52388 8.30073 51.75
81 6.60594 8.13238 52.9689
82 6.688 6.86209 54.0233
83 6.77006 6.31586 55.0178
84 6.85212 6.55823 56.0756
85 6.93418 5.91291 57.0522
86 7.01624 5.59342 57.9978
87 7.09831 5.41104 58.9344
88 7.18037 5.23877 59.8622
89 7.26243 5.1295 60.7911
90 7.34449 5.46365 61.8033
91 7.42655 5.1847 62.7856
92 7.50861 5.10059 63.7733
93 7.59067 4.80049 64.7233
94 7.67273 4.97293 65.7289
95 7.7548 5.33106 66.83
96 7.83686 4.9872 67.8822
97 7.91892 5.04466 68.9689
98 8.00098 4.89183 70.0444
99 8.08304 4.98938 71.1644
100 8.1651 5.32643 72.3844
101 8.24716 5.16037 73.59
102 8.32923 5.16273 74.82
103 8.41129 5.20887 76.0856
104 8.49335 5.06271 77.34
105 8.57541 5.35492 78.6922
106 8.65747 5.31661 80.0611
107 8.73953 5.31828 81.4567
108 8.82159 5.20483 82.8478
109 8.90365 5.38215 84.3133
110 8.98572 5.02302 85.7067
111 9.06778 5.23131 87.1844
112 9.14984 5.04258 88.6344
113 9.2319 5.08899 90.1244
114 9.31396 4.81713 91.56
115 9.39602 4.78894 93.0122
116 9.47808 4.91219 94.5278
117 9.56015 4.77096 96.0256
118 9.64221 4.67255 97.5178
119 9.72427 4.6275 99.0211
120 9.80633 4.55389 100.526
121 9.88839 4.42268 102.011
122 9.97045 4.40172 103.514
123 10.0525 4.25763 104.992
124 10.1346 4.19469 106.472
125 10.2166 4.1468 107.959
126 10.2987 3.71437 109.312
127 10.3808 3.9886 110.789
128 10.4628 3.61319 112.148
129 10.5449 3.66818 113.549
130 10.6269 3.42877 114.879
131 10.709 3.4713 116.247
