# Time-averaged data for fix rdf_CO_avg
# TimeStep Number-of-rows
# Row c_rdf_CO[1] c_rdf_CO[2] c_rdf_CO[3]
610000 150
1 0.0410307 0 0
2 0.123092 1.03568 0.000555556
3 0.205153 0.379836 0.00111111
4 0.287215 0.393465 0.00222222
5 0.369276 1.54426 0.00944444
6 0.451337 1.19099 0.0177778
7 0.533399 0.911247 0.0266667
8 0.61546 1.02645 0.04
9 0.697521 0.93156 0.0555556
10 0.779583 1.22747 0.0811111
11 0.861644 0.938307 0.105
12 0.943705 1.03829 0.136667
13 1.02577 1.07869 0.175556
14 1.10783 0.965316 0.216111
15 1.18989 1.05423 0.267222
16 1.27195 1.02252 0.323889
17 1.35401 1.14112 0.395556
18 1.43607 0.87337 0.457222
19 1.51813 1.0423 0.539444
20 1.6002 0.988612 0.626111
21 1.68226 0.882892 0.711667
22 1.76432 1.07924 0.826667
23 1.84638 1.03254 0.947222
24 1.92844 1.00291 1.075
25 2.0105 1.0393 1.21889
26 2.09256 1.01919 1.37167
27 2.17463 1.03922 1.54
28 2.25669 0.891964 1.69556
29 2.33875 1.11223 1.90389
30 2.42081 1.09656 2.12389
31 2.50287 1.01238 2.34111
32 2.58493 1.08287 2.58889
33 2.66699 1.03336 2.84056
34 2.74905 1.0046 3.10056
35 2.83112 1.16395 3.42
36 2.91318 1.0131 3.71444
37 2.99524 1.02733 4.03
38 3.0773 1.11203 4.39056
39 3.15936 0.948036 4.71444
40 3.24142 1.06389 5.09722
41 3.32348 1.02639 5.48556
42 3.40555 1.05358 5.90389
43 3.48761 0.996377 6.31889
44 3.56967 0.995584 6.75333
45 3.65173 1.07178 7.24278
46 3.73379 1.10435 7.77
47 3.81585 1.04771 8.29222
48 3.89791 0.992057 8.80833
49 3.97997 1.06337 9.385
50 4.06204 1.05905 9.98333
51 4.1441 1.02695 10.5872
52 4.22616 1.0363 11.2211
53 4.30822 1.02626 11.8733
54 4.39028 1.03209 12.5544
55 4.47234 0.98617 13.23
56 4.5544 1.00971 13.9472
57 4.63647 1.05527 14.7239
58 4.71853 1.00561 15.4906
59 4.80059 0.996255 16.2767
60 4.88265 1.01823 17.1078
61 4.96471 1.07762 18.0172
62 5.04677 0.990142 18.8806
63 5.12883 1.02381 19.8028
64 5.21089 1.00392 20.7361
65 5.29296 1.02501 21.7194
66 5.37502 1.01149 22.72
67 5.45708 1.01554 23.7556
68 5.53914 1.01018 24.8167
69 5.6212 1.04443 25.9467
70 5.70326 1.02599 27.0894
71 5.78532 1.01067 28.2478
72 5.86739 1.00966 29.4378
73 5.94945 0.997937 30.6472
74 6.03151 1.04275 31.9461
75 6.11357 1.04537 33.2839
76 6.19563 1.03558 34.645
77 6.27769 1.06168 36.0778
78 6.35975 0.999208 37.4617
79 6.44181 1.03843 38.9372
80 6.52388 1.03005 40.4383
81 6.60594 1.03972 41.9917
82 6.688 1.02225 43.5572
83 6.77006 1.01134 45.1444
84 6.85212 1.033 46.8056
85 6.93418 0.972132 48.4061
86 7.01624 1.01989 50.125
87 7.09831 1.02721 51.8972
88 7.18037 0.996497 53.6567
89 7.26243 1.00446 55.4706
90 7.34449 1.03665 57.385
91 7.42655 1.04547 59.3594
92 7.50861 1.00341 61.2967
93 7.59067 1.00886 63.2872
94 7.67273 1.03903 65.3817
95 7.7548 0.995624 67.4317
96 7.83686 0.992562 69.5189
97 7.91892 1.03535 71.7422
98 8.00098 1.00677 73.9489
99 8.08304 1.01193 76.2128
100 8.1651 1.01336 78.5261
101 8.24716 1.02578 80.915
