# Time-averaged data for fix msd_avg
# TimeStep c_msd_water[1] c_msd_water[2] c_msd_water[3] c_msd_water[4]
601000 0.740837 0.725766 0.729343 2.19595
602000 1.71924 1.75456 1.70568 5.17948
603000 2.69836 2.51591 2.67788 7.89215
604000 3.55732 3.54052 3.78943 10.8873
605000 4.29728 4.51094 4.66681 13.475
606000 4.98918 5.28979 5.39389 15.6729
607000 5.93677 6.33845 6.14962 18.4248
608000 6.69138 7.24737 7.16936 21.1081
609000 7.19176 8.16985 7.78305 23.1447
610000 8.21162 8.96046 8.46229 25.6344
611000 9.001 9.72658 9.11582 27.8434
612000 10.0606 10.6148 9.6407 30.3161
613000 10.6637 11.2235 10.5522 32.4394
614000 11.6578 12.2707 11.5066 35.4351
615000 12.9298 12.7019 12.2185 37.8502
616000 13.6311 13.4922 13.3247 40.4481
617000 14.6979 13.973 14.1705 42.8414
618000 15.4897 14.7391 15.1874 45.4162
619000 15.5997 15.4074 16.5614 47.5684
620000 15.9547 15.9495 17.3297 49.2339
621000 17.1652 16.7219 18.8362 52.7234
622000 17.8522 17.6801 19.8281 55.3605
623000 18.6401 19.1186 21.0481 58.8069
624000 19.783 20.4293 22.1851 62.3973
625000 20.5844 21.5002 23.572 65.6566
626000 21.4765 22.9363 24.625 69.0378
627000 22.2735 24.1527 25.2202 71.6463
628000 23.3294 24.4914 25.9092 73.73
629000 24.3197 25.1461 26.6981 76.1639
630000 25.0637 25.9309 27.8484 78.8431
631000 26.0519 26.9753 28.906 81.9331
632000 26.3509 28.4126 29.7104 84.4739
633000 26.6965 29.8363 30.8919 87.4248
634000 27.3957 30.3271 31.1623 88.8851
635000 28.2122 30.787 32.227 91.2262
636000 29.4239 31.7249 33.6348 94.7837
637000 29.7208 33.4533 35.258 98.4321
638000 30.3116 34.4521 35.3862 100.15
639000 31.0531 36.1735 36.9995 104.226
640000 31.7627 37.1707 37.7297 106.663
641000 32.996 38.5009 38.6503 110.147
642000 33.766 38.6304 39.9845 112.381
643000 34.1796 39.0155 41.2875 114.483
644000 34.7855 40.812 42.6038 118.201
645000 35.857 42.097 43.1952 121.149
646000 36.5731 43.0817 44.3431 123.998
647000 36.875 43.9879 45.3958 126.259
648000 37.7915 44.637 46.5237 128.952
649000 38.4629 44.9226 46.9876 130.373
650000 39.5897 46.246 48.1905 134.026
651000 40.6098 46.8398 49.903 137.353
652000 41.6735 47.7967 51.5485 141.019
653000 42.4511 48.6387 51.972 143.062
654000 43.186 49.9248 53.7638 146.875
655000 44.303 51.0914 55.125 150.519
656000 44.7007 51.7878 56.4918 152.98
657000 44.8266 52.2735 57.4847 154.585
658000 45.7403 53.8711 58.6408 158.252
659000 46.4918 54.3817 59.0394 159.913
660000 47.6103 55.0783 60.2375 162.926
661000 48.4925 55.6359 61.1295 165.258
662000 49.436 57.0158 61.8527 168.305
663000 50.4442 58.2296 62.974 171.648
664000 51.1604 59.8495 65.0676 176.078
665000 51.6357 61.243 67.1581 180.037
666000 52.4024 61.6037 67.4413 181.447
667000 53.0292 62.5506 68.6358 184.216
668000 53.6322 64.1493 69.8336 187.615
669000 54.7892 64.89 70.2958 189.975
670000 55.3959 66.3905 71.9975 193.784
671000 55.8119 68.4006 75.2752 199.488
672000 55.9001 68.6419 76.2219 200.764
673000 56.3428 69.2228 76.9714 202.537
674000 57.56 70.255 78.1652 205.98
675000 58.457 71.0457 79.0152 208.518
676000 59.4225 71.6048 80.0488 211.076
677000 60.0108 72.8111 82.6454 215.467
678000 61.4622 73.6684 84.7212 219.852
679000 62.1834 75.6158 86.8598 224.659
680000 62.9047 76.8356 87.7612 227.502
681000 63.2615 77.093 88.7124 229.067
682000 63.709 77.0368 89.9501 230.696
683000 65.3742 78.7337 92.6869 236.795
684000 66.3968 79.292 93.2882 238.977
685000 67.4077 81.7111 95.7483 244.867
686000 69.0836 82.9702 98.3184 250.372
687000 70.1144 84.1288 100.14 254.383
688000 71.051 84.5174 101.392 256.961
689000 72.9211 86.5989 101.957 261.477
690000 75.9883 89.493 104.391 269.873
691000 77.0881 91.2293 106.054 274.371
692000 76.461 91.0898 105.233 272.783
693000 77.8855 93.0066 107.701 278.593
694000 79.261 94.3507 110.468 284.08
695000 80.1752 94.9908 110.972 286.138
696000 80.2961 96.7475 113.024 290.067
697000 80.5935 97.1123 112.608 290.314
698000 82.3798 98.7689 115.619 296.767
699000 82.8769 100.353 118.563 301.793
700000 84.5337 101.36 121.188 307.081
701000 86.8279 103.173 122.587 312.588
702000 87.9329 104.284 123.337 315.554
703000 88.681 105.567 123.838 318.086
704000 90.1317 107.718 125.323 323.172
705000 90.2764 109.916 127.613 327.805
706000 91.5753 110.733 129.867 332.175
707000 92.0384 112.407 130.331 334.776
708000 93.046 113.375 132.737 339.158
709000 94.0282 114.608 135.589 344.224
710000 94.311 114.22 135.37 343.901
711000 95.1924 116.35 137.988 349.531
712000 96.5584 118.367 140.805 355.73
713000 97.3172 118.91 141.032 357.259
714000 98.5689 120.44 141.858 360.867
715000 99.5932 121.431 143.136 364.16
716000 100.92 122.611 144.617 368.147
717000 103.292 125.141 148.284 376.717
718000 103.791 125.841 149.125 378.757
719000 104.157 126.84 150.203 381.199
720000 105.1 126.85 152.201 384.151
721000 106.061 128.688 153.65 388.399
722000 106.218 129.886 155.405 391.509
723000 107.079 131.102 158.773 396.954
724000 107.628 131.71 159.235 398.573
725000 108.534 131.283 158.405 398.222
726000 109.229 132.134 160.24 401.603
727000 109.889 133.329 160.853 404.071
728000 110.383 134.528 160.992 405.904
729000 111.617 136.014 162.595 410.225
730000 112.904 137.542 165.893 416.34
731000 112.931 137.558 165.641 416.13
732000 112.981 139.169 168.146 420.296
733000 114.492 140.042 169.161 423.695
734000 114.478 142.137 171.856 428.471
735000 114.515 142.746 171.894 429.155
736000 115.382 145.285 175.159 435.826
737000 115.948 146.654 177.288 439.89
738000 117.622 148.15 180.922 446.695
739000 118.811 149.568 183.223 451.601
740000 119.44 150.247 183.257 452.944
741000 121.271 151.657 185.186 458.114
742000 121.927 152.906 187.71 462.543
743000 123.064 155.956 191.908 470.928
744000 124.682 155.687 191.68 472.049
745000 126.277 155.137 192.655 474.069
746000 127.572 156.893 193.967 478.433
747000 128.307 158.454 194.951 481.712
748000 128.614 159.848 197.449 485.912
749000 129.081 160.414 197.3 486.796
750000 130.532 162.121 200.082 492.735
751000 132.235 163.755 202.775 498.764
752000 132.498 165.956 204.18 502.634
753000 133.417 167.197 207.46 508.073
